frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.99,0.29,10.99,0.28,-0.28,0.04,-0.01,10.71,10.71,10.70
20.20,10.99,0.29,10.99,0.31,-0.31,0.04,-0.01,10.68,10.68,10.70
20.40,10.99,0.32,10.99,0.34,-0.34,0.04,-0.01,10.65,10.65,10.67
20.61,10.99,0.38,10.99,0.36,-0.35,0.04,-0.01,10.63,10.63,10.60
20.81,10.98,0.38,10.98,0.38,-0.37,0.05,-0.01,10.61,10.61,10.60
21.02,10.98,0.38,10.98,0.38,-0.38,0.05,-0.01,10.60,10.60,10.60
21.23,10.97,0.37,10.97,0.37,-0.38,0.05,-0.01,10.59,10.59,10.60
21.44,10.97,0.37,10.97,0.37,-0.38,0.05,-0.01,10.59,10.59,10.60
21.66,10.96,0.36,10.96,0.36,-0.37,0.05,-0.02,10.59,10.59,10.60
21.87,10.96,0.36,10.96,0.36,-0.36,0.05,-0.02,10.60,10.60,10.60
22.09,10.95,0.35,10.95,0.36,-0.34,0.05,-0.02,10.61,10.61,10.60
22.31,10.95,0.35,10.95,0.34,-0.33,0.05,-0.02,10.62,10.62,10.60
22.54,10.94,0.33,10.94,0.31,-0.31,0.06,-0.02,10.64,10.64,10.61
22.76,10.94,0.25,10.94,0.27,-0.28,0.06,-0.02,10.65,10.66,10.69
22.99,10.93,0.23,10.93,0.24,-0.25,0.06,-0.02,10.68,10.68,10.70
23.22,10.93,0.22,10.93,0.22,-0.22,0.06,-0.02,10.70,10.70,10.70
23.45,10.92,0.22,10.92,0.20,-0.19,0.06,-0.02,10.74,10.74,10.70
23.69,10.92,0.15,10.91,0.17,-0.15,0.06,-0.02,10.77,10.77,10.76
23.92,10.91,0.11,10.91,0.12,-0.11,0.07,-0.03,10.80,10.80,10.80
24.16,10.90,0.10,10.90,0.07,-0.08,0.07,-0.03,10.83,10.83,10.80
24.40,10.90,0.03,10.90,0.03,-0.05,0.07,-0.03,10.85,10.85,10.87
24.65,10.89,-0.01,10.89,0.00,-0.02,0.07,-0.03,10.87,10.87,10.90
24.89,10.88,-0.02,10.88,-0.02,0.01,0.07,-0.03,10.89,10.89,10.90
25.14,10.88,-0.03,10.88,-0.03,0.03,0.08,-0.03,10.90,10.90,10.90
25.39,10.87,-0.03,10.87,-0.03,0.04,0.08,-0.03,10.91,10.91,10.90
25.65,10.86,-0.04,10.86,-0.04,0.05,0.08,-0.03,10.92,10.92,10.90
25.91,10.85,-0.05,10.85,-0.05,0.06,0.08,-0.03,10.91,10.91,10.90
26.16,10.84,-0.06,10.84,-0.06,0.07,0.09,-0.03,10.91,10.91,10.90
26.43,10.84,-0.07,10.83,-0.07,0.06,0.09,-0.03,10.90,10.90,10.90
26.69,10.83,-0.08,10.83,-0.08,0.06,0.09,-0.03,10.89,10.89,10.90
26.96,10.82,-0.09,10.82,-0.08,0.06,0.09,-0.04,10.87,10.87,10.90
27.23,10.81,-0.09,10.81,-0.06,0.05,0.10,-0.04,10.86,10.86,10.89
27.50,10.79,-0.01,10.79,-0.04,0.05,0.10,-0.04,10.84,10.84,10.80
27.77,10.78,-0.02,10.78,-0.02,0.05,0.10,-0.04,10.83,10.83,10.80
28.05,10.77,-0.03,10.77,-0.02,0.05,0.11,-0.03,10.82,10.82,10.80
28.33,10.76,-0.04,10.76,-0.04,0.05,0.11,-0.03,10.81,10.81,10.80
28.62,10.75,-0.06,10.75,-0.06,0.06,0.11,-0.03,10.80,10.80,10.80
28.90,10.73,-0.07,10.73,-0.07,0.07,0.12,-0.03,10.80,10.80,10.80
29.19,10.72,-0.08,10.72,-0.08,0.08,0.12,-0.03,10.80,10.80,10.80
29.48,10.71,-0.10,10.71,-0.10,0.08,0.12,-0.03,10.79,10.79,10.80
29.78,10.69,-0.11,10.69,-0.11,0.09,0.13,-0.03,10.78,10.78,10.80
30.08,10.68,-0.11,10.68,-0.09,0.09,0.13,-0.02,10.77,10.77,10.79
30.38,10.66,-0.07,10.66,-0.08,0.09,0.14,-0.02,10.75,10.75,10.73
30.68,10.65,-0.06,10.65,-0.07,0.08,0.14,-0.02,10.72,10.72,10.70
30.99,10.63,-0.07,10.63,-0.07,0.07,0.15,-0.02,10.70,10.70,10.70
31.30,10.61,-0.09,10.61,-0.07,0.06,0.15,-0.01,10.67,10.67,10.70
31.61,10.60,-0.05,10.60,-0.05,0.05,0.16,-0.01,10.65,10.65,10.65
31.93,10.58,-0.02,10.58,-0.04,0.05,0.16,-0.00,10.63,10.63,10.60
