frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.79,-5.14,5.79,-5.15,5.15,5.05,1.97,10.94,10.94,10.93
20.20,5.83,-5.10,5.83,-5.08,5.08,5.08,2.03,10.91,10.91,10.93
20.40,5.86,-5.04,5.86,-5.02,5.02,5.11,2.09,10.88,10.88,10.90
20.61,5.89,-4.94,5.89,-4.96,4.97,5.11,2.15,10.86,10.86,10.83
20.81,5.92,-4.91,5.92,-4.91,4.92,5.11,2.21,10.84,10.84,10.83
21.02,5.95,-4.88,5.95,-4.87,4.88,5.07,2.28,10.83,10.83,10.83
21.23,5.98,-4.85,5.98,-4.85,4.84,5.04,2.34,10.82,10.82,10.83
21.44,6.01,-4.82,6.01,-4.82,4.81,4.98,2.41,10.82,10.82,10.83
21.66,6.03,-4.80,6.03,-4.80,4.79,4.93,2.48,10.82,10.82,10.83
21.87,6.06,-4.77,6.06,-4.77,4.77,4.87,2.55,10.83,10.83,10.83
22.09,6.08,-4.75,6.08,-4.74,4.76,4.82,2.63,10.84,10.84,10.83
22.31,6.11,-4.72,6.11,-4.73,4.74,4.76,2.71,10.85,10.85,10.83
22.54,6.13,-4.71,6.13,-4.73,4.73,4.71,2.78,10.87,10.87,10.84
22.76,6.15,-4.76,6.15,-4.74,4.73,4.67,2.86,10.88,10.88,10.92
22.99,6.18,-4.75,6.18,-4.74,4.73,4.63,2.95,10.91,10.91,10.93
23.22,6.20,-4.73,6.20,-4.74,4.73,4.59,3.03,10.93,10.93,10.93
23.45,6.22,-4.71,6.22,-4.73,4.74,4.56,3.12,10.96,10.96,10.93
23.69,6.24,-4.75,6.24,-4.74,4.75,4.53,3.20,11.00,11.00,10.99
23.92,6.26,-4.77,6.26,-4.75,4.76,4.50,3.29,11.03,11.03,11.03
24.16,6.28,-4.75,6.28,-4.77,4.77,4.48,3.38,11.05,11.05,11.03
24.40,6.30,-4.79,6.30,-4.79,4.77,4.45,3.48,11.08,11.08,11.10
24.65,6.32,-4.81,6.32,-4.79,4.78,4.43,3.57,11.10,11.10,11.13
24.89,6.34,-4.79,6.34,-4.79,4.77,4.41,3.67,11.12,11.12,11.13
25.14,6.36,-4.77,6.36,-4.77,4.76,4.40,3.76,11.13,11.13,11.13
25.39,6.38,-4.75,6.38,-4.75,4.75,4.38,3.86,11.14,11.14,11.13
