frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.43,-4.89,7.44,-4.87,4.86,4.58,1.88,12.29,12.30,12.32
20.20,7.48,-4.84,7.47,-4.85,4.86,4.71,1.93,12.34,12.33,12.32
20.40,7.53,-4.79,7.50,-4.83,4.85,4.83,1.99,12.38,12.35,12.32
20.61,7.53,-4.80,7.53,-4.82,4.84,4.90,2.05,12.37,12.37,12.32
20.81,7.53,-4.86,7.55,-4.83,4.83,4.96,2.11,12.36,12.38,12.39
21.02,7.57,-4.85,7.57,-4.84,4.81,4.95,2.17,12.38,12.39,12.42
21.23,7.63,-4.79,7.60,-4.83,4.80,4.93,2.23,12.42,12.40,12.42
21.44,7.63,-4.79,7.64,-4.79,4.78,4.87,2.30,12.40,12.41,12.42
21.66,7.65,-4.77,7.67,-4.75,4.75,4.81,2.36,12.39,12.41,12.42
21.87,7.72,-4.70,7.69,-4.73,4.71,4.74,2.43,12.43,12.41,12.42
22.09,7.73,-4.69,7.74,-4.68,4.68,4.68,2.50,12.41,12.42,12.42
22.31,7.77,-4.66,7.78,-4.64,4.66,4.62,2.57,12.42,12.44,12.42
22.54,7.83,-4.59,7.81,-4.61,4.64,4.56,2.65,12.46,12.44,12.42
22.76,7.83,-4.59,7.83,-4.59,4.63,4.52,2.72,12.45,12.46,12.42
22.99,7.83,-4.59,7.83,-4.59,4.62,4.48,2.80,12.45,12.46,12.42
23.22,7.83,-4.60,7.83,-4.63,4.62,4.44,2.88,12.45,12.45,12.43
23.45,7.83,-4.68,7.82,-4.66,4.63,4.41,2.96,12.46,12.46,12.51
23.69,7.83,-4.69,7.84,-4.67,4.64,4.39,3.04,12.47,12.48,12.52
23.92,7.86,-4.66,7.87,-4.66,4.65,4.36,3.13,12.51,12.52,12.52
24.16,7.92,-4.60,7.90,-4.65,4.65,4.34,3.22,12.57,12.55,12.52
24.40,7.93,-4.66,7.94,-4.64,4.64,4.33,3.30,12.57,12.58,12.59
24.65,7.97,-4.66,7.98,-4.63,4.62,4.31,3.39,12.59,12.60,12.62
24.89,8.03,-4.59,8.02,-4.63,4.60,4.30,3.48,12.63,12.63,12.62
25.14,8.09,-4.59,8.10,-4.58,4.58,4.29,3.57,12.67,12.68,12.68
25.39,8.16,-4.56,8.16,-4.54,4.56,4.28,3.66,12.72,12.72,12.72
25.65,8.23,-4.49,8.21,-4.52,4.54,4.27,3.76,12.77,12.75,12.72
25.91,8.23,-4.49,8.23,-4.49,4.52,4.27,3.85,12.75,12.76,12.72
26.16,8.23,-4.49,8.24,-4.49,4.50,4.26,3.94,12.73,12.74,12.72
26.43,8.23,-4.49,8.23,-4.50,4.47,4.26,4.03,12.70,12.70,12.72
26.69,8.23,-4.49,8.23,-4.49,4.44,4.25,4.12,12.67,12.67,12.72
26.96,8.23,-4.45,8.23,-4.44,4.41,4.25,4.21,12.64,12.64,12.68
27.23,8.23,-4.38,8.23,-4.38,4.38,4.24,4.30,12.61,12.61,12.61
27.50,8.23,-4.29,8.21,-4.33,4.35,4.24,4.38,12.58,12.55,12.52
