frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.86,-0.99,11.89,-0.96,1.20,0.80,0.36,13.06,13.09,12.86
20.20,11.69,-1.17,11.66,-1.19,1.29,0.81,0.37,12.98,12.95,12.86
20.40,11.52,-1.34,11.49,-1.38,1.36,0.82,0.38,12.88,12.85,12.86
20.61,11.36,-1.50,11.37,-1.52,1.40,0.84,0.39,12.76,12.77,12.86
20.81,11.27,-1.66,11.27,-1.64,1.42,0.85,0.40,12.69,12.70,12.93
21.02,11.26,-1.70,11.26,-1.68,1.42,0.86,0.41,12.68,12.68,12.96
21.23,11.33,-1.62,11.35,-1.61,1.39,0.87,0.42,12.72,12.74,12.96
21.44,11.52,-1.43,11.53,-1.43,1.33,0.89,0.43,12.86,12.86,12.96
21.66,11.77,-1.18,11.77,-1.19,1.16,0.90,0.44,12.93,12.92,12.96
21.87,12.03,-0.93,12.02,-0.94,0.97,0.91,0.45,13.00,12.99,12.96
22.09,12.24,-0.72,12.24,-0.72,0.81,0.92,0.46,13.04,13.04,12.96
22.31,12.40,-0.56,12.39,-0.57,0.69,0.94,0.48,13.09,13.08,12.96
22.54,12.46,-0.50,12.45,-0.50,0.65,0.95,0.49,13.11,13.10,12.96
22.76,12.42,-0.53,12.41,-0.54,0.69,0.96,0.50,13.12,13.11,12.96
22.99,12.28,-0.67,12.27,-0.69,0.81,0.97,0.51,13.10,13.08,12.96
23.22,12.05,-0.92,12.05,-0.94,0.99,0.99,0.53,13.03,13.04,12.96
23.45,11.79,-1.25,11.79,-1.23,1.19,1.00,0.54,12.97,12.98,13.04
23.69,11.54,-1.51,11.54,-1.50,1.38,1.01,0.55,12.93,12.93,13.06
23.92,11.35,-1.71,11.36,-1.70,1.55,1.02,0.57,12.90,12.91,13.06
24.16,11.26,-1.80,11.27,-1.81,1.66,1.03,0.58,12.92,12.94,13.06
24.40,11.28,-1.84,11.29,-1.82,1.72,1.04,0.60,13.00,13.01,13.13
24.65,11.38,-1.77,11.38,-1.76,1.72,1.06,0.61,13.10,13.10,13.16
