frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.99,-2.36,10.02,-2.32,2.35,2.73,0.95,12.34,12.37,12.35
20.20,9.93,-2.42,9.90,-2.45,2.52,2.73,0.98,12.45,12.42,12.35
20.40,9.82,-2.52,9.79,-2.57,2.66,2.73,1.01,12.48,12.44,12.35
20.61,9.68,-2.67,9.68,-2.70,2.75,2.72,1.04,12.43,12.43,12.35
20.81,9.53,-2.89,9.53,-2.87,2.80,2.71,1.07,12.33,12.34,12.42
21.02,9.44,-3.01,9.43,-3.00,2.82,2.69,1.10,12.26,12.25,12.45
21.23,9.41,-3.04,9.44,-3.02,2.80,2.67,1.13,12.20,12.23,12.45
21.44,9.54,-2.91,9.55,-2.90,2.73,2.64,1.16,12.27,12.28,12.45
21.66,9.78,-2.66,9.77,-2.68,2.56,2.61,1.20,12.35,12.33,12.45
21.87,10.06,-2.39,10.06,-2.39,2.36,2.57,1.23,12.41,12.42,12.45
22.09,10.36,-2.09,10.36,-2.09,2.14,2.54,1.27,12.50,12.50,12.45
22.31,10.64,-1.81,10.63,-1.82,1.93,2.50,1.31,12.57,12.56,12.45
22.54,10.84,-1.61,10.83,-1.61,1.78,2.46,1.34,12.62,12.62,12.45
22.76,10.94,-1.51,10.93,-1.51,1.71,2.41,1.38,12.64,12.63,12.45
22.99,10.93,-1.52,10.91,-1.54,1.70,2.37,1.42,12.63,12.61,12.45
23.22,10.80,-1.65,10.80,-1.68,1.76,2.32,1.46,12.56,12.56,12.45
23.45,10.64,-1.89,10.64,-1.87,1.84,2.28,1.51,12.48,12.48,12.53
23.69,10.48,-2.06,10.48,-2.05,1.92,2.24,1.55,12.40,12.40,12.55
23.92,10.37,-2.17,10.39,-2.17,1.96,2.19,1.59,12.34,12.35,12.55
24.16,10.38,-2.17,10.40,-2.18,1.97,2.15,1.64,12.34,12.36,12.55
24.40,10.50,-2.11,10.52,-2.08,1.93,2.11,1.68,12.43,12.44,12.62
24.65,10.72,-1.93,10.71,-1.92,1.87,2.07,1.73,12.58,12.58,12.65
24.89,10.95,-1.70,10.95,-1.73,1.80,2.03,1.77,12.75,12.75,12.65
25.14,11.12,-1.59,11.13,-1.58,1.75,2.00,1.82,12.87,12.88,12.71
25.39,11.23,-1.51,11.19,-1.54,1.74,1.96,1.86,12.98,12.94,12.75
25.65,11.11,-1.64,11.11,-1.64,1.80,1.93,1.91,12.91,12.91,12.75
25.91,10.86,-1.89,10.85,-1.90,1.94,1.90,1.96,12.80,12.80,12.75
26.16,10.45,-2.30,10.42,-2.33,2.17,1.87,2.00,12.62,12.59,12.75
26.43,9.88,-2.87,9.87,-2.88,2.44,1.84,2.05,12.32,12.31,12.75
26.69,9.28,-3.46,9.27,-3.47,2.70,1.81,2.09,11.99,11.97,12.75
26.96,8.74,-3.97,8.77,-3.93,2.93,1.79,2.14,11.67,11.70,12.71
27.23,8.43,-4.21,8.49,-4.14,3.09,1.77,2.18,11.51,11.58,12.64
27.50,8.48,-4.07,8.49,-4.07,3.16,1.74,2.22,11.64,11.65,12.55
27.77,8.73,-3.77,8.72,-3.77,3.14,1.72,2.26,11.87,11.87,12.49
28.05,9.09,-3.34,9.08,-3.35,3.06,1.71,2.30,12.15,12.14,12.43
28.33,9.46,-2.90,9.44,-2.95,2.91,1.69,2.34,12.37,12.35,12.36
28.62,9.77,-2.58,9.75,-2.59,2.71,1.68,2.38,12.47,12.45,12.35
28.90,9.98,-2.34,9.98,-2.32,2.45,1.66,2.41,12.43,12.42,12.32
29.19,10.16,-2.09,10.16,-2.11,2.15,1.65,2.44,12.31,12.31,12.25
29.48,10.32,-1.92,10.35,-1.91,1.85,1.64,2.46,12.17,12.19,12.25
29.78,10.56,-1.69,10.56,-1.67,1.57,1.63,2.49,12.13,12.14,12.25
30.08,10.81,-1.42,10.82,-1.39,1.32,1.62,2.51,12.13,12.15,12.23
30.38,11.10,-1.07,11.10,-1.09,1.09,1.62,2.53,12.20,12.19,12.17
30.68,11.36,-0.79,11.34,-0.82,0.89,1.61,2.54,12.25,12.23,12.15
30.99,11.53,-0.62,11.52,-0.62,0.72,1.61,2.55,12.25,12.24,12.15
31.30,11.62,-0.52,11.62,-0.52,0.59,1.60,2.56,12.21,12.21,12.15
31.61,11.65,-0.49,11.65,-0.49,0.50,1.60,2.56,12.15,12.15,12.15
31.93,11.64,-0.51,11.64,-0.50,0.47,1.60,2.56,12.11,12.11,12.15
32.24,11.60,-0.55,11.61,-0.54,0.51,1.60,2.56,12.11,12.12,12.15
32.57,11.55,-0.60,11.55,-0.59,0.61,1.60,2.55,12.16,12.16,12.15
32.89,11.47,-0.68,11.46,-0.69,0.77,1.60,2.54,12.23,12.23,12.15
33.22,11.32,-0.83,11.32,-0.85,0.95,1.60,2.53,12.27,12.27,12.15
33.55,11.14,-1.08,11.12,-1.09,1.15,1.61,2.51,12.28,12.27,12.22
33.89,10.88,-1.37,10.88,-1.35,1.34,1.61,2.50,12.22,12.22,12.25
34.23,10.64,-1.61,10.64,-1.61,1.52,1.61,2.47,12.16,12.16,12.25
34.57,10.44,-1.81,10.46,-1.81,1.67,1.62,2.45,12.11,12.13,12.25
34.92,10.36,-1.93,10.37,-1.92,1.79,1.63,2.43,12.15,12.16,12.29
35.27,10.37,-1.97,10.37,-1.95,1.87,1.63,2.40,12.25,12.25,12.35
35.62,10.42,-1.92,10.42,-1.93,1.92,1.64,2.37,12.35,12.34,12.35
35.97,10.49,-1.86,10.47,-1.88,1.94,1.65,2.34,12.43,12.41,12.35
36.33,10.50,-1.85,10.50,-1.85,1.95,1.65,2.31,12.45,12.45,12.35
36.70,10.49,-1.85,10.50,-1.87,1.95,1.66,2.28,12.45,12.45,12.35
37.06,10.47,-1.93,10.48,-1.93,1.97,1.67,2.25,12.44,12.44,12.40
37.43,10.45,-2.00,10.45,-1.99,1.99,1.68,2.21,12.44,12.44,12.45
37.81,10.39,-2.05,10.39,-2.04,2.03,1.69,2.18,12.42,12.42,12.45
38.19,10.33,-2.06,10.32,-2.07,2.05,1.70,2.15,12.39,12.38,12.39
38.57,10.23,-2.09,10.23,-2.09,2.05,1.72,2.11,12.28,12.29,12.32
38.95,10.16,-2.10,10.16,-2.09,2.02,1.73,2.08,12.18,12.17,12.25
39.34,10.10,-2.07,10.12,-2.06,1.95,1.74,2.05,12.05,12.06,12.18
39.74,10.13,-1.98,10.14,-1.97,1.86,1.75,2.02,11.98,12.00,12.11
40.14,10.20,-1.84,10.21,-1.83,1.79,1.76,1.99,11.99,12.00,12.04
40.54,10.30,-1.67,10.29,-1.68,1.75,1.78,1.96,12.06,12.04,11.97
40.94,10.32,-1.58,10.32,-1.58,1.78,1.79,1.93,12.10,12.10,11.91
41.35,10.27,-1.58,10.26,-1.60,1.85,1.80,1.90,12.12,12.11,11.85
41.76,10.12,-1.73,10.10,-1.76,1.97,1.82,1.88,12.09,12.06,11.85
42.18,9.86,-2.04,9.85,-2.04,2.11,1.83,1.85,11.96,11.96,11.89
42.60,9.60,-2.37,9.60,-2.37,2.25,1.85,1.83,11.84,11.84,11.96
43.03,9.36,-2.67,9.40,-2.62,2.37,1.86,1.80,11.73,11.76,12.04
43.46,9.30,-2.74,9.32,-2.72,2.46,1.88,1.78,11.76,11.78,12.05
43.90,9.37,-2.68,9.38,-2.68,2.50,1.89,1.76,11.87,11.89,12.05
44.33,9.53,-2.51,9.53,-2.53,2.50,1.91,1.74,12.04,12.03,12.05
44.78,9.69,-2.36,9.68,-2.36,2.46,1.92,1.72,12.16,12.14,12.05
45.23,9.79,-2.23,9.77,-2.24,2.40,1.93,1.71,12.19,12.17,12.01
45.68,9.78,-2.17,9.78,-2.20,2.35,1.95,1.69,12.13,12.12,11.95
46.13,9.72,-2.23,9.73,-2.22,2.31,1.96,1.68,12.03,12.04,11.95
46.60,9.64,-2.31,9.65,-2.30,2.32,1.98,1.66,11.96,11.96,11.95
47.06,9.57,-2.38,9.57,-2.38,2.35,1.99,1.65,11.92,11.92,11.95
47.53,9.51,-2.44,9.51,-2.43,2.39,2.01,1.64,11.90,11.90,11.95
48.01,9.48,-2.47,9.48,-2.47,2.42,2.02,1.63,11.89,11.90,11.95
48.49,9.48,-2.48,9.49,-2.49,2.42,2.04,1.63,11.90,11.91,11.96
48.97,9.56,-2.47,9.56,-2.45,2.39,2.05,1.62,11.95,11.95,12.03
49.46,9.66,-2.38,9.67,-2.37,2.33,2.07,1.61,11.99,12.00,12.05
49.96,9.80,-2.25,9.79,-2.26,2.25,2.08,1.61,12.05,12.05,12.05
50.46,9.92,-2.13,9.92,-2.14,2.17,2.09,1.61,12.08,12.09,12.05
50.96,10.02,-2.03,10.02,-2.02,2.08,2.11,1.61,12.10,12.10,12.05
51.47,10.08,-1.94,10.07,-1.94,2.00,2.12,1.61,12.08,12.07,12.02
51.99,10.08,-1.87,10.07,-1.89,1.92,2.13,1.61,11.99,11.99,11.95
52.51,10.03,-1.86,10.02,-1.87,1.85,2.14,1.61,11.87,11.87,11.88
53.03,9.94,-1.87,9.95,-1.86,1.80,2.15,1.61,11.74,11.74,11.81
53.56,9.86,-1.87,9.87,-1.84,1.77,2.16,1.61,11.64,11.65,11.73
54.10,9.81,-1.79,9.82,-1.79,1.78,2.17,1.62,11.59,11.60,11.60
54.64,9.76,-1.74,9.76,-1.76,1.83,2.18,1.62,11.60,11.59,11.51
55.18,9.70,-1.75,9.68,-1.78,1.91,2.19,1.63,11.61,11.59,11.45
55.74,9.56,-1.89,9.55,-1.88,2.02,2.20,1.63,11.57,11.57,11.45
56.29,9.39,-2.05,9.39,-2.06,2.13,2.21,1.64,11.52,11.52,11.45
56.86,9.21,-2.26,9.22,-2.27,2.23,2.21,1.65,11.44,11.45,11.47
57.42,9.08,-2.45,9.08,-2.44,2.32,2.21,1.65,11.41,11.40,11.54
58.00,8.98,-2.57,9.00,-2.53,2.38,2.22,1.66,11.36,11.39,11.55
58.58,9.00,-2.53,8.99,-2.53,2.40,2.22,1.67,11.40,11.39,11.52
59.16,9.03,-2.42,9.03,-2.43,2.37,2.22,1.68,11.40,11.40,11.45
59.76,9.10,-2.28,9.10,-2.29,2.29,2.22,1.69,11.40,11.39,11.39
60.35,9.18,-2.14,9.18,-2.14,2.18,2.22,1.70,11.36,11.36,11.32
60.96,9.26,-1.99,9.26,-1.99,2.04,2.22,1.71,11.30,11.30,11.25
61.57,9.33,-1.85,9.33,-1.87,1.90,2.21,1.72,11.23,11.23,11.18
62.18,9.39,-1.76,9.38,-1.77,1.79,2.20,1.73,11.17,11.17,11.15
62.80,9.42,-1.71,9.43,-1.69,1.70,2.20,1.74,11.12,11.13,11.14
63.43,9.44,-1.63,9.45,-1.64,1.66,2.19,1.75,11.10,11.10,11.07
64.07,9.44,-1.60,9.44,-1.62,1.65,2.18,1.76,11.09,11.09,11.05
64.71,9.40,-1.64,9.39,-1.62,1.67,2.17,1.78,11.07,11.06,11.04
65.35,9.30,-1.66,9.30,-1.68,1.72,2.15,1.79,11.03,11.02,10.96
66.01,9.18,-1.77,9.18,-1.78,1.79,2.14,1.80,10.97,10.97,10.95
66.67,9.04,-1.91,9.05,-1.89,1.87,2.12,1.81,10.91,10.92,10.95
67.33,8.94,-2.01,8.94,-2.00,1.95,2.11,1.83,10.89,10.90,10.95
68.01,8.86,-2.08,8.87,-2.08,2.03,2.09,1.84,10.90,10.91,10.95
68.69,8.83,-2.11,8.83,-2.12,2.10,2.07,1.86,10.94,10.93,10.95
69.37,8.80,-2.15,8.80,-2.16,2.15,2.05,1.87,10.95,10.95,10.95
70.07,8.76,-2.18,8.76,-2.18,2.18,2.04,1.89,10.94,10.94,10.95
70.77,8.71,-2.20,8.71,-2.19,2.18,2.02,1.91,10.89,10.90,10.91
71.48,8.67,-2.18,8.67,-2.19,2.17,2.01,1.93,10.83,10.83,10.85
72.19,8.62,-2.16,8.62,-2.16,2.14,2.00,1.95,10.76,10.76,10.78
72.91,8.59,-2.12,8.59,-2.11,2.10,1.99,1.97,10.69,10.69,10.71
73.64,8.57,-2.06,8.57,-2.06,2.07,1.98,1.99,10.64,10.64,10.63
74.38,8.56,-2.01,8.56,-2.02,2.03,1.98,2.01,10.59,10.60,10.57
75.12,8.56,-1.99,8.56,-1.99,2.01,1.98,2.04,10.56,10.56,10.55
75.87,8.55,-1.98,8.55,-1.96,1.99,1.99,2.06,10.54,10.54,10.53
76.63,8.51,-1.95,8.52,-1.97,1.99,2.00,2.09,10.51,10.51,10.46
77.40,8.47,-1.98,8.46,-1.99,2.01,2.02,2.12,10.48,10.47,10.45
78.17,8.37,-2.05,8.37,-2.03,2.05,2.04,2.15,10.42,10.42,10.42
78.95,8.27,-2.09,8.26,-2.10,2.09,2.08,2.18,10.36,10.36,10.36
79.74,8.14,-2.15,8.14,-2.16,2.14,2.11,2.21,10.28,10.28,10.29
80.54,8.01,-2.21,8.01,-2.21,2.20,2.15,2.25,10.21,10.21,10.22
81.35,7.89,-2.26,7.89,-2.26,2.24,2.20,2.29,10.13,10.14,10.15
82.16,7.79,-2.30,7.79,-2.30,2.28,2.25,2.33,10.06,10.06,10.08
82.98,7.69,-2.32,7.69,-2.33,2.30,2.31,2.37,9.99,9.99,10.02
83.81,7.60,-2.35,7.60,-2.34,2.32,2.37,2.41,9.92,9.92,9.95
84.65,7.53,-2.35,7.53,-2.34,2.33,2.43,2.45,9.86,9.86,9.88
85.50,7.47,-2.34,7.47,-2.33,2.34,2.49,2.50,9.81,9.81,9.81
86.35,7.41,-2.33,7.41,-2.33,2.36,2.56,2.55,9.77,9.77,9.74
87.22,7.34,-2.33,7.34,-2.35,2.39,2.63,2.60,9.72,9.72,9.67
88.09,7.25,-2.40,7.25,-2.39,2.42,2.70,2.65,9.67,9.67,9.65
88.97,7.15,-2.47,7.15,-2.45,2.46,2.77,2.71,9.62,9.62,9.63
89.86,7.05,-2.51,7.05,-2.52,2.51,2.84,2.76,9.56,9.56,9.56
90.76,6.96,-2.59,6.96,-2.60,2.57,2.90,2.82,9.53,9.53,9.55
91.66,6.88,-2.67,6.88,-2.66,2.63,2.97,2.88,9.51,9.52,9.55
92.58,6.80,-2.75,6.80,-2.73,2.71,3.04,2.95,9.51,9.51,9.55
93.51,6.71,-2.77,6.71,-2.77,2.79,3.10,3.01,9.51,9.50,9.49
94.44,6.60,-2.82,6.59,-2.83,2.87,3.16,3.08,9.47,9.47,9.42
95.39,6.45,-2.89,6.45,-2.92,2.96,3.23,3.14,9.41,9.41,9.35
96.34,6.29,-3.05,6.29,-3.04,3.04,3.28,3.21,9.33,9.33,9.35
97.30,6.13,-3.18,6.14,-3.16,3.12,3.34,3.28,9.26,9.26,9.31
98.28,5.99,-3.25,5.99,-3.25,3.21,3.40,3.36,9.20,9.20,9.24
99.26,5.86,-3.31,5.86,-3.32,3.30,3.45,3.43,9.16,9.16,9.17
100.25,5.73,-3.37,5.73,-3.38,3.40,3.50,3.51,9.12,9.12,9.10
101.25,5.59,-3.44,5.59,-3.45,3.48,3.55,3.58,9.07,9.07,9.03
102.27,5.44,-3.54,5.44,-3.53,3.56,3.60,3.66,9.00,9.00,8.98
103.29,5.29,-3.63,5.29,-3.63,3.63,3.64,3.74,8.92,8.92,8.92
104.32,5.15,-3.70,5.16,-3.72,3.69,3.69,3.81,8.84,8.85,8.85
105.37,5.05,-3.80,5.05,-3.78,3.75,3.73,3.89,8.79,8.80,8.85
106.42,4.96,-3.85,4.96,-3.83,3.80,3.77,3.97,8.76,8.76,8.81
107.48,4.88,-3.84,4.88,-3.86,3.85,3.81,4.04,8.74,8.73,8.72
108.56,4.79,-3.88,4.79,-3.87,3.90,3.84,4.12,8.69,8.68,8.67
109.64,4.68,-3.91,4.68,-3.91,3.94,3.88,4.19,8.62,8.62,8.58
110.74,4.55,-3.96,4.55,-3.97,3.99,3.91,4.26,8.53,8.53,8.51
111.85,4.41,-4.04,4.41,-4.02,4.03,3.94,4.33,8.44,8.44,8.45
112.97,4.27,-4.08,4.27,-4.09,4.08,3.97,4.39,8.36,8.36,8.35
114.10,4.14,-4.15,4.14,-4.16,4.14,4.00,4.46,8.28,8.28,8.29
115.24,4.01,-4.23,4.01,-4.22,4.21,4.03,4.51,8.22,8.22,8.24
116.39,3.89,-4.29,3.89,-4.28,4.29,4.06,4.57,8.17,8.17,8.18
117.55,3.77,-4.32,3.77,-4.33,4.35,4.08,4.61,8.12,8.12,8.09
118.73,3.66,-4.39,3.66,-4.40,4.42,4.10,4.66,8.08,8.08,8.05
119.92,3.56,-4.49,3.56,-4.48,4.48,4.13,4.70,8.04,8.04,8.05
121.12,3.47,-4.57,3.48,-4.57,4.54,4.15,4.73,8.01,8.01,8.05
122.33,3.40,-4.63,3.39,-4.62,4.59,4.17,4.76,7.99,7.98,8.03
123.55,3.32,-4.65,3.32,-4.64,4.64,4.19,4.78,7.96,7.96,7.97
124.79,3.24,-4.63,3.24,-4.66,4.68,4.21,4.80,7.92,7.92,7.87
126.03,3.16,-4.69,3.16,-4.69,4.71,4.22,4.81,7.88,7.88,7.85
127.29,3.09,-4.75,3.08,-4.73,4.73,4.24,4.81,7.82,7.82,7.83
128.57,3.01,-4.76,3.00,-4.77,4.74,4.26,4.81,7.75,7.75,7.77
129.85,2.92,-4.78,2.92,-4.78,4.75,4.27,4.80,7.67,7.67,7.70
131.15,2.84,-4.79,2.85,-4.77,4.76,4.29,4.79,7.60,7.60,7.63
132.46,2.77,-4.73,2.77,-4.75,4.76,4.30,4.77,7.53,7.53,7.50
133.79,2.69,-4.72,2.69,-4.73,4.77,4.31,4.75,7.46,7.45,7.41
135.12,2.61,-4.74,2.61,-4.73,4.76,4.33,4.72,7.37,7.37,7.34
136.48,2.52,-4.75,2.53,-4.75,4.75,4.34,4.69,7.27,7.28,7.27
137.84,2.45,-4.76,2.45,-4.76,4.74,4.35,4.65,7.18,7.19,7.21
139.22,2.39,-4.75,2.38,-4.75,4.72,4.36,4.62,7.10,7.10,7.14
140.61,2.32,-4.74,2.32,-4.73,4.70,4.37,4.57,7.02,7.02,7.07
142.02,2.26,-4.69,2.26,-4.69,4.68,4.38,4.53,6.94,6.94,6.95
143.44,2.20,-4.63,2.20,-4.64,4.65,4.39,4.48,6.85,6.85,6.83
144.87,2.14,-4.61,2.15,-4.60,4.62,4.41,4.44,6.76,6.77,6.75
146.32,2.11,-4.58,2.11,-4.59,4.59,4.42,4.39,6.70,6.70,6.68
147.78,2.07,-4.57,2.08,-4.57,4.57,4.43,4.34,6.65,6.65,6.65
149.26,2.05,-4.58,2.05,-4.56,4.57,4.44,4.29,6.62,6.62,6.63
150.75,2.02,-4.54,2.01,-4.55,4.57,4.45,4.24,6.59,6.59,6.56
152.26,1.96,-4.54,1.96,-4.55,4.59,4.46,4.20,6.55,6.55,6.51
153.78,1.89,-4.57,1.89,-4.58,4.61,4.47,4.15,6.50,6.50,6.45
155.32,1.81,-4.63,1.82,-4.63,4.62,4.48,4.10,6.44,6.44,6.45
156.88,1.76,-4.69,1.77,-4.67,4.63,4.49,4.06,6.39,6.39,6.45
158.44,1.73,-4.70,1.73,-4.68,4.62,4.50,4.02,6.35,6.35,6.43
160.03,1.71,-4.64,1.71,-4.66,4.61,4.51,3.98,6.32,6.32,6.35
161.63,1.69,-4.61,1.68,-4.60,4.59,4.52,3.94,6.27,6.27,6.29
163.24,1.65,-4.57,1.65,-4.54,4.56,4.53,3.90,6.21,6.21,6.22
164.88,1.60,-4.46,1.59,-4.50,4.53,4.54,3.87,6.13,6.13,6.06
166.53,1.53,-4.47,1.53,-4.47,4.51,4.55,3.84,6.03,6.04,6.00
168.19,1.45,-4.48,1.46,-4.46,4.49,4.56,3.81,5.95,5.95,5.94
169.87,1.38,-4.47,1.38,-4.47,4.49,4.58,3.78,5.87,5.87,5.85
171.57,1.31,-4.46,1.31,-4.49,4.50,4.59,3.76,5.81,5.81,5.77
173.29,1.23,-4.51,1.23,-4.52,4.52,4.60,3.74,5.76,5.76,5.75
175.02,1.16,-4.59,1.16,-4.55,4.55,4.61,3.73,5.71,5.71,5.75
176.77,1.09,-4.57,1.09,-4.58,4.56,4.62,3.71,5.65,5.65,5.66
178.54,1.02,-4.58,1.02,-4.59,4.57,4.62,3.70,5.59,5.59,5.60
180.32,0.95,-4.59,0.95,-4.59,4.57,4.63,3.69,5.51,5.51,5.54
182.13,0.88,-4.59,0.88,-4.57,4.55,4.64,3.69,5.43,5.43,5.48
183.95,0.83,-4.52,0.83,-4.52,4.51,4.64,3.68,5.34,5.34,5.35
