frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.00,-7.19,5.00,-7.19,6.00,5.95,2.81,11.00,11.00,12.19
20.20,5.05,-7.15,5.05,-7.15,6.00,5.96,2.89,11.05,11.05,12.19
20.40,5.09,-7.11,5.09,-7.12,6.00,5.96,2.97,11.09,11.09,12.19
20.61,5.13,-7.07,5.12,-7.10,6.00,5.97,3.05,11.13,11.12,12.20
20.81,5.16,-7.11,5.16,-7.09,6.00,5.97,3.14,11.16,11.16,12.27
21.02,5.18,-7.11,5.19,-7.10,6.00,5.97,3.23,11.18,11.19,12.29
21.23,5.21,-7.09,5.21,-7.09,6.00,5.98,3.32,11.21,11.21,12.29
21.44,5.22,-7.07,5.22,-7.07,6.00,5.98,3.41,11.22,11.22,12.29
21.66,5.23,-7.06,5.23,-7.06,6.00,5.98,3.51,11.23,11.23,12.29
21.87,5.24,-7.05,5.24,-7.05,6.00,5.99,3.61,11.24,11.24,12.29
22.09,5.25,-7.04,5.25,-7.04,6.00,5.99,3.71,11.25,11.25,12.29
22.31,5.26,-7.04,5.26,-7.04,6.00,5.99,3.82,11.26,11.26,12.29
22.54,5.26,-7.03,5.26,-7.03,6.00,6.00,3.92,11.26,11.26,12.29
22.76,5.26,-7.03,5.26,-7.02,6.00,6.00,4.03,11.26,11.26,12.29
22.99,5.27,-7.03,5.27,-7.03,6.00,6.00,4.15,11.27,11.27,12.29
23.22,5.27,-7.03,5.27,-7.06,6.00,6.00,4.26,11.27,11.27,12.30
23.45,5.27,-7.11,5.27,-7.09,6.00,6.01,4.38,11.27,11.27,12.38
23.69,5.26,-7.13,5.26,-7.11,6.00,6.01,4.50,11.26,11.26,12.39
23.92,5.26,-7.13,5.26,-7.14,6.00,6.01,4.62,11.26,11.26,12.39
24.16,5.27,-7.13,5.27,-7.15,6.00,6.01,4.75,11.27,11.27,12.39
24.40,5.27,-7.19,5.27,-7.18,6.00,6.01,4.88,11.27,11.27,12.46
24.65,5.27,-7.22,5.27,-7.21,6.00,6.01,5.01,11.27,11.27,12.49
24.89,5.28,-7.22,5.28,-7.24,6.00,6.02,5.14,11.28,11.28,12.49
25.14,5.28,-7.27,5.28,-7.27,6.00,6.02,5.27,11.28,11.28,12.56
25.39,5.28,-7.31,5.28,-7.30,6.00,6.02,5.41,11.28,11.28,12.59
25.65,5.28,-7.31,5.28,-7.32,6.00,6.02,5.54,11.28,11.28,12.59
25.91,5.28,-7.31,5.28,-7.32,6.00,6.02,5.68,11.28,11.28,12.59
26.16,5.28,-7.32,5.28,-7.32,6.00,6.02,5.82,11.28,11.28,12.59
26.43,5.27,-7.32,5.27,-7.33,6.00,6.02,5.95,11.27,11.27,12.59
26.69,5.27,-7.32,5.27,-7.31,6.00,6.02,6.09,11.27,11.27,12.59
26.96,5.27,-7.28,5.27,-7.27,6.00,6.03,6.22,11.27,11.27,12.56
27.23,5.27,-7.21,5.27,-7.21,6.00,6.03,6.35,11.27,11.27,12.49
27.50,5.28,-7.12,5.28,-7.13,6.00,6.03,6.48,11.28,11.28,12.39
