frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.06,-5.22,7.06,-5.21,5.20,5.05,2.04,12.25,12.25,12.27
20.20,7.09,-5.19,7.09,-5.18,5.19,5.15,2.10,12.28,12.28,12.27
20.40,7.12,-5.16,7.12,-5.16,5.18,5.25,2.16,12.30,12.30,12.27
20.61,7.15,-5.13,7.15,-5.15,5.17,5.32,2.23,12.32,12.32,12.28
20.81,7.18,-5.17,7.18,-5.15,5.15,5.39,2.29,12.33,12.33,12.34
21.02,7.21,-5.16,7.21,-5.15,5.14,5.41,2.36,12.35,12.35,12.37
21.23,7.24,-5.14,7.24,-5.14,5.12,5.42,2.43,12.36,12.36,12.37
21.44,7.27,-5.11,7.27,-5.11,5.10,5.39,2.50,12.37,12.37,12.37
21.66,7.29,-5.08,7.29,-5.08,5.08,5.35,2.57,12.37,12.37,12.37
21.87,7.32,-5.05,7.32,-5.05,5.05,5.28,2.65,12.37,12.37,12.37
22.09,7.35,-5.03,7.35,-5.03,5.03,5.21,2.72,12.37,12.37,12.37
22.31,7.37,-5.00,7.37,-5.00,5.00,5.14,2.80,12.37,12.37,12.37
22.54,7.40,-4.98,7.40,-4.98,4.98,5.06,2.88,12.37,12.38,12.37
22.76,7.42,-4.95,7.42,-4.95,4.96,5.00,2.97,12.38,12.38,12.37
22.99,7.44,-4.93,7.44,-4.93,4.95,4.94,3.05,12.39,12.39,12.37
23.22,7.47,-4.91,7.47,-4.94,4.94,4.89,3.14,12.41,12.41,12.38
23.45,7.49,-4.97,7.49,-4.95,4.94,4.84,3.23,12.43,12.43,12.46
23.69,7.51,-4.96,7.51,-4.94,4.94,4.80,3.32,12.45,12.45,12.47
23.92,7.54,-4.94,7.54,-4.94,4.94,4.76,3.41,12.48,12.48,12.47
24.16,7.56,-4.92,7.56,-4.94,4.95,4.73,3.50,12.51,12.51,12.47
24.40,7.58,-4.96,7.58,-4.95,4.96,4.70,3.60,12.54,12.54,12.54
24.65,7.60,-4.98,7.60,-4.96,4.97,4.68,3.70,12.57,12.57,12.57
24.89,7.62,-4.95,7.62,-4.98,4.98,4.65,3.79,12.60,12.60,12.57
25.14,7.64,-5.00,7.64,-4.99,4.99,4.63,3.89,12.63,12.63,12.63
25.39,7.66,-5.01,7.66,-5.00,4.99,4.61,3.99,12.65,12.65,12.67
25.65,7.68,-4.99,7.68,-5.00,4.99,4.60,4.09,12.67,12.67,12.67
25.91,7.70,-4.97,7.70,-4.98,4.98,4.58,4.19,12.68,12.68,12.67
26.16,7.72,-4.95,7.72,-4.96,4.96,4.57,4.29,12.68,12.68,12.67
26.43,7.74,-4.93,7.74,-4.94,4.93,4.55,4.39,12.67,12.67,12.67
26.69,7.76,-4.91,7.76,-4.91,4.88,4.54,4.49,12.64,12.64,12.67
26.96,7.78,-4.85,7.78,-4.84,4.82,4.52,4.59,12.60,12.60,12.63
27.23,7.80,-4.76,7.80,-4.76,4.75,4.51,4.68,12.55,12.55,12.56
27.50,7.82,-4.65,7.82,-4.67,4.67,4.50,4.78,12.49,12.49,12.47
27.77,7.84,-4.58,7.84,-4.58,4.60,4.49,4.87,12.44,12.44,12.42
28.05,7.85,-4.51,7.85,-4.50,4.52,4.47,4.95,12.38,12.38,12.36
28.33,7.87,-4.42,7.87,-4.44,4.45,4.46,5.03,12.32,12.32,12.29
