frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.68,1.67,9.68,1.66,-1.70,-1.58,-1.10,7.98,7.98,8.01
20.20,9.70,1.70,9.70,1.71,-1.71,-1.61,-1.13,7.98,7.98,8.00
20.40,9.72,1.74,9.72,1.74,-1.73,-1.65,-1.16,7.99,7.99,7.98
20.61,9.74,1.77,9.74,1.77,-1.75,-1.68,-1.20,8.00,8.00,7.97
20.81,9.77,1.79,9.77,1.79,-1.76,-1.71,-1.23,8.00,8.00,7.97
21.02,9.79,1.81,9.79,1.81,-1.78,-1.75,-1.27,8.01,8.01,7.98
21.23,9.81,1.81,9.81,1.81,-1.80,-1.78,-1.30,8.01,8.01,8.00
21.44,9.84,1.81,9.83,1.81,-1.82,-1.81,-1.34,8.02,8.02,8.02
21.66,9.86,1.82,9.86,1.82,-1.83,-1.85,-1.38,8.03,8.03,8.04
21.87,9.88,1.83,9.88,1.83,-1.85,-1.88,-1.42,8.03,8.03,8.05
22.09,9.90,1.85,9.90,1.85,-1.87,-1.91,-1.46,8.03,8.03,8.05
22.31,9.92,1.88,9.92,1.88,-1.90,-1.94,-1.50,8.02,8.02,8.03
22.54,9.94,1.92,9.94,1.92,-1.93,-1.98,-1.54,8.01,8.01,8.01
22.76,9.96,1.97,9.96,1.97,-1.96,-2.01,-1.59,8.00,8.00,7.99
22.99,9.98,2.01,9.98,2.01,-2.00,-2.04,-1.63,7.98,7.98,7.97
23.22,10.00,2.04,10.00,2.04,-2.03,-2.07,-1.68,7.96,7.96,7.95
23.45,10.01,2.07,10.01,2.07,-2.07,-2.10,-1.73,7.95,7.95,7.94
23.69,10.03,2.10,10.03,2.10,-2.09,-2.12,-1.77,7.94,7.94,7.93
23.92,10.05,2.12,10.05,2.12,-2.12,-2.15,-1.82,7.93,7.93,7.93
24.16,10.07,2.14,10.07,2.14,-2.14,-2.18,-1.87,7.93,7.93,7.93
24.40,10.08,2.16,10.08,2.16,-2.16,-2.20,-1.92,7.93,7.93,7.93
24.65,10.10,2.17,10.10,2.17,-2.17,-2.23,-1.98,7.93,7.93,7.93
24.89,10.11,2.19,10.11,2.19,-2.19,-2.25,-2.03,7.93,7.93,7.93
25.14,10.13,2.21,10.13,2.21,-2.21,-2.27,-2.08,7.92,7.92,7.92
25.39,10.14,2.22,10.14,2.22,-2.23,-2.30,-2.13,7.91,7.91,7.92
25.65,10.16,2.25,10.16,2.25,-2.26,-2.32,-2.19,7.90,7.90,7.91
25.91,10.17,2.28,10.17,2.28,-2.29,-2.34,-2.24,7.89,7.89,7.90
26.16,10.19,2.31,10.19,2.31,-2.32,-2.36,-2.29,7.87,7.87,7.88
26.43,10.20,2.35,10.20,2.35,-2.35,-2.37,-2.35,7.85,7.84,7.85
26.69,10.21,2.39,10.21,2.39,-2.38,-2.39,-2.40,7.82,7.82,7.82
26.96,10.22,2.43,10.22,2.43,-2.41,-2.41,-2.45,7.80,7.80,7.79
27.23,10.23,2.46,10.23,2.45,-2.44,-2.43,-2.50,7.79,7.79,7.77
