frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.43,1.47,7.43,1.47,-1.51,-1.48,-0.69,5.92,5.92,5.96
20.20,7.43,1.49,7.43,1.49,-1.50,-1.49,-0.72,5.93,5.93,5.94
20.40,7.44,1.51,7.44,1.51,-1.50,-1.50,-0.74,5.94,5.94,5.93
20.61,7.44,1.52,7.44,1.52,-1.49,-1.51,-0.76,5.95,5.95,5.92
20.81,7.44,1.52,7.44,1.52,-1.49,-1.51,-0.78,5.95,5.95,5.92
21.02,7.45,1.52,7.45,1.52,-1.49,-1.52,-0.80,5.96,5.96,5.93
21.23,7.45,1.50,7.45,1.50,-1.49,-1.53,-0.83,5.96,5.96,5.95
21.44,7.45,1.48,7.45,1.48,-1.49,-1.54,-0.85,5.96,5.96,5.97
21.66,7.46,1.47,7.46,1.47,-1.48,-1.54,-0.88,5.97,5.97,5.99
21.87,7.46,1.46,7.46,1.46,-1.48,-1.55,-0.90,5.98,5.98,6.00
22.09,7.46,1.47,7.46,1.47,-1.48,-1.56,-0.93,5.98,5.98,5.99
22.31,7.46,1.48,7.46,1.48,-1.49,-1.57,-0.96,5.97,5.97,5.98
22.54,7.46,1.50,7.46,1.50,-1.50,-1.57,-0.98,5.96,5.96,5.96
22.76,7.46,1.53,7.46,1.52,-1.52,-1.58,-1.01,5.94,5.94,5.94
22.99,7.46,1.55,7.46,1.55,-1.54,-1.59,-1.04,5.93,5.93,5.92
23.22,7.46,1.56,7.46,1.56,-1.55,-1.60,-1.07,5.91,5.91,5.90
23.45,7.46,1.57,7.46,1.57,-1.57,-1.60,-1.10,5.90,5.90,5.89
23.69,7.46,1.58,7.46,1.58,-1.58,-1.61,-1.14,5.89,5.89,5.88
23.92,7.46,1.58,7.46,1.58,-1.58,-1.62,-1.17,5.88,5.88,5.88
24.16,7.45,1.58,7.45,1.58,-1.58,-1.62,-1.20,5.88,5.88,5.88
24.40,7.45,1.58,7.45,1.58,-1.58,-1.63,-1.23,5.88,5.88,5.87
24.65,7.45,1.57,7.45,1.57,-1.57,-1.63,-1.27,5.88,5.88,5.87
24.89,7.44,1.57,7.44,1.57,-1.57,-1.64,-1.30,5.87,5.87,5.87
25.14,7.43,1.56,7.43,1.56,-1.56,-1.64,-1.33,5.87,5.87,5.87
25.39,7.43,1.56,7.43,1.56,-1.56,-1.64,-1.37,5.86,5.86,5.87
25.65,7.42,1.56,7.42,1.56,-1.57,-1.64,-1.40,5.85,5.85,5.86
