frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.60,0.86,8.60,0.86,-0.90,-0.99,-0.90,7.70,7.70,7.74
20.20,8.63,0.91,8.63,0.91,-0.92,-1.01,-0.93,7.71,7.71,7.72
20.40,8.67,0.96,8.67,0.96,-0.95,-1.03,-0.95,7.72,7.72,7.71
20.61,8.70,1.00,8.70,1.00,-0.97,-1.05,-0.98,7.73,7.73,7.70
20.81,8.73,1.03,8.73,1.03,-0.99,-1.07,-1.01,7.73,7.73,7.70
21.02,8.75,1.05,8.76,1.05,-1.02,-1.09,-1.04,7.74,7.74,7.71
21.23,8.78,1.05,8.78,1.05,-1.04,-1.10,-1.07,7.74,7.74,7.73
21.44,8.80,1.06,8.80,1.06,-1.06,-1.12,-1.10,7.74,7.74,7.75
21.66,8.83,1.06,8.83,1.06,-1.07,-1.14,-1.13,7.75,7.75,7.77
21.87,8.85,1.07,8.85,1.07,-1.09,-1.16,-1.16,7.76,7.76,7.78
22.09,8.86,1.09,8.86,1.09,-1.11,-1.18,-1.20,7.76,7.76,7.77
22.31,8.88,1.12,8.88,1.12,-1.13,-1.21,-1.23,7.75,7.75,7.76
22.54,8.90,1.16,8.90,1.16,-1.16,-1.23,-1.26,7.74,7.74,7.74
22.76,8.91,1.20,8.91,1.19,-1.19,-1.25,-1.30,7.72,7.72,7.72
22.99,8.93,1.23,8.93,1.23,-1.22,-1.27,-1.34,7.71,7.71,7.70
23.22,8.94,1.27,8.94,1.26,-1.25,-1.29,-1.38,7.69,7.69,7.68
23.45,8.96,1.29,8.96,1.29,-1.28,-1.31,-1.41,7.68,7.68,7.67
23.69,8.97,1.31,8.97,1.31,-1.31,-1.34,-1.45,7.67,7.67,7.66
23.92,8.99,1.33,8.99,1.34,-1.33,-1.36,-1.49,7.66,7.66,7.66
24.16,9.01,1.35,9.01,1.35,-1.36,-1.38,-1.53,7.65,7.65,7.65
24.40,9.03,1.38,9.03,1.38,-1.38,-1.41,-1.58,7.65,7.65,7.65
24.65,9.05,1.40,9.05,1.40,-1.40,-1.43,-1.62,7.65,7.65,7.65
24.89,9.08,1.43,9.08,1.43,-1.43,-1.46,-1.66,7.65,7.65,7.65
25.14,9.11,1.46,9.11,1.46,-1.46,-1.48,-1.70,7.64,7.64,7.65
25.39,9.14,1.49,9.14,1.49,-1.50,-1.51,-1.75,7.64,7.64,7.65
25.65,9.18,1.54,9.18,1.54,-1.55,-1.53,-1.79,7.63,7.63,7.64
