frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.85,4.14,10.85,4.14,-4.18,-4.01,-1.95,6.68,6.68,6.71
20.20,10.86,4.16,10.86,4.16,-4.17,-4.02,-2.01,6.69,6.69,6.70
20.40,10.86,4.18,10.86,4.18,-4.17,-4.04,-2.06,6.70,6.70,6.69
20.61,10.87,4.19,10.87,4.19,-4.16,-4.05,-2.12,6.70,6.70,6.67
20.81,10.87,4.19,10.87,4.19,-4.16,-4.07,-2.18,6.71,6.71,6.67
21.02,10.87,4.19,10.87,4.19,-4.16,-4.08,-2.25,6.71,6.71,6.69
21.23,10.87,4.17,10.87,4.17,-4.16,-4.09,-2.31,6.72,6.72,6.70
21.44,10.88,4.15,10.88,4.15,-4.16,-4.10,-2.38,6.72,6.72,6.72
21.66,10.88,4.14,10.88,4.14,-4.15,-4.12,-2.45,6.73,6.73,6.74
21.87,10.88,4.12,10.88,4.13,-4.14,-4.13,-2.52,6.73,6.73,6.75
22.09,10.88,4.13,10.88,4.13,-4.14,-4.14,-2.59,6.73,6.73,6.75
22.31,10.88,4.14,10.88,4.14,-4.15,-4.15,-2.67,6.73,6.73,6.74
22.54,10.88,4.16,10.88,4.16,-4.16,-4.16,-2.74,6.72,6.72,6.72
22.76,10.88,4.18,10.88,4.18,-4.18,-4.18,-2.82,6.70,6.70,6.70
22.99,10.87,4.20,10.87,4.20,-4.19,-4.19,-2.90,6.68,6.68,6.67
23.22,10.87,4.22,10.87,4.22,-4.21,-4.20,-2.99,6.67,6.67,6.66
23.45,10.87,4.23,10.87,4.22,-4.22,-4.21,-3.07,6.65,6.65,6.64
23.69,10.87,4.23,10.87,4.23,-4.22,-4.22,-3.16,6.64,6.64,6.64
23.92,10.86,4.23,10.86,4.23,-4.23,-4.23,-3.25,6.63,6.63,6.63
24.16,10.86,4.23,10.86,4.23,-4.23,-4.24,-3.33,6.63,6.63,6.63
24.40,10.85,4.22,10.85,4.22,-4.22,-4.25,-3.43,6.63,6.63,6.63
24.65,10.85,4.22,10.85,4.22,-4.22,-4.25,-3.52,6.63,6.63,6.63
24.89,10.84,4.21,10.84,4.21,-4.21,-4.26,-3.61,6.63,6.63,6.63
25.14,10.84,4.21,10.84,4.21,-4.21,-4.27,-3.70,6.63,6.63,6.63
25.39,10.83,4.21,10.83,4.21,-4.21,-4.28,-3.80,6.62,6.62,6.62
25.65,10.83,4.21,10.83,4.21,-4.22,-4.29,-3.89,6.61,6.61,6.61
25.91,10.82,4.22,10.82,4.22,-4.23,-4.30,-3.99,6.59,6.59,6.60
26.16,10.81,4.23,10.81,4.24,-4.24,-4.30,-4.08,6.57,6.57,6.58
26.43,10.81,4.26,10.81,4.26,-4.26,-4.31,-4.18,6.55,6.55,6.55
26.69,10.80,4.28,10.80,4.28,-4.27,-4.32,-4.27,6.53,6.53,6.52
26.96,10.79,4.30,10.79,4.30,-4.29,-4.32,-4.37,6.51,6.51,6.49
27.23,10.79,4.31,10.79,4.31,-4.30,-4.33,-4.46,6.49,6.49,6.47
27.50,10.78,4.32,10.78,4.32,-4.30,-4.34,-4.55,6.48,6.48,6.46
27.77,10.77,4.31,10.77,4.31,-4.31,-4.34,-4.63,6.46,6.46,6.46
28.05,10.77,4.31,10.76,4.31,-4.31,-4.35,-4.71,6.45,6.45,6.46
28.33,10.76,4.30,10.76,4.30,-4.31,-4.35,-4.79,6.45,6.45,6.46
28.62,10.75,4.30,10.75,4.30,-4.31,-4.36,-4.87,6.44,6.44,6.45
28.90,10.74,4.31,10.74,4.31,-4.32,-4.36,-4.94,6.43,6.43,6.44
29.19,10.73,4.32,10.73,4.32,-4.32,-4.37,-5.00,6.41,6.41,6.42
29.48,10.73,4.33,10.73,4.33,-4.33,-4.37,-5.06,6.40,6.40,6.40
29.78,10.72,4.34,10.72,4.34,-4.34,-4.37,-5.12,6.38,6.38,6.37
30.08,10.71,4.35,10.71,4.35,-4.34,-4.38,-5.16,6.37,6.37,6.36
30.38,10.70,4.36,10.70,4.36,-4.35,-4.38,-5.21,6.35,6.35,6.34
30.68,10.69,4.36,10.69,4.36,-4.35,-4.39,-5.24,6.34,6.34,6.33
30.99,10.68,4.35,10.68,4.35,-4.35,-4.39,-5.27,6.33,6.33,6.33
31.30,10.67,4.35,10.67,4.35,-4.36,-4.39,-5.29,6.31,6.31,6.32
31.61,10.66,4.35,10.66,4.35,-4.36,-4.39,-5.30,6.30,6.30,6.31
31.93,10.65,4.35,10.65,4.35,-4.36,-4.40,-5.30,6.28,6.28,6.29
32.24,10.63,4.36,10.63,4.36,-4.37,-4.40,-5.30,6.27,6.27,6.27
32.57,10.62,4.37,10.62,4.37,-4.37,-4.40,-5.30,6.25,6.25,6.25
32.89,10.61,4.38,10.61,4.38,-4.38,-4.40,-5.28,6.23,6.23,6.23
33.22,10.60,4.39,10.60,4.39,-4.38,-4.40,-5.26,6.21,6.21,6.21
33.55,10.58,4.39,10.58,4.39,-4.39,-4.40,-5.24,6.20,6.20,6.19
33.89,10.57,4.39,10.57,4.39,-4.39,-4.41,-5.21,6.18,6.18,6.17
34.23,10.55,4.39,10.55,4.39,-4.40,-4.41,-5.17,6.16,6.16,6.16
34.57,10.54,4.39,10.54,4.39,-4.40,-4.41,-5.13,6.14,6.14,6.15
34.92,10.52,4.39,10.52,4.39,-4.40,-4.41,-5.09,6.12,6.12,6.13
35.27,10.51,4.40,10.51,4.40,-4.40,-4.41,-5.04,6.11,6.11,6.11
35.62,10.49,4.40,10.49,4.40,-4.39,-4.41,-4.99,6.09,6.09,6.09
35.97,10.47,4.40,10.47,4.40,-4.39,-4.41,-4.94,6.08,6.08,6.07
36.33,10.45,4.40,10.45,4.40,-4.39,-4.41,-4.89,6.06,6.06,6.06
36.70,10.44,4.39,10.44,4.39,-4.39,-4.41,-4.84,6.04,6.04,6.04
37.06,10.42,4.38,10.42,4.39,-4.39,-4.41,-4.78,6.02,6.02,6.03
37.43,10.40,4.38,10.40,4.38,-4.39,-4.41,-4.73,6.00,6.00,6.01
37.81,10.38,4.39,10.38,4.39,-4.40,-4.40,-4.67,5.98,5.98,5.99
38.19,10.36,4.40,10.36,4.40,-4.40,-4.40,-4.62,5.96,5.96,5.96
38.57,10.34,4.41,10.34,4.41,-4.40,-4.40,-4.57,5.93,5.93,5.93
38.95,10.32,4.41,10.32,4.41,-4.41,-4.40,-4.52,5.91,5.91,5.90
39.34,10.29,4.42,10.29,4.42,-4.41,-4.40,-4.47,5.89,5.89,5.88
39.74,10.27,4.42,10.27,4.41,-4.41,-4.40,-4.42,5.86,5.86,5.86
40.14,10.25,4.41,10.25,4.41,-4.41,-4.39,-4.38,5.84,5.84,5.84
40.54,10.23,4.40,10.23,4.40,-4.40,-4.39,-4.33,5.82,5.82,5.83
40.94,10.20,4.39,10.20,4.39,-4.40,-4.39,-4.29,5.81,5.81,5.81
41.35,10.18,4.39,10.18,4.39,-4.39,-4.39,-4.25,5.79,5.79,5.79
41.76,10.16,4.38,10.16,4.38,-4.39,-4.39,-4.22,5.77,5.77,5.77
42.18,10.13,4.38,10.13,4.38,-4.38,-4.38,-4.19,5.75,5.75,5.75
42.60,10.11,4.38,10.11,4.38,-4.38,-4.38,-4.16,5.73,5.73,5.72
43.03,10.08,4.38,10.08,4.38,-4.38,-4.38,-4.13,5.70,5.70,5.70
43.46,10.06,4.38,10.06,4.38,-4.38,-4.37,-4.11,5.68,5.68,5.68
43.90,10.03,4.38,10.03,4.38,-4.38,-4.37,-4.09,5.66,5.66,5.65
44.33,10.01,4.38,10.01,4.38,-4.38,-4.37,-4.07,5.63,5.63,5.63
44.78,9.98,4.37,9.98,4.37,-4.38,-4.36,-4.05,5.61,5.61,5.61
45.23,9.95,4.37,9.95,4.37,-4.37,-4.36,-4.04,5.58,5.58,5.58
45.68,9.93,4.37,9.93,4.37,-4.37,-4.36,-4.04,5.55,5.55,5.56
46.13,9.90,4.37,9.90,4.37,-4.37,-4.35,-4.03,5.53,5.53,5.53
46.60,9.87,4.37,9.87,4.37,-4.37,-4.35,-4.03,5.50,5.50,5.50
47.06,9.84,4.37,9.84,4.37,-4.37,-4.35,-4.03,5.47,5.47,5.47
47.53,9.82,4.37,9.82,4.37,-4.37,-4.34,-4.03,5.45,5.45,5.44
48.01,9.79,4.37,9.79,4.37,-4.37,-4.34,-4.04,5.42,5.42,5.42
48.49,9.76,4.37,9.76,4.37,-4.37,-4.33,-4.05,5.39,5.39,5.39
48.97,9.73,4.36,9.73,4.36,-4.36,-4.33,-4.06,5.36,5.36,5.37
49.46,9.70,4.36,9.70,4.36,-4.36,-4.32,-4.07,5.34,5.34,5.34
49.96,9.67,4.36,9.67,4.36,-4.36,-4.32,-4.09,5.31,5.31,5.31
50.46,9.64,4.35,9.64,4.35,-4.35,-4.32,-4.11,5.29,5.29,5.28
50.96,9.61,4.35,9.61,4.35,-4.34,-4.31,-4.13,5.26,5.26,5.26
51.47,9.58,4.34,9.58,4.34,-4.34,-4.31,-4.15,5.24,5.24,5.24
51.99,9.54,4.33,9.54,4.33,-4.33,-4.30,-4.17,5.21,5.21,5.21
52.51,9.51,4.32,9.51,4.32,-4.32,-4.30,-4.20,5.19,5.19,5.19
53.03,9.48,4.32,9.48,4.32,-4.32,-4.29,-4.22,5.16,5.16,5.16
53.56,9.45,4.31,9.45,4.31,-4.31,-4.29,-4.25,5.13,5.13,5.13
54.10,9.41,4.31,9.41,4.31,-4.31,-4.28,-4.28,5.11,5.11,5.11
54.64,9.38,4.30,9.38,4.30,-4.30,-4.28,-4.30,5.08,5.08,5.08
55.18,9.35,4.30,9.35,4.30,-4.30,-4.27,-4.33,5.05,5.05,5.05
55.74,9.31,4.30,9.31,4.30,-4.30,-4.27,-4.35,5.02,5.02,5.02
56.29,9.28,4.29,9.28,4.29,-4.29,-4.26,-4.38,4.99,4.99,4.99
56.86,9.25,4.29,9.25,4.29,-4.29,-4.26,-4.40,4.96,4.96,4.96
57.42,9.21,4.28,9.21,4.28,-4.28,-4.25,-4.42,4.93,4.93,4.93
58.00,9.18,4.28,9.18,4.28,-4.28,-4.25,-4.44,4.89,4.89,4.90
58.58,9.14,4.28,9.14,4.28,-4.29,-4.24,-4.45,4.85,4.85,4.86
59.16,9.10,4.28,9.10,4.28,-4.29,-4.24,-4.47,4.82,4.82,4.82
59.76,9.07,4.28,9.07,4.28,-4.29,-4.23,-4.48,4.78,4.78,4.78
60.35,9.03,4.29,9.03,4.29,-4.29,-4.23,-4.48,4.74,4.74,4.74
60.96,8.99,4.30,8.99,4.30,-4.29,-4.22,-4.49,4.70,4.70,4.70
61.57,8.96,4.30,8.96,4.30,-4.28,-4.21,-4.49,4.67,4.67,4.65
62.18,8.92,4.29,8.92,4.29,-4.28,-4.21,-4.48,4.64,4.64,4.62
62.80,8.88,4.27,8.88,4.27,-4.27,-4.20,-4.48,4.61,4.61,4.61
