frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.82,-12.82,4.82,-12.82,6.00,5.91,2.69,10.82,10.82,17.64
20.20,4.85,-12.78,4.85,-12.78,6.00,5.93,2.77,10.85,10.85,17.63
20.40,4.88,-12.74,4.88,-12.74,6.00,5.95,2.85,10.88,10.88,17.63
20.61,4.92,-12.69,4.93,-12.69,6.00,5.96,2.93,10.92,10.93,17.62
20.81,4.97,-12.63,4.97,-12.63,6.00,5.98,3.01,10.97,10.97,17.60
21.02,5.03,-12.56,5.03,-12.56,6.00,5.99,3.10,11.03,11.03,17.59
21.23,5.08,-12.48,5.08,-12.48,6.00,6.00,3.18,11.08,11.08,17.57
21.44,5.14,-12.41,5.14,-12.41,6.00,6.01,3.28,11.14,11.14,17.55
21.66,5.19,-12.34,5.19,-12.34,6.00,6.02,3.37,11.19,11.19,17.53
21.87,5.24,-12.27,5.24,-12.27,6.00,6.02,3.46,11.24,11.24,17.51
22.09,5.28,-12.21,5.28,-12.21,6.00,6.03,3.56,11.28,11.28,17.49
22.31,5.31,-12.16,5.31,-12.16,6.00,6.03,3.66,11.31,11.31,17.47
22.54,5.32,-12.12,5.32,-12.12,6.00,6.03,3.77,11.32,11.32,17.44
22.76,5.33,-12.09,5.33,-12.09,6.00,6.03,3.87,11.33,11.33,17.42
22.99,5.32,-12.07,5.32,-12.07,6.00,6.03,3.98,11.32,11.32,17.40
23.22,5.31,-12.07,5.31,-12.06,6.00,6.03,4.10,11.31,11.31,17.38
23.45,5.30,-12.06,5.30,-12.05,6.00,6.03,4.21,11.30,11.30,17.36
23.69,5.30,-12.04,5.30,-12.04,6.00,6.03,4.33,11.30,11.30,17.34
23.92,5.30,-12.02,5.30,-12.02,6.00,6.02,4.44,11.30,11.30,17.31
24.16,5.31,-11.99,5.31,-11.98,6.00,6.02,4.57,11.31,11.31,17.29
24.40,5.33,-11.94,5.33,-11.94,6.00,6.01,4.69,11.33,11.33,17.27
24.65,5.36,-11.89,5.36,-11.88,6.00,6.01,4.81,11.36,11.36,17.24
24.89,5.40,-11.81,5.41,-11.81,6.00,6.00,4.94,11.40,11.41,17.22
25.14,5.46,-11.73,5.46,-11.73,6.00,5.99,5.07,11.46,11.46,17.19
25.39,5.52,-11.65,5.52,-11.65,6.00,5.99,5.20,11.52,11.52,17.17
25.65,5.57,-11.57,5.57,-11.57,6.00,5.98,5.33,11.57,11.57,17.14
25.91,5.63,-11.49,5.63,-11.49,6.00,5.98,5.46,11.63,11.63,17.12
26.16,5.67,-11.42,5.67,-11.42,6.00,5.97,5.59,11.67,11.67,17.09
