frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.62,-7.89,9.62,-7.88,6.00,6.01,2.67,15.62,15.62,17.51
20.20,9.65,-7.85,9.65,-7.85,6.00,6.04,2.74,15.65,15.65,17.50
20.40,9.68,-7.81,9.68,-7.82,6.00,6.07,2.82,15.68,15.68,17.50
20.61,9.71,-7.78,9.71,-7.78,6.00,6.07,2.90,15.71,15.71,17.49
20.81,9.74,-7.74,9.74,-7.74,6.00,6.06,2.98,15.74,15.74,17.47
21.02,9.77,-7.69,9.77,-7.69,6.00,6.04,3.07,15.77,15.77,17.46
21.23,9.80,-7.64,9.80,-7.64,6.00,6.03,3.16,15.80,15.80,17.44
21.44,9.83,-7.59,9.83,-7.59,6.00,6.01,3.25,15.83,15.83,17.42
21.66,9.86,-7.54,9.86,-7.54,6.00,5.99,3.34,15.86,15.86,17.40
21.87,9.89,-7.49,9.89,-7.49,6.00,5.98,3.44,15.89,15.89,17.38
22.09,9.92,-7.44,9.92,-7.44,6.00,5.97,3.54,15.92,15.92,17.36
22.31,9.95,-7.39,9.95,-7.39,6.00,5.97,3.64,15.95,15.95,17.33
22.54,9.98,-7.34,9.98,-7.34,6.00,5.97,3.74,15.98,15.98,17.31
22.76,10.00,-7.29,10.00,-7.29,6.00,5.97,3.85,16.00,16.00,17.29
22.99,10.03,-7.24,10.03,-7.24,6.00,5.97,3.96,16.03,16.03,17.27
23.22,10.05,-7.19,10.05,-7.19,6.00,5.98,4.07,16.05,16.05,17.25
23.45,10.08,-7.15,10.08,-7.15,6.00,5.98,4.19,16.08,16.08,17.23
23.69,10.10,-7.11,10.10,-7.11,6.00,5.99,4.30,16.10,16.10,17.21
23.92,10.12,-7.06,10.12,-7.06,6.00,6.00,4.42,16.12,16.12,17.18
24.16,10.14,-7.02,10.14,-7.02,6.00,6.01,4.54,16.14,16.14,17.16
24.40,10.17,-6.97,10.17,-6.97,6.00,6.01,4.67,16.17,16.17,17.14
24.65,10.19,-6.92,10.19,-6.92,6.00,6.02,4.79,16.19,16.19,17.11
24.89,10.21,-6.88,10.21,-6.88,6.00,6.03,4.92,16.21,16.21,17.09
25.14,10.24,-6.83,10.24,-6.83,6.00,6.03,5.05,16.24,16.24,17.06
25.39,10.26,-6.78,10.26,-6.78,6.00,6.04,5.18,16.26,16.26,17.04
25.65,10.28,-6.73,10.28,-6.73,6.00,6.04,5.31,16.28,16.28,17.01
25.91,10.30,-6.68,10.30,-6.68,6.00,6.04,5.44,16.30,16.30,16.98
26.16,10.32,-6.64,10.32,-6.64,6.00,6.04,5.57,16.32,16.32,16.96
26.43,10.34,-6.60,10.34,-6.60,6.00,6.04,5.70,16.34,16.34,16.93
26.69,10.35,-6.56,10.35,-6.56,6.00,6.04,5.83,16.35,16.35,16.91
26.96,10.37,-6.52,10.37,-6.52,6.00,6.03,5.95,16.37,16.37,16.88
27.23,10.38,-6.48,10.38,-6.48,6.00,6.03,6.08,16.38,16.38,16.86
27.50,10.39,-6.44,10.39,-6.44,6.00,6.02,6.20,16.39,16.39,16.83
27.77,10.40,-6.40,10.40,-6.40,6.00,6.01,6.32,16.40,16.40,16.80
28.05,10.41,-6.36,10.41,-6.36,6.00,6.00,6.43,16.41,16.41,16.77
28.33,10.42,-6.32,10.42,-6.32,6.00,5.99,6.53,16.42,16.42,16.74
28.62,10.43,-6.28,10.43,-6.28,6.00,5.97,6.64,16.44,16.44,16.71
28.90,10.45,-6.23,10.45,-6.23,6.01,5.96,6.73,16.45,16.45,16.68
29.19,10.46,-6.19,10.46,-6.19,6.01,5.94,6.81,16.47,16.47,16.65
29.48,10.48,-6.14,10.48,-6.14,6.01,5.92,6.89,16.48,16.48,16.62
29.78,10.49,-6.10,10.49,-6.10,6.00,5.90,6.95,16.49,16.49,16.59
30.08,10.51,-6.05,10.51,-6.05,5.98,5.88,7.01,16.49,16.49,16.56
30.38,10.53,-6.00,10.53,-6.00,5.96,5.85,7.05,16.49,16.49,16.53
30.68,10.55,-5.95,10.55,-5.94,5.93,5.83,7.08,16.48,16.48,16.49
30.99,10.57,-5.89,10.57,-5.89,5.89,5.80,7.11,16.46,16.46,16.46
31.30,10.58,-5.84,10.58,-5.84,5.85,5.77,7.11,16.43,16.43,16.42
31.61,10.60,-5.79,10.60,-5.79,5.80,5.74,7.12,16.40,16.40,16.39
31.93,10.61,-5.74,10.60,-5.74,5.75,5.71,7.10,16.36,16.36,16.35
32.24,10.61,-5.70,10.61,-5.70,5.70,5.68,7.07,16.31,16.31,16.31
32.57,10.61,-5.65,10.61,-5.65,5.65,5.64,7.03,16.27,16.27,16.27
32.89,10.62,-5.61,10.62,-5.61,5.61,5.61,6.99,16.23,16.23,16.23
33.22,10.62,-5.57,10.62,-5.57,5.56,5.57,6.93,16.19,16.19,16.19
33.55,10.63,-5.52,10.63,-5.52,5.52,5.53,6.86,16.15,16.15,16.15
33.89,10.64,-5.47,10.64,-5.47,5.47,5.49,6.79,16.11,16.11,16.11
34.23,10.64,-5.42,10.64,-5.42,5.43,5.45,6.70,16.07,16.07,16.07
34.57,10.65,-5.38,10.65,-5.38,5.38,5.41,6.61,16.03,16.03,16.03
34.92,10.66,-5.33,10.66,-5.33,5.33,5.37,6.52,15.99,15.99,15.99
35.27,10.67,-5.28,10.67,-5.28,5.28,5.32,6.41,15.95,15.95,15.95
35.62,10.67,-5.23,10.67,-5.23,5.23,5.28,6.31,15.90,15.90,15.91
35.97,10.68,-5.18,10.68,-5.18,5.18,5.24,6.20,15.86,15.86,15.86
36.33,10.69,-5.13,10.69,-5.13,5.13,5.19,6.08,15.82,15.82,15.82
36.70,10.69,-5.08,10.69,-5.08,5.08,5.14,5.97,15.77,15.77,15.78
37.06,10.70,-5.03,10.70,-5.03,5.03,5.10,5.85,15.73,15.73,15.73
37.43,10.71,-4.98,10.71,-4.98,4.98,5.05,5.74,15.68,15.68,15.68
37.81,10.71,-4.92,10.71,-4.92,4.92,5.00,5.62,15.64,15.64,15.64
38.19,10.72,-4.87,10.72,-4.87,4.87,4.95,5.50,15.59,15.59,15.59
38.57,10.72,-4.82,10.72,-4.82,4.82,4.90,5.38,15.54,15.54,15.54
38.95,10.73,-4.77,10.73,-4.77,4.77,4.85,5.27,15.50,15.50,15.50
39.34,10.73,-4.72,10.73,-4.72,4.71,4.80,5.15,15.45,15.45,15.45
39.74,10.74,-4.66,10.74,-4.66,4.66,4.75,5.04,15.40,15.40,15.40
40.14,10.74,-4.61,10.74,-4.61,4.61,4.69,4.93,15.35,15.35,15.36
40.54,10.75,-4.56,10.75,-4.56,4.56,4.64,4.82,15.31,15.31,15.31
40.94,10.75,-4.50,10.75,-4.50,4.50,4.59,4.72,15.26,15.26,15.26
41.35,10.76,-4.45,10.76,-4.45,4.45,4.53,4.62,15.21,15.21,15.21
41.76,10.76,-4.40,10.76,-4.40,4.40,4.48,4.52,15.17,15.17,15.16
42.18,10.77,-4.35,10.77,-4.35,4.35,4.43,4.42,15.12,15.12,15.12
42.60,10.77,-4.30,10.77,-4.30,4.31,4.37,4.32,15.07,15.07,15.07
43.03,10.77,-4.26,10.77,-4.26,4.26,4.32,4.23,15.03,15.03,15.02
43.46,10.76,-4.21,10.76,-4.21,4.21,4.26,4.15,14.98,14.98,14.98
43.90,10.76,-4.17,10.76,-4.17,4.17,4.21,4.06,14.93,14.93,14.93
44.33,10.75,-4.13,10.75,-4.13,4.12,4.15,3.98,14.88,14.88,14.88
44.78,10.75,-4.08,10.75,-4.08,4.08,4.10,3.90,14.82,14.82,14.83
45.23,10.74,-4.03,10.75,-4.03,4.03,4.04,3.82,14.77,14.77,14.78
45.68,10.74,-3.98,10.74,-3.98,3.98,3.99,3.75,14.72,14.72,14.72
46.13,10.74,-3.93,10.74,-3.93,3.93,3.93,3.68,14.67,14.67,14.67
46.60,10.74,-3.88,10.74,-3.88,3.88,3.88,3.61,14.62,14.62,14.61
47.06,10.73,-3.83,10.73,-3.83,3.83,3.82,3.55,14.57,14.56,14.56
47.53,10.72,-3.78,10.72,-3.78,3.78,3.77,3.49,14.51,14.51,14.51
48.01,10.72,-3.74,10.72,-3.74,3.73,3.71,3.43,14.45,14.45,14.45
48.49,10.71,-3.69,10.71,-3.69,3.68,3.66,3.37,14.39,14.39,14.40
48.97,10.71,-3.63,10.71,-3.63,3.62,3.60,3.32,14.34,14.34,14.34
49.46,10.71,-3.57,10.71,-3.57,3.57,3.54,3.27,14.28,14.28,14.28
49.96,10.71,-3.51,10.71,-3.51,3.51,3.49,3.22,14.22,14.22,14.22
50.46,10.71,-3.45,10.71,-3.45,3.46,3.43,3.17,14.17,14.17,14.16
50.96,10.71,-3.39,10.71,-3.39,3.40,3.38,3.13,14.11,14.11,14.10
51.47,10.70,-3.34,10.70,-3.34,3.35,3.32,3.08,14.05,14.05,14.04
51.99,10.70,-3.29,10.69,-3.29,3.29,3.27,3.04,13.99,13.99,13.98
52.51,10.68,-3.24,10.68,-3.24,3.24,3.21,3.00,13.93,13.93,13.92
53.03,10.67,-3.20,10.67,-3.20,3.19,3.16,2.96,13.86,13.86,13.87
53.56,10.66,-3.16,10.66,-3.15,3.14,3.10,2.93,13.80,13.80,13.81
54.10,10.65,-3.10,10.65,-3.10,3.09,3.05,2.89,13.75,13.75,13.76
54.64,10.65,-3.05,10.65,-3.05,3.04,3.00,2.85,13.69,13.70,13.70
55.18,10.65,-2.99,10.65,-2.99,2.99,2.94,2.82,13.65,13.64,13.64
55.74,10.65,-2.93,10.65,-2.93,2.94,2.89,2.78,13.59,13.59,13.58
56.29,10.64,-2.88,10.64,-2.88,2.89,2.83,2.75,13.53,13.53,13.52
56.86,10.62,-2.84,10.62,-2.84,2.84,2.78,2.72,13.46,13.46,13.46
57.42,10.60,-2.79,10.60,-2.79,2.79,2.73,2.68,13.39,13.39,13.39
58.00,10.58,-2.75,10.58,-2.75,2.74,2.67,2.65,13.32,13.32,13.33
58.58,10.57,-2.70,10.57,-2.70,2.69,2.62,2.61,13.26,13.26,13.26
59.16,10.56,-2.64,10.56,-2.64,2.64,2.57,2.58,13.20,13.20,13.20
59.76,10.54,-2.59,10.54,-2.59,2.59,2.52,2.54,13.14,13.14,13.14
60.35,10.53,-2.54,10.53,-2.54,2.54,2.46,2.50,13.07,13.07,13.07
60.96,10.52,-2.48,10.52,-2.49,2.49,2.41,2.46,13.01,13.01,13.01
61.57,10.52,-2.43,10.52,-2.43,2.43,2.36,2.42,12.95,12.95,12.95
62.18,10.51,-2.38,10.51,-2.38,2.37,2.31,2.38,12.88,12.88,12.89
62.80,10.51,-2.32,10.51,-2.32,2.32,2.26,2.34,12.82,12.82,12.82
63.43,10.50,-2.26,10.50,-2.26,2.26,2.21,2.30,12.76,12.76,12.76
64.07,10.50,-2.20,10.50,-2.20,2.20,2.16,2.25,12.70,12.70,12.70
64.71,10.49,-2.14,10.49,-2.14,2.15,2.11,2.21,12.63,12.63,12.63
65.35,10.47,-2.08,10.47,-2.08,2.09,2.06,2.16,12.56,12.56,12.56
66.01,10.45,-2.03,10.45,-2.03,2.04,2.01,2.11,12.49,12.49,12.48
66.67,10.43,-1.98,10.43,-1.98,1.98,1.96,2.06,12.41,12.41,12.41
67.33,10.41,-1.93,10.41,-1.93,1.93,1.91,2.01,12.33,12.33,12.34
68.01,10.38,-1.88,10.38,-1.88,1.87,1.86,1.96,12.25,12.25,12.26
68.69,10.37,-1.82,10.37,-1.82,1.81,1.81,1.90,12.18,12.18,12.19
69.37,10.36,-1.76,10.36,-1.76,1.75,1.76,1.85,12.10,12.10,12.11
70.07,10.35,-1.69,10.35,-1.69,1.68,1.71,1.80,12.03,12.03,12.04
70.77,10.35,-1.62,10.35,-1.62,1.62,1.66,1.74,11.97,11.97,11.97
