frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.38,-13.50,2.38,-13.50,6.00,5.86,2.53,8.38,8.38,15.88
20.20,2.41,-13.47,2.41,-13.47,6.00,5.88,2.60,8.41,8.41,15.87
20.40,2.44,-13.43,2.44,-13.43,6.00,5.90,2.67,8.44,8.44,15.87
20.61,2.47,-13.39,2.47,-13.39,6.00,5.93,2.75,8.47,8.47,15.86
20.81,2.50,-13.34,2.50,-13.34,6.00,5.95,2.83,8.50,8.50,15.84
21.02,2.54,-13.28,2.54,-13.28,6.00,5.96,2.91,8.54,8.54,15.83
21.23,2.58,-13.23,2.58,-13.23,6.00,5.98,2.99,8.58,8.58,15.81
21.44,2.62,-13.17,2.62,-13.17,6.00,5.99,3.08,8.62,8.62,15.79
21.66,2.65,-13.12,2.65,-13.12,6.00,6.00,3.16,8.65,8.65,15.77
21.87,2.68,-13.07,2.68,-13.07,6.00,6.01,3.25,8.68,8.68,15.75
22.09,2.70,-13.03,2.70,-13.03,6.00,6.02,3.35,8.70,8.70,15.73
22.31,2.72,-12.99,2.72,-12.99,6.00,6.03,3.44,8.72,8.72,15.71
22.54,2.73,-12.95,2.73,-12.95,6.00,6.04,3.54,8.73,8.73,15.68
22.76,2.75,-12.91,2.75,-12.91,6.00,6.04,3.64,8.75,8.75,15.66
22.99,2.76,-12.88,2.76,-12.88,6.00,6.05,3.74,8.76,8.76,15.64
23.22,2.78,-12.84,2.78,-12.84,6.00,6.05,3.85,8.78,8.78,15.62
23.45,2.79,-12.80,2.79,-12.80,6.00,6.05,3.95,8.79,8.79,15.60
23.69,2.82,-12.76,2.82,-12.76,6.00,6.05,4.06,8.82,8.82,15.58
23.92,2.84,-12.71,2.84,-12.71,6.00,6.05,4.17,8.84,8.84,15.55
24.16,2.87,-12.66,2.87,-12.66,6.00,6.05,4.29,8.87,8.87,15.53
24.40,2.89,-12.61,2.89,-12.61,6.00,6.05,4.40,8.89,8.89,15.51
24.65,2.92,-12.56,2.92,-12.56,6.00,6.04,4.52,8.92,8.92,15.48
24.89,2.94,-12.52,2.94,-12.52,6.00,6.04,4.64,8.94,8.94,15.46
25.14,2.97,-12.47,2.97,-12.47,6.00,6.04,4.76,8.97,8.97,15.43
25.39,2.99,-12.42,2.99,-12.42,6.00,6.03,4.88,8.99,8.99,15.41
25.65,3.01,-12.37,3.01,-12.37,6.00,6.03,5.00,9.01,9.01,15.38
25.91,3.03,-12.33,3.03,-12.33,6.00,6.02,5.13,9.03,9.03,15.36
26.16,3.05,-12.28,3.05,-12.28,6.00,6.02,5.25,9.05,9.05,15.33
26.43,3.08,-12.23,3.08,-12.23,6.00,6.02,5.37,9.08,9.08,15.31
