frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.93,4.66,11.93,4.66,-4.65,-4.46,-2.03,7.27,7.27,7.27
20.20,11.94,4.66,11.94,4.66,-4.66,-4.55,-2.09,7.28,7.28,7.28
20.40,11.95,4.67,11.95,4.66,-4.66,-4.64,-2.15,7.29,7.28,7.28
20.61,11.95,4.66,11.95,4.66,-4.67,-4.70,-2.21,7.29,7.29,7.29
20.81,11.95,4.66,11.95,4.66,-4.67,-4.77,-2.27,7.28,7.28,7.29
21.02,11.95,4.66,11.95,4.66,-4.67,-4.79,-2.34,7.28,7.28,7.29
21.23,11.94,4.66,11.95,4.66,-4.67,-4.81,-2.40,7.28,7.28,7.28
21.44,11.95,4.66,11.95,4.66,-4.67,-4.78,-2.48,7.28,7.28,7.29
21.66,11.96,4.67,11.96,4.67,-4.67,-4.74,-2.55,7.29,7.29,7.29
21.87,11.97,4.67,11.97,4.67,-4.66,-4.66,-2.62,7.31,7.31,7.30
22.09,11.99,4.67,11.99,4.67,-4.66,-4.59,-2.69,7.33,7.33,7.32
22.31,12.01,4.66,12.01,4.66,-4.65,-4.52,-2.77,7.36,7.36,7.35
22.54,12.03,4.65,12.03,4.65,-4.64,-4.45,-2.85,7.39,7.39,7.38
22.76,12.04,4.63,12.04,4.63,-4.63,-4.45,-2.93,7.41,7.41,7.41
22.99,12.05,4.61,12.05,4.61,-4.62,-4.44,-3.02,7.43,7.43,7.43
23.22,12.05,4.60,12.05,4.60,-4.60,-4.49,-3.10,7.45,7.45,7.45
23.45,12.05,4.59,12.05,4.59,-4.59,-4.54,-3.19,7.46,7.46,7.47
23.69,12.05,4.58,12.05,4.58,-4.59,-4.59,-3.28,7.47,7.47,7.47
23.92,12.05,4.58,12.05,4.58,-4.58,-4.65,-3.37,7.47,7.47,7.47
24.16,12.05,4.58,12.05,4.58,-4.59,-4.68,-3.46,7.46,7.46,7.47
24.40,12.05,4.59,12.05,4.59,-4.59,-4.71,-3.56,7.45,7.45,7.46
24.65,12.05,4.60,12.05,4.60,-4.60,-4.72,-3.65,7.44,7.44,7.44
24.89,12.05,4.62,12.05,4.62,-4.61,-4.73,-3.75,7.43,7.43,7.43
25.14,12.05,4.63,12.05,4.63,-4.63,-4.72,-3.85,7.42,7.42,7.42
25.39,12.04,4.64,12.04,4.64,-4.63,-4.71,-3.94,7.41,7.41,7.40
25.65,12.04,4.64,12.04,4.64,-4.64,-4.69,-4.04,7.40,7.40,7.40
25.91,12.04,4.65,12.04,4.65,-4.64,-4.67,-4.14,7.39,7.39,7.39
26.16,12.03,4.64,12.03,4.64,-4.64,-4.65,-4.24,7.39,7.39,7.38
26.43,12.02,4.64,12.02,4.64,-4.64,-4.63,-4.34,7.38,7.38,7.38
26.69,12.01,4.63,12.01,4.63,-4.63,-4.61,-4.44,7.38,7.38,7.38
26.96,12.00,4.62,12.00,4.62,-4.62,-4.59,-4.53,7.38,7.38,7.38
27.23,11.99,4.61,11.99,4.61,-4.61,-4.57,-4.63,7.38,7.38,7.38
27.50,11.99,4.60,11.98,4.60,-4.60,-4.56,-4.72,7.39,7.39,7.39
27.77,11.98,4.59,11.98,4.59,-4.59,-4.54,-4.81,7.39,7.39,7.39
28.05,11.97,4.58,11.97,4.58,-4.58,-4.53,-4.90,7.39,7.39,7.39
28.33,11.96,4.56,11.96,4.56,-4.56,-4.52,-4.98,7.40,7.40,7.40
28.62,11.95,4.55,11.95,4.55,-4.55,-4.51,-5.06,7.40,7.40,7.40
28.90,11.94,4.54,11.94,4.54,-4.55,-4.50,-5.13,7.40,7.40,7.40
29.19,11.93,4.54,11.93,4.54,-4.54,-4.49,-5.20,7.40,7.40,7.40
29.48,11.93,4.53,11.93,4.53,-4.53,-4.49,-5.26,7.39,7.39,7.39
29.78,11.92,4.53,11.92,4.53,-4.53,-4.49,-5.32,7.39,7.39,7.39
30.08,11.91,4.53,11.91,4.53,-4.53,-4.48,-5.37,7.38,7.38,7.38
30.38,11.91,4.53,11.91,4.53,-4.53,-4.48,-5.41,7.38,7.37,7.38
30.68,11.90,4.53,11.90,4.53,-4.53,-4.48,-5.45,7.37,7.37,7.37
30.99,11.89,4.54,11.89,4.54,-4.54,-4.48,-5.48,7.36,7.36,7.36
31.30,11.89,4.54,11.89,4.54,-4.54,-4.48,-5.50,7.35,7.35,7.35
31.61,11.88,4.55,11.88,4.55,-4.54,-4.49,-5.52,7.34,7.34,7.33
31.93,11.88,4.55,11.88,4.55,-4.55,-4.49,-5.52,7.33,7.33,7.32
32.24,11.87,4.55,11.87,4.55,-4.55,-4.49,-5.52,7.32,7.32,7.32
32.57,11.87,4.56,11.87,4.56,-4.56,-4.50,-5.52,7.31,7.31,7.31
32.89,11.86,4.56,11.86,4.56,-4.56,-4.50,-5.51,7.30,7.30,7.31
33.22,11.86,4.56,11.86,4.56,-4.57,-4.50,-5.49,7.29,7.29,7.30
33.55,11.85,4.57,11.85,4.57,-4.58,-4.51,-5.46,7.28,7.28,7.28
33.89,11.85,4.58,11.85,4.58,-4.58,-4.51,-5.43,7.26,7.26,7.26
34.23,11.84,4.60,11.84,4.59,-4.59,-4.52,-5.40,7.25,7.25,7.24
34.57,11.83,4.60,11.83,4.60,-4.59,-4.53,-5.36,7.24,7.24,7.22
34.92,11.81,4.60,11.81,4.60,-4.59,-4.53,-5.32,7.23,7.23,7.22
35.27,11.80,4.59,11.80,4.59,-4.59,-4.54,-5.27,7.21,7.21,7.21
35.62,11.78,4.57,11.78,4.58,-4.58,-4.54,-5.22,7.20,7.20,7.21
35.97,11.76,4.56,11.77,4.57,-4.57,-4.55,-5.17,7.19,7.19,7.20
36.33,11.75,4.56,11.75,4.56,-4.56,-4.56,-5.12,7.18,7.18,7.19
36.70,11.73,4.56,11.73,4.56,-4.55,-4.56,-5.07,7.18,7.18,7.17
37.06,11.71,4.55,11.71,4.55,-4.54,-4.57,-5.02,7.17,7.17,7.16
37.43,11.70,4.54,11.70,4.54,-4.54,-4.57,-4.96,7.16,7.16,7.16
37.81,11.68,4.53,11.68,4.53,-4.53,-4.58,-4.91,7.15,7.15,7.15
38.19,11.67,4.52,11.67,4.52,-4.53,-4.59,-4.86,7.14,7.14,7.15
38.57,11.65,4.52,11.65,4.52,-4.53,-4.59,-4.81,7.12,7.13,7.13
38.95,11.64,4.53,11.64,4.53,-4.53,-4.60,-4.76,7.11,7.11,7.11
39.34,11.62,4.53,11.62,4.53,-4.53,-4.60,-4.71,7.09,7.09,7.09
39.74,11.61,4.54,11.61,4.54,-4.53,-4.61,-4.67,7.08,7.08,7.07
40.14,11.60,4.54,11.60,4.54,-4.54,-4.61,-4.62,7.06,7.06,7.06
40.54,11.58,4.54,11.58,4.54,-4.55,-4.62,-4.58,7.04,7.04,7.05
40.94,11.57,4.55,11.57,4.55,-4.55,-4.62,-4.54,7.01,7.01,7.02
41.35,11.55,4.56,11.55,4.56,-4.56,-4.63,-4.51,6.99,6.99,6.99
41.76,11.54,4.58,11.54,4.57,-4.56,-4.63,-4.48,6.97,6.98,6.96
42.18,11.52,4.58,11.52,4.58,-4.57,-4.63,-4.45,6.95,6.95,6.94
42.60,11.51,4.58,11.51,4.58,-4.57,-4.64,-4.42,6.93,6.93,6.93
43.03,11.49,4.57,11.49,4.57,-4.58,-4.64,-4.40,6.91,6.91,6.92
43.46,11.47,4.57,11.47,4.57,-4.58,-4.65,-4.38,6.89,6.89,6.90
43.90,11.45,4.58,11.45,4.58,-4.59,-4.65,-4.36,6.86,6.86,6.87
44.33,11.43,4.59,11.43,4.59,-4.59,-4.65,-4.35,6.84,6.84,6.84
44.78,11.41,4.60,11.41,4.60,-4.60,-4.65,-4.34,6.81,6.81,6.81
45.23,11.39,4.61,11.39,4.61,-4.61,-4.66,-4.33,6.78,6.78,6.78
45.68,11.36,4.61,11.36,4.61,-4.61,-4.66,-4.33,6.75,6.75,6.75
46.13,11.34,4.62,11.34,4.62,-4.61,-4.66,-4.33,6.73,6.73,6.73
46.60,11.32,4.62,11.32,4.62,-4.62,-4.66,-4.33,6.70,6.70,6.69
47.06,11.29,4.63,11.29,4.63,-4.62,-4.66,-4.34,6.67,6.67,6.66
47.53,11.27,4.63,11.27,4.62,-4.63,-4.66,-4.35,6.64,6.64,6.64
48.01,11.24,4.62,11.24,4.62,-4.63,-4.66,-4.36,6.61,6.61,6.63
48.49,11.22,4.61,11.22,4.62,-4.63,-4.66,-4.37,6.59,6.59,6.61
48.97,11.20,4.63,11.20,4.63,-4.63,-4.66,-4.39,6.56,6.56,6.57
49.46,11.17,4.65,11.17,4.64,-4.63,-4.66,-4.41,6.54,6.54,6.52
49.96,11.15,4.66,11.15,4.65,-4.62,-4.66,-4.44,6.53,6.53,6.49
50.46,11.13,4.63,11.13,4.63,-4.62,-4.66,-4.46,6.51,6.51,6.50
50.96,11.11,4.60,11.11,4.60,-4.61,-4.66,-4.49,6.50,6.50,6.51
51.47,11.09,4.58,11.09,4.59,-4.60,-4.66,-4.52,6.48,6.48,6.51
51.99,11.07,4.58,11.07,4.58,-4.60,-4.66,-4.55,6.47,6.47,6.48
52.51,11.04,4.59,11.04,4.59,-4.59,-4.65,-4.58,6.46,6.46,6.45
53.03,11.02,4.60,11.02,4.59,-4.59,-4.65,-4.61,6.44,6.44,6.43
53.56,11.00,4.58,11.00,4.58,-4.58,-4.65,-4.64,6.42,6.42,6.42
54.10,10.98,4.57,10.98,4.58,-4.59,-4.65,-4.67,6.40,6.40,6.41
54.64,10.96,4.57,10.96,4.58,-4.58,-4.64,-4.71,6.38,6.38,6.39
55.18,10.94,4.59,10.94,4.59,-4.58,-4.64,-4.74,6.36,6.36,6.35
55.74,10.91,4.60,10.91,4.59,-4.57,-4.63,-4.77,6.34,6.34,6.31
56.29,10.87,4.58,10.87,4.58,-4.56,-4.63,-4.80,6.31,6.31,6.29
56.86,10.83,4.55,10.83,4.55,-4.55,-4.63,-4.83,6.28,6.28,6.28
57.42,10.79,4.52,10.79,4.52,-4.54,-4.62,-4.85,6.25,6.25,6.27
58.00,10.75,4.50,10.75,4.51,-4.53,-4.62,-4.88,6.22,6.22,6.25
58.58,10.71,4.51,10.71,4.51,-4.52,-4.61,-4.90,6.20,6.20,6.20
59.16,10.68,4.52,10.68,4.51,-4.50,-4.61,-4.91,6.17,6.17,6.16
59.76,10.64,4.51,10.64,4.51,-4.50,-4.60,-4.93,6.15,6.15,6.13
60.35,10.61,4.50,10.61,4.50,-4.50,-4.59,-4.94,6.11,6.11,6.11
60.96,10.58,4.49,10.58,4.49,-4.50,-4.59,-4.95,6.08,6.08,6.09
61.57,10.55,4.49,10.55,4.50,-4.51,-4.58,-4.95,6.04,6.04,6.06
62.18,10.52,4.51,10.52,4.51,-4.51,-4.58,-4.95,6.01,6.01,6.01
62.80,10.49,4.53,10.49,4.53,-4.52,-4.57,-4.94,5.98,5.98,5.97
63.43,10.47,4.54,10.47,4.54,-4.52,-4.56,-4.93,5.94,5.94,5.93
