frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.48,3.95,10.48,3.95,-3.88,-3.79,-1.76,6.60,6.60,6.52
20.20,10.47,3.94,10.47,3.94,-3.92,-3.84,-1.81,6.55,6.55,6.53
20.40,10.47,3.93,10.47,3.93,-3.96,-3.90,-1.86,6.51,6.51,6.54
20.61,10.48,3.94,10.48,3.94,-3.99,-3.96,-1.92,6.49,6.49,6.54
20.81,10.51,3.97,10.51,3.97,-4.03,-4.01,-1.97,6.49,6.49,6.54
21.02,10.55,4.01,10.55,4.01,-4.05,-4.07,-2.03,6.50,6.50,6.54
21.23,10.60,4.06,10.60,4.06,-4.08,-4.13,-2.09,6.52,6.52,6.54
21.44,10.65,4.11,10.65,4.11,-4.10,-4.17,-2.15,6.55,6.55,6.54
21.66,10.70,4.15,10.70,4.15,-4.14,-4.22,-2.21,6.56,6.56,6.55
21.87,10.74,4.18,10.74,4.18,-4.16,-4.23,-2.28,6.58,6.58,6.56
22.09,10.78,4.20,10.78,4.20,-4.18,-4.25,-2.35,6.60,6.60,6.58
22.31,10.80,4.19,10.80,4.19,-4.18,-4.22,-2.41,6.62,6.62,6.61
22.54,10.81,4.18,10.81,4.18,-4.16,-4.20,-2.48,6.65,6.65,6.63
22.76,10.81,4.15,10.81,4.15,-4.14,-4.15,-2.56,6.67,6.67,6.66
22.99,10.80,4.11,10.79,4.11,-4.10,-4.10,-2.63,6.69,6.69,6.69
23.22,10.77,4.06,10.77,4.06,-4.07,-4.07,-2.70,6.71,6.71,6.71
23.45,10.74,4.02,10.74,4.02,-4.02,-4.04,-2.78,6.72,6.72,6.72
23.69,10.70,3.97,10.70,3.98,-3.98,-4.04,-2.86,6.72,6.72,6.73
23.92,10.67,3.94,10.67,3.94,-3.95,-4.03,-2.94,6.72,6.72,6.73
24.16,10.64,3.91,10.64,3.91,-3.92,-4.03,-3.02,6.71,6.71,6.72
24.40,10.61,3.90,10.61,3.90,-3.90,-4.03,-3.10,6.71,6.71,6.71
24.65,10.58,3.89,10.58,3.89,-3.89,-4.03,-3.19,6.69,6.70,6.70
24.89,10.57,3.88,10.57,3.88,-3.88,-4.03,-3.27,6.68,6.68,6.68
25.14,10.56,3.89,10.56,3.89,-3.89,-4.01,-3.36,6.67,6.67,6.67
25.39,10.55,3.89,10.55,3.89,-3.90,-4.00,-3.44,6.66,6.66,6.66
25.65,10.56,3.91,10.56,3.91,-3.91,-3.99,-3.53,6.65,6.65,6.65
25.91,10.57,3.93,10.57,3.93,-3.93,-3.98,-3.61,6.64,6.64,6.64
26.16,10.59,3.95,10.59,3.95,-3.95,-3.96,-3.70,6.64,6.64,6.64
26.43,10.61,3.97,10.61,3.97,-3.97,-3.95,-3.79,6.64,6.64,6.64
26.69,10.63,4.00,10.63,4.00,-3.99,-3.93,-3.87,6.64,6.64,6.64
26.96,10.66,4.02,10.66,4.02,-4.01,-3.92,-3.95,6.64,6.64,6.64
27.23,10.67,4.04,10.67,4.04,-4.03,-3.91,-4.04,6.65,6.64,6.64
27.50,10.69,4.05,10.69,4.05,-4.04,-3.90,-4.12,6.65,6.65,6.64
27.77,10.70,4.05,10.70,4.05,-4.05,-3.89,-4.19,6.65,6.65,6.64
28.05,10.70,4.05,10.70,4.05,-4.05,-3.88,-4.27,6.65,6.65,6.65
28.33,10.70,4.05,10.70,4.05,-4.05,-3.87,-4.34,6.65,6.65,6.65
28.62,10.70,4.04,10.70,4.04,-4.05,-3.87,-4.41,6.65,6.65,6.65
28.90,10.69,4.04,10.69,4.04,-4.04,-3.86,-4.47,6.65,6.65,6.65
29.19,10.68,4.03,10.68,4.03,-4.02,-3.85,-4.53,6.66,6.66,6.65
29.48,10.66,4.01,10.66,4.01,-4.00,-3.85,-4.58,6.66,6.66,6.65
29.78,10.63,3.99,10.63,3.99,-3.98,-3.85,-4.63,6.65,6.65,6.64
30.08,10.60,3.97,10.60,3.97,-3.96,-3.84,-4.67,6.64,6.64,6.64
30.38,10.57,3.94,10.57,3.94,-3.94,-3.84,-4.71,6.63,6.63,6.63
30.68,10.53,3.91,10.53,3.91,-3.92,-3.84,-4.73,6.61,6.61,6.62
30.99,10.49,3.88,10.49,3.88,-3.89,-3.84,-4.76,6.60,6.60,6.61
31.30,10.46,3.86,10.46,3.86,-3.87,-3.83,-4.77,6.59,6.60,6.60
31.61,10.44,3.85,10.44,3.85,-3.84,-3.83,-4.79,6.59,6.59,6.59
31.93,10.41,3.83,10.41,3.83,-3.82,-3.83,-4.79,6.59,6.59,6.58
32.24,10.39,3.81,10.39,3.81,-3.80,-3.83,-4.79,6.59,6.58,6.57
32.57,10.36,3.79,10.36,3.79,-3.78,-3.83,-4.78,6.58,6.57,6.57
32.89,10.33,3.77,10.33,3.77,-3.77,-3.83,-4.76,6.56,6.56,6.56
33.22,10.30,3.75,10.30,3.75,-3.76,-3.83,-4.74,6.54,6.54,6.55
33.55,10.27,3.74,10.27,3.74,-3.76,-3.83,-4.72,6.52,6.52,6.54
33.89,10.26,3.74,10.26,3.74,-3.75,-3.83,-4.69,6.50,6.50,6.52
34.23,10.25,3.75,10.25,3.75,-3.75,-3.82,-4.66,6.49,6.49,6.50
34.57,10.25,3.77,10.25,3.76,-3.76,-3.82,-4.62,6.49,6.49,6.48
34.92,10.25,3.78,10.25,3.77,-3.76,-3.82,-4.58,6.49,6.49,6.47
