frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.16,1.97,7.16,1.97,-1.95,-1.82,-0.87,5.21,5.21,5.19
20.20,7.16,1.96,7.16,1.96,-1.96,-1.83,-0.89,5.20,5.20,5.20
20.40,7.17,1.96,7.17,1.96,-1.97,-1.85,-0.92,5.20,5.20,5.21
20.61,7.17,1.96,7.17,1.96,-1.98,-1.85,-0.95,5.19,5.19,5.21
20.81,7.18,1.97,7.18,1.97,-1.98,-1.86,-0.97,5.19,5.19,5.21
21.02,7.19,1.98,7.18,1.98,-1.99,-1.87,-1.00,5.20,5.20,5.21
21.23,7.19,1.98,7.19,1.98,-1.98,-1.87,-1.03,5.21,5.21,5.21
21.44,7.20,1.99,7.20,1.99,-1.98,-1.88,-1.06,5.21,5.22,5.21
21.66,7.20,1.99,7.20,1.99,-1.98,-1.88,-1.09,5.22,5.22,5.22
21.87,7.21,1.98,7.21,1.98,-1.97,-1.88,-1.13,5.24,5.24,5.23
22.09,7.21,1.96,7.21,1.96,-1.96,-1.88,-1.16,5.26,5.26,5.25
22.31,7.22,1.94,7.22,1.94,-1.94,-1.89,-1.20,5.28,5.28,5.27
22.54,7.22,1.92,7.22,1.92,-1.92,-1.89,-1.23,5.30,5.30,5.30
22.76,7.22,1.89,7.22,1.89,-1.90,-1.89,-1.27,5.33,5.33,5.33
22.99,7.23,1.87,7.23,1.87,-1.88,-1.89,-1.30,5.35,5.35,5.36
23.22,7.23,1.86,7.23,1.86,-1.87,-1.90,-1.34,5.37,5.37,5.38
23.45,7.24,1.85,7.24,1.85,-1.86,-1.90,-1.38,5.38,5.38,5.39
23.69,7.24,1.85,7.24,1.85,-1.85,-1.90,-1.42,5.39,5.39,5.40
23.92,7.25,1.85,7.25,1.85,-1.86,-1.90,-1.46,5.39,5.39,5.39
24.16,7.25,1.86,7.25,1.86,-1.86,-1.91,-1.50,5.39,5.39,5.39
24.40,7.25,1.87,7.25,1.87,-1.87,-1.91,-1.54,5.38,5.38,5.38
24.65,7.25,1.89,7.25,1.89,-1.88,-1.92,-1.58,5.37,5.37,5.36
24.89,7.25,1.90,7.25,1.90,-1.90,-1.92,-1.63,5.35,5.35,5.35
25.14,7.25,1.91,7.25,1.91,-1.91,-1.92,-1.67,5.34,5.34,5.34
25.39,7.25,1.92,7.25,1.92,-1.92,-1.93,-1.71,5.33,5.33,5.33
25.65,7.25,1.93,7.25,1.93,-1.93,-1.93,-1.75,5.32,5.32,5.32
25.91,7.25,1.94,7.25,1.94,-1.94,-1.93,-1.80,5.31,5.31,5.31
26.16,7.25,1.95,7.25,1.95,-1.95,-1.94,-1.84,5.31,5.31,5.31
26.43,7.25,1.95,7.25,1.95,-1.95,-1.94,-1.88,5.30,5.30,5.30
26.69,7.26,1.95,7.26,1.95,-1.95,-1.94,-1.92,5.30,5.30,5.30
26.96,7.26,1.95,7.26,1.95,-1.95,-1.95,-1.97,5.30,5.30,5.30
27.23,7.26,1.95,7.26,1.95,-1.95,-1.95,-2.01,5.31,5.31,5.30
27.50,7.25,1.95,7.25,1.95,-1.94,-1.95,-2.05,5.31,5.31,5.31
27.77,7.25,1.94,7.25,1.94,-1.94,-1.96,-2.08,5.31,5.31,5.31
28.05,7.24,1.93,7.24,1.93,-1.93,-1.96,-2.12,5.31,5.31,5.32
28.33,7.24,1.92,7.24,1.92,-1.92,-1.96,-2.15,5.32,5.32,5.32
