frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.11,7.15,13.11,7.15,-7.15,-7.00,-2.63,5.95,5.95,5.96
20.20,13.10,7.14,13.10,7.15,-7.15,-7.10,-2.71,5.96,5.96,5.96
20.40,13.10,7.14,13.10,7.14,-7.14,-7.20,-2.79,5.96,5.96,5.96
20.61,13.09,7.13,13.09,7.13,-7.13,-7.26,-2.87,5.96,5.96,5.96
20.81,13.08,7.12,13.08,7.12,-7.12,-7.31,-2.95,5.96,5.96,5.96
21.02,13.07,7.11,13.07,7.11,-7.11,-7.32,-3.04,5.96,5.96,5.96
21.23,13.05,7.10,13.05,7.10,-7.10,-7.33,-3.12,5.96,5.96,5.96
21.44,13.04,7.08,13.04,7.08,-7.09,-7.30,-3.21,5.95,5.95,5.96
21.66,13.03,7.07,13.03,7.07,-7.08,-7.27,-3.31,5.95,5.95,5.96
21.87,13.02,7.06,13.02,7.06,-7.07,-7.21,-3.40,5.95,5.95,5.96
22.09,13.00,7.05,13.00,7.05,-7.06,-7.14,-3.50,5.95,5.95,5.96
22.31,12.99,7.03,12.99,7.03,-7.05,-7.07,-3.60,5.95,5.95,5.96
22.54,12.98,7.02,12.98,7.02,-7.03,-6.99,-3.70,5.95,5.95,5.96
22.76,12.96,7.00,12.96,7.01,-7.00,-6.91,-3.81,5.96,5.96,5.96
22.99,12.94,6.98,12.94,6.99,-6.96,-6.83,-3.92,5.98,5.98,5.96
23.22,12.92,6.96,12.92,6.94,-6.91,-6.76,-4.03,6.02,6.02,5.96
23.45,12.90,6.86,12.90,6.86,-6.85,-6.69,-4.14,6.06,6.06,6.04
23.69,12.88,6.76,12.88,6.77,-6.77,-6.62,-4.26,6.11,6.11,6.12
23.92,12.86,6.67,12.86,6.68,-6.69,-6.55,-4.38,6.17,6.17,6.19
24.16,12.84,6.59,12.84,6.59,-6.60,-6.49,-4.50,6.24,6.24,6.25
24.40,12.82,6.50,12.82,6.50,-6.51,-6.43,-4.62,6.32,6.32,6.33
24.65,12.80,6.41,12.80,6.41,-6.41,-6.38,-4.74,6.39,6.39,6.39
24.89,12.78,6.33,12.78,6.33,-6.32,-6.33,-4.87,6.47,6.47,6.46
25.14,12.76,6.24,12.76,6.24,-6.23,-6.28,-5.00,6.54,6.54,6.52
25.39,12.74,6.15,12.74,6.15,-6.14,-6.23,-5.13,6.60,6.60,6.59
25.65,12.73,6.06,12.73,6.06,-6.07,-6.19,-5.25,6.66,6.66,6.67
25.91,12.71,5.98,12.71,5.99,-6.00,-6.15,-5.38,6.71,6.71,6.73
26.16,12.69,5.94,12.69,5.93,-5.94,-6.11,-5.51,6.75,6.75,6.76
26.43,12.68,5.92,12.68,5.89,-5.90,-6.07,-5.64,6.78,6.78,6.76
26.69,12.67,5.84,12.67,5.86,-5.87,-6.03,-5.77,6.79,6.79,6.83
26.96,12.65,5.83,12.65,5.85,-5.86,-5.99,-5.89,6.79,6.79,6.82
27.23,12.64,5.88,12.64,5.85,-5.87,-5.96,-6.02,6.77,6.77,6.76
27.50,12.62,5.86,12.62,5.87,-5.88,-5.92,-6.14,6.74,6.74,6.76
27.77,12.59,5.89,12.59,5.90,-5.90,-5.88,-6.25,6.69,6.69,6.70
28.05,12.57,5.92,12.57,5.92,-5.92,-5.84,-6.36,6.65,6.65,6.64
28.33,12.54,5.96,12.54,5.95,-5.93,-5.81,-6.46,6.61,6.61,6.57
28.62,12.51,5.95,12.51,5.95,-5.94,-5.77,-6.56,6.58,6.58,6.56
28.90,12.49,5.93,12.49,5.94,-5.92,-5.73,-6.65,6.56,6.56,6.56
29.19,12.46,5.90,12.46,5.91,-5.90,-5.69,-6.74,6.57,6.57,6.56
29.48,12.44,5.88,12.44,5.87,-5.85,-5.65,-6.81,6.59,6.59,6.56
29.78,12.42,5.82,12.42,5.81,-5.79,-5.62,-6.87,6.63,6.63,6.60
30.08,12.39,5.72,12.39,5.73,-5.72,-5.58,-6.92,6.68,6.68,6.67
30.38,12.37,5.63,12.37,5.63,-5.64,-5.53,-6.97,6.73,6.73,6.73
30.68,12.34,5.53,12.34,5.54,-5.56,-5.49,-7.00,6.78,6.78,6.80
30.99,12.30,5.45,12.31,5.47,-5.48,-5.45,-7.02,6.83,6.83,6.86
31.30,12.27,5.41,12.27,5.39,-5.40,-5.41,-7.02,6.87,6.87,6.86
31.61,12.24,5.33,12.24,5.33,-5.33,-5.36,-7.02,6.90,6.90,6.91
31.93,12.21,5.25,12.21,5.27,-5.28,-5.32,-7.00,6.93,6.93,6.96
32.24,12.18,5.22,12.18,5.22,-5.23,-5.27,-6.97,6.95,6.95,6.96
32.57,12.15,5.19,12.15,5.19,-5.20,-5.23,-6.93,6.95,6.95,6.96
32.89,12.13,5.17,12.12,5.17,-5.17,-5.18,-6.88,6.96,6.96,6.96
33.22,12.10,5.14,12.10,5.14,-5.14,-5.13,-6.81,6.96,6.96,6.96
