frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.87,5.84,10.87,5.84,-5.85,-5.68,-2.52,5.03,5.03,5.03
20.20,10.90,5.87,10.90,5.87,-5.87,-5.78,-2.59,5.03,5.03,5.03
20.40,10.93,5.90,10.93,5.90,-5.90,-5.88,-2.67,5.03,5.03,5.03
20.61,10.96,5.93,10.96,5.93,-5.92,-5.95,-2.75,5.03,5.03,5.03
20.81,10.98,5.95,10.98,5.95,-5.95,-6.02,-2.82,5.03,5.03,5.03
21.02,11.00,5.97,11.00,5.97,-5.97,-6.05,-2.91,5.03,5.03,5.03
21.23,11.02,5.99,11.02,5.99,-5.99,-6.09,-2.99,5.03,5.03,5.03
21.44,11.04,6.01,11.04,6.01,-6.01,-6.10,-3.08,5.03,5.03,5.03
21.66,11.06,6.03,11.06,6.03,-6.03,-6.10,-3.17,5.03,5.03,5.03
21.87,11.08,6.05,11.08,6.05,-6.05,-6.09,-3.26,5.02,5.02,5.03
22.09,11.09,6.06,11.09,6.06,-6.08,-6.07,-3.35,5.02,5.02,5.03
22.31,11.11,6.08,11.11,6.08,-6.09,-6.04,-3.45,5.01,5.01,5.03
22.54,11.12,6.10,11.12,6.10,-6.11,-6.01,-3.55,5.02,5.02,5.03
22.76,11.14,6.11,11.14,6.12,-6.11,-5.97,-3.65,5.03,5.03,5.03
22.99,11.16,6.13,11.16,6.13,-6.10,-5.94,-3.75,5.05,5.05,5.03
23.22,11.17,6.14,11.17,6.12,-6.09,-5.90,-3.86,5.09,5.09,5.04
23.45,11.19,6.08,11.19,6.08,-6.06,-5.87,-3.97,5.13,5.13,5.11
23.69,11.20,6.01,11.20,6.02,-6.02,-5.84,-4.08,5.18,5.18,5.19
23.92,11.22,5.96,11.22,5.96,-5.97,-5.81,-4.19,5.24,5.24,5.26
24.16,11.23,5.91,11.23,5.90,-5.91,-5.78,-4.31,5.31,5.31,5.32
24.40,11.24,5.84,11.24,5.84,-5.85,-5.76,-4.43,5.39,5.39,5.40
24.65,11.24,5.78,11.24,5.78,-5.78,-5.73,-4.55,5.47,5.47,5.47
24.89,11.24,5.72,11.24,5.72,-5.71,-5.71,-4.67,5.54,5.54,5.53
25.14,11.25,5.65,11.25,5.65,-5.64,-5.70,-4.79,5.61,5.61,5.59
25.39,11.24,5.58,11.24,5.58,-5.57,-5.68,-4.91,5.67,5.67,5.66
25.65,11.24,5.50,11.24,5.50,-5.51,-5.67,-5.04,5.73,5.73,5.74
25.91,11.24,5.44,11.24,5.45,-5.46,-5.66,-5.16,5.78,5.78,5.81
26.16,11.24,5.41,11.24,5.41,-5.42,-5.65,-5.28,5.82,5.82,5.83
26.43,11.24,5.41,11.24,5.38,-5.39,-5.64,-5.41,5.85,5.85,5.84
26.69,11.25,5.34,11.25,5.37,-5.38,-5.63,-5.53,5.86,5.86,5.90
26.96,11.25,5.36,11.25,5.37,-5.39,-5.62,-5.65,5.85,5.86,5.89
27.23,11.26,5.43,11.26,5.40,-5.42,-5.61,-5.77,5.83,5.83,5.83
27.50,11.26,5.43,11.26,5.45,-5.46,-5.60,-5.88,5.80,5.80,5.83
27.77,11.27,5.50,11.27,5.50,-5.51,-5.59,-5.99,5.76,5.76,5.77
28.05,11.28,5.56,11.28,5.56,-5.56,-5.58,-6.10,5.72,5.72,5.72
28.33,11.28,5.64,11.28,5.62,-5.60,-5.57,-6.20,5.68,5.68,5.65
28.62,11.29,5.66,11.29,5.66,-5.63,-5.56,-6.30,5.66,5.66,5.63
28.90,11.29,5.66,11.29,5.67,-5.65,-5.55,-6.38,5.64,5.64,5.63
29.19,11.29,5.66,11.29,5.67,-5.65,-5.54,-6.47,5.64,5.64,5.63
29.48,11.29,5.66,11.29,5.65,-5.63,-5.53,-6.54,5.66,5.66,5.63
29.78,11.29,5.61,11.29,5.61,-5.59,-5.51,-6.60,5.70,5.70,5.67
30.08,11.28,5.54,11.28,5.55,-5.54,-5.50,-6.65,5.74,5.74,5.74
30.38,11.28,5.48,11.28,5.47,-5.49,-5.48,-6.70,5.79,5.79,5.80
30.68,11.28,5.41,11.28,5.42,-5.44,-5.47,-6.73,5.85,5.85,5.87
30.99,11.28,5.36,11.28,5.37,-5.39,-5.45,-6.76,5.90,5.90,5.93
31.30,11.29,5.36,11.29,5.33,-5.34,-5.43,-6.77,5.94,5.94,5.93
31.61,11.29,5.30,11.29,5.30,-5.30,-5.41,-6.77,5.98,5.98,5.98
31.93,11.29,5.26,11.29,5.27,-5.28,-5.39,-6.76,6.01,6.01,6.03
32.24,11.28,5.26,11.28,5.25,-5.26,-5.37,-6.74,6.02,6.02,6.03
32.57,11.28,5.25,11.28,5.25,-5.26,-5.35,-6.71,6.03,6.03,6.03
32.89,11.28,5.25,11.28,5.25,-5.26,-5.32,-6.67,6.03,6.03,6.03
33.22,11.28,5.25,11.28,5.25,-5.25,-5.30,-6.62,6.03,6.03,6.03
33.55,11.28,5.25,11.28,5.25,-5.25,-5.27,-6.56,6.03,6.03,6.03
33.89,11.28,5.25,11.28,5.26,-5.25,-5.25,-6.49,6.03,6.03,6.03
34.23,11.28,5.25,11.28,5.26,-5.24,-5.22,-6.42,6.04,6.04,6.03
34.57,11.28,5.25,11.28,5.24,-5.22,-5.19,-6.34,6.06,6.06,6.03
34.92,11.28,5.21,11.28,5.21,-5.20,-5.16,-6.26,6.08,6.08,6.07
35.27,11.28,5.15,11.27,5.17,-5.16,-5.13,-6.17,6.11,6.11,6.13
35.62,11.27,5.14,11.27,5.12,-5.13,-5.10,-6.07,6.14,6.14,6.13
35.97,11.26,5.08,11.26,5.08,-5.09,-5.06,-5.98,6.17,6.17,6.18
36.33,11.25,5.02,11.25,5.04,-5.04,-5.03,-5.88,6.21,6.21,6.23
36.70,11.24,5.02,11.25,4.99,-5.00,-4.99,-5.78,6.25,6.25,6.23
