frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.91,0.73,1.91,0.73,-0.72,-1.08,-0.89,1.19,1.19,1.17
20.20,1.98,0.79,1.98,0.79,-0.79,-1.10,-0.92,1.20,1.20,1.20
20.40,2.06,0.84,2.06,0.84,-0.84,-1.12,-0.94,1.22,1.22,1.22
20.61,2.13,0.88,2.13,0.87,-0.88,-1.14,-0.97,1.25,1.25,1.25
20.81,2.21,0.89,2.21,0.90,-0.91,-1.16,-0.99,1.30,1.30,1.32
21.02,2.28,0.90,2.28,0.91,-0.93,-1.18,-1.02,1.36,1.36,1.38
21.23,2.36,0.91,2.36,0.91,-0.93,-1.20,-1.05,1.43,1.43,1.45
21.44,2.43,0.91,2.43,0.91,-0.91,-1.22,-1.08,1.51,1.51,1.51
21.66,2.50,0.90,2.50,0.90,-0.88,-1.24,-1.11,1.62,1.62,1.60
21.87,2.57,0.88,2.57,0.87,-0.83,-1.26,-1.14,1.74,1.74,1.69
22.09,2.64,0.81,2.64,0.81,-0.76,-1.29,-1.17,1.88,1.88,1.83
22.31,2.71,0.73,2.71,0.73,-0.68,-1.31,-1.20,2.02,2.02,1.98
22.54,2.77,0.63,2.77,0.62,-0.60,-1.33,-1.23,2.18,2.17,2.15
22.76,2.84,0.52,2.84,0.52,-0.52,-1.35,-1.27,2.32,2.32,2.32
22.99,2.91,0.43,2.91,0.43,-0.47,-1.37,-1.30,2.44,2.44,2.48
23.22,2.97,0.38,2.97,0.39,-0.45,-1.40,-1.34,2.52,2.52,2.59
23.45,3.04,0.39,3.04,0.39,-0.47,-1.42,-1.38,2.57,2.57,2.65
23.69,3.10,0.46,3.10,0.46,-0.54,-1.44,-1.41,2.56,2.56,2.64
23.92,3.16,0.59,3.16,0.59,-0.65,-1.47,-1.45,2.51,2.51,2.58
24.16,3.23,0.76,3.23,0.76,-0.79,-1.49,-1.49,2.44,2.44,2.47
24.40,3.29,0.96,3.29,0.96,-0.94,-1.52,-1.53,2.35,2.35,2.33
24.65,3.35,1.16,3.35,1.15,-1.10,-1.54,-1.57,2.26,2.26,2.19
24.89,3.42,1.33,3.42,1.32,-1.23,-1.57,-1.61,2.18,2.18,2.09
25.14,3.48,1.43,3.48,1.43,-1.34,-1.59,-1.65,2.14,2.14,2.05
25.39,3.54,1.50,3.54,1.49,-1.43,-1.62,-1.69,2.11,2.11,2.04
25.65,3.61,1.50,3.61,1.51,-1.49,-1.64,-1.73,2.12,2.12,2.10
25.91,3.67,1.50,3.67,1.50,-1.54,-1.67,-1.78,2.14,2.14,2.17
26.16,3.73,1.50,3.74,1.51,-1.57,-1.70,-1.82,2.16,2.16,2.23
26.43,3.80,1.53,3.80,1.54,-1.60,-1.73,-1.86,2.20,2.20,2.27
26.69,3.86,1.59,3.86,1.59,-1.64,-1.75,-1.90,2.23,2.23,2.27
26.96,3.93,1.67,3.93,1.67,-1.68,-1.78,-1.95,2.25,2.25,2.26
27.23,3.99,1.75,3.99,1.74,-1.71,-1.81,-1.99,2.28,2.28,2.25
