frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.73,0.62,6.73,0.62,-0.63,-0.53,-0.34,6.10,6.10,6.11
20.20,6.73,0.61,6.73,0.61,-0.62,-0.53,-0.35,6.11,6.11,6.11
20.40,6.72,0.61,6.72,0.61,-0.60,-0.54,-0.35,6.12,6.12,6.11
20.61,6.72,0.60,6.72,0.60,-0.59,-0.54,-0.36,6.13,6.13,6.11
20.81,6.71,0.59,6.71,0.59,-0.58,-0.55,-0.37,6.13,6.13,6.11
21.02,6.70,0.59,6.70,0.59,-0.58,-0.55,-0.39,6.12,6.12,6.11
21.23,6.69,0.58,6.69,0.58,-0.57,-0.56,-0.40,6.12,6.12,6.11
21.44,6.68,0.57,6.68,0.57,-0.57,-0.56,-0.41,6.11,6.11,6.11
21.66,6.68,0.57,6.68,0.57,-0.57,-0.57,-0.42,6.11,6.11,6.11
21.87,6.68,0.57,6.68,0.57,-0.57,-0.57,-0.43,6.11,6.11,6.11
22.09,6.68,0.57,6.68,0.57,-0.58,-0.58,-0.44,6.11,6.11,6.11
22.31,6.70,0.58,6.70,0.58,-0.59,-0.58,-0.45,6.11,6.11,6.11
22.54,6.71,0.60,6.71,0.60,-0.61,-0.59,-0.47,6.11,6.11,6.11
22.76,6.74,0.62,6.74,0.62,-0.63,-0.59,-0.48,6.11,6.11,6.11
22.99,6.76,0.65,6.76,0.65,-0.65,-0.60,-0.49,6.11,6.11,6.11
23.22,6.80,0.68,6.80,0.68,-0.68,-0.61,-0.51,6.11,6.11,6.11
23.45,6.83,0.72,6.83,0.72,-0.72,-0.61,-0.52,6.11,6.11,6.11
23.69,6.86,0.75,6.86,0.75,-0.75,-0.62,-0.53,6.12,6.12,6.11
23.92,6.89,0.78,6.89,0.78,-0.78,-0.62,-0.55,6.12,6.12,6.11
24.16,6.92,0.81,6.92,0.81,-0.80,-0.63,-0.56,6.12,6.12,6.11
24.40,6.95,0.83,6.95,0.83,-0.83,-0.64,-0.58,6.12,6.12,6.11
24.65,6.96,0.85,6.96,0.85,-0.85,-0.64,-0.59,6.12,6.12,6.11
24.89,6.98,0.87,6.98,0.87,-0.86,-0.65,-0.61,6.12,6.12,6.11
25.14,6.99,0.88,6.99,0.88,-0.88,-0.65,-0.62,6.11,6.11,6.11
25.39,7.00,0.89,7.00,0.89,-0.89,-0.66,-0.64,6.11,6.11,6.11
25.65,7.01,0.89,7.01,0.90,-0.90,-0.67,-0.66,6.11,6.11,6.11
25.91,7.02,0.90,7.02,0.90,-0.91,-0.67,-0.67,6.11,6.11,6.11
