frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.62,1.04,9.62,1.04,-1.03,-1.06,-0.83,8.59,8.59,8.59
20.20,9.65,1.07,9.65,1.07,-1.06,-1.08,-0.85,8.59,8.59,8.59
20.40,9.68,1.09,9.68,1.09,-1.09,-1.10,-0.88,8.59,8.59,8.59
20.61,9.71,1.12,9.71,1.12,-1.12,-1.13,-0.90,8.59,8.59,8.59
20.81,9.74,1.15,9.74,1.15,-1.15,-1.15,-0.93,8.58,8.58,8.59
21.02,9.77,1.18,9.77,1.18,-1.18,-1.18,-0.95,8.58,8.58,8.59
21.23,9.80,1.21,9.80,1.21,-1.21,-1.20,-0.98,8.58,8.58,8.59
21.44,9.83,1.24,9.83,1.24,-1.24,-1.22,-1.01,8.58,8.58,8.59
21.66,9.86,1.27,9.86,1.27,-1.27,-1.25,-1.04,8.58,8.58,8.59
21.87,9.89,1.30,9.89,1.30,-1.30,-1.27,-1.07,8.59,8.59,8.59
22.09,9.92,1.33,9.92,1.33,-1.33,-1.30,-1.10,8.59,8.59,8.59
22.31,9.95,1.36,9.95,1.36,-1.36,-1.32,-1.13,8.59,8.59,8.59
22.54,9.98,1.39,9.98,1.39,-1.39,-1.35,-1.16,8.59,8.59,8.59
22.76,10.00,1.42,10.00,1.42,-1.42,-1.38,-1.19,8.59,8.59,8.59
22.99,10.03,1.44,10.03,1.44,-1.44,-1.40,-1.22,8.59,8.59,8.59
23.22,10.05,1.47,10.05,1.47,-1.47,-1.43,-1.26,8.59,8.59,8.59
23.45,10.08,1.49,10.08,1.49,-1.49,-1.45,-1.29,8.59,8.59,8.59
23.69,10.10,1.51,10.10,1.51,-1.51,-1.48,-1.33,8.58,8.58,8.59
23.92,10.12,1.53,10.12,1.53,-1.54,-1.50,-1.36,8.58,8.58,8.59
24.16,10.14,1.56,10.14,1.56,-1.56,-1.53,-1.40,8.58,8.58,8.59
24.40,10.17,1.58,10.17,1.58,-1.58,-1.55,-1.44,8.58,8.58,8.59
24.65,10.19,1.60,10.19,1.60,-1.60,-1.58,-1.48,8.58,8.58,8.59
24.89,10.21,1.63,10.21,1.63,-1.63,-1.60,-1.52,8.58,8.59,8.59
25.14,10.24,1.65,10.24,1.65,-1.65,-1.63,-1.55,8.59,8.59,8.59
25.39,10.26,1.67,10.26,1.67,-1.67,-1.65,-1.59,8.59,8.59,8.59
25.65,10.28,1.69,10.28,1.69,-1.69,-1.67,-1.63,8.59,8.59,8.59
25.91,10.30,1.72,10.30,1.72,-1.71,-1.70,-1.67,8.59,8.59,8.59
26.16,10.32,1.73,10.32,1.73,-1.73,-1.72,-1.71,8.59,8.59,8.59
26.43,10.34,1.75,10.34,1.75,-1.75,-1.74,-1.75,8.59,8.59,8.59
26.69,10.35,1.77,10.35,1.77,-1.77,-1.76,-1.79,8.59,8.59,8.59
26.96,10.37,1.78,10.37,1.78,-1.78,-1.78,-1.83,8.59,8.59,8.59
27.23,10.38,1.79,10.38,1.79,-1.79,-1.80,-1.87,8.58,8.58,8.58
27.50,10.39,1.80,10.39,1.80,-1.81,-1.82,-1.91,8.58,8.58,8.58
27.77,10.40,1.82,10.40,1.82,-1.82,-1.84,-1.94,8.58,8.58,8.58
28.05,10.41,1.83,10.41,1.83,-1.83,-1.86,-1.98,8.58,8.58,8.58
28.33,10.42,1.84,10.42,1.84,-1.84,-1.88,-2.02,8.58,8.58,8.58
28.62,10.43,1.86,10.43,1.86,-1.85,-1.89,-2.05,8.58,8.58,8.58
28.90,10.45,1.87,10.45,1.87,-1.86,-1.91,-2.08,8.58,8.58,8.58
29.19,10.46,1.88,10.46,1.88,-1.87,-1.93,-2.11,8.59,8.59,8.58
29.48,10.48,1.89,10.48,1.89,-1.88,-1.94,-2.14,8.59,8.59,8.59
29.78,10.49,1.89,10.49,1.89,-1.90,-1.96,-2.17,8.60,8.60,8.60
30.08,10.51,1.90,10.51,1.90,-1.91,-1.97,-2.20,8.60,8.60,8.61
30.38,10.53,1.92,10.53,1.92,-1.92,-1.98,-2.22,8.61,8.61,8.61
30.68,10.55,1.93,10.55,1.93,-1.94,-2.00,-2.24,8.61,8.61,8.62
30.99,10.57,1.95,10.57,1.95,-1.95,-2.01,-2.27,8.61,8.61,8.62
31.30,10.58,1.97,10.58,1.97,-1.97,-2.02,-2.28,8.61,8.61,8.61
31.61,10.60,1.99,10.60,1.99,-1.99,-2.03,-2.30,8.61,8.61,8.60
31.93,10.61,2.01,10.60,2.01,-2.01,-2.04,-2.31,8.60,8.60,8.60
32.24,10.61,2.03,10.61,2.03,-2.02,-2.06,-2.33,8.59,8.59,8.59
32.57,10.61,2.04,10.61,2.04,-2.04,-2.07,-2.34,8.58,8.58,8.57
32.89,10.62,2.05,10.62,2.05,-2.05,-2.08,-2.35,8.57,8.57,8.56
33.22,10.62,2.06,10.62,2.06,-2.06,-2.09,-2.35,8.56,8.56,8.56
33.55,10.63,2.07,10.63,2.07,-2.07,-2.10,-2.36,8.56,8.56,8.55
33.89,10.64,2.08,10.64,2.08,-2.08,-2.11,-2.37,8.55,8.55,8.55
34.23,10.64,2.09,10.64,2.09,-2.09,-2.12,-2.37,8.55,8.55,8.55
34.57,10.65,2.10,10.65,2.10,-2.10,-2.13,-2.37,8.55,8.55,8.55
34.92,10.66,2.11,10.66,2.11,-2.11,-2.14,-2.37,8.55,8.55,8.55
35.27,10.67,2.12,10.67,2.12,-2.13,-2.15,-2.37,8.54,8.54,8.54
35.62,10.67,2.14,10.67,2.14,-2.14,-2.16,-2.37,8.53,8.53,8.54
35.97,10.68,2.16,10.68,2.16,-2.16,-2.18,-2.37,8.52,8.52,8.52
36.33,10.69,2.18,10.69,2.18,-2.18,-2.19,-2.38,8.51,8.51,8.51
36.70,10.69,2.20,10.69,2.20,-2.19,-2.20,-2.38,8.50,8.50,8.50
