frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.55,2.86,8.55,2.86,-2.86,-2.87,-1.23,5.68,5.68,5.69
20.20,8.56,2.87,8.56,2.87,-2.87,-2.91,-1.26,5.68,5.69,5.69
20.40,8.57,2.88,8.57,2.88,-2.88,-2.94,-1.30,5.69,5.69,5.69
20.61,8.57,2.89,8.57,2.89,-2.89,-2.97,-1.34,5.69,5.69,5.69
20.81,8.58,2.90,8.58,2.90,-2.89,-2.99,-1.38,5.69,5.69,5.69
21.02,8.59,2.90,8.59,2.90,-2.90,-3.00,-1.42,5.69,5.69,5.69
21.23,8.59,2.91,8.59,2.91,-2.91,-3.00,-1.46,5.69,5.69,5.69
21.44,8.60,2.91,8.60,2.91,-2.91,-2.97,-1.51,5.69,5.69,5.69
21.66,8.60,2.92,8.60,2.92,-2.92,-2.94,-1.55,5.69,5.69,5.69
21.87,8.60,2.92,8.60,2.92,-2.92,-2.88,-1.60,5.69,5.69,5.69
22.09,8.61,2.92,8.61,2.92,-2.92,-2.83,-1.64,5.68,5.68,5.69
22.31,8.61,2.92,8.61,2.92,-2.92,-2.78,-1.69,5.68,5.68,5.69
22.54,8.61,2.93,8.61,2.93,-2.93,-2.74,-1.74,5.69,5.69,5.69
22.76,8.61,2.93,8.61,2.93,-2.93,-2.74,-1.79,5.69,5.69,5.69
22.99,8.62,2.93,8.62,2.93,-2.93,-2.74,-1.84,5.69,5.69,5.69
23.22,8.62,2.93,8.62,2.93,-2.93,-2.77,-1.90,5.69,5.69,5.69
23.45,8.62,2.93,8.62,2.93,-2.93,-2.82,-1.95,5.69,5.69,5.69
23.69,8.62,2.93,8.62,2.93,-2.93,-2.87,-2.01,5.69,5.69,5.69
23.92,8.62,2.93,8.62,2.93,-2.93,-2.92,-2.06,5.68,5.69,5.69
24.16,8.62,2.93,8.62,2.93,-2.93,-2.96,-2.12,5.68,5.69,5.69
24.40,8.62,2.93,8.62,2.93,-2.93,-2.99,-2.18,5.69,5.69,5.69
24.65,8.61,2.93,8.61,2.93,-2.93,-3.01,-2.24,5.69,5.69,5.69
24.89,8.61,2.93,8.61,2.93,-2.93,-3.02,-2.30,5.69,5.69,5.69
25.14,8.61,2.92,8.61,2.92,-2.92,-3.02,-2.36,5.69,5.69,5.69
25.39,8.61,2.92,8.61,2.92,-2.92,-3.02,-2.42,5.69,5.69,5.69
25.65,8.60,2.92,8.60,2.92,-2.92,-3.01,-2.48,5.69,5.69,5.69
25.91,8.60,2.91,8.60,2.91,-2.91,-3.00,-2.54,5.69,5.69,5.69
26.16,8.59,2.91,8.59,2.91,-2.91,-2.99,-2.60,5.69,5.69,5.69
26.43,8.59,2.90,8.59,2.90,-2.90,-2.97,-2.66,5.69,5.69,5.69
26.69,8.58,2.90,8.58,2.90,-2.90,-2.95,-2.72,5.69,5.68,5.69
26.96,8.58,2.89,8.58,2.89,-2.89,-2.94,-2.78,5.68,5.68,5.68
27.23,8.57,2.89,8.57,2.89,-2.89,-2.92,-2.84,5.68,5.68,5.68
27.50,8.57,2.88,8.57,2.88,-2.88,-2.90,-2.89,5.68,5.68,5.68
27.77,8.56,2.88,8.56,2.88,-2.88,-2.89,-2.95,5.68,5.68,5.68
28.05,8.55,2.87,8.55,2.87,-2.87,-2.87,-3.00,5.68,5.68,5.68
28.33,8.54,2.87,8.54,2.87,-2.86,-2.86,-3.05,5.68,5.68,5.68
28.62,8.53,2.86,8.53,2.86,-2.86,-2.85,-3.09,5.68,5.68,5.68
28.90,8.53,2.85,8.53,2.85,-2.84,-2.83,-3.13,5.68,5.68,5.68
29.19,8.52,2.83,8.52,2.83,-2.83,-2.82,-3.18,5.69,5.69,5.68
29.48,8.51,2.82,8.51,2.82,-2.81,-2.81,-3.21,5.69,5.69,5.69
29.78,8.50,2.80,8.50,2.80,-2.80,-2.79,-3.24,5.70,5.70,5.70
30.08,8.49,2.78,8.49,2.78,-2.78,-2.78,-3.27,5.70,5.70,5.71
30.38,8.47,2.76,8.47,2.76,-2.77,-2.77,-3.30,5.71,5.71,5.71
30.68,8.46,2.75,8.46,2.75,-2.75,-2.76,-3.31,5.71,5.71,5.72
30.99,8.45,2.73,8.45,2.74,-2.74,-2.75,-3.33,5.71,5.71,5.72
31.30,8.44,2.73,8.44,2.73,-2.73,-2.74,-3.34,5.71,5.71,5.71
31.61,8.42,2.72,8.42,2.72,-2.72,-2.73,-3.34,5.70,5.70,5.70
31.93,8.41,2.71,8.41,2.72,-2.72,-2.72,-3.34,5.69,5.69,5.70
32.24,8.40,2.71,8.40,2.71,-2.71,-2.71,-3.34,5.69,5.69,5.68
32.57,8.38,2.71,8.38,2.71,-2.70,-2.70,-3.33,5.68,5.68,5.67
32.89,8.37,2.70,8.37,2.70,-2.70,-2.69,-3.32,5.67,5.67,5.66
33.22,8.35,2.69,8.35,2.69,-2.69,-2.68,-3.30,5.66,5.66,5.66
33.55,8.33,2.68,8.33,2.68,-2.67,-2.67,-3.29,5.66,5.66,5.65
33.89,8.32,2.66,8.32,2.66,-2.66,-2.66,-3.26,5.65,5.65,5.65
34.23,8.30,2.64,8.30,2.65,-2.65,-2.65,-3.24,5.65,5.65,5.65
34.57,8.28,2.63,8.28,2.63,-2.63,-2.64,-3.21,5.65,5.65,5.65
34.92,8.26,2.61,8.26,2.61,-2.62,-2.64,-3.17,5.64,5.64,5.65
35.27,8.24,2.60,8.24,2.60,-2.60,-2.63,-3.14,5.64,5.64,5.64
35.62,8.22,2.58,8.22,2.58,-2.59,-2.62,-3.10,5.63,5.63,5.63
35.97,8.20,2.57,8.20,2.57,-2.57,-2.61,-3.07,5.62,5.62,5.62
36.33,8.18,2.56,8.18,2.56,-2.56,-2.60,-3.03,5.61,5.61,5.61
36.70,8.15,2.55,8.15,2.55,-2.55,-2.59,-2.99,5.60,5.60,5.60
37.06,8.13,2.54,8.13,2.54,-2.54,-2.58,-2.95,5.59,5.59,5.58
37.43,8.10,2.53,8.10,2.53,-2.53,-2.57,-2.91,5.57,5.57,5.57
37.81,8.08,2.52,8.08,2.52,-2.52,-2.56,-2.87,5.56,5.56,5.56
38.19,8.05,2.51,8.05,2.51,-2.51,-2.55,-2.83,5.55,5.55,5.55
38.57,8.03,2.49,8.03,2.49,-2.49,-2.54,-2.79,5.53,5.53,5.53
38.95,8.00,2.48,8.00,2.48,-2.48,-2.53,-2.75,5.52,5.52,5.52
39.34,7.97,2.47,7.97,2.47,-2.47,-2.52,-2.71,5.50,5.50,5.50
39.74,7.94,2.46,7.94,2.46,-2.46,-2.51,-2.67,5.49,5.49,5.49
40.14,7.91,2.44,7.91,2.44,-2.44,-2.50,-2.64,5.47,5.47,5.47
40.54,7.89,2.43,7.89,2.43,-2.43,-2.49,-2.60,5.45,5.45,5.45
40.94,7.86,2.42,7.86,2.42,-2.42,-2.48,-2.57,5.43,5.43,5.43
41.35,7.82,2.41,7.82,2.41,-2.41,-2.47,-2.54,5.41,5.41,5.41
41.76,7.79,2.40,7.79,2.40,-2.40,-2.46,-2.51,5.39,5.39,5.39
42.18,7.76,2.39,7.76,2.39,-2.39,-2.44,-2.48,5.37,5.37,5.37
42.60,7.73,2.38,7.73,2.38,-2.38,-2.43,-2.45,5.35,5.35,5.35
43.03,7.70,2.37,7.70,2.37,-2.37,-2.42,-2.42,5.32,5.32,5.32
43.46,7.66,2.36,7.66,2.36,-2.36,-2.41,-2.40,5.30,5.30,5.30
43.90,7.63,2.35,7.63,2.35,-2.35,-2.40,-2.38,5.28,5.28,5.28
44.33,7.59,2.34,7.60,2.34,-2.34,-2.39,-2.36,5.25,5.25,5.25
44.78,7.56,2.34,7.56,2.34,-2.34,-2.38,-2.34,5.22,5.22,5.22
45.23,7.53,2.33,7.53,2.33,-2.33,-2.37,-2.32,5.20,5.20,5.20
45.68,7.49,2.32,7.49,2.32,-2.32,-2.36,-2.31,5.17,5.17,5.17
46.13,7.45,2.31,7.45,2.31,-2.31,-2.35,-2.30,5.14,5.14,5.14
46.60,7.42,2.30,7.42,2.30,-2.30,-2.34,-2.29,5.11,5.11,5.12
47.06,7.38,2.29,7.38,2.29,-2.29,-2.33,-2.28,5.09,5.09,5.09
47.53,7.34,2.29,7.34,2.29,-2.29,-2.32,-2.27,5.06,5.05,5.06
48.01,7.30,2.28,7.30,2.28,-2.28,-2.31,-2.26,5.02,5.02,5.02
48.49,7.26,2.27,7.26,2.27,-2.27,-2.30,-2.26,4.99,4.99,4.99
48.97,7.22,2.27,7.22,2.27,-2.27,-2.29,-2.26,4.96,4.96,4.96
49.46,7.18,2.26,7.18,2.26,-2.26,-2.28,-2.26,4.92,4.92,4.92
49.96,7.14,2.25,7.14,2.25,-2.25,-2.27,-2.26,4.89,4.89,4.89
50.46,7.10,2.25,7.10,2.25,-2.25,-2.26,-2.26,4.86,4.86,4.86
50.96,7.06,2.24,7.06,2.24,-2.24,-2.25,-2.26,4.82,4.82,4.82
51.47,7.02,2.23,7.02,2.23,-2.23,-2.24,-2.26,4.78,4.78,4.78
51.99,6.98,2.23,6.98,2.23,-2.23,-2.23,-2.27,4.75,4.75,4.75
52.51,6.93,2.22,6.93,2.22,-2.22,-2.22,-2.27,4.71,4.71,4.71
53.03,6.89,2.22,6.89,2.22,-2.22,-2.22,-2.28,4.67,4.67,4.67
53.56,6.84,2.21,6.84,2.21,-2.21,-2.21,-2.28,4.63,4.63,4.63
54.10,6.80,2.21,6.80,2.21,-2.21,-2.20,-2.29,4.59,4.59,4.59
54.64,6.76,2.20,6.76,2.20,-2.20,-2.19,-2.29,4.55,4.55,4.55
55.18,6.71,2.20,6.71,2.20,-2.20,-2.18,-2.30,4.51,4.51,4.51
55.74,6.66,2.20,6.66,2.20,-2.20,-2.18,-2.30,4.47,4.47,4.47
56.29,6.62,2.19,6.62,2.19,-2.19,-2.17,-2.31,4.43,4.43,4.43
56.86,6.57,2.19,6.57,2.19,-2.19,-2.16,-2.31,4.38,4.38,4.38
57.42,6.52,2.19,6.52,2.19,-2.19,-2.16,-2.31,4.34,4.34,4.34
58.00,6.48,2.19,6.48,2.19,-2.18,-2.15,-2.32,4.29,4.29,4.29
58.58,6.43,2.18,6.43,2.18,-2.18,-2.14,-2.32,4.25,4.25,4.25
59.16,6.38,2.18,6.38,2.18,-2.18,-2.14,-2.32,4.20,4.20,4.20
59.76,6.33,2.18,6.33,2.18,-2.18,-2.13,-2.31,4.15,4.15,4.16
60.35,6.28,2.17,6.28,2.17,-2.18,-2.13,-2.31,4.11,4.11,4.11
60.96,6.23,2.17,6.23,2.17,-2.17,-2.12,-2.30,4.06,4.06,4.06
61.57,6.18,2.17,6.18,2.17,-2.17,-2.12,-2.30,4.01,4.01,4.01
62.18,6.13,2.17,6.13,2.17,-2.17,-2.12,-2.29,3.96,3.96,3.96
62.80,6.08,2.17,6.08,2.17,-2.17,-2.11,-2.27,3.91,3.91,3.91
63.43,6.02,2.16,6.02,2.16,-2.16,-2.11,-2.26,3.86,3.86,3.86
64.07,5.97,2.16,5.97,2.16,-2.16,-2.11,-2.25,3.81,3.81,3.81
64.71,5.91,2.16,5.91,2.16,-2.16,-2.10,-2.23,3.76,3.76,3.76
65.35,5.86,2.15,5.86,2.15,-2.15,-2.10,-2.21,3.70,3.71,3.71
66.01,5.80,2.15,5.80,2.15,-2.15,-2.10,-2.19,3.65,3.65,3.65
66.67,5.75,2.15,5.75,2.15,-2.15,-2.10,-2.17,3.60,3.60,3.60
67.33,5.69,2.15,5.69,2.15,-2.15,-2.10,-2.14,3.55,3.55,3.55
68.01,5.64,2.14,5.64,2.14,-2.14,-2.09,-2.12,3.49,3.49,3.49
68.69,5.58,2.14,5.58,2.14,-2.14,-2.09,-2.09,3.44,3.44,3.44
69.37,5.52,2.14,5.52,2.14,-2.14,-2.09,-2.06,3.38,3.38,3.38
70.07,5.46,2.13,5.46,2.13,-2.13,-2.09,-2.03,3.33,3.33,3.33
70.77,5.40,2.13,5.40,2.13,-2.13,-2.09,-2.00,3.27,3.27,3.27
71.48,5.34,2.13,5.34,2.13,-2.13,-2.09,-1.97,3.21,3.21,3.21
72.19,5.28,2.13,5.28,2.13,-2.13,-2.09,-1.94,3.15,3.15,3.15
72.91,5.22,2.12,5.22,2.12,-2.12,-2.09,-1.91,3.09,3.09,3.09
73.64,5.16,2.12,5.16,2.12,-2.12,-2.09,-1.87,3.03,3.03,3.03
74.38,5.09,2.12,5.09,2.12,-2.12,-2.09,-1.84,2.98,2.98,2.97
75.12,5.03,2.11,5.03,2.11,-2.11,-2.09,-1.81,2.92,2.92,2.91
75.87,4.96,2.11,4.96,2.11,-2.11,-2.09,-1.78,2.86,2.86,2.85
76.63,4.90,2.10,4.90,2.10,-2.10,-2.09,-1.75,2.80,2.80,2.80
77.40,4.83,2.09,4.83,2.09,-2.10,-2.08,-1.72,2.74,2.74,2.74
78.17,4.76,2.09,4.76,2.09,-2.09,-2.08,-1.69,2.67,2.67,2.68
78.95,4.69,2.08,4.69,2.08,-2.08,-2.08,-1.66,2.61,2.61,2.61
79.74,4.63,2.07,4.63,2.07,-2.07,-2.08,-1.63,2.55,2.55,2.55
80.54,4.55,2.07,4.55,2.07,-2.07,-2.08,-1.60,2.49,2.49,2.49
81.35,4.48,2.06,4.48,2.06,-2.06,-2.07,-1.57,2.43,2.43,2.42
82.16,4.41,2.05,4.41,2.05,-2.05,-2.07,-1.54,2.36,2.36,2.36
82.98,4.34,2.04,4.34,2.04,-2.04,-2.06,-1.52,2.30,2.30,2.30
83.81,4.26,2.03,4.26,2.03,-2.03,-2.06,-1.49,2.24,2.24,2.24
84.65,4.19,2.02,4.19,2.02,-2.02,-2.05,-1.47,2.17,2.17,2.18
85.50,4.12,2.00,4.12,2.00,-2.01,-2.04,-1.45,2.11,2.11,2.11
86.35,4.04,1.99,4.04,1.99,-1.99,-2.04,-1.42,2.05,2.05,2.05
87.22,3.96,1.98,3.96,1.98,-1.98,-2.03,-1.40,1.98,1.98,1.98
88.09,3.89,1.97,3.89,1.97,-1.97,-2.01,-1.38,1.92,1.92,1.92
88.97,3.81,1.96,3.81,1.96,-1.95,-2.00,-1.36,1.86,1.86,1.85
89.86,3.73,1.94,3.73,1.94,-1.94,-1.99,-1.35,1.79,1.79,1.79
90.76,3.66,1.92,3.66,1.92,-1.92,-1.98,-1.33,1.73,1.73,1.73
91.66,3.58,1.90,3.58,1.90,-1.91,-1.96,-1.31,1.67,1.67,1.67
92.58,3.50,1.89,3.50,1.89,-1.89,-1.94,-1.30,1.60,1.60,1.61
93.51,3.42,1.88,3.42,1.88,-1.88,-1.93,-1.29,1.54,1.54,1.54
94.44,3.34,1.86,3.34,1.86,-1.86,-1.91,-1.27,1.48,1.48,1.48
95.39,3.26,1.85,3.26,1.85,-1.85,-1.89,-1.26,1.41,1.41,1.41
96.34,3.18,1.83,3.18,1.83,-1.83,-1.86,-1.25,1.35,1.35,1.35
97.30,3.10,1.81,3.10,1.81,-1.81,-1.84,-1.24,1.28,1.28,1.28
98.28,3.02,1.79,3.02,1.79,-1.80,-1.82,-1.23,1.22,1.22,1.22
99.26,2.93,1.78,2.93,1.77,-1.78,-1.79,-1.22,1.16,1.16,1.16
100.25,2.85,1.75,2.85,1.75,-1.75,-1.76,-1.21,1.10,1.10,1.10
101.25,2.77,1.73,2.77,1.73,-1.73,-1.74,-1.21,1.03,1.03,1.03
102.27,2.68,1.71,2.68,1.71,-1.71,-1.71,-1.20,0.97,0.97,0.97
103.29,2.60,1.69,2.60,1.69,-1.69,-1.68,-1.19,0.91,0.91,0.91
104.32,2.51,1.66,2.51,1.66,-1.66,-1.65,-1.19,0.85,0.85,0.85
105.37,2.42,1.63,2.42,1.63,-1.63,-1.61,-1.18,0.79,0.79,0.79
106.42,2.33,1.61,2.33,1.61,-1.61,-1.58,-1.18,0.73,0.73,0.73
107.48,2.24,1.58,2.24,1.58,-1.58,-1.55,-1.17,0.67,0.67,0.67
108.56,2.15,1.55,2.15,1.55,-1.55,-1.51,-1.17,0.60,0.61,0.60
109.64,2.06,1.52,2.06,1.52,-1.52,-1.48,-1.16,0.54,0.55,0.54
110.74,1.97,1.48,1.97,1.48,-1.48,-1.44,-1.16,0.49,0.49,0.48
111.85,1.87,1.45,1.87,1.45,-1.45,-1.41,-1.15,0.43,0.43,0.43
112.97,1.78,1.41,1.78,1.41,-1.41,-1.37,-1.15,0.37,0.37,0.37
114.10,1.69,1.38,1.69,1.38,-1.38,-1.33,-1.14,0.31,0.31,0.31
115.24,1.59,1.34,1.59,1.34,-1.34,-1.29,-1.14,0.25,0.25,0.25
116.39,1.49,1.30,1.49,1.30,-1.30,-1.25,-1.13,0.19,0.19,0.19
117.55,1.40,1.27,1.40,1.27,-1.27,-1.22,-1.12,0.13,0.13,0.13
118.73,1.30,1.23,1.30,1.23,-1.23,-1.18,-1.12,0.07,0.07,0.07
119.92,1.20,1.19,1.20,1.19,-1.19,-1.14,-1.11,0.01,0.01,0.01
121.12,1.10,1.15,1.10,1.15,-1.15,-1.10,-1.10,-0.05,-0.05,-0.05
