frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.36,-3.25,4.36,-3.25,3.26,-0.04,0.93,7.62,7.62,7.61
20.20,4.40,-3.22,4.40,-3.22,3.22,-0.05,0.96,7.62,7.62,7.61
20.40,4.43,-3.18,4.43,-3.18,3.18,-0.05,0.99,7.62,7.61,7.61
20.61,4.47,-3.15,4.47,-3.15,3.14,-0.05,1.02,7.61,7.61,7.61
20.81,4.50,-3.11,4.51,-3.11,3.10,-0.05,1.05,7.61,7.61,7.61
21.02,4.54,-3.07,4.54,-3.07,3.06,-0.05,1.08,7.61,7.61,7.61
21.23,4.58,-3.03,4.59,-3.03,3.02,-0.05,1.12,7.61,7.61,7.61
21.44,4.63,-2.98,4.63,-2.98,2.98,-0.05,1.15,7.61,7.61,7.61
21.66,4.68,-2.93,4.68,-2.93,2.93,-0.05,1.19,7.61,7.61,7.61
21.87,4.73,-2.89,4.73,-2.89,2.89,-0.05,1.22,7.61,7.61,7.61
22.09,4.78,-2.84,4.78,-2.84,2.84,-0.06,1.26,7.62,7.62,7.61
22.31,4.83,-2.79,4.83,-2.79,2.79,-0.06,1.30,7.62,7.62,7.61
22.54,4.87,-2.74,4.87,-2.74,2.75,-0.06,1.34,7.62,7.62,7.61
22.76,4.91,-2.70,4.91,-2.70,2.71,-0.06,1.38,7.62,7.62,7.61
22.99,4.95,-2.67,4.95,-2.67,2.67,-0.06,1.42,7.62,7.62,7.61
23.22,4.98,-2.63,4.98,-2.63,2.63,-0.06,1.47,7.61,7.62,7.61
23.45,5.01,-2.60,5.01,-2.60,2.60,-0.06,1.51,7.61,7.61,7.61
23.69,5.05,-2.57,5.05,-2.57,2.56,-0.06,1.55,7.61,7.61,7.61
23.92,5.08,-2.53,5.08,-2.53,2.53,-0.06,1.60,7.61,7.61,7.61
24.16,5.12,-2.50,5.12,-2.50,2.49,-0.07,1.64,7.61,7.61,7.61
24.40,5.15,-2.46,5.15,-2.46,2.46,-0.07,1.69,7.61,7.61,7.61
24.65,5.19,-2.43,5.19,-2.43,2.43,-0.07,1.74,7.62,7.62,7.61
24.89,5.22,-2.39,5.22,-2.39,2.40,-0.07,1.78,7.62,7.62,7.61
25.14,5.25,-2.36,5.25,-2.36,2.37,-0.07,1.83,7.62,7.62,7.61
25.39,5.28,-2.33,5.28,-2.33,2.34,-0.07,1.88,7.62,7.62,7.61
25.65,5.30,-2.31,5.30,-2.31,2.32,-0.07,1.93,7.62,7.62,7.61
25.91,5.32,-2.29,5.32,-2.29,2.29,-0.08,1.97,7.61,7.61,7.61
26.16,5.34,-2.27,5.34,-2.27,2.27,-0.08,2.02,7.61,7.61,7.61
26.43,5.36,-2.25,5.36,-2.25,2.24,-0.08,2.07,7.60,7.60,7.61
26.69,5.39,-2.22,5.39,-2.22,2.21,-0.08,2.11,7.60,7.60,7.61
26.96,5.42,-2.19,5.42,-2.19,2.18,-0.08,2.16,7.61,7.61,7.61
27.23,5.46,-2.16,5.46,-2.16,2.15,-0.08,2.20,7.61,7.61,7.61
27.50,5.49,-2.12,5.49,-2.12,2.12,-0.09,2.24,7.62,7.62,7.61
27.77,5.52,-2.09,5.52,-2.09,2.10,-0.09,2.28,7.62,7.62,7.61
28.05,5.55,-2.06,5.55,-2.06,2.07,-0.09,2.32,7.62,7.62,7.61
28.33,5.57,-2.04,5.57,-2.04,2.05,-0.09,2.35,7.62,7.62,7.61
28.62,5.58,-2.03,5.58,-2.03,2.03,-0.09,2.39,7.61,7.61,7.60
28.90,5.59,-2.02,5.59,-2.02,2.02,-0.10,2.41,7.61,7.61,7.61
29.19,5.60,-2.01,5.60,-2.01,2.01,-0.10,2.44,7.61,7.61,7.61
29.48,5.61,-2.01,5.61,-2.00,2.00,-0.10,2.46,7.61,7.61,7.62
29.78,5.64,-1.99,5.64,-1.99,1.99,-0.10,2.48,7.62,7.62,7.63
30.08,5.66,-1.97,5.66,-1.97,1.97,-0.10,2.49,7.63,7.63,7.64
30.38,5.69,-1.95,5.69,-1.95,1.95,-0.11,2.51,7.64,7.64,7.64
30.68,5.71,-1.93,5.71,-1.93,1.93,-0.11,2.51,7.65,7.64,7.65
30.99,5.73,-1.91,5.73,-1.91,1.91,-0.11,2.51,7.64,7.64,7.64
31.30,5.76,-1.88,5.76,-1.88,1.88,-0.11,2.51,7.64,7.64,7.64
31.61,5.78,-1.85,5.78,-1.85,1.85,-0.12,2.50,7.63,7.63,7.63
31.93,5.80,-1.82,5.80,-1.82,1.82,-0.12,2.49,7.62,7.62,7.62
32.24,5.83,-1.79,5.83,-1.79,1.79,-0.12,2.48,7.62,7.62,7.61
32.57,5.85,-1.75,5.85,-1.75,1.76,-0.12,2.46,7.61,7.61,7.60
32.89,5.87,-1.72,5.87,-1.72,1.73,-0.13,2.43,7.60,7.60,7.59
33.22,5.89,-1.69,5.89,-1.69,1.70,-0.13,2.40,7.59,7.59,7.59
33.55,5.91,-1.67,5.91,-1.67,1.67,-0.13,2.37,7.58,7.58,7.58
33.89,5.93,-1.65,5.93,-1.65,1.65,-0.13,2.34,7.58,7.58,7.58
34.23,5.95,-1.63,5.95,-1.63,1.63,-0.14,2.30,7.59,7.59,7.58
34.57,5.97,-1.61,5.97,-1.61,1.62,-0.14,2.25,7.59,7.59,7.58
34.92,5.98,-1.59,5.98,-1.60,1.60,-0.14,2.21,7.59,7.58,7.58
35.27,5.99,-1.59,5.98,-1.59,1.58,-0.15,2.16,7.57,7.57,7.57
35.62,5.99,-1.58,5.99,-1.58,1.56,-0.15,2.12,7.55,7.55,7.56
35.97,5.99,-1.56,5.99,-1.56,1.54,-0.15,2.06,7.53,7.53,7.55
36.33,6.01,-1.53,6.01,-1.53,1.52,-0.16,2.01,7.53,7.53,7.54
36.70,6.04,-1.48,6.04,-1.48,1.49,-0.16,1.96,7.53,7.54,7.53
37.06,6.08,-1.44,6.07,-1.44,1.47,-0.16,1.90,7.54,7.54,7.51
37.43,6.10,-1.40,6.09,-1.41,1.44,-0.17,1.85,7.54,7.53,7.50
37.81,6.10,-1.39,6.10,-1.39,1.40,-0.17,1.79,7.51,7.50,7.49
38.19,6.10,-1.37,6.10,-1.37,1.36,-0.17,1.73,7.46,7.46,7.48
38.57,6.11,-1.35,6.12,-1.34,1.30,-0.18,1.67,7.41,7.42,7.46
38.95,6.16,-1.29,6.16,-1.29,1.23,-0.18,1.62,7.39,7.39,7.45
39.34,6.22,-1.21,6.22,-1.21,1.16,-0.19,1.56,7.38,7.38,7.43
39.74,6.30,-1.11,6.31,-1.11,1.09,-0.19,1.50,7.39,7.40,7.42
40.14,6.39,-1.01,6.39,-1.01,1.04,-0.19,1.44,7.43,7.43,7.40
40.54,6.47,-0.91,6.46,-0.92,1.00,-0.20,1.39,7.47,7.46,7.38
40.94,6.48,-0.88,6.48,-0.89,0.99,-0.20,1.33,7.47,7.46,7.36
