frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.62,-5.94,9.62,-5.94,5.94,-0.04,2.10,15.56,15.56,15.56
20.20,9.65,-5.93,9.65,-5.93,5.93,-0.05,2.17,15.58,15.58,15.58
20.40,9.68,-5.92,9.68,-5.92,5.92,-0.05,2.23,15.60,15.60,15.60
20.61,9.71,-5.91,9.71,-5.91,5.91,-0.05,2.30,15.62,15.62,15.62
20.81,9.74,-5.89,9.74,-5.89,5.89,-0.05,2.36,15.63,15.63,15.63
21.02,9.77,-5.88,9.77,-5.88,5.87,-0.05,2.43,15.64,15.64,15.64
21.23,9.80,-5.86,9.80,-5.85,5.85,-0.05,2.50,15.65,15.65,15.65
21.44,9.83,-5.83,9.83,-5.83,5.83,-0.05,2.58,15.65,15.66,15.66
21.66,9.86,-5.80,9.86,-5.80,5.80,-0.05,2.66,15.66,15.66,15.66
21.87,9.89,-5.77,9.89,-5.77,5.77,-0.05,2.73,15.66,15.66,15.66
22.09,9.92,-5.74,9.92,-5.74,5.74,-0.05,2.81,15.66,15.66,15.66
22.31,9.95,-5.71,9.95,-5.71,5.71,-0.06,2.90,15.66,15.66,15.66
22.54,9.98,-5.67,9.98,-5.67,5.68,-0.06,2.98,15.65,15.65,15.65
22.76,10.00,-5.64,10.00,-5.64,5.64,-0.06,3.07,15.65,15.65,15.64
22.99,10.03,-5.60,10.03,-5.60,5.61,-0.06,3.16,15.63,15.63,15.63
23.22,10.05,-5.57,10.05,-5.57,5.57,-0.06,3.25,15.62,15.62,15.62
23.45,10.08,-5.53,10.08,-5.53,5.53,-0.06,3.34,15.61,15.61,15.61
23.69,10.10,-5.49,10.10,-5.49,5.49,-0.06,3.44,15.59,15.59,15.59
23.92,10.12,-5.45,10.12,-5.45,5.45,-0.06,3.54,15.57,15.57,15.57
24.16,10.14,-5.41,10.14,-5.41,5.41,-0.07,3.64,15.55,15.55,15.55
24.40,10.17,-5.36,10.17,-5.36,5.36,-0.07,3.73,15.53,15.53,15.53
24.65,10.19,-5.32,10.19,-5.32,5.32,-0.07,3.84,15.51,15.51,15.51
24.89,10.21,-5.27,10.21,-5.27,5.27,-0.07,3.94,15.48,15.48,15.48
25.14,10.24,-5.22,10.24,-5.22,5.22,-0.07,4.04,15.45,15.45,15.46
25.39,10.26,-5.17,10.26,-5.17,5.17,-0.07,4.15,15.43,15.43,15.43
25.65,10.28,-5.12,10.28,-5.12,5.12,-0.07,4.25,15.40,15.40,15.40
25.91,10.30,-5.07,10.30,-5.07,5.07,-0.08,4.36,15.37,15.37,15.37
26.16,10.32,-5.01,10.32,-5.01,5.02,-0.08,4.46,15.34,15.34,15.33
26.43,10.34,-4.96,10.34,-4.96,4.97,-0.08,4.56,15.31,15.31,15.30
26.69,10.35,-4.92,10.35,-4.92,4.92,-0.08,4.67,15.28,15.28,15.27
26.96,10.37,-4.87,10.37,-4.87,4.88,-0.08,4.77,15.25,15.25,15.24
27.23,10.38,-4.83,10.38,-4.83,4.84,-0.08,4.86,15.21,15.21,15.21
27.50,10.39,-4.79,10.39,-4.79,4.79,-0.09,4.96,15.18,15.18,15.18
27.77,10.40,-4.76,10.40,-4.76,4.75,-0.09,5.05,15.15,15.15,15.15
28.05,10.41,-4.71,10.41,-4.71,4.71,-0.09,5.14,15.12,15.12,15.12
28.33,10.42,-4.67,10.42,-4.67,4.66,-0.09,5.22,15.09,15.09,15.09
28.62,10.43,-4.62,10.43,-4.62,4.62,-0.09,5.29,15.05,15.05,15.06
28.90,10.45,-4.57,10.45,-4.57,4.57,-0.10,5.36,15.02,15.02,15.02
29.19,10.46,-4.52,10.46,-4.52,4.53,-0.10,5.43,14.99,14.99,14.98
29.48,10.48,-4.47,10.48,-4.47,4.48,-0.10,5.48,14.95,14.95,14.95
29.78,10.49,-4.43,10.49,-4.43,4.43,-0.10,5.53,14.92,14.92,14.92
30.08,10.51,-4.38,10.51,-4.38,4.38,-0.10,5.56,14.89,14.89,14.89
30.38,10.53,-4.34,10.53,-4.34,4.33,-0.11,5.59,14.86,14.86,14.87
30.68,10.55,-4.29,10.55,-4.29,4.29,-0.11,5.61,14.84,14.84,14.84
30.99,10.57,-4.25,10.57,-4.25,4.25,-0.11,5.62,14.82,14.82,14.81
31.30,10.58,-4.21,10.58,-4.21,4.21,-0.11,5.62,14.79,14.79,14.79
31.61,10.60,-4.17,10.60,-4.17,4.18,-0.12,5.61,14.77,14.77,14.77
31.93,10.61,-4.14,10.60,-4.14,4.14,-0.12,5.59,14.75,14.75,14.74
32.24,10.61,-4.11,10.61,-4.11,4.11,-0.12,5.56,14.72,14.72,14.72
32.57,10.61,-4.08,10.61,-4.08,4.08,-0.12,5.52,14.69,14.69,14.70
32.89,10.62,-4.06,10.62,-4.05,4.05,-0.13,5.48,14.67,14.67,14.67
33.22,10.62,-4.02,10.62,-4.02,4.02,-0.13,5.42,14.64,14.64,14.65
33.55,10.63,-3.99,10.63,-3.99,3.99,-0.13,5.36,14.62,14.62,14.62
33.89,10.64,-3.96,10.64,-3.96,3.96,-0.13,5.28,14.60,14.60,14.59
34.23,10.64,-3.93,10.64,-3.93,3.93,-0.14,5.20,14.57,14.57,14.57
34.57,10.65,-3.89,10.65,-3.89,3.90,-0.14,5.12,14.55,14.55,14.55
34.92,10.66,-3.86,10.66,-3.86,3.86,-0.14,5.03,14.52,14.52,14.52
35.27,10.67,-3.83,10.67,-3.83,3.82,-0.15,4.93,14.49,14.49,14.49
35.62,10.67,-3.79,10.67,-3.79,3.78,-0.15,4.83,14.45,14.45,14.46
35.97,10.68,-3.74,10.68,-3.74,3.74,-0.15,4.73,14.42,14.42,14.42
36.33,10.69,-3.69,10.69,-3.69,3.69,-0.16,4.62,14.38,14.38,14.38
36.70,10.69,-3.64,10.69,-3.64,3.64,-0.16,4.52,14.33,14.33,14.33
37.06,10.70,-3.59,10.70,-3.59,3.58,-0.16,4.41,14.29,14.28,14.29
37.43,10.71,-3.53,10.71,-3.53,3.53,-0.17,4.29,14.24,14.24,14.24
37.81,10.71,-3.48,10.71,-3.47,3.48,-0.17,4.18,14.19,14.19,14.19
38.19,10.72,-3.42,10.72,-3.42,3.43,-0.17,4.07,14.15,14.15,14.14
38.57,10.72,-3.37,10.72,-3.37,3.38,-0.18,3.96,14.11,14.11,14.09
38.95,10.73,-3.33,10.73,-3.33,3.34,-0.18,3.84,14.07,14.07,14.06
39.34,10.73,-3.29,10.73,-3.29,3.30,-0.18,3.73,14.03,14.03,14.03
39.74,10.74,-3.26,10.74,-3.26,3.25,-0.19,3.62,13.99,13.99,14.00
40.14,10.74,-3.22,10.74,-3.22,3.21,-0.19,3.51,13.95,13.95,13.97
40.54,10.75,-3.18,10.75,-3.18,3.16,-0.20,3.40,13.91,13.91,13.93
40.94,10.75,-3.13,10.75,-3.13,3.12,-0.20,3.30,13.87,13.87,13.88
41.35,10.76,-3.07,10.76,-3.07,3.07,-0.21,3.19,13.83,13.83,13.83
41.76,10.76,-3.01,10.76,-3.01,3.02,-0.21,3.09,13.78,13.78,13.77
42.18,10.77,-2.96,10.77,-2.96,2.97,-0.22,2.99,13.74,13.74,13.73
42.60,10.77,-2.92,10.77,-2.92,2.92,-0.22,2.88,13.69,13.69,13.69
43.03,10.77,-2.88,10.77,-2.88,2.88,-0.23,2.79,13.65,13.64,13.64
43.46,10.76,-2.83,10.76,-2.83,2.83,-0.23,2.69,13.60,13.60,13.60
43.90,10.76,-2.79,10.76,-2.79,2.79,-0.24,2.60,13.55,13.55,13.55
44.33,10.75,-2.75,10.75,-2.75,2.75,-0.24,2.50,13.50,13.51,13.50
44.78,10.75,-2.71,10.75,-2.71,2.71,-0.25,2.41,13.46,13.46,13.46
45.23,10.74,-2.67,10.75,-2.67,2.66,-0.25,2.33,13.41,13.41,13.41
