frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.12,-7.18,7.12,-7.18,6.00,6.01,2.40,13.12,13.12,14.31
20.20,7.14,-7.19,7.14,-7.19,6.00,5.97,2.47,13.14,13.14,14.33
20.40,7.16,-7.19,7.16,-7.19,6.00,5.93,2.54,13.16,13.16,14.35
20.61,7.20,-7.17,7.20,-7.16,6.00,5.91,2.62,13.20,13.20,14.36
20.81,7.26,-7.12,7.26,-7.12,6.00,5.90,2.69,13.26,13.26,14.38
21.02,7.33,-7.06,7.33,-7.06,6.00,5.91,2.77,13.33,13.33,14.39
21.23,7.41,-6.99,7.41,-6.99,6.00,5.92,2.85,13.41,13.41,14.40
21.44,7.49,-6.92,7.49,-6.92,6.00,5.95,2.93,13.49,13.49,14.40
21.66,7.56,-6.85,7.56,-6.85,6.00,5.98,3.02,13.56,13.56,14.41
21.87,7.62,-6.79,7.62,-6.79,6.00,6.00,3.11,13.62,13.62,14.41
22.09,7.66,-6.74,7.66,-6.74,6.00,6.02,3.20,13.66,13.66,14.41
22.31,7.70,-6.70,7.70,-6.70,6.00,6.04,3.29,13.70,13.70,14.40
22.54,7.73,-6.66,7.73,-6.66,6.00,6.06,3.39,13.73,13.73,14.40
22.76,7.77,-6.62,7.77,-6.62,6.00,6.06,3.48,13.77,13.77,14.39
22.99,7.80,-6.58,7.80,-6.58,6.00,6.07,3.58,13.80,13.80,14.38
23.22,7.84,-6.52,7.85,-6.52,6.00,6.07,3.69,13.84,13.85,14.37
23.45,7.89,-6.47,7.89,-6.47,6.00,6.07,3.79,13.89,13.89,14.35
23.69,7.93,-6.41,7.93,-6.41,6.00,6.06,3.90,13.93,13.93,14.34
23.92,7.97,-6.35,7.97,-6.35,6.00,6.05,4.01,13.97,13.97,14.32
24.16,8.00,-6.30,8.00,-6.30,6.00,6.04,4.12,14.00,14.00,14.30
24.40,8.03,-6.25,8.03,-6.25,6.00,6.03,4.23,14.03,14.03,14.28
24.65,8.05,-6.21,8.05,-6.21,6.01,6.01,4.34,14.06,14.06,14.25
24.89,8.07,-6.16,8.07,-6.16,6.01,5.99,4.46,14.07,14.07,14.23
25.14,8.08,-6.12,8.08,-6.12,6.00,5.96,4.58,14.09,14.09,14.20
25.39,8.10,-6.08,8.10,-6.08,5.99,5.94,4.69,14.09,14.09,14.18
25.65,8.12,-6.03,8.12,-6.03,5.98,5.91,4.81,14.09,14.09,14.15
25.91,8.13,-5.98,8.13,-5.98,5.96,5.88,4.93,14.09,14.09,14.11
26.16,8.15,-5.93,8.15,-5.93,5.93,5.85,5.05,14.08,14.08,14.08
26.43,8.16,-5.89,8.16,-5.89,5.89,5.82,5.17,14.06,14.06,14.05
26.69,8.18,-5.84,8.18,-5.84,5.86,5.78,5.28,14.03,14.03,14.02
26.96,8.19,-5.80,8.19,-5.80,5.81,5.75,5.40,14.00,14.00,13.99
27.23,8.20,-5.76,8.20,-5.76,5.77,5.71,5.51,13.97,13.97,13.96
27.50,8.21,-5.72,8.21,-5.72,5.72,5.67,5.62,13.93,13.93,13.93
27.77,8.22,-5.68,8.22,-5.68,5.67,5.63,5.72,13.90,13.90,13.90
28.05,8.24,-5.63,8.24,-5.63,5.63,5.59,5.82,13.87,13.87,13.87
28.33,8.26,-5.58,8.26,-5.58,5.58,5.55,5.91,13.83,13.83,13.84
28.62,8.27,-5.53,8.27,-5.53,5.53,5.50,6.00,13.80,13.80,13.80
28.90,8.29,-5.47,8.29,-5.47,5.47,5.46,6.08,13.77,13.77,13.77
29.19,8.31,-5.42,8.31,-5.42,5.42,5.42,6.16,13.73,13.73,13.73
29.48,8.34,-5.36,8.34,-5.36,5.36,5.37,6.22,13.70,13.70,13.70
