frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.73,-4.79,10.73,-4.78,4.79,4.59,1.81,15.52,15.52,15.52
20.20,10.74,-4.80,10.74,-4.80,4.80,4.62,1.86,15.54,15.54,15.54
20.40,10.75,-4.81,10.75,-4.81,4.81,4.64,1.92,15.56,15.56,15.56
20.61,10.75,-4.82,10.75,-4.82,4.82,4.67,1.98,15.57,15.57,15.58
20.81,10.76,-4.83,10.76,-4.83,4.83,4.70,2.03,15.59,15.59,15.59
21.02,10.76,-4.84,10.76,-4.84,4.83,4.73,2.10,15.60,15.60,15.60
21.23,10.77,-4.84,10.77,-4.84,4.84,4.76,2.16,15.61,15.61,15.61
21.44,10.78,-4.84,10.78,-4.84,4.84,4.80,2.22,15.61,15.61,15.61
21.66,10.78,-4.84,10.78,-4.84,4.84,4.83,2.29,15.62,15.62,15.62
21.87,10.79,-4.83,10.79,-4.83,4.83,4.86,2.36,15.62,15.62,15.62
22.09,10.79,-4.83,10.79,-4.83,4.83,4.89,2.43,15.62,15.62,15.62
22.31,10.79,-4.82,10.79,-4.82,4.82,4.91,2.50,15.62,15.62,15.61
22.54,10.80,-4.81,10.80,-4.81,4.81,4.92,2.57,15.61,15.61,15.61
22.76,10.80,-4.80,10.80,-4.80,4.80,4.92,2.65,15.60,15.60,15.60
22.99,10.80,-4.79,10.80,-4.79,4.79,4.91,2.72,15.59,15.59,15.59
23.22,10.81,-4.77,10.81,-4.77,4.77,4.88,2.81,15.58,15.58,15.58
23.45,10.81,-4.76,10.81,-4.76,4.75,4.85,2.89,15.56,15.56,15.57
23.69,10.82,-4.73,10.82,-4.73,4.73,4.81,2.97,15.55,15.55,15.55
23.92,10.82,-4.71,10.82,-4.71,4.71,4.77,3.05,15.53,15.53,15.53
24.16,10.83,-4.68,10.83,-4.68,4.68,4.71,3.14,15.51,15.51,15.51
24.40,10.84,-4.65,10.84,-4.65,4.65,4.66,3.23,15.49,15.49,15.49
24.65,10.85,-4.62,10.85,-4.62,4.62,4.61,3.31,15.46,15.46,15.46
24.89,10.86,-4.58,10.86,-4.58,4.58,4.56,3.40,15.44,15.44,15.44
25.14,10.87,-4.55,10.87,-4.55,4.54,4.51,3.49,15.41,15.41,15.41
25.39,10.88,-4.51,10.88,-4.51,4.50,4.46,3.58,15.38,15.38,15.39
25.65,10.89,-4.47,10.89,-4.47,4.47,4.41,3.67,15.35,15.35,15.36
25.91,10.89,-4.43,10.90,-4.43,4.43,4.37,3.76,15.32,15.32,15.32
26.16,10.90,-4.39,10.90,-4.39,4.40,4.33,3.85,15.30,15.30,15.29
26.43,10.90,-4.36,10.90,-4.36,4.37,4.29,3.94,15.27,15.27,15.26
26.69,10.89,-4.33,10.90,-4.33,4.35,4.25,4.03,15.25,15.25,15.23
26.96,10.88,-4.32,10.88,-4.32,4.34,4.21,4.12,15.22,15.22,15.20
27.23,10.86,-4.31,10.86,-4.31,4.33,4.18,4.20,15.18,15.18,15.17
27.50,10.83,-4.31,10.83,-4.31,4.32,4.15,4.28,15.14,15.14,15.14
27.77,10.80,-4.31,10.80,-4.31,4.30,4.12,4.36,15.10,15.10,15.11
28.05,10.77,-4.31,10.78,-4.30,4.28,4.09,4.44,15.06,15.06,15.08
28.33,10.77,-4.28,10.77,-4.28,4.25,4.06,4.51,15.02,15.02,15.05
28.62,10.78,-4.24,10.78,-4.24,4.21,4.03,4.57,14.98,14.99,15.01
28.90,10.80,-4.18,10.80,-4.17,4.15,4.00,4.63,14.96,14.96,14.98
29.19,10.84,-4.10,10.84,-4.10,4.09,3.97,4.69,14.93,14.94,14.94
29.48,10.89,-4.02,10.89,-4.02,4.03,3.95,4.73,14.92,14.92,14.91
29.78,10.93,-3.94,10.93,-3.94,3.97,3.92,4.78,14.90,14.90,14.88
30.08,10.97,-3.88,10.97,-3.88,3.91,3.90,4.81,14.88,14.88,14.85
30.38,10.99,-3.84,10.98,-3.84,3.87,3.87,4.84,14.85,14.85,14.82
30.68,10.98,-3.81,10.98,-3.81,3.83,3.85,4.85,14.82,14.81,14.80
30.99,10.97,-3.80,10.97,-3.80,3.81,3.82,4.87,14.77,14.78,14.77
31.30,10.95,-3.80,10.95,-3.80,3.79,3.80,4.87,14.74,14.74,14.75
31.61,10.93,-3.79,10.93,-3.79,3.77,3.77,4.86,14.70,14.70,14.72
31.93,10.92,-3.78,10.92,-3.78,3.76,3.75,4.85,14.68,14.68,14.70
32.24,10.92,-3.76,10.92,-3.76,3.74,3.72,4.83,14.66,14.66,14.68
32.57,10.92,-3.73,10.92,-3.73,3.73,3.70,4.79,14.65,14.65,14.65
32.89,10.93,-3.70,10.93,-3.70,3.71,3.68,4.76,14.64,14.64,14.63
33.22,10.93,-3.68,10.93,-3.68,3.69,3.65,4.71,14.62,14.62,14.61
33.55,10.92,-3.65,10.92,-3.66,3.67,3.63,4.66,14.60,14.59,14.58
33.89,10.91,-3.64,10.91,-3.64,3.65,3.60,4.61,14.56,14.56,14.55
