frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.99,-2.88,10.99,-2.88,2.88,2.39,1.23,13.88,13.88,13.88
20.20,10.99,-2.91,10.99,-2.91,2.91,2.58,1.27,13.90,13.90,13.90
20.40,10.99,-2.93,10.99,-2.93,2.93,2.78,1.30,13.92,13.92,13.92
20.61,10.99,-2.95,10.99,-2.95,2.95,3.00,1.34,13.93,13.93,13.94
20.81,10.98,-2.97,10.98,-2.97,2.97,3.22,1.38,13.95,13.95,13.95
21.02,10.98,-2.98,10.98,-2.98,2.98,3.43,1.43,13.96,13.96,13.96
21.23,10.97,-2.99,10.97,-2.99,2.99,3.65,1.47,13.97,13.97,13.97
21.44,10.97,-3.01,10.97,-3.01,3.00,3.80,1.51,13.97,13.97,13.97
21.66,10.96,-3.01,10.96,-3.01,3.01,3.94,1.56,13.98,13.98,13.98
21.87,10.96,-3.02,10.96,-3.02,3.02,3.97,1.61,13.98,13.98,13.98
22.09,10.95,-3.02,10.95,-3.02,3.02,4.00,1.65,13.98,13.98,13.98
22.31,10.95,-3.02,10.95,-3.03,3.03,3.90,1.70,13.97,13.97,13.97
22.54,10.94,-3.02,10.94,-3.02,3.03,3.80,1.76,13.97,13.97,13.97
22.76,10.94,-3.02,10.94,-3.02,3.02,3.64,1.81,13.96,13.96,13.96
22.99,10.93,-3.02,10.93,-3.02,3.02,3.48,1.86,13.95,13.95,13.95
23.22,10.93,-3.01,10.93,-3.01,3.01,3.32,1.92,13.94,13.94,13.94
23.45,10.92,-3.00,10.92,-3.00,3.00,3.16,1.97,13.93,13.93,13.93
23.69,10.92,-2.99,10.91,-2.99,2.99,3.02,2.03,13.91,13.91,13.91
23.92,10.91,-2.98,10.91,-2.98,2.98,2.88,2.09,13.89,13.89,13.89
24.16,10.90,-2.97,10.90,-2.97,2.97,2.78,2.15,13.87,13.87,13.87
24.40,10.90,-2.95,10.90,-2.95,2.95,2.68,2.21,13.85,13.85,13.85
24.65,10.89,-2.94,10.89,-2.94,2.94,2.61,2.27,13.82,13.83,13.83
24.89,10.88,-2.92,10.88,-2.92,2.92,2.54,2.33,13.80,13.80,13.80
25.14,10.88,-2.90,10.88,-2.90,2.90,2.49,2.39,13.77,13.77,13.77
25.39,10.87,-2.88,10.87,-2.88,2.88,2.44,2.45,13.74,13.74,13.75
