frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.70,-5.12,7.70,-5.12,5.16,-0.00,1.69,12.86,12.86,12.82
20.20,7.71,-5.12,7.71,-5.12,5.13,-0.00,1.74,12.84,12.83,12.83
20.40,7.73,-5.10,7.72,-5.11,5.09,-0.00,1.79,12.82,12.82,12.83
20.61,7.75,-5.08,7.75,-5.08,5.05,-0.00,1.84,12.80,12.81,12.83
20.81,7.79,-5.05,7.79,-5.05,5.02,-0.00,1.90,12.81,12.81,12.84
21.02,7.85,-5.00,7.85,-5.00,4.97,-0.00,1.96,12.82,12.82,12.85
21.23,7.91,-4.94,7.91,-4.94,4.93,-0.00,2.01,12.84,12.84,12.85
21.44,7.98,-4.88,7.98,-4.88,4.89,-0.00,2.07,12.86,12.86,12.86
21.66,8.05,-4.82,8.04,-4.82,4.83,-0.00,2.13,12.88,12.88,12.87
21.87,8.11,-4.76,8.11,-4.77,4.78,-0.00,2.20,12.89,12.89,12.87
22.09,8.17,-4.71,8.17,-4.72,4.73,-0.00,2.26,12.90,12.90,12.88
22.31,8.22,-4.67,8.22,-4.67,4.68,-0.00,2.33,12.90,12.90,12.89
22.54,8.27,-4.63,8.27,-4.63,4.63,-0.00,2.40,12.90,12.90,12.90
22.76,8.32,-4.59,8.32,-4.59,4.59,-0.00,2.47,12.90,12.90,12.91
22.99,8.36,-4.55,8.37,-4.55,4.54,-0.00,2.54,12.90,12.90,12.92
23.22,8.42,-4.50,8.42,-4.50,4.49,-0.00,2.61,12.91,12.91,12.92
23.45,8.48,-4.45,8.48,-4.45,4.44,-0.00,2.69,12.91,12.91,12.92
23.69,8.54,-4.39,8.54,-4.39,4.38,-0.00,2.77,12.92,12.92,12.92
23.92,8.60,-4.32,8.60,-4.32,4.33,-0.00,2.84,12.93,12.93,12.92
24.16,8.65,-4.27,8.65,-4.27,4.28,-0.00,2.92,12.93,12.93,12.92
24.40,8.70,-4.22,8.70,-4.22,4.24,-0.00,3.00,12.94,12.94,12.92
24.65,8.74,-4.18,8.74,-4.18,4.20,-0.00,3.09,12.94,12.94,12.92
24.89,8.77,-4.15,8.77,-4.15,4.16,-0.00,3.17,12.93,12.93,12.93
25.14,8.80,-4.13,8.80,-4.13,4.13,-0.00,3.25,12.93,12.93,12.93
25.39,8.82,-4.12,8.83,-4.11,4.11,-0.00,3.33,12.93,12.93,12.94
25.65,8.85,-4.09,8.86,-4.09,4.08,-0.00,3.42,12.93,12.93,12.95
25.91,8.89,-4.06,8.89,-4.06,4.05,-0.00,3.50,12.94,12.94,12.95
26.16,8.93,-4.03,8.93,-4.03,4.02,-0.00,3.59,12.95,12.95,12.96
26.43,8.97,-3.99,8.97,-3.99,3.99,-0.00,3.67,12.96,12.96,12.96
26.69,9.01,-3.95,9.01,-3.95,3.95,-0.00,3.75,12.96,12.96,12.96
26.96,9.06,-3.90,9.05,-3.90,3.91,-0.00,3.83,12.96,12.96,12.96
27.23,9.09,-3.86,9.09,-3.86,3.87,-0.00,3.91,12.96,12.96,12.96
27.50,9.12,-3.83,9.12,-3.83,3.83,-0.00,3.98,12.95,12.95,12.95
27.77,9.15,-3.79,9.15,-3.79,3.79,-0.00,4.06,12.94,12.94,12.94
28.05,9.18,-3.76,9.18,-3.76,3.76,-0.00,4.13,12.93,12.93,12.94
28.33,9.20,-3.73,9.20,-3.73,3.72,-0.00,4.19,12.92,12.92,12.92
28.62,9.22,-3.69,9.22,-3.69,3.69,-0.00,4.25,12.91,12.91,12.91
28.90,9.24,-3.66,9.24,-3.66,3.67,-0.00,4.31,12.91,12.90,12.90
29.19,9.25,-3.64,9.25,-3.64,3.65,-0.00,4.36,12.90,12.90,12.89
29.48,9.26,-3.62,9.26,-3.62,3.63,-0.00,4.41,12.89,12.89,12.88
29.78,9.27,-3.61,9.27,-3.61,3.62,-0.00,4.45,12.89,12.89,12.88
30.08,9.28,-3.61,9.28,-3.61,3.61,-0.00,4.48,12.89,12.89,12.88
30.38,9.29,-3.60,9.29,-3.60,3.60,-0.00,4.51,12.88,12.88,12.89
30.68,9.31,-3.59,9.31,-3.59,3.58,-0.00,4.52,12.89,12.89,12.90
30.99,9.33,-3.58,9.33,-3.58,3.56,-0.00,4.54,12.89,12.89,12.91
31.30,9.37,-3.55,9.37,-3.54,3.53,-0.01,4.54,12.90,12.90,12.92
31.61,9.41,-3.50,9.41,-3.50,3.49,-0.01,4.54,12.90,12.90,12.92
31.93,9.46,-3.45,9.46,-3.45,3.45,-0.01,4.53,12.90,12.90,12.91
32.24,9.50,-3.39,9.50,-3.39,3.40,-0.01,4.52,12.90,12.90,12.90
32.57,9.55,-3.34,9.55,-3.34,3.35,-0.01,4.49,12.90,12.90,12.89
32.89,9.59,-3.28,9.59,-3.29,3.30,-0.01,4.46,12.89,12.89,12.87
33.22,9.63,-3.24,9.63,-3.24,3.25,-0.01,4.42,12.88,12.88,12.87
33.55,9.66,-3.20,9.66,-3.21,3.21,-0.01,4.38,12.87,12.87,12.86
33.89,9.69,-3.17,9.69,-3.17,3.17,-0.01,4.34,12.86,12.86,12.86
34.23,9.71,-3.15,9.71,-3.15,3.14,-0.01,4.28,12.85,12.85,12.86
34.57,9.73,-3.12,9.73,-3.12,3.11,-0.01,4.23,12.84,12.84,12.85
34.92,9.76,-3.09,9.76,-3.09,3.08,-0.01,4.17,12.84,12.84,12.84
35.27,9.78,-3.06,9.78,-3.06,3.05,-0.01,4.10,12.83,12.83,12.83
35.62,9.80,-3.02,9.80,-3.02,3.03,-0.01,4.03,12.82,12.82,12.82
35.97,9.82,-2.99,9.82,-3.00,3.00,-0.01,3.96,12.82,12.82,12.82
36.33,9.84,-2.97,9.84,-2.97,2.97,-0.01,3.89,12.82,12.82,12.81
