frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.82,-6.58,4.82,-6.58,6.00,5.88,2.52,10.82,10.82,11.40
20.20,4.85,-6.55,4.85,-6.55,6.00,5.91,2.59,10.85,10.85,11.40
20.40,4.88,-6.52,4.88,-6.52,6.00,5.93,2.66,10.88,10.88,11.40
20.61,4.92,-6.48,4.93,-6.48,6.00,5.95,2.74,10.92,10.93,11.41
20.81,4.97,-6.44,4.97,-6.44,6.00,5.97,2.82,10.97,10.97,11.41
21.02,5.03,-6.39,5.03,-6.39,6.00,5.99,2.90,11.03,11.03,11.42
21.23,5.08,-6.34,5.08,-6.34,6.00,6.01,2.98,11.08,11.08,11.43
21.44,5.14,-6.29,5.14,-6.29,6.00,6.03,3.07,11.14,11.14,11.43
21.66,5.19,-6.25,5.19,-6.25,6.00,6.04,3.15,11.19,11.19,11.44
21.87,5.24,-6.21,5.24,-6.21,6.00,6.04,3.25,11.24,11.24,11.45
22.09,5.28,-6.18,5.28,-6.18,6.00,6.04,3.34,11.28,11.28,11.45
22.31,5.31,-6.16,5.31,-6.16,6.00,6.03,3.44,11.31,11.31,11.46
22.54,5.32,-6.15,5.32,-6.15,6.00,6.03,3.53,11.32,11.32,11.47
22.76,5.33,-6.15,5.33,-6.15,6.00,6.03,3.63,11.33,11.33,11.48
22.99,5.32,-6.16,5.32,-6.16,6.00,6.03,3.74,11.32,11.32,11.49
23.22,5.31,-6.18,5.31,-6.18,6.00,6.04,3.84,11.31,11.31,11.49
23.45,5.30,-6.20,5.30,-6.19,6.00,6.04,3.95,11.30,11.30,11.50
23.69,5.30,-6.20,5.30,-6.20,6.00,6.05,4.06,11.30,11.30,11.50
23.92,5.30,-6.20,5.30,-6.20,6.00,6.05,4.17,11.30,11.30,11.49
24.16,5.31,-6.19,5.31,-6.19,6.01,6.04,4.29,11.31,11.31,11.49
24.40,5.33,-6.16,5.33,-6.16,6.01,6.03,4.40,11.34,11.34,11.49
24.65,5.36,-6.13,5.36,-6.13,6.01,6.00,4.52,11.36,11.37,11.49
24.89,5.40,-6.09,5.41,-6.09,6.00,5.97,4.64,11.40,11.40,11.50
25.14,5.46,-6.04,5.46,-6.04,5.98,5.94,4.76,11.44,11.44,11.50
25.39,5.52,-5.99,5.52,-5.99,5.96,5.91,4.88,11.48,11.48,11.51
25.65,5.57,-5.94,5.57,-5.94,5.93,5.87,5.01,11.51,11.51,11.52
25.91,5.63,-5.90,5.63,-5.90,5.90,5.84,5.13,11.53,11.53,11.53
26.16,5.67,-5.86,5.67,-5.86,5.86,5.81,5.25,11.54,11.54,11.53
26.43,5.72,-5.81,5.72,-5.81,5.82,5.78,5.37,11.54,11.54,11.53
26.69,5.76,-5.77,5.76,-5.77,5.78,5.75,5.50,11.54,11.54,11.53
26.96,5.80,-5.73,5.80,-5.73,5.74,5.72,5.62,11.54,11.54,11.53
27.23,5.84,-5.69,5.83,-5.69,5.70,5.69,5.73,11.54,11.54,11.53
27.50,5.86,-5.67,5.86,-5.67,5.67,5.66,5.85,11.53,11.53,11.52
27.77,5.87,-5.65,5.87,-5.65,5.65,5.64,5.96,11.52,11.52,11.52
28.05,5.88,-5.63,5.88,-5.63,5.63,5.61,6.06,11.51,11.51,11.51
28.33,5.88,-5.62,5.88,-5.62,5.61,5.59,6.16,11.49,11.50,11.50
28.62,5.88,-5.60,5.88,-5.60,5.60,5.57,6.26,11.48,11.48,11.48
28.90,5.89,-5.59,5.89,-5.59,5.58,5.54,6.35,11.47,11.47,11.47
29.19,5.89,-5.57,5.89,-5.57,5.57,5.52,6.44,11.46,11.46,11.46
29.48,5.90,-5.55,5.90,-5.55,5.55,5.50,6.51,11.45,11.45,11.45
29.78,5.92,-5.53,5.92,-5.53,5.53,5.48,6.58,11.45,11.45,11.45
30.08,5.94,-5.51,5.95,-5.51,5.50,5.46,6.63,11.45,11.45,11.45
30.38,5.99,-5.48,5.99,-5.48,5.47,5.44,6.68,11.46,11.46,11.46
30.68,6.04,-5.44,6.03,-5.44,5.44,5.42,6.72,11.47,11.47,11.47
30.99,6.09,-5.40,6.09,-5.40,5.40,5.40,6.75,11.48,11.48,11.48
31.30,6.13,-5.35,6.13,-5.35,5.35,5.37,6.76,11.49,11.49,11.49
31.61,6.18,-5.31,6.18,-5.31,5.31,5.35,6.77,11.49,11.49,11.49
31.93,6.22,-5.27,6.22,-5.26,5.26,5.33,6.77,11.48,11.48,11.48
32.24,6.25,-5.22,6.25,-5.22,5.22,5.31,6.76,11.47,11.47,11.47
32.57,6.28,-5.17,6.28,-5.17,5.18,5.29,6.74,11.46,11.46,11.46
32.89,6.32,-5.13,6.32,-5.13,5.14,5.27,6.71,11.46,11.46,11.45
33.22,6.34,-5.10,6.34,-5.10,5.11,5.25,6.67,11.45,11.45,11.44
33.55,6.36,-5.07,6.36,-5.07,5.08,5.23,6.62,11.44,11.44,11.44
33.89,6.38,-5.05,6.38,-5.05,5.05,5.21,6.56,11.43,11.43,11.43
34.23,6.39,-5.04,6.40,-5.03,5.02,5.19,6.50,11.42,11.42,11.43
34.57,6.41,-5.01,6.41,-5.01,5.00,5.17,6.44,11.41,11.41,11.42
34.92,6.43,-4.99,6.43,-4.99,4.98,5.15,6.36,11.41,11.41,11.41
35.27,6.44,-4.96,6.44,-4.96,4.97,5.13,6.29,11.41,11.41,11.40
35.62,6.45,-4.94,6.45,-4.95,4.96,5.11,6.21,11.41,11.41,11.40
35.97,6.45,-4.94,6.45,-4.94,4.96,5.09,6.12,11.41,11.41,11.39
36.33,6.43,-4.95,6.43,-4.95,4.96,5.07,6.04,11.39,11.40,11.38
36.70,6.41,-4.97,6.41,-4.97,4.97,5.05,5.95,11.38,11.38,11.38
37.06,6.38,-4.99,6.38,-4.99,4.99,5.02,5.86,11.37,11.37,11.37
37.43,6.35,-5.01,6.35,-5.01,5.00,5.00,5.77,11.35,11.35,11.36
