frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.38,-10.76,2.38,-10.76,6.00,6.35,3.00,8.38,8.38,13.14
20.20,2.41,-10.70,2.41,-10.70,6.00,6.37,3.08,8.41,8.41,13.10
20.40,2.44,-10.64,2.44,-10.64,6.00,6.39,3.17,8.44,8.44,13.07
20.61,2.47,-10.57,2.47,-10.57,6.00,6.31,3.26,8.47,8.47,13.04
20.81,2.50,-10.50,2.50,-10.50,6.00,6.22,3.35,8.50,8.50,13.01
21.02,2.54,-10.43,2.54,-10.43,6.00,6.11,3.45,8.54,8.54,12.97
21.23,2.58,-10.36,2.58,-10.36,6.00,6.01,3.54,8.58,8.58,12.94
21.44,2.62,-10.29,2.62,-10.29,6.00,5.92,3.65,8.62,8.62,12.90
21.66,2.65,-10.22,2.65,-10.22,6.00,5.84,3.75,8.65,8.65,12.87
21.87,2.68,-10.15,2.68,-10.16,6.00,5.80,3.86,8.68,8.68,12.83
22.09,2.70,-10.09,2.70,-10.10,6.00,5.77,3.96,8.70,8.70,12.80
22.31,2.72,-10.04,2.72,-10.04,6.00,5.77,4.08,8.72,8.72,12.76
22.54,2.73,-9.99,2.73,-9.99,6.00,5.77,4.19,8.73,8.73,12.72
22.76,2.75,-9.94,2.75,-9.94,6.00,5.79,4.31,8.75,8.75,12.68
22.99,2.76,-9.88,2.76,-9.88,6.00,5.82,4.43,8.76,8.76,12.64
23.22,2.78,-9.83,2.78,-9.83,6.00,5.86,4.55,8.78,8.78,12.61
23.45,2.79,-9.77,2.79,-9.77,6.00,5.90,4.68,8.79,8.79,12.57
23.69,2.82,-9.71,2.82,-9.71,6.00,5.95,4.81,8.82,8.82,12.53
23.92,2.84,-9.64,2.84,-9.64,6.00,5.99,4.94,8.84,8.84,12.48
24.16,2.87,-9.57,2.87,-9.57,6.00,6.03,5.08,8.87,8.87,12.44
24.40,2.89,-9.50,2.89,-9.50,6.00,6.07,5.21,8.89,8.89,12.40
24.65,2.92,-9.43,2.92,-9.43,6.00,6.10,5.35,8.92,8.92,12.35
24.89,2.94,-9.37,2.94,-9.37,6.00,6.12,5.49,8.94,8.94,12.31
25.14,2.97,-9.30,2.97,-9.30,6.00,6.14,5.64,8.97,8.97,12.27
25.39,2.99,-9.24,2.99,-9.24,6.00,6.15,5.78,8.99,8.99,12.23
