frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.34,-6.21,6.35,-6.21,6.01,0.00,2.12,12.35,12.35,12.55
20.20,6.35,-6.17,6.35,-6.17,6.01,0.00,2.18,12.36,12.36,12.52
20.40,6.36,-6.13,6.36,-6.13,6.01,0.00,2.25,12.36,12.36,12.49
20.61,6.36,-6.09,6.36,-6.09,6.00,0.00,2.31,12.36,12.36,12.45
20.81,6.37,-6.05,6.37,-6.05,5.99,0.00,2.38,12.35,12.35,12.42
21.02,6.37,-6.01,6.38,-6.01,5.97,0.00,2.45,12.34,12.34,12.39
21.23,6.38,-5.97,6.38,-5.97,5.95,0.00,2.52,12.33,12.33,12.35
21.44,6.40,-5.92,6.40,-5.92,5.92,0.00,2.60,12.31,12.31,12.32
21.66,6.41,-5.88,6.41,-5.88,5.88,0.00,2.67,12.29,12.29,12.28
21.87,6.42,-5.83,6.42,-5.83,5.84,0.00,2.75,12.26,12.26,12.25
22.09,6.43,-5.78,6.43,-5.78,5.79,0.00,2.83,12.22,12.22,12.21
22.31,6.44,-5.73,6.44,-5.73,5.74,0.00,2.91,12.18,12.18,12.17
22.54,6.44,-5.69,6.44,-5.69,5.69,0.00,3.00,12.14,12.14,12.13
22.76,6.45,-5.65,6.45,-5.65,5.65,0.00,3.09,12.10,12.10,12.10
22.99,6.45,-5.60,6.45,-5.60,5.60,0.00,3.17,12.06,12.06,12.06
23.22,6.46,-5.56,6.46,-5.56,5.56,0.00,3.27,12.02,12.02,12.02
23.45,6.46,-5.52,6.46,-5.52,5.51,0.00,3.36,11.98,11.98,11.98
23.69,6.47,-5.47,6.47,-5.47,5.47,0.00,3.45,11.94,11.94,11.94
23.92,6.48,-5.42,6.48,-5.42,5.42,0.00,3.55,11.89,11.89,11.90
24.16,6.48,-5.37,6.48,-5.37,5.37,0.00,3.65,11.85,11.85,11.85
24.40,6.49,-5.32,6.49,-5.32,5.33,0.00,3.75,11.81,11.81,11.81
24.65,6.49,-5.28,6.49,-5.28,5.28,0.00,3.85,11.77,11.77,11.77
24.89,6.49,-5.23,6.49,-5.23,5.24,0.00,3.95,11.73,11.73,11.73
25.14,6.49,-5.20,6.49,-5.20,5.20,0.00,4.06,11.69,11.69,11.68
25.39,6.49,-5.16,6.48,-5.16,5.16,0.00,4.16,11.65,11.65,11.65
25.65,6.48,-5.13,6.48,-5.13,5.13,0.00,4.27,11.61,11.61,11.61
25.91,6.47,-5.10,6.47,-5.10,5.10,0.00,4.37,11.57,11.57,11.57
26.16,6.46,-5.07,6.46,-5.07,5.06,0.00,4.47,11.52,11.52,11.53
26.43,6.46,-5.03,6.46,-5.03,5.02,0.00,4.58,11.48,11.48,11.49
26.69,6.45,-4.99,6.45,-4.99,4.99,0.00,4.68,11.44,11.44,11.45
26.96,6.45,-4.95,6.45,-4.95,4.95,0.00,4.78,11.40,11.40,11.40
27.23,6.45,-4.91,6.45,-4.91,4.91,0.00,4.88,11.36,11.36,11.36
27.50,6.45,-4.86,6.45,-4.86,4.87,0.00,4.97,11.32,11.32,11.31
27.77,6.44,-4.82,6.44,-4.82,4.83,0.00,5.07,11.27,11.27,11.27
28.05,6.44,-4.78,6.44,-4.78,4.79,0.00,5.15,11.23,11.23,11.22
28.33,6.43,-4.75,6.43,-4.75,4.75,0.00,5.24,11.18,11.18,11.18
28.62,6.43,-4.71,6.43,-4.71,4.71,0.00,5.31,11.14,11.14,11.14
28.90,6.42,-4.67,6.42,-4.67,4.67,0.00,5.38,11.09,11.09,11.09
29.19,6.42,-4.63,6.42,-4.63,4.63,0.00,5.45,11.04,11.04,11.05
29.48,6.41,-4.59,6.41,-4.59,4.58,0.00,5.51,11.00,11.00,11.00
29.78,6.41,-4.54,6.41,-4.54,4.54,0.00,5.56,10.95,10.95,10.95
30.08,6.41,-4.50,6.41,-4.50,4.50,0.00,5.60,10.91,10.91,10.90
30.38,6.41,-4.45,6.41,-4.45,4.45,0.00,5.63,10.86,10.86,10.86
30.68,6.40,-4.41,6.40,-4.41,4.41,0.00,5.65,10.81,10.81,10.81
30.99,6.40,-4.36,6.40,-4.36,4.36,0.00,5.67,10.77,10.77,10.76
31.30,6.40,-4.32,6.40,-4.32,4.32,0.00,5.67,10.72,10.72,10.72
31.61,6.39,-4.28,6.39,-4.28,4.27,0.00,5.67,10.67,10.67,10.67
31.93,6.39,-4.23,6.39,-4.23,4.23,0.00,5.66,10.62,10.62,10.63
32.24,6.39,-4.19,6.39,-4.19,4.19,0.00,5.64,10.58,10.58,10.58
32.57,6.39,-4.14,6.39,-4.14,4.14,0.00,5.60,10.53,10.53,10.53
32.89,6.38,-4.10,6.38,-4.10,4.10,0.00,5.57,10.48,10.48,10.48
33.22,6.38,-4.06,6.38,-4.06,4.06,0.00,5.52,10.43,10.43,10.43
33.55,6.37,-4.02,6.37,-4.01,4.01,0.00,5.46,10.38,10.38,10.38
33.89,6.36,-3.97,6.36,-3.97,3.97,0.00,5.40,10.33,10.33,10.34
34.23,6.36,-3.93,6.36,-3.93,3.93,0.01,5.33,10.28,10.28,10.29
34.57,6.35,-3.88,6.35,-3.88,3.88,0.01,5.25,10.24,10.24,10.24
34.92,6.35,-3.84,6.35,-3.84,3.84,0.01,5.18,10.19,10.19,10.19
