frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.36,-5.23,6.35,-5.24,5.25,-0.00,1.64,11.61,11.61,11.60
20.20,6.41,-5.15,6.42,-5.14,5.13,-0.00,1.69,11.54,11.55,11.56
20.40,6.47,-5.05,6.49,-5.04,5.02,-0.00,1.74,11.50,11.51,11.53
20.61,6.55,-4.95,6.55,-4.94,4.92,-0.00,1.79,11.47,11.48,11.50
20.81,6.63,-4.84,6.63,-4.84,4.84,-0.00,1.85,11.46,11.46,11.46
21.02,6.69,-4.74,6.69,-4.74,4.76,-0.00,1.90,11.45,11.45,11.43
21.23,6.74,-4.66,6.73,-4.66,4.70,-0.00,1.96,11.44,11.43,11.40
21.44,6.75,-4.61,6.75,-4.61,4.64,-0.00,2.02,11.39,11.39,11.36
21.66,6.74,-4.59,6.74,-4.59,4.61,-0.00,2.08,11.35,11.35,11.33
21.87,6.71,-4.58,6.71,-4.58,4.59,-0.00,2.14,11.30,11.30,11.29
22.09,6.67,-4.58,6.67,-4.58,4.57,-0.00,2.20,11.25,11.25,11.25
22.31,6.63,-4.58,6.63,-4.58,4.56,-0.00,2.27,11.20,11.20,11.21
22.54,6.60,-4.58,6.60,-4.58,4.55,-0.00,2.33,11.15,11.15,11.18
22.76,6.58,-4.56,6.58,-4.56,4.54,-0.00,2.40,11.11,11.11,11.14
22.99,6.57,-4.53,6.57,-4.53,4.51,-0.00,2.47,11.08,11.08,11.10
23.22,6.58,-4.48,6.58,-4.49,4.48,-0.00,2.55,11.05,11.05,11.06
23.45,6.59,-4.43,6.59,-4.43,4.43,-0.00,2.62,11.02,11.02,11.02
23.69,6.60,-4.38,6.60,-4.38,4.39,-0.00,2.69,10.99,10.99,10.98
23.92,6.61,-4.33,6.61,-4.33,4.34,-0.00,2.77,10.95,10.95,10.94
24.16,6.62,-4.28,6.62,-4.28,4.29,-0.00,2.85,10.91,10.91,10.90
24.40,6.62,-4.24,6.62,-4.24,4.24,-0.00,2.93,10.86,10.86,10.85
24.65,6.61,-4.20,6.61,-4.20,4.20,-0.00,3.01,10.81,10.81,10.81
24.89,6.61,-4.16,6.61,-4.16,4.16,-0.00,3.09,10.77,10.77,10.77
25.14,6.60,-4.12,6.60,-4.12,4.12,-0.00,3.17,10.72,10.72,10.73
25.39,6.60,-4.09,6.60,-4.09,4.08,-0.00,3.25,10.68,10.69,10.69
25.65,6.60,-4.05,6.60,-4.05,4.05,-0.00,3.33,10.65,10.65,10.65
25.91,6.60,-4.01,6.60,-4.01,4.01,-0.00,3.41,10.61,10.61,10.61
26.16,6.60,-3.97,6.60,-3.97,3.97,-0.00,3.49,10.57,10.57,10.57
26.43,6.60,-3.93,6.60,-3.93,3.93,-0.00,3.57,10.53,10.53,10.53
26.69,6.60,-3.89,6.60,-3.89,3.89,-0.00,3.65,10.49,10.49,10.49
26.96,6.60,-3.85,6.60,-3.85,3.85,-0.00,3.73,10.44,10.44,10.45
27.23,6.59,-3.81,6.59,-3.81,3.81,-0.00,3.81,10.40,10.40,10.40
27.50,6.59,-3.76,6.59,-3.76,3.77,-0.00,3.88,10.36,10.36,10.35
27.77,6.59,-3.72,6.59,-3.72,3.73,-0.00,3.95,10.31,10.31,10.31
28.05,6.58,-3.68,6.58,-3.68,3.69,-0.00,4.02,10.27,10.27,10.27
28.33,6.58,-3.64,6.58,-3.64,3.65,-0.00,4.08,10.23,10.23,10.22
