frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.73,-3.15,10.73,-3.15,3.15,-0.06,0.76,13.88,13.88,13.88
20.20,10.73,-3.12,10.73,-3.12,3.12,-0.06,0.78,13.85,13.85,13.85
20.40,10.72,-3.09,10.72,-3.09,3.09,-0.06,0.81,13.82,13.81,13.81
20.61,10.72,-3.06,10.72,-3.06,3.06,-0.06,0.83,13.78,13.78,13.78
20.81,10.72,-3.03,10.72,-3.03,3.03,-0.06,0.86,13.75,13.75,13.75
21.02,10.71,-3.00,10.71,-3.00,3.00,-0.06,0.89,13.71,13.71,13.71
21.23,10.71,-2.97,10.71,-2.97,2.97,-0.06,0.92,13.68,13.68,13.68
21.44,10.71,-2.94,10.71,-2.94,2.94,-0.07,0.94,13.65,13.64,13.65
21.66,10.71,-2.90,10.71,-2.90,2.90,-0.07,0.97,13.61,13.61,13.61
21.87,10.70,-2.87,10.70,-2.87,2.87,-0.07,1.00,13.58,13.58,13.57
22.09,10.70,-2.84,10.70,-2.84,2.84,-0.07,1.04,13.54,13.54,13.54
22.31,10.70,-2.80,10.70,-2.80,2.80,-0.07,1.07,13.50,13.50,13.50
22.54,10.69,-2.77,10.69,-2.77,2.77,-0.07,1.10,13.46,13.46,13.46
22.76,10.69,-2.73,10.69,-2.73,2.73,-0.07,1.13,13.42,13.42,13.42
22.99,10.69,-2.70,10.69,-2.70,2.70,-0.08,1.17,13.38,13.38,13.39
23.22,10.69,-2.66,10.69,-2.66,2.66,-0.08,1.20,13.34,13.34,13.35
23.45,10.69,-2.62,10.69,-2.62,2.62,-0.08,1.24,13.30,13.30,13.31
23.69,10.69,-2.58,10.69,-2.58,2.57,-0.08,1.28,13.26,13.26,13.27
23.92,10.69,-2.53,10.69,-2.53,2.53,-0.08,1.31,13.22,13.22,13.23
24.16,10.70,-2.48,10.70,-2.48,2.48,-0.08,1.35,13.18,13.18,13.18
24.40,10.70,-2.44,10.70,-2.44,2.44,-0.09,1.39,13.14,13.14,13.14
24.65,10.70,-2.39,10.70,-2.39,2.40,-0.09,1.43,13.10,13.10,13.09
24.89,10.70,-2.35,10.70,-2.35,2.36,-0.09,1.47,13.06,13.06,13.05
25.14,10.70,-2.31,10.70,-2.31,2.32,-0.09,1.51,13.02,13.02,13.01
25.39,10.70,-2.28,10.70,-2.28,2.28,-0.09,1.55,12.98,12.98,12.97
