frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.86,-6.74,5.86,-6.74,6.00,6.04,2.46,11.86,11.86,12.60
20.20,5.86,-6.71,5.86,-6.71,6.00,6.09,2.53,11.86,11.86,12.57
20.40,5.86,-6.67,5.87,-6.67,6.00,6.15,2.60,11.86,11.87,12.54
20.61,5.87,-6.64,5.87,-6.64,6.00,6.15,2.67,11.87,11.87,12.50
20.81,5.87,-6.60,5.87,-6.60,6.00,6.15,2.75,11.87,11.87,12.47
21.02,5.87,-6.57,5.87,-6.57,6.00,6.12,2.83,11.87,11.87,12.44
21.23,5.86,-6.54,5.86,-6.54,6.00,6.09,2.91,11.86,11.86,12.40
21.44,5.86,-6.51,5.86,-6.51,6.00,6.05,3.00,11.86,11.86,12.37
21.66,5.85,-6.48,5.85,-6.48,6.00,6.02,3.08,11.85,11.85,12.33
21.87,5.84,-6.45,5.84,-6.45,6.00,5.99,3.17,11.84,11.84,12.30
22.09,5.84,-6.42,5.84,-6.42,6.00,5.97,3.26,11.84,11.84,12.26
22.31,5.84,-6.39,5.84,-6.39,6.00,5.96,3.36,11.84,11.84,12.22
22.54,5.84,-6.34,5.84,-6.34,6.00,5.94,3.45,11.84,11.84,12.18
22.76,5.85,-6.30,5.85,-6.30,6.00,5.94,3.55,11.85,11.85,12.15
22.99,5.86,-6.25,5.86,-6.25,6.00,5.94,3.65,11.86,11.86,12.11
23.22,5.88,-6.19,5.88,-6.19,6.00,5.94,3.76,11.88,11.88,12.07
23.45,5.89,-6.15,5.89,-6.15,6.00,5.94,3.86,11.89,11.89,12.03
23.69,5.89,-6.10,5.89,-6.10,6.00,5.95,3.97,11.89,11.89,11.99
23.92,5.88,-6.06,5.88,-6.06,6.00,5.95,4.08,11.88,11.88,11.95
24.16,5.87,-6.04,5.87,-6.04,6.00,5.95,4.19,11.87,11.87,11.90
24.40,5.84,-6.02,5.84,-6.02,6.00,5.95,4.31,11.84,11.84,11.86
24.65,5.81,-6.01,5.81,-6.01,6.00,5.95,4.42,11.81,11.81,11.82
24.89,5.76,-6.02,5.76,-6.02,6.00,5.95,4.54,11.76,11.76,11.78
25.14,5.70,-6.03,5.70,-6.03,6.00,5.95,4.66,11.70,11.70,11.74
25.39,5.64,-6.05,5.64,-6.06,6.00,5.94,4.78,11.64,11.64,11.70
25.65,5.57,-6.09,5.57,-6.09,6.01,5.93,4.90,11.58,11.58,11.66
25.91,5.51,-6.11,5.50,-6.12,6.01,5.92,5.02,11.52,11.52,11.62
26.16,5.44,-6.14,5.44,-6.14,6.02,5.91,5.14,11.46,11.46,11.58
26.43,5.40,-6.14,5.40,-6.14,6.01,5.89,5.26,11.41,11.41,11.54
26.69,5.38,-6.12,5.37,-6.12,6.00,5.87,5.37,11.37,11.37,11.50
26.96,5.37,-6.08,5.37,-6.08,5.97,5.85,5.49,11.34,11.35,11.45
27.23,5.39,-6.01,5.40,-6.01,5.94,5.82,5.60,11.33,11.33,11.41
27.50,5.44,-5.93,5.43,-5.93,5.90,5.80,5.72,11.33,11.33,11.36
27.77,5.47,-5.84,5.47,-5.84,5.85,5.77,5.82,11.33,11.33,11.32
28.05,5.51,-5.77,5.50,-5.77,5.81,5.74,5.93,11.32,11.32,11.27
28.33,5.51,-5.72,5.51,-5.72,5.78,5.71,6.02,11.29,11.29,11.23
28.62,5.50,-5.69,5.50,-5.69,5.74,5.68,6.12,11.24,11.24,11.19
28.90,5.46,-5.68,5.46,-5.68,5.71,5.64,6.20,11.17,11.17,11.14
29.19,5.42,-5.68,5.42,-5.68,5.68,5.61,6.28,11.09,11.09,11.10
29.48,5.37,-5.68,5.38,-5.67,5.64,5.57,6.35,11.01,11.01,11.05
29.78,5.37,-5.64,5.36,-5.64,5.58,5.53,6.42,10.95,10.94,11.00
30.08,5.38,-5.57,5.39,-5.57,5.50,5.50,6.47,10.88,10.89,10.95
