frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.47,-7.51,6.47,-7.51,6.00,6.94,2.50,12.47,12.47,13.98
20.20,6.49,-7.45,6.49,-7.45,6.00,6.93,2.57,12.49,12.49,13.94
20.40,6.52,-7.39,6.52,-7.39,6.00,6.91,2.64,12.52,12.52,13.91
20.61,6.54,-7.33,6.54,-7.33,6.00,6.78,2.72,12.54,12.54,13.88
20.81,6.57,-7.28,6.57,-7.28,6.00,6.65,2.80,12.57,12.57,13.84
21.02,6.59,-7.22,6.59,-7.22,6.00,6.48,2.88,12.59,12.59,13.81
21.23,6.61,-7.17,6.61,-7.17,6.00,6.31,2.96,12.61,12.61,13.78
21.44,6.63,-7.11,6.63,-7.11,6.00,6.16,3.05,12.63,12.63,13.74
21.66,6.65,-7.05,6.65,-7.06,6.00,6.02,3.14,12.65,12.65,13.71
21.87,6.67,-7.00,6.67,-7.00,6.00,5.90,3.23,12.67,12.67,13.67
22.09,6.69,-6.94,6.69,-6.94,6.00,5.79,3.32,12.69,12.69,13.63
22.31,6.71,-6.88,6.71,-6.88,6.00,5.72,3.42,12.71,12.71,13.60
22.54,6.74,-6.82,6.74,-6.82,6.00,5.64,3.52,12.74,12.74,13.56
22.76,6.76,-6.76,6.76,-6.76,6.00,5.59,3.62,12.76,12.76,13.52
22.99,6.77,-6.71,6.77,-6.71,6.00,5.55,3.72,12.77,12.77,13.48
23.22,6.79,-6.65,6.79,-6.65,6.00,5.52,3.83,12.79,12.79,13.44
23.45,6.81,-6.60,6.81,-6.60,6.00,5.50,3.93,12.81,12.81,13.40
23.69,6.82,-6.54,6.82,-6.54,6.00,5.48,4.05,12.82,12.82,13.36
23.92,6.84,-6.48,6.84,-6.48,6.00,5.47,4.16,12.84,12.84,13.32
24.16,6.86,-6.42,6.86,-6.42,6.00,5.47,4.27,12.86,12.86,13.28
24.40,6.87,-6.36,6.87,-6.36,6.00,5.47,4.39,12.87,12.88,13.23
24.65,6.89,-6.30,6.89,-6.30,6.01,5.47,4.51,12.90,12.90,13.19
24.89,6.91,-6.24,6.91,-6.24,6.01,5.47,4.63,12.92,12.92,13.15
25.14,6.93,-6.18,6.93,-6.18,6.01,5.48,4.75,12.94,12.94,13.11
25.39,6.95,-6.12,6.95,-6.12,6.00,5.48,4.87,12.95,12.95,13.07
25.65,6.96,-6.07,6.96,-6.07,5.99,5.49,4.99,12.96,12.96,13.03
25.91,6.98,-6.02,6.98,-6.02,5.97,5.49,5.11,12.95,12.95,12.99
26.16,6.99,-5.97,6.99,-5.97,5.95,5.50,5.24,12.93,12.93,12.95
26.43,7.00,-5.92,7.00,-5.92,5.91,5.50,5.36,12.91,12.91,12.91
26.69,7.01,-5.87,7.01,-5.87,5.87,5.50,5.48,12.87,12.87,12.87
26.96,7.01,-5.81,7.01,-5.81,5.82,5.50,5.60,12.83,12.83,12.83
27.23,7.02,-5.76,7.02,-5.76,5.76,5.49,5.71,12.79,12.79,12.78
27.50,7.04,-5.70,7.04,-5.70,5.71,5.48,5.82,12.74,12.74,12.74
27.77,7.05,-5.64,7.05,-5.65,5.65,5.47,5.93,12.70,12.70,12.69
28.05,7.05,-5.59,7.05,-5.59,5.60,5.46,6.04,12.65,12.65,12.65
28.33,7.06,-5.54,7.06,-5.54,5.55,5.45,6.13,12.61,12.61,12.60
28.62,7.06,-5.50,7.06,-5.50,5.50,5.43,6.22,12.56,12.56,12.56
28.90,7.07,-5.45,7.07,-5.45,5.45,5.41,6.31,12.51,12.51,12.52
29.19,7.07,-5.40,7.07,-5.40,5.39,5.38,6.38,12.46,12.46,12.47
29.48,7.07,-5.35,7.07,-5.35,5.34,5.36,6.45,12.41,12.42,12.42
29.78,7.08,-5.29,7.08,-5.29,5.29,5.33,6.51,12.37,12.37,12.38
30.08,7.09,-5.23,7.09,-5.23,5.24,5.29,6.55,12.33,12.33,12.33
30.38,7.10,-5.18,7.10,-5.18,5.19,5.26,6.59,12.29,12.29,12.28
30.68,7.10,-5.13,7.10,-5.13,5.15,5.22,6.61,12.25,12.25,12.23
30.99,7.10,-5.09,7.10,-5.09,5.10,5.18,6.63,12.20,12.20,12.19
31.30,7.09,-5.05,7.09,-5.05,5.05,5.13,6.63,12.14,12.14,12.14
31.61,7.08,-5.02,7.08,-5.02,5.00,5.09,6.62,12.08,12.08,12.10
31.93,7.07,-4.97,7.08,-4.97,4.95,5.04,6.60,12.03,12.03,12.05
32.24,7.08,-4.92,7.08,-4.92,4.90,4.99,6.57,11.98,11.98,12.00
32.57,7.09,-4.86,7.10,-4.86,4.85,4.94,6.52,11.94,11.94,11.95
32.89,7.12,-4.79,7.12,-4.79,4.79,4.88,6.47,11.91,11.91,11.90
33.22,7.13,-4.72,7.13,-4.72,4.74,4.82,6.40,11.87,11.87,11.85
33.55,7.15,-4.66,7.14,-4.66,4.68,4.77,6.33,11.83,11.83,11.81
33.89,7.14,-4.62,7.14,-4.62,4.63,4.71,6.25,11.78,11.77,11.76
34.23,7.13,-4.58,7.13,-4.58,4.58,4.64,6.16,11.72,11.72,11.71
34.57,7.12,-4.54,7.12,-4.54,4.53,4.58,6.06,11.66,11.66,11.66
34.92,7.11,-4.50,7.11,-4.50,4.49,4.52,5.96,11.60,11.60,11.61
35.27,7.11,-4.45,7.11,-4.45,4.44,4.45,5.85,11.55,11.55,11.56
35.62,7.11,-4.40,7.12,-4.40,4.39,4.39,5.73,11.51,11.51,11.51
35.97,7.13,-4.34,7.13,-4.34,4.34,4.32,5.62,11.46,11.46,11.47
36.33,7.14,-4.28,7.14,-4.28,4.28,4.25,5.50,11.42,11.42,11.42
36.70,7.15,-4.21,7.15,-4.21,4.21,4.19,5.37,11.37,11.37,11.37
37.06,7.17,-4.15,7.17,-4.15,4.15,4.12,5.25,11.31,11.31,11.31
37.43,7.18,-4.08,7.18,-4.08,4.08,4.05,5.12,11.26,11.26,11.26
37.81,7.19,-4.01,7.19,-4.01,4.01,3.98,4.99,11.20,11.20,11.20
38.19,7.20,-3.94,7.20,-3.94,3.95,3.91,4.87,11.15,11.15,11.15
38.57,7.21,-3.88,7.21,-3.88,3.88,3.85,4.74,11.09,11.09,11.09
38.95,7.21,-3.82,7.21,-3.82,3.82,3.78,4.61,11.03,11.03,11.03
39.34,7.21,-3.76,7.21,-3.76,3.76,3.71,4.49,10.97,10.97,10.97
39.74,7.22,-3.70,7.22,-3.70,3.70,3.64,4.36,10.92,10.92,10.92
40.14,7.23,-3.64,7.24,-3.64,3.63,3.57,4.24,10.87,10.87,10.88
40.54,7.25,-3.58,7.25,-3.58,3.57,3.51,4.12,10.83,10.83,10.84
40.94,7.27,-3.52,7.27,-3.52,3.51,3.44,4.00,10.79,10.79,10.79
41.35,7.29,-3.46,7.28,-3.46,3.46,3.37,3.88,10.75,10.74,10.74
41.76,7.28,-3.39,7.28,-3.40,3.41,3.31,3.76,10.69,10.69,10.68
42.18,7.26,-3.34,7.26,-3.34,3.36,3.24,3.65,10.63,10.63,10.60
42.60,7.24,-3.30,7.24,-3.30,3.32,3.18,3.54,10.56,10.56,10.53
43.03,7.21,-3.26,7.21,-3.26,3.27,3.11,3.43,10.48,10.48,10.47
43.46,7.19,-3.23,7.19,-3.23,3.22,3.05,3.32,10.41,10.41,10.43
43.90,7.19,-3.19,7.19,-3.19,3.16,2.99,3.22,10.35,10.35,10.38
44.33,7.19,-3.14,7.19,-3.13,3.10,2.92,3.12,10.29,10.29,10.33
44.78,7.22,-3.06,7.22,-3.05,3.03,2.86,3.02,10.25,10.25,10.27
45.23,7.25,-2.96,7.25,-2.96,2.96,2.80,2.92,10.20,10.20,10.21
45.68,7.28,-2.86,7.28,-2.86,2.88,2.74,2.82,10.16,10.16,10.15
46.13,7.31,-2.77,7.31,-2.78,2.80,2.68,2.73,10.12,10.11,10.09
46.60,7.33,-2.70,7.33,-2.70,2.73,2.62,2.64,10.06,10.05,10.03
47.06,7.33,-2.64,7.33,-2.64,2.66,2.56,2.55,9.99,9.99,9.97
