frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.70,-4.44,7.70,-4.45,4.49,-0.01,1.64,12.19,12.20,12.14
20.20,7.71,-4.48,7.71,-4.48,4.48,-0.01,1.69,12.19,12.19,12.19
20.40,7.73,-4.52,7.72,-4.49,4.47,-0.01,1.74,12.20,12.20,12.24
20.61,7.75,-4.49,7.75,-4.49,4.46,-0.01,1.79,12.21,12.21,12.24
20.81,7.79,-4.45,7.79,-4.47,4.44,-0.01,1.84,12.23,12.23,12.24
21.02,7.85,-4.44,7.85,-4.44,4.42,-0.01,1.90,12.27,12.27,12.28
21.23,7.91,-4.43,7.91,-4.40,4.40,-0.01,1.95,12.31,12.31,12.34
21.44,7.98,-4.36,7.98,-4.37,4.38,-0.02,2.01,12.35,12.35,12.34
21.66,8.05,-4.32,8.04,-4.34,4.34,-0.02,2.07,12.38,12.38,12.36
21.87,8.11,-4.32,8.11,-4.30,4.30,-0.02,2.13,12.42,12.41,12.43
22.09,8.17,-4.27,8.17,-4.26,4.27,-0.02,2.20,12.44,12.44,12.44
22.31,8.22,-4.22,8.22,-4.23,4.24,-0.02,2.26,12.46,12.46,12.44
22.54,8.27,-4.18,8.27,-4.21,4.21,-0.02,2.33,12.48,12.48,12.45
22.76,8.32,-4.21,8.32,-4.18,4.19,-0.02,2.40,12.50,12.50,12.53
22.99,8.36,-4.18,8.37,-4.17,4.16,-0.02,2.47,12.53,12.53,12.54
23.22,8.42,-4.13,8.42,-4.16,4.14,-0.02,2.54,12.56,12.56,12.55
23.45,8.48,-4.15,8.48,-4.12,4.12,-0.02,2.61,12.60,12.60,12.63
23.69,8.54,-4.10,8.54,-4.11,4.10,-0.02,2.69,12.64,12.64,12.64
23.92,8.60,-4.07,8.60,-4.09,4.09,-0.02,2.76,12.68,12.68,12.67
24.16,8.65,-4.08,8.65,-4.06,4.07,-0.02,2.84,12.73,12.73,12.73
24.40,8.70,-4.04,8.70,-4.05,4.07,-0.02,2.92,12.77,12.77,12.74
24.65,8.74,-4.04,8.74,-4.05,4.06,-0.02,3.00,12.80,12.80,12.78
24.89,8.77,-4.07,8.77,-4.04,4.06,-0.02,3.08,12.83,12.83,12.84
25.14,8.80,-4.04,8.80,-4.06,4.06,-0.02,3.16,12.86,12.86,12.84
25.39,8.82,-4.05,8.83,-4.07,4.06,-0.02,3.24,12.88,12.88,12.87
25.65,8.85,-4.09,8.86,-4.06,4.05,-0.02,3.33,12.90,12.90,12.94
25.91,8.89,-4.05,8.89,-4.05,4.03,-0.02,3.41,12.92,12.92,12.94
26.16,8.93,-4.01,8.93,-4.02,4.00,-0.02,3.49,12.93,12.93,12.94
26.43,8.97,-3.97,8.97,-3.97,3.96,-0.02,3.57,12.93,12.93,12.94
26.69,9.01,-3.93,9.01,-3.91,3.90,-0.02,3.65,12.92,12.92,12.94
26.96,9.06,-3.85,9.05,-3.85,3.84,-0.02,3.73,12.90,12.90,12.90
27.23,9.09,-3.75,9.09,-3.77,3.77,-0.02,3.80,12.87,12.87,12.84
27.50,9.12,-3.72,9.12,-3.70,3.71,-0.03,3.87,12.83,12.83,12.84
27.77,9.15,-3.64,9.15,-3.63,3.65,-0.03,3.94,12.80,12.80,12.79
28.05,9.18,-3.56,9.18,-3.58,3.59,-0.03,4.01,12.77,12.77,12.74
28.33,9.20,-3.54,9.20,-3.54,3.55,-0.03,4.07,12.75,12.75,12.74
28.62,9.22,-3.52,9.22,-3.52,3.53,-0.03,4.13,12.74,12.74,12.74
28.90,9.24,-3.50,9.24,-3.50,3.51,-0.03,4.19,12.75,12.75,12.74
29.19,9.25,-3.49,9.25,-3.49,3.51,-0.03,4.24,12.76,12.76,12.74
29.48,9.26,-3.48,9.26,-3.50,3.51,-0.03,4.28,12.78,12.77,12.74
29.78,9.27,-3.52,9.27,-3.52,3.52,-0.03,4.32,12.79,12.79,12.79
30.08,9.28,-3.57,9.28,-3.55,3.52,-0.03,4.35,12.80,12.80,12.84
30.38,9.29,-3.55,9.29,-3.56,3.52,-0.03,4.37,12.81,12.81,12.84
30.68,9.31,-3.54,9.31,-3.54,3.51,-0.03,4.39,12.82,12.82,12.84
30.99,9.33,-3.51,9.33,-3.51,3.50,-0.03,4.40,12.83,12.83,12.84
31.30,9.37,-3.47,9.37,-3.47,3.47,-0.03,4.40,12.84,12.84,12.84
31.61,9.41,-3.43,9.41,-3.43,3.44,-0.03,4.40,12.85,12.85,12.84
31.93,9.46,-3.38,9.46,-3.38,3.40,-0.03,4.38,12.85,12.85,12.84
32.24,9.50,-3.34,9.50,-3.34,3.35,-0.04,4.37,12.85,12.85,12.84
32.57,9.55,-3.29,9.55,-3.30,3.29,-0.04,4.34,12.84,12.84,12.84
32.89,9.59,-3.25,9.59,-3.25,3.24,-0.04,4.31,12.83,12.83,12.84
33.22,9.63,-3.21,9.63,-3.19,3.18,-0.04,4.27,12.81,12.81,12.84
33.55,9.66,-3.11,9.66,-3.13,3.13,-0.04,4.23,12.79,12.79,12.77
33.89,9.69,-3.05,9.69,-3.06,3.07,-0.04,4.18,12.75,12.75,12.74
34.23,9.71,-3.02,9.71,-3.00,3.00,-0.04,4.12,12.72,12.72,12.74
34.57,9.73,-2.93,9.73,-2.95,2.94,-0.04,4.06,12.68,12.68,12.67
34.92,9.76,-2.89,9.76,-2.89,2.88,-0.04,4.00,12.64,12.64,12.64
35.27,9.78,-2.85,9.78,-2.83,2.83,-0.04,3.93,12.60,12.61,12.63
35.62,9.80,-2.76,9.80,-2.77,2.78,-0.04,3.86,12.58,12.58,12.56
35.97,9.82,-2.72,9.82,-2.73,2.73,-0.04,3.79,12.55,12.55,12.54
36.33,9.84,-2.70,9.84,-2.69,2.70,-0.04,3.71,12.54,12.54,12.54
36.70,9.86,-2.68,9.86,-2.68,2.68,-0.05,3.63,12.54,12.54,12.54
37.06,9.88,-2.66,9.88,-2.66,2.67,-0.05,3.55,12.55,12.55,12.54
37.43,9.89,-2.65,9.89,-2.65,2.68,-0.05,3.47,12.57,12.57,12.54
37.81,9.90,-2.64,9.90,-2.65,2.69,-0.05,3.39,12.59,12.59,12.54
38.19,9.92,-2.68,9.92,-2.69,2.71,-0.05,3.31,12.62,12.62,12.60
38.57,9.93,-2.74,9.93,-2.73,2.72,-0.05,3.23,12.65,12.65,12.67
38.95,9.95,-2.78,9.95,-2.76,2.72,-0.05,3.15,12.67,12.67,12.73
39.34,9.97,-2.77,9.97,-2.77,2.71,-0.05,3.07,12.69,12.69,12.74
39.74,10.00,-2.74,10.00,-2.75,2.70,-0.05,2.99,12.70,12.70,12.74
40.14,10.02,-2.71,10.02,-2.69,2.68,-0.06,2.92,12.70,12.70,12.74
40.54,10.04,-2.62,10.04,-2.63,2.67,-0.06,2.84,12.71,12.71,12.67
40.94,10.06,-2.58,10.06,-2.59,2.65,-0.06,2.76,12.71,12.71,12.64
41.35,10.08,-2.57,10.08,-2.59,2.64,-0.06,2.69,12.72,12.72,12.65
41.76,10.09,-2.63,10.09,-2.60,2.64,-0.06,2.61,12.73,12.73,12.72
42.18,10.10,-2.64,10.10,-2.64,2.65,-0.06,2.54,12.75,12.75,12.74
42.60,10.11,-2.65,10.11,-2.67,2.66,-0.06,2.47,12.77,12.77,12.76
43.03,10.12,-2.71,10.12,-2.69,2.66,-0.06,2.41,12.78,12.78,12.83
43.46,10.13,-2.71,10.13,-2.70,2.65,-0.07,2.34,12.78,12.78,12.84
43.90,10.14,-2.67,10.14,-2.67,2.62,-0.07,2.27,12.76,12.76,12.81
44.33,10.15,-2.60,10.15,-2.61,2.57,-0.07,2.21,12.72,12.72,12.75
44.78,10.16,-2.52,10.16,-2.51,2.50,-0.07,2.15,12.66,12.66,12.68
45.23,10.17,-2.41,10.17,-2.40,2.43,-0.07,2.09,12.59,12.59,12.58
45.68,10.17,-2.27,10.17,-2.32,2.35,-0.07,2.03,12.53,12.53,12.45
46.13,10.18,-2.26,10.18,-2.24,2.28,-0.07,1.98,12.47,12.47,12.44
46.60,10.19,-2.21,10.19,-2.19,2.22,-0.08,1.92,12.41,12.41,12.40
47.06,10.20,-2.14,10.20,-2.16,2.17,-0.08,1.87,12.37,12.37,12.34
47.53,10.21,-2.13,10.21,-2.14,2.13,-0.08,1.82,12.34,12.34,12.34
48.01,10.22,-2.12,10.22,-2.11,2.10,-0.08,1.77,12.32,12.32,12.34
48.49,10.22,-2.11,10.22,-2.09,2.07,-0.08,1.72,12.30,12.29,12.33
48.97,10.22,-2.04,10.22,-2.06,2.05,-0.08,1.67,12.27,12.27,12.26
49.46,10.22,-2.02,10.23,-2.01,2.01,-0.09,1.63,12.24,12.24,12.24
49.96,10.23,-1.99,10.23,-1.97,1.98,-0.09,1.59,12.21,12.21,12.22
50.46,10.24,-1.90,10.24,-1.93,1.93,-0.09,1.54,12.17,12.17,12.15
50.96,10.26,-1.88,10.26,-1.88,1.87,-0.09,1.50,12.13,12.13,12.14
51.47,10.27,-1.85,10.27,-1.83,1.81,-0.09,1.46,12.08,12.08,12.12
51.99,10.28,-1.76,10.28,-1.77,1.74,-0.10,1.42,12.03,12.02,12.04
52.51,10.29,-1.69,10.29,-1.69,1.68,-0.10,1.39,11.96,11.96,11.98
53.03,10.30,-1.61,10.30,-1.61,1.61,-0.10,1.35,11.90,11.90,11.91
53.56,10.30,-1.53,10.30,-1.53,1.55,-0.10,1.31,11.85,11.85,11.83
54.10,10.30,-1.46,10.30,-1.47,1.50,-0.10,1.28,11.80,11.80,11.77
54.64,10.31,-1.43,10.31,-1.44,1.46,-0.11,1.24,11.77,11.77,11.74
55.18,10.32,-1.43,10.32,-1.42,1.45,-0.11,1.21,11.76,11.76,11.74
55.74,10.32,-1.42,10.32,-1.41,1.45,-0.11,1.18,11.77,11.77,11.74
56.29,10.33,-1.42,10.33,-1.42,1.45,-0.11,1.15,11.78,11.78,11.74
56.86,10.33,-1.43,10.33,-1.45,1.46,-0.12,1.11,11.79,11.79,11.76
57.42,10.33,-1.50,10.33,-1.48,1.45,-0.12,1.08,11.79,11.79,11.83
58.00,10.34,-1.50,10.34,-1.50,1.44,-0.12,1.05,11.78,11.78,11.84
58.58,10.35,-1.47,10.35,-1.46,1.40,-0.12,1.02,11.75,11.75,11.82
59.16,10.36,-1.39,10.36,-1.37,1.34,-0.13,0.99,11.70,11.70,11.75
59.76,10.37,-1.25,10.36,-1.27,1.26,-0.13,0.96,11.63,11.62,11.62
60.35,10.37,-1.14,10.37,-1.16,1.16,-0.13,0.93,11.54,11.53,11.51
60.96,10.37,-1.07,10.37,-1.04,1.06,-0.13,0.90,11.43,11.43,11.45
61.57,10.37,-0.93,10.37,-0.94,0.96,-0.14,0.87,11.33,11.33,11.30
62.18,10.36,-0.83,10.36,-0.84,0.87,-0.14,0.84,11.23,11.23,11.20
62.80,10.36,-0.77,10.36,-0.76,0.79,-0.14,0.81,11.15,11.15,11.13
63.43,10.36,-0.71,10.36,-0.72,0.73,-0.15,0.78,11.09,11.09,11.07
64.07,10.36,-0.68,10.36,-0.69,0.70,-0.15,0.75,11.05,11.05,11.04
64.71,10.36,-0.68,10.36,-0.68,0.68,-0.15,0.72,11.03,11.03,11.04
65.35,10.36,-0.68,10.36,-0.68,0.67,-0.16,0.69,11.03,11.03,11.04
66.01,10.35,-0.69,10.35,-0.68,0.69,-0.16,0.66,11.04,11.04,11.04
66.67,10.35,-0.69,10.35,-0.69,0.71,-0.16,0.63,11.06,11.06,11.04
67.33,10.34,-0.70,10.34,-0.72,0.74,-0.17,0.60,11.08,11.08,11.04
68.01,10.33,-0.77,10.33,-0.76,0.77,-0.17,0.57,11.10,11.10,11.10
68.69,10.32,-0.82,10.32,-0.80,0.80,-0.17,0.54,11.12,11.12,11.14
69.37,10.32,-0.82,10.32,-0.83,0.82,-0.18,0.50,11.14,11.14,11.14
70.07,10.31,-0.83,10.31,-0.84,0.83,-0.18,0.47,11.14,11.14,11.14
70.77,10.30,-0.84,10.30,-0.84,0.82,-0.19,0.44,11.13,11.13,11.14
71.48,10.30,-0.84,10.30,-0.83,0.79,-0.19,0.41,11.09,11.09,11.14
72.19,10.29,-0.78,10.29,-0.79,0.75,-0.20,0.38,11.04,11.04,11.07
72.91,10.29,-0.71,10.29,-0.71,0.68,-0.20,0.34,10.97,10.97,11.00
73.64,10.29,-0.63,10.29,-0.61,0.61,-0.20,0.31,10.90,10.90,10.91
74.38,10.28,-0.50,10.28,-0.51,0.54,-0.21,0.28,10.82,10.82,10.78
75.12,10.28,-0.41,10.28,-0.42,0.47,-0.21,0.25,10.74,10.74,10.69
75.87,10.27,-0.35,10.27,-0.35,0.40,-0.22,0.21,10.67,10.67,10.63
76.63,10.26,-0.29,10.26,-0.31,0.34,-0.22,0.18,10.60,10.60,10.56
77.40,10.25,-0.29,10.25,-0.29,0.28,-0.23,0.15,10.54,10.54,10.54
78.17,10.24,-0.28,10.24,-0.26,0.24,-0.23,0.11,10.48,10.48,10.52
78.95,10.22,-0.23,10.23,-0.23,0.19,-0.24,0.08,10.42,10.42,10.45
79.74,10.21,-0.17,10.21,-0.17,0.15,-0.25,0.05,10.36,10.36,10.38
80.54,10.20,-0.11,10.20,-0.11,0.10,-0.25,0.01,10.30,10.30,10.31
81.35,10.19,-0.06,10.19,-0.06,0.05,-0.26,-0.02,10.24,10.24,10.25
82.16,10.18,0.00,10.18,0.01,0.01,-0.26,-0.06,10.19,10.19,10.18
82.98,10.17,0.06,10.17,0.06,-0.03,-0.27,-0.09,10.14,10.14,10.11
83.81,10.15,0.11,10.15,0.09,-0.06,-0.28,-0.13,10.09,10.09,10.04
84.65,10.14,0.10,10.14,0.11,-0.09,-0.28,-0.16,10.06,10.06,10.04
85.50,10.13,0.09,10.13,0.09,-0.10,-0.29,-0.20,10.03,10.03,10.04
86.35,10.13,0.09,10.13,0.08,-0.12,-0.30,-0.23,10.01,10.01,10.04
87.22,10.12,0.08,10.12,0.10,-0.13,-0.30,-0.27,9.99,9.99,10.04
88.09,10.12,0.13,10.12,0.13,-0.14,-0.31,-0.30,9.98,9.98,9.99
88.97,10.12,0.18,10.12,0.15,-0.14,-0.32,-0.34,9.97,9.97,9.94
89.86,10.11,0.17,10.11,0.17,-0.15,-0.33,-0.38,9.96,9.96,9.94
90.76,10.10,0.16,10.10,0.18,-0.16,-0.33,-0.41,9.94,9.94,9.94
91.66,10.08,0.17,10.08,0.18,-0.18,-0.34,-0.45,9.91,9.91,9.91
