frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.85,2.25,10.85,2.24,-2.24,-1.73,-0.66,8.61,8.61,8.60
20.20,10.86,2.21,10.86,2.22,-2.22,-1.73,-0.68,8.64,8.64,8.65
20.40,10.86,2.16,10.86,2.19,-2.19,-1.73,-0.70,8.67,8.67,8.70
20.61,10.87,2.17,10.87,2.17,-2.17,-1.73,-0.73,8.70,8.70,8.70
20.81,10.87,2.17,10.87,2.15,-2.14,-1.73,-0.75,8.73,8.73,8.70
21.02,10.87,2.13,10.87,2.13,-2.12,-1.73,-0.77,8.75,8.75,8.74
21.23,10.87,2.07,10.87,2.10,-2.09,-1.73,-0.79,8.78,8.78,8.80
21.44,10.88,2.07,10.88,2.06,-2.07,-1.73,-0.82,8.81,8.81,8.80
21.66,10.88,2.06,10.88,2.03,-2.04,-1.73,-0.84,8.83,8.83,8.82
21.87,10.88,1.99,10.88,2.01,-2.02,-1.72,-0.87,8.86,8.86,8.89
22.09,10.88,1.98,10.88,1.99,-1.99,-1.72,-0.89,8.89,8.89,8.90
22.31,10.88,1.98,10.88,1.96,-1.96,-1.72,-0.92,8.91,8.91,8.90
22.54,10.88,1.96,10.88,1.94,-1.93,-1.72,-0.94,8.94,8.94,8.91
22.76,10.88,1.89,10.88,1.92,-1.90,-1.71,-0.97,8.97,8.97,8.99
22.99,10.87,1.87,10.87,1.88,-1.87,-1.71,-1.00,9.00,9.00,9.00
23.22,10.87,1.86,10.87,1.84,-1.84,-1.71,-1.03,9.03,9.03,9.01
23.45,10.87,1.78,10.87,1.81,-1.80,-1.71,-1.06,9.07,9.07,9.08
23.69,10.87,1.76,10.87,1.76,-1.76,-1.70,-1.09,9.10,9.10,9.10
23.92,10.86,1.73,10.86,1.72,-1.72,-1.70,-1.12,9.14,9.14,9.13
24.16,10.86,1.67,10.86,1.69,-1.68,-1.69,-1.15,9.18,9.18,9.19
24.40,10.85,1.65,10.85,1.64,-1.64,-1.69,-1.18,9.21,9.21,9.20
24.65,10.85,1.61,10.85,1.60,-1.60,-1.69,-1.22,9.25,9.25,9.24
24.89,10.84,1.54,10.84,1.57,-1.56,-1.68,-1.25,9.29,9.29,9.30
25.14,10.84,1.54,10.84,1.52,-1.52,-1.68,-1.28,9.32,9.32,9.30
25.39,10.83,1.50,10.83,1.48,-1.48,-1.67,-1.32,9.35,9.35,9.33
25.65,10.83,1.43,10.83,1.45,-1.45,-1.67,-1.35,9.37,9.37,9.40
25.91,10.82,1.42,10.82,1.42,-1.43,-1.66,-1.38,9.39,9.39,9.40
26.16,10.81,1.41,10.81,1.40,-1.42,-1.66,-1.41,9.39,9.39,9.40
26.43,10.81,1.41,10.81,1.40,-1.42,-1.65,-1.45,9.39,9.39,9.40
26.69,10.80,1.40,10.80,1.42,-1.43,-1.64,-1.48,9.37,9.37,9.40
26.96,10.79,1.43,10.79,1.43,-1.44,-1.64,-1.51,9.35,9.35,9.36
27.23,10.79,1.49,10.79,1.46,-1.47,-1.63,-1.54,9.32,9.32,9.30
27.50,10.78,1.48,10.78,1.50,-1.49,-1.63,-1.57,9.29,9.29,9.30
27.77,10.77,1.53,10.77,1.53,-1.52,-1.62,-1.60,9.26,9.26,9.25
28.05,10.77,1.56,10.76,1.55,-1.54,-1.61,-1.63,9.23,9.23,9.20
28.33,10.76,1.56,10.76,1.56,-1.55,-1.60,-1.65,9.21,9.21,9.20
28.62,10.75,1.55,10.75,1.55,-1.55,-1.60,-1.68,9.20,9.20,9.20
28.90,10.74,1.54,10.74,1.55,-1.54,-1.59,-1.70,9.20,9.20,9.20
29.19,10.73,1.53,10.73,1.54,-1.52,-1.58,-1.72,9.21,9.21,9.20
29.48,10.73,1.52,10.73,1.51,-1.50,-1.58,-1.74,9.23,9.23,9.20
29.78,10.72,1.47,10.72,1.47,-1.47,-1.57,-1.75,9.25,9.25,9.25
30.08,10.71,1.41,10.71,1.43,-1.44,-1.56,-1.77,9.26,9.26,9.30
30.38,10.70,1.40,10.70,1.40,-1.42,-1.55,-1.78,9.28,9.28,9.30
30.68,10.69,1.39,10.69,1.38,-1.40,-1.54,-1.79,9.29,9.29,9.30
30.99,10.68,1.38,10.68,1.38,-1.38,-1.54,-1.80,9.30,9.30,9.30
31.30,10.67,1.37,10.67,1.37,-1.36,-1.53,-1.80,9.31,9.31,9.30
31.61,10.66,1.36,10.66,1.36,-1.34,-1.52,-1.80,9.31,9.31,9.30
31.93,10.65,1.35,10.65,1.35,-1.33,-1.51,-1.80,9.31,9.31,9.30
32.24,10.63,1.33,10.63,1.33,-1.33,-1.50,-1.80,9.31,9.31,9.30
32.57,10.62,1.32,10.62,1.32,-1.33,-1.49,-1.79,9.30,9.30,9.30
32.89,10.61,1.31,10.61,1.31,-1.33,-1.48,-1.78,9.28,9.28,9.30
33.22,10.60,1.30,10.60,1.32,-1.33,-1.47,-1.77,9.27,9.27,9.30
33.55,10.58,1.35,10.58,1.33,-1.34,-1.46,-1.76,9.24,9.24,9.23
33.89,10.57,1.37,10.57,1.36,-1.36,-1.45,-1.74,9.21,9.21,9.20
