frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.73,1.91,10.73,1.91,-1.89,-1.87,-0.62,8.83,8.83,8.82
20.20,10.73,1.88,10.73,1.88,-1.88,-1.88,-0.64,8.85,8.85,8.84
20.40,10.72,1.86,10.72,1.86,-1.86,-1.88,-0.66,8.86,8.86,8.86
20.61,10.72,1.84,10.72,1.84,-1.85,-1.87,-0.68,8.87,8.87,8.88
20.81,10.72,1.82,10.72,1.82,-1.83,-1.87,-0.70,8.89,8.89,8.90
21.02,10.71,1.80,10.71,1.80,-1.81,-1.86,-0.72,8.90,8.90,8.91
21.23,10.71,1.79,10.71,1.79,-1.79,-1.85,-0.74,8.92,8.92,8.92
21.44,10.71,1.77,10.71,1.77,-1.77,-1.83,-0.76,8.94,8.94,8.94
21.66,10.71,1.76,10.71,1.76,-1.76,-1.81,-0.78,8.95,8.95,8.95
21.87,10.70,1.74,10.70,1.74,-1.74,-1.79,-0.81,8.97,8.97,8.96
22.09,10.70,1.72,10.70,1.72,-1.72,-1.77,-0.83,8.99,8.99,8.98
22.31,10.70,1.70,10.70,1.70,-1.69,-1.75,-0.85,9.01,9.01,9.00
22.54,10.69,1.67,10.69,1.67,-1.67,-1.73,-0.88,9.03,9.03,9.02
22.76,10.69,1.64,10.69,1.64,-1.64,-1.70,-0.91,9.05,9.05,9.05
22.99,10.69,1.61,10.69,1.61,-1.61,-1.68,-0.93,9.08,9.08,9.08
23.22,10.69,1.58,10.69,1.58,-1.59,-1.65,-0.96,9.10,9.10,9.10
23.45,10.69,1.56,10.69,1.56,-1.57,-1.63,-0.99,9.12,9.12,9.13
23.69,10.69,1.54,10.69,1.54,-1.55,-1.60,-1.01,9.14,9.14,9.15
23.92,10.69,1.53,10.69,1.53,-1.54,-1.58,-1.04,9.16,9.16,9.17
24.16,10.70,1.52,10.70,1.52,-1.53,-1.56,-1.07,9.17,9.17,9.18
24.40,10.70,1.52,10.70,1.52,-1.52,-1.53,-1.10,9.18,9.18,9.18
24.65,10.70,1.53,10.70,1.52,-1.52,-1.52,-1.13,9.19,9.19,9.18
24.89,10.70,1.53,10.70,1.53,-1.51,-1.50,-1.16,9.19,9.19,9.18
25.14,10.70,1.52,10.70,1.52,-1.51,-1.48,-1.19,9.19,9.19,9.18
25.39,10.70,1.51,10.70,1.51,-1.50,-1.47,-1.22,9.20,9.20,9.18
25.65,10.69,1.50,10.69,1.50,-1.49,-1.45,-1.25,9.20,9.20,9.19
25.91,10.69,1.49,10.69,1.49,-1.49,-1.44,-1.28,9.19,9.19,9.20
26.16,10.68,1.48,10.68,1.48,-1.50,-1.43,-1.31,9.18,9.18,9.21
26.43,10.68,1.48,10.68,1.48,-1.51,-1.42,-1.34,9.17,9.17,9.20
26.69,10.69,1.50,10.69,1.51,-1.53,-1.42,-1.37,9.16,9.16,9.18
26.96,10.69,1.54,10.69,1.54,-1.55,-1.41,-1.40,9.14,9.14,9.16
27.23,10.70,1.58,10.70,1.57,-1.57,-1.41,-1.43,9.13,9.13,9.12
27.50,10.70,1.61,10.70,1.61,-1.58,-1.41,-1.46,9.12,9.12,9.10
27.77,10.70,1.62,10.70,1.62,-1.59,-1.41,-1.49,9.11,9.11,9.08
28.05,10.70,1.62,10.70,1.62,-1.59,-1.41,-1.51,9.11,9.11,9.08
28.33,10.69,1.59,10.69,1.59,-1.58,-1.42,-1.54,9.11,9.11,9.10
28.62,10.68,1.56,10.68,1.56,-1.56,-1.42,-1.56,9.12,9.12,9.12
28.90,10.66,1.52,10.66,1.52,-1.54,-1.42,-1.58,9.13,9.13,9.15
29.19,10.65,1.49,10.65,1.49,-1.51,-1.43,-1.60,9.14,9.14,9.17
29.48,10.64,1.46,10.64,1.46,-1.48,-1.43,-1.62,9.16,9.16,9.18
29.78,10.63,1.45,10.63,1.45,-1.45,-1.43,-1.63,9.18,9.18,9.19
30.08,10.63,1.43,10.63,1.43,-1.42,-1.44,-1.65,9.21,9.21,9.19
30.38,10.63,1.42,10.63,1.41,-1.39,-1.44,-1.66,9.24,9.24,9.21
30.68,10.63,1.38,10.63,1.38,-1.36,-1.43,-1.67,9.26,9.26,9.24
30.99,10.63,1.34,10.63,1.34,-1.35,-1.43,-1.68,9.28,9.28,9.28
31.30,10.62,1.31,10.62,1.31,-1.34,-1.43,-1.68,9.28,9.28,9.31
31.61,10.61,1.29,10.61,1.30,-1.33,-1.42,-1.68,9.28,9.28,9.32
31.93,10.60,1.29,10.60,1.30,-1.33,-1.41,-1.68,9.26,9.26,9.30
32.24,10.58,1.32,10.58,1.32,-1.34,-1.40,-1.68,9.24,9.24,9.26
32.57,10.56,1.35,10.56,1.35,-1.34,-1.38,-1.68,9.22,9.22,9.21
32.89,10.54,1.37,10.54,1.37,-1.33,-1.37,-1.67,9.21,9.21,9.17
33.22,10.53,1.37,10.53,1.37,-1.32,-1.35,-1.66,9.20,9.20,9.16
33.55,10.51,1.35,10.51,1.34,-1.31,-1.33,-1.65,9.21,9.21,9.17
33.89,10.50,1.29,10.50,1.29,-1.28,-1.31,-1.64,9.23,9.23,9.21
34.23,10.49,1.24,10.49,1.24,-1.24,-1.29,-1.63,9.25,9.25,9.26
34.57,10.49,1.19,10.49,1.19,-1.21,-1.26,-1.61,9.28,9.28,9.30
34.92,10.48,1.15,10.48,1.15,-1.18,-1.24,-1.60,9.30,9.30,9.33
35.27,10.47,1.13,10.47,1.13,-1.15,-1.22,-1.58,9.31,9.31,9.33
35.62,10.46,1.13,10.46,1.13,-1.15,-1.20,-1.56,9.31,9.31,9.33
35.97,10.45,1.14,10.45,1.14,-1.16,-1.18,-1.54,9.29,9.29,9.31
36.33,10.44,1.16,10.44,1.16,-1.18,-1.16,-1.52,9.26,9.26,9.28
36.70,10.43,1.20,10.43,1.20,-1.21,-1.14,-1.50,9.22,9.22,9.23
37.06,10.42,1.24,10.42,1.24,-1.24,-1.13,-1.48,9.18,9.18,9.18
37.43,10.42,1.29,10.42,1.29,-1.28,-1.11,-1.46,9.14,9.14,9.13
37.81,10.41,1.32,10.41,1.32,-1.30,-1.09,-1.44,9.11,9.11,9.09
38.19,10.40,1.34,10.40,1.34,-1.31,-1.08,-1.42,9.09,9.09,9.05
38.57,10.38,1.34,10.38,1.33,-1.30,-1.07,-1.40,9.08,9.08,9.05
38.95,10.37,1.31,10.37,1.31,-1.29,-1.05,-1.38,9.08,9.08,9.06
39.34,10.35,1.26,10.35,1.26,-1.26,-1.04,-1.36,9.09,9.09,9.09
39.74,10.33,1.22,10.33,1.22,-1.22,-1.03,-1.34,9.11,9.11,9.12
40.14,10.31,1.17,10.31,1.17,-1.19,-1.02,-1.32,9.12,9.12,9.14
40.54,10.29,1.13,10.29,1.13,-1.15,-1.02,-1.30,9.13,9.13,9.16
40.94,10.26,1.10,10.26,1.10,-1.13,-1.01,-1.29,9.14,9.14,9.16
41.35,10.24,1.09,10.24,1.09,-1.11,-1.00,-1.27,9.13,9.13,9.15
41.76,10.22,1.09,10.22,1.09,-1.10,-1.00,-1.25,9.12,9.12,9.13
42.18,10.19,1.10,10.19,1.10,-1.09,-0.99,-1.24,9.10,9.10,9.10
42.60,10.17,1.11,10.17,1.11,-1.09,-0.99,-1.22,9.08,9.08,9.06
43.03,10.15,1.11,10.15,1.11,-1.09,-0.99,-1.21,9.06,9.06,9.04
43.46,10.13,1.11,10.13,1.11,-1.09,-0.98,-1.20,9.03,9.03,9.02
43.90,10.10,1.09,10.10,1.09,-1.09,-0.98,-1.19,9.01,9.01,9.01
44.33,10.08,1.08,10.08,1.08,-1.09,-0.98,-1.17,8.99,8.99,9.00
44.78,10.06,1.07,10.06,1.07,-1.08,-0.98,-1.16,8.98,8.98,8.99
45.23,10.04,1.07,10.04,1.07,-1.08,-0.98,-1.16,8.96,8.96,8.97
45.68,10.02,1.07,10.02,1.07,-1.07,-0.98,-1.15,8.95,8.95,8.96
