frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.89,-4.82,2.89,-4.82,4.83,4.38,1.68,7.72,7.72,7.71
20.20,2.95,-4.78,2.95,-4.78,4.79,4.45,1.73,7.73,7.73,7.73
20.40,3.00,-4.75,3.00,-4.75,4.75,4.53,1.78,7.75,7.75,7.75
20.61,3.05,-4.72,3.05,-4.72,4.71,4.59,1.84,7.76,7.76,7.77
20.81,3.11,-4.68,3.11,-4.68,4.67,4.66,1.89,7.78,7.78,7.78
21.02,3.16,-4.64,3.16,-4.64,4.64,4.70,1.95,7.79,7.79,7.80
21.23,3.21,-4.60,3.21,-4.60,4.60,4.74,2.00,7.81,7.81,7.81
21.44,3.25,-4.57,3.25,-4.57,4.57,4.74,2.06,7.82,7.82,7.82
21.66,3.30,-4.54,3.30,-4.54,4.54,4.74,2.12,7.84,7.84,7.84
21.87,3.35,-4.50,3.35,-4.50,4.51,4.69,2.19,7.85,7.85,7.85
22.09,3.39,-4.48,3.39,-4.48,4.48,4.64,2.25,7.87,7.87,7.87
22.31,3.44,-4.45,3.44,-4.45,4.46,4.57,2.32,7.89,7.89,7.89
22.54,3.48,-4.43,3.48,-4.43,4.43,4.50,2.38,7.92,7.92,7.91
22.76,3.52,-4.41,3.52,-4.41,4.42,4.42,2.45,7.94,7.94,7.94
22.99,3.57,-4.40,3.57,-4.40,4.40,4.34,2.53,7.97,7.97,7.96
23.22,3.61,-4.38,3.61,-4.38,4.38,4.27,2.60,7.99,7.99,7.99
23.45,3.65,-4.37,3.65,-4.37,4.36,4.21,2.67,8.01,8.01,8.02
23.69,3.69,-4.35,3.69,-4.35,4.34,4.15,2.75,8.03,8.03,8.04
23.92,3.73,-4.32,3.73,-4.32,4.31,4.09,2.83,8.05,8.05,8.06
24.16,3.77,-4.29,3.77,-4.29,4.28,4.04,2.90,8.06,8.06,8.07
24.40,3.81,-4.25,3.81,-4.25,4.25,3.99,2.98,8.06,8.06,8.07
24.65,3.85,-4.21,3.85,-4.21,4.21,3.95,3.07,8.07,8.07,8.07
24.89,3.89,-4.17,3.89,-4.17,4.18,3.91,3.15,8.07,8.07,8.06
25.14,3.94,-4.13,3.94,-4.13,4.14,3.88,3.23,8.08,8.08,8.07
25.39,3.98,-4.09,3.98,-4.09,4.10,3.85,3.31,8.08,8.08,8.07
25.65,4.02,-4.06,4.02,-4.06,4.06,3.82,3.40,8.08,8.08,8.08
25.91,4.06,-4.03,4.06,-4.03,4.02,3.79,3.48,8.08,8.08,8.09
26.16,4.10,-3.99,4.10,-3.99,3.98,3.77,3.56,8.08,8.08,8.09
26.43,4.14,-3.95,4.14,-3.94,3.93,3.74,3.64,8.07,8.07,8.09
26.69,4.18,-3.89,4.18,-3.89,3.87,3.72,3.73,8.05,8.05,8.07
26.96,4.21,-3.83,4.21,-3.83,3.82,3.70,3.81,8.04,8.04,8.04
27.23,4.24,-3.77,4.24,-3.77,3.77,3.68,3.88,8.02,8.02,8.01
27.50,4.27,-3.71,4.27,-3.71,3.73,3.66,3.96,8.00,8.00,7.98
27.77,4.30,-3.67,4.30,-3.67,3.69,3.65,4.03,7.99,7.99,7.97
28.05,4.33,-3.64,4.33,-3.64,3.66,3.63,4.10,7.99,7.99,7.97
28.33,4.36,-3.63,4.36,-3.63,3.64,3.61,4.17,7.99,7.99,7.99
28.62,4.38,-3.63,4.38,-3.62,3.62,3.60,4.23,8.00,8.00,8.01
28.90,4.41,-3.62,4.41,-3.62,3.60,3.58,4.29,8.02,8.02,8.04
29.19,4.44,-3.61,4.44,-3.61,3.59,3.57,4.34,8.03,8.03,8.05
29.48,4.47,-3.60,4.47,-3.60,3.59,3.55,4.39,8.06,8.06,8.07
29.78,4.50,-3.58,4.50,-3.58,3.59,3.53,4.43,8.08,8.08,8.07
30.08,4.52,-3.56,4.52,-3.56,3.58,3.52,4.46,8.11,8.11,8.08
30.38,4.55,-3.55,4.55,-3.55,3.58,3.50,4.49,8.13,8.13,8.10
30.68,4.58,-3.56,4.58,-3.56,3.57,3.49,4.51,8.15,8.15,8.13
30.99,4.60,-3.57,4.60,-3.57,3.56,3.47,4.53,8.16,8.16,8.17
31.30,4.63,-3.57,4.63,-3.57,3.53,3.46,4.54,8.16,8.16,8.20
31.61,4.66,-3.55,4.66,-3.55,3.50,3.45,4.54,8.16,8.16,8.21
31.93,4.68,-3.51,4.68,-3.50,3.47,3.43,4.53,8.15,8.15,8.19
32.24,4.70,-3.44,4.70,-3.44,3.43,3.42,4.52,8.13,8.13,8.15
32.57,4.73,-3.37,4.73,-3.37,3.39,3.40,4.50,8.12,8.12,8.10
32.89,4.75,-3.31,4.75,-3.31,3.35,3.39,4.48,8.10,8.10,8.06
33.22,4.77,-3.28,4.77,-3.28,3.33,3.37,4.45,8.10,8.10,8.05
33.55,4.79,-3.27,4.79,-3.27,3.31,3.35,4.41,8.10,8.10,8.06
33.89,4.81,-3.29,4.81,-3.29,3.30,3.34,4.37,8.11,8.11,8.10
34.23,4.83,-3.31,4.83,-3.31,3.30,3.32,4.33,8.14,8.14,8.15
34.57,4.85,-3.33,4.85,-3.33,3.31,3.31,4.28,8.16,8.16,8.19
34.92,4.87,-3.34,4.87,-3.34,3.31,3.29,4.22,8.19,8.19,8.21
35.27,4.89,-3.33,4.89,-3.33,3.31,3.28,4.17,8.20,8.20,8.22
35.62,4.91,-3.31,4.91,-3.31,3.29,3.26,4.11,8.20,8.20,8.22
35.97,4.93,-3.27,4.93,-3.27,3.26,3.24,4.04,8.18,8.18,8.20
36.33,4.94,-3.22,4.94,-3.22,3.21,3.23,3.98,8.15,8.15,8.17
36.70,4.96,-3.16,4.96,-3.16,3.15,3.21,3.91,8.11,8.11,8.12
37.06,4.98,-3.10,4.98,-3.09,3.09,3.20,3.85,8.07,8.07,8.07
37.43,4.99,-3.02,4.99,-3.03,3.04,3.18,3.78,8.03,8.03,8.02
37.81,5.01,-2.97,5.01,-2.97,2.99,3.16,3.71,8.00,8.00,7.98
38.19,5.02,-2.92,5.02,-2.92,2.95,3.14,3.64,7.98,7.98,7.94
38.57,5.03,-2.90,5.03,-2.90,2.93,3.13,3.57,7.97,7.97,7.94
38.95,5.05,-2.90,5.05,-2.90,2.92,3.11,3.51,7.97,7.97,7.95
39.34,5.06,-2.92,5.06,-2.92,2.92,3.09,3.44,7.98,7.98,7.98
39.74,5.07,-2.94,5.07,-2.94,2.93,3.08,3.38,8.00,8.00,8.00
40.14,5.08,-2.95,5.08,-2.95,2.93,3.06,3.31,8.01,8.01,8.03
40.54,5.09,-2.96,5.09,-2.96,2.93,3.04,3.25,8.02,8.02,8.05
40.94,5.10,-2.95,5.10,-2.95,2.93,3.02,3.19,8.02,8.02,8.05
41.35,5.11,-2.93,5.11,-2.93,2.91,3.00,3.13,8.02,8.02,8.04
41.76,5.12,-2.89,5.12,-2.89,2.89,2.99,3.07,8.01,8.01,8.02
42.18,5.13,-2.85,5.13,-2.85,2.86,2.97,3.02,7.99,7.99,7.98
42.60,5.14,-2.81,5.14,-2.81,2.83,2.95,2.96,7.97,7.97,7.95
43.03,5.15,-2.77,5.15,-2.78,2.80,2.93,2.91,7.95,7.95,7.93
43.46,5.16,-2.75,5.16,-2.75,2.77,2.91,2.86,7.93,7.93,7.91
43.90,5.16,-2.74,5.16,-2.74,2.75,2.89,2.82,7.90,7.90,7.90
44.33,5.16,-2.73,5.16,-2.73,2.73,2.87,2.77,7.88,7.88,7.89
44.78,5.16,-2.72,5.16,-2.72,2.71,2.85,2.73,7.86,7.86,7.88
45.23,5.16,-2.70,5.16,-2.70,2.69,2.83,2.69,7.85,7.85,7.86
45.68,5.16,-2.68,5.16,-2.68,2.67,2.81,2.65,7.83,7.83,7.84
46.13,5.17,-2.66,5.17,-2.66,2.66,2.79,2.61,7.82,7.82,7.82
46.60,5.17,-2.63,5.17,-2.63,2.64,2.77,2.58,7.81,7.81,7.80
47.06,5.17,-2.61,5.17,-2.61,2.63,2.75,2.55,7.80,7.80,7.79
47.53,5.17,-2.60,5.17,-2.60,2.61,2.73,2.52,7.79,7.79,7.78
48.01,5.17,-2.60,5.17,-2.60,2.60,2.71,2.49,7.78,7.78,7.77
48.49,5.17,-2.60,5.17,-2.59,2.60,2.69,2.46,7.76,7.76,7.76
48.97,5.16,-2.59,5.16,-2.59,2.59,2.67,2.44,7.75,7.75,7.76
49.46,5.16,-2.59,5.16,-2.59,2.58,2.65,2.41,7.74,7.74,7.75
49.96,5.16,-2.57,5.16,-2.57,2.56,2.63,2.39,7.72,7.72,7.73
