frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.38,-5.70,2.38,-5.70,5.73,5.68,2.33,8.11,8.11,8.08
20.20,2.41,-5.69,2.41,-5.69,5.70,5.69,2.40,8.11,8.11,8.10
20.40,2.44,-5.69,2.44,-5.69,5.67,5.70,2.47,8.11,8.11,8.12
20.61,2.47,-5.67,2.47,-5.67,5.65,5.70,2.54,8.12,8.12,8.14
20.81,2.50,-5.65,2.50,-5.65,5.63,5.70,2.61,8.13,8.13,8.15
21.02,2.54,-5.63,2.54,-5.62,5.61,5.69,2.69,8.15,8.15,8.17
21.23,2.58,-5.60,2.58,-5.60,5.59,5.68,2.77,8.18,8.17,8.18
21.44,2.62,-5.58,2.62,-5.58,5.58,5.66,2.85,8.20,8.20,8.19
21.66,2.65,-5.56,2.65,-5.56,5.56,5.64,2.93,8.21,8.21,8.21
21.87,2.68,-5.54,2.68,-5.54,5.55,5.61,3.02,8.23,8.23,8.22
22.09,2.70,-5.54,2.70,-5.54,5.55,5.59,3.10,8.25,8.25,8.24
22.31,2.72,-5.54,2.72,-5.54,5.55,5.56,3.19,8.27,8.27,8.26
22.54,2.73,-5.55,2.73,-5.55,5.55,5.54,3.28,8.29,8.29,8.28
22.76,2.75,-5.56,2.75,-5.56,5.56,5.52,3.38,8.31,8.31,8.31
22.99,2.76,-5.57,2.76,-5.57,5.57,5.50,3.47,8.33,8.33,8.33
23.22,2.78,-5.59,2.78,-5.59,5.58,5.48,3.57,8.35,8.35,8.36
23.45,2.79,-5.59,2.79,-5.59,5.58,5.47,3.67,8.38,8.38,8.39
23.69,2.82,-5.59,2.82,-5.59,5.58,5.45,3.78,8.40,8.40,8.41
23.92,2.84,-5.58,2.84,-5.58,5.57,5.43,3.88,8.41,8.41,8.43
24.16,2.87,-5.57,2.87,-5.57,5.56,5.42,3.99,8.43,8.43,8.43
24.40,2.89,-5.54,2.89,-5.54,5.54,5.40,4.10,8.44,8.44,8.44
24.65,2.92,-5.52,2.92,-5.52,5.52,5.39,4.21,8.44,8.44,8.44
24.89,2.94,-5.49,2.94,-5.49,5.50,5.38,4.32,8.45,8.45,8.43
25.14,2.97,-5.47,2.97,-5.47,5.48,5.37,4.43,8.45,8.45,8.44
25.39,2.99,-5.45,2.99,-5.45,5.47,5.35,4.55,8.45,8.45,8.44
25.65,3.01,-5.44,3.01,-5.44,5.44,5.34,4.66,8.45,8.45,8.45
25.91,3.03,-5.43,3.03,-5.43,5.42,5.33,4.78,8.45,8.45,8.46
26.16,3.05,-5.41,3.05,-5.41,5.39,5.32,4.89,8.44,8.44,8.46
26.43,3.08,-5.38,3.08,-5.38,5.36,5.31,5.00,8.43,8.43,8.46
26.69,3.10,-5.34,3.10,-5.34,5.32,5.29,5.12,8.42,8.42,8.44
26.96,3.13,-5.28,3.13,-5.28,5.28,5.28,5.23,8.40,8.40,8.41
27.23,3.16,-5.23,3.15,-5.23,5.23,5.27,5.33,8.39,8.39,8.38
27.50,3.18,-5.18,3.18,-5.18,5.20,5.26,5.44,8.38,8.38,8.35
27.77,3.20,-5.14,3.20,-5.14,5.17,5.24,5.54,8.37,8.37,8.34
28.05,3.22,-5.11,3.22,-5.12,5.14,5.23,5.64,8.36,8.36,8.34
28.33,3.24,-5.11,3.24,-5.11,5.12,5.22,5.73,8.36,8.36,8.36
28.62,3.26,-5.12,3.26,-5.12,5.11,5.21,5.82,8.37,8.37,8.38
28.90,3.28,-5.12,3.28,-5.12,5.10,5.19,5.90,8.38,8.38,8.41
29.19,3.30,-5.12,3.30,-5.12,5.10,5.18,5.98,8.40,8.40,8.42
29.48,3.33,-5.11,3.33,-5.11,5.10,5.16,6.05,8.42,8.42,8.44
29.78,3.35,-5.10,3.35,-5.09,5.10,5.15,6.11,8.45,8.45,8.44
30.08,3.37,-5.08,3.37,-5.08,5.11,5.14,6.16,8.48,8.48,8.45
30.38,3.39,-5.08,3.39,-5.08,5.11,5.12,6.20,8.50,8.50,8.47
30.68,3.41,-5.09,3.41,-5.09,5.11,5.10,6.23,8.52,8.52,8.50
30.99,3.43,-5.11,3.43,-5.11,5.10,5.09,6.26,8.53,8.53,8.54
31.30,3.45,-5.12,3.45,-5.12,5.09,5.07,6.27,8.53,8.53,8.57
31.61,3.46,-5.11,3.46,-5.11,5.06,5.06,6.28,8.53,8.53,8.58
31.93,3.48,-5.08,3.48,-5.07,5.04,5.04,6.27,8.52,8.52,8.56
32.24,3.50,-5.02,3.50,-5.02,5.00,5.02,6.26,8.50,8.50,8.52
32.57,3.51,-4.95,3.51,-4.96,4.97,5.01,6.23,8.48,8.48,8.47
32.89,3.53,-4.89,3.53,-4.90,4.94,4.99,6.20,8.47,8.47,8.43
33.22,3.55,-4.87,3.55,-4.87,4.92,4.97,6.16,8.47,8.47,8.42
33.55,3.57,-4.86,3.57,-4.86,4.90,4.95,6.11,8.47,8.47,8.43
33.89,3.59,-4.88,3.59,-4.88,4.90,4.94,6.06,8.48,8.48,8.47
34.23,3.60,-4.91,3.60,-4.91,4.90,4.92,6.00,8.51,8.51,8.51
34.57,3.62,-4.94,3.62,-4.94,4.91,4.90,5.93,8.53,8.53,8.56
34.92,3.64,-4.95,3.64,-4.95,4.92,4.88,5.86,8.56,8.56,8.58
35.27,3.65,-4.94,3.65,-4.94,4.92,4.86,5.78,8.57,8.57,8.59
35.62,3.67,-4.92,3.67,-4.92,4.90,4.84,5.70,8.57,8.57,8.59
35.97,3.68,-4.88,3.68,-4.88,4.87,4.82,5.62,8.55,8.55,8.57
36.33,3.70,-4.84,3.70,-4.84,4.82,4.80,5.54,8.52,8.52,8.53
36.70,3.71,-4.78,3.71,-4.78,4.77,4.78,5.45,8.48,8.48,8.49
37.06,3.73,-4.71,3.73,-4.71,4.71,4.75,5.36,8.44,8.44,8.44
37.43,3.74,-4.64,3.74,-4.65,4.66,4.73,5.27,8.40,8.40,8.39
