frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.17,2.87,14.17,2.87,-2.86,-3.10,-1.17,11.31,11.32,11.30
20.20,14.17,2.85,14.17,2.85,-2.85,-3.10,-1.20,11.33,11.32,11.32
20.40,14.18,2.84,14.18,2.83,-2.84,-3.11,-1.24,11.34,11.34,11.34
20.61,14.18,2.82,14.18,2.82,-2.83,-3.07,-1.27,11.35,11.35,11.36
20.81,14.18,2.81,14.18,2.81,-2.82,-3.04,-1.31,11.36,11.36,11.37
21.02,14.19,2.80,14.19,2.80,-2.81,-2.98,-1.35,11.37,11.37,11.39
21.23,14.19,2.79,14.19,2.79,-2.80,-2.92,-1.39,11.39,11.39,11.40
21.44,14.20,2.79,14.20,2.79,-2.79,-2.87,-1.43,11.41,11.41,11.41
21.66,14.21,2.79,14.21,2.79,-2.79,-2.81,-1.47,11.43,11.43,11.43
21.87,14.22,2.78,14.22,2.78,-2.78,-2.76,-1.52,11.45,11.44,11.44
22.09,14.23,2.77,14.23,2.77,-2.77,-2.71,-1.56,11.46,11.46,11.46
22.31,14.24,2.76,14.24,2.76,-2.75,-2.67,-1.61,11.49,11.49,11.48
22.54,14.24,2.74,14.24,2.74,-2.73,-2.64,-1.65,11.51,11.51,11.50
22.76,14.24,2.72,14.24,2.72,-2.71,-2.61,-1.70,11.53,11.53,11.52
22.99,14.24,2.69,14.24,2.69,-2.69,-2.58,-1.75,11.55,11.55,11.55
23.22,14.24,2.66,14.24,2.66,-2.66,-2.56,-1.80,11.58,11.58,11.58
23.45,14.24,2.63,14.24,2.63,-2.64,-2.54,-1.85,11.60,11.60,11.61
23.69,14.24,2.62,14.24,2.62,-2.63,-2.52,-1.90,11.62,11.62,11.63
23.92,14.25,2.60,14.25,2.61,-2.62,-2.51,-1.96,11.63,11.63,11.64
24.16,14.26,2.60,14.26,2.60,-2.61,-2.50,-2.01,11.64,11.64,11.65
24.40,14.26,2.61,14.26,2.61,-2.61,-2.48,-2.07,11.65,11.65,11.66
24.65,14.27,2.61,14.27,2.61,-2.61,-2.48,-2.12,11.66,11.66,11.66
24.89,14.27,2.62,14.27,2.62,-2.61,-2.47,-2.18,11.67,11.67,11.65
25.14,14.27,2.62,14.27,2.62,-2.60,-2.46,-2.24,11.67,11.67,11.65
25.39,14.27,2.62,14.27,2.61,-2.60,-2.46,-2.29,11.67,11.67,11.66
25.65,14.27,2.60,14.27,2.60,-2.60,-2.45,-2.35,11.67,11.67,11.67
25.91,14.27,2.59,14.27,2.59,-2.60,-2.45,-2.41,11.67,11.67,11.68
26.16,14.27,2.59,14.27,2.59,-2.61,-2.44,-2.47,11.66,11.66,11.68
26.43,14.27,2.59,14.27,2.59,-2.62,-2.44,-2.52,11.65,11.65,11.68
26.69,14.27,2.61,14.27,2.61,-2.63,-2.44,-2.58,11.64,11.64,11.66
26.96,14.27,2.63,14.27,2.64,-2.65,-2.44,-2.63,11.62,11.62,11.63
27.23,14.27,2.67,14.27,2.67,-2.66,-2.43,-2.69,11.61,11.61,11.60
27.50,14.27,2.69,14.27,2.69,-2.67,-2.43,-2.74,11.59,11.59,11.57
27.77,14.26,2.71,14.26,2.71,-2.68,-2.43,-2.79,11.59,11.59,11.56
28.05,14.26,2.71,14.26,2.70,-2.68,-2.43,-2.84,11.58,11.58,11.55
28.33,14.26,2.68,14.26,2.68,-2.67,-2.43,-2.89,11.58,11.58,11.57
28.62,14.25,2.65,14.25,2.65,-2.66,-2.43,-2.93,11.59,11.59,11.60
28.90,14.25,2.62,14.25,2.62,-2.64,-2.43,-2.97,11.60,11.60,11.62
29.19,14.24,2.60,14.24,2.60,-2.62,-2.43,-3.01,11.62,11.62,11.64
29.48,14.24,2.59,14.24,2.59,-2.60,-2.43,-3.04,11.64,11.64,11.66
29.78,14.24,2.58,14.24,2.58,-2.57,-2.43,-3.08,11.67,11.67,11.66
30.08,14.24,2.57,14.24,2.57,-2.55,-2.43,-3.10,11.69,11.69,11.67
30.38,14.24,2.55,14.24,2.55,-2.52,-2.43,-3.13,11.72,11.72,11.69
30.68,14.24,2.52,14.24,2.51,-2.50,-2.43,-3.15,11.74,11.74,11.72
30.99,14.23,2.47,14.23,2.48,-2.48,-2.43,-3.16,11.75,11.75,11.76
31.30,14.23,2.44,14.23,2.44,-2.48,-2.43,-3.17,11.75,11.75,11.79
31.61,14.22,2.43,14.22,2.43,-2.47,-2.43,-3.18,11.75,11.75,11.79
31.93,14.22,2.44,14.22,2.45,-2.48,-2.43,-3.18,11.74,11.74,11.78
32.24,14.21,2.48,14.21,2.48,-2.49,-2.43,-3.18,11.72,11.72,11.74
32.57,14.20,2.52,14.20,2.52,-2.50,-2.43,-3.18,11.70,11.70,11.69
32.89,14.20,2.55,14.20,2.55,-2.51,-2.43,-3.17,11.68,11.68,11.65
33.22,14.19,2.56,14.19,2.55,-2.51,-2.43,-3.15,11.68,11.68,11.63
33.55,14.19,2.54,14.19,2.54,-2.50,-2.43,-3.14,11.68,11.68,11.64
33.89,14.19,2.50,14.19,2.50,-2.49,-2.43,-3.12,11.70,11.70,11.69
34.23,14.19,2.45,14.19,2.46,-2.46,-2.43,-3.10,11.73,11.73,11.73
34.57,14.18,2.41,14.18,2.41,-2.42,-2.43,-3.07,11.76,11.76,11.78
34.92,14.17,2.37,14.17,2.37,-2.39,-2.43,-3.04,11.79,11.78,11.80
35.27,14.16,2.35,14.16,2.34,-2.36,-2.44,-3.01,11.79,11.79,11.81
35.62,14.14,2.33,14.14,2.33,-2.35,-2.44,-2.98,11.79,11.79,11.80
35.97,14.11,2.33,14.12,2.33,-2.35,-2.44,-2.95,11.76,11.76,11.79
36.33,14.10,2.34,14.10,2.35,-2.37,-2.44,-2.92,11.73,11.73,11.75
36.70,14.09,2.38,14.09,2.38,-2.40,-2.44,-2.88,11.69,11.69,11.71
37.06,14.08,2.42,14.08,2.42,-2.42,-2.44,-2.85,11.66,11.66,11.66
37.43,14.08,2.47,14.07,2.47,-2.45,-2.44,-2.82,11.62,11.62,11.60
37.81,14.06,2.50,14.06,2.50,-2.47,-2.44,-2.78,11.59,11.59,11.56
38.19,14.05,2.52,14.05,2.52,-2.48,-2.44,-2.75,11.57,11.57,11.53
38.57,14.03,2.51,14.03,2.51,-2.48,-2.44,-2.71,11.55,11.55,11.52
38.95,14.02,2.48,14.02,2.48,-2.47,-2.44,-2.68,11.55,11.55,11.54
39.34,14.00,2.44,14.00,2.44,-2.44,-2.44,-2.65,11.56,11.56,11.56
39.74,13.99,2.40,13.99,2.40,-2.40,-2.44,-2.62,11.59,11.59,11.59
40.14,13.98,2.36,13.98,2.36,-2.37,-2.44,-2.59,11.61,11.61,11.62
40.54,13.96,2.33,13.96,2.33,-2.34,-2.44,-2.56,11.62,11.62,11.64
40.94,13.94,2.30,13.94,2.30,-2.32,-2.44,-2.53,11.62,11.62,11.64
41.35,13.91,2.29,13.91,2.29,-2.31,-2.44,-2.50,11.60,11.60,11.63
41.76,13.89,2.28,13.89,2.29,-2.31,-2.44,-2.48,11.58,11.58,11.60
42.18,13.88,2.30,13.88,2.31,-2.31,-2.44,-2.45,11.56,11.56,11.57
42.60,13.87,2.33,13.87,2.33,-2.32,-2.44,-2.43,11.55,11.55,11.54
43.03,13.87,2.36,13.87,2.35,-2.32,-2.44,-2.41,11.55,11.55,11.51
43.46,13.86,2.36,13.86,2.36,-2.33,-2.44,-2.40,11.53,11.53,11.50
43.90,13.84,2.36,13.84,2.35,-2.33,-2.44,-2.38,11.51,11.50,11.49
44.33,13.81,2.33,13.81,2.33,-2.34,-2.44,-2.37,11.47,11.47,11.48
44.78,13.78,2.31,13.78,2.32,-2.34,-2.44,-2.35,11.44,11.44,11.47
45.23,13.76,2.31,13.76,2.31,-2.34,-2.44,-2.34,11.42,11.42,11.45
45.68,13.75,2.32,13.75,2.32,-2.34,-2.44,-2.34,11.41,11.41,11.43
46.13,13.75,2.34,13.75,2.34,-2.34,-2.44,-2.33,11.42,11.41,11.41
46.60,13.75,2.36,13.75,2.36,-2.33,-2.44,-2.32,11.42,11.41,11.39
47.06,13.74,2.36,13.73,2.36,-2.33,-2.44,-2.32,11.41,11.41,11.38
47.53,13.71,2.35,13.71,2.34,-2.32,-2.44,-2.32,11.39,11.39,11.36
48.01,13.68,2.32,13.68,2.32,-2.31,-2.44,-2.32,11.36,11.36,11.36
48.49,13.64,2.29,13.64,2.29,-2.31,-2.44,-2.32,11.34,11.34,11.35
48.97,13.62,2.27,13.62,2.27,-2.30,-2.44,-2.32,11.32,11.32,11.35
49.46,13.60,2.26,13.60,2.26,-2.29,-2.44,-2.33,11.31,11.31,11.34
49.96,13.59,2.27,13.59,2.27,-2.28,-2.44,-2.33,11.31,11.31,11.32
50.46,13.58,2.28,13.58,2.28,-2.27,-2.44,-2.34,11.31,11.31,11.30
50.96,13.57,2.30,13.57,2.29,-2.27,-2.44,-2.35,11.30,11.30,11.28
51.47,13.55,2.30,13.54,2.29,-2.27,-2.44,-2.36,11.27,11.27,11.25
51.99,13.50,2.29,13.50,2.29,-2.28,-2.44,-2.37,11.23,11.23,11.22
52.51,13.46,2.28,13.46,2.28,-2.28,-2.44,-2.38,11.17,11.17,11.18
53.03,13.41,2.27,13.41,2.27,-2.29,-2.44,-2.39,11.12,11.12,11.14
53.56,13.37,2.28,13.38,2.28,-2.30,-2.44,-2.40,11.07,11.07,11.10
54.10,13.35,2.30,13.35,2.30,-2.32,-2.44,-2.41,11.03,11.03,11.05
