frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.40,-0.73,8.40,-0.72,0.73,-0.06,0.18,9.13,9.13,9.13
20.20,8.44,-0.71,8.44,-0.71,0.71,-0.06,0.19,9.15,9.15,9.15
20.40,8.48,-0.69,8.48,-0.70,0.70,-0.06,0.19,9.17,9.17,9.17
20.61,8.51,-0.68,8.51,-0.68,0.68,-0.06,0.20,9.19,9.19,9.19
20.81,8.53,-0.67,8.53,-0.67,0.67,-0.06,0.21,9.20,9.20,9.20
21.02,8.56,-0.66,8.56,-0.66,0.65,-0.06,0.21,9.21,9.21,9.22
21.23,8.58,-0.65,8.58,-0.65,0.64,-0.06,0.22,9.22,9.22,9.23
21.44,8.61,-0.63,8.61,-0.63,0.63,-0.07,0.23,9.24,9.24,9.24
21.66,8.64,-0.62,8.64,-0.62,0.62,-0.07,0.23,9.25,9.25,9.26
21.87,8.66,-0.61,8.66,-0.61,0.61,-0.07,0.24,9.27,9.27,9.27
22.09,8.69,-0.59,8.69,-0.59,0.60,-0.07,0.25,9.29,9.29,9.29
22.31,8.72,-0.58,8.72,-0.59,0.59,-0.07,0.26,9.31,9.31,9.31
22.54,8.75,-0.58,8.75,-0.58,0.59,-0.07,0.27,9.34,9.34,9.33
22.76,8.77,-0.58,8.77,-0.58,0.59,-0.07,0.28,9.36,9.36,9.35
22.99,8.80,-0.58,8.80,-0.58,0.59,-0.08,0.28,9.39,9.39,9.38
23.22,8.82,-0.59,8.82,-0.59,0.59,-0.08,0.29,9.41,9.41,9.41
23.45,8.85,-0.59,8.85,-0.59,0.58,-0.08,0.30,9.43,9.43,9.44
23.69,8.87,-0.59,8.87,-0.59,0.58,-0.08,0.31,9.45,9.45,9.46
23.92,8.89,-0.58,8.89,-0.58,0.57,-0.08,0.32,9.46,9.46,9.47
24.16,8.92,-0.57,8.92,-0.57,0.56,-0.08,0.33,9.48,9.48,9.48
24.40,8.94,-0.55,8.94,-0.54,0.54,-0.09,0.34,9.48,9.48,9.49
24.65,8.96,-0.52,8.96,-0.52,0.53,-0.09,0.35,9.49,9.49,9.49
24.89,8.98,-0.50,8.98,-0.50,0.51,-0.09,0.36,9.50,9.50,9.48
25.14,9.00,-0.48,9.00,-0.48,0.50,-0.09,0.37,9.50,9.50,9.48
25.39,9.02,-0.47,9.02,-0.47,0.48,-0.09,0.38,9.50,9.50,9.49
25.65,9.04,-0.46,9.04,-0.46,0.46,-0.09,0.39,9.50,9.50,9.50
25.91,9.06,-0.45,9.06,-0.45,0.44,-0.10,0.40,9.50,9.50,9.51
26.16,9.08,-0.44,9.08,-0.43,0.42,-0.10,0.41,9.49,9.49,9.51
26.43,9.10,-0.41,9.10,-0.41,0.39,-0.10,0.42,9.48,9.48,9.51
26.69,9.12,-0.37,9.12,-0.37,0.35,-0.10,0.43,9.47,9.47,9.49
26.96,9.14,-0.33,9.14,-0.32,0.32,-0.10,0.44,9.45,9.45,9.46
27.23,9.16,-0.27,9.16,-0.27,0.28,-0.11,0.44,9.44,9.44,9.43
27.50,9.17,-0.23,9.17,-0.23,0.25,-0.11,0.45,9.42,9.42,9.40
27.77,9.19,-0.20,9.19,-0.20,0.23,-0.11,0.46,9.42,9.42,9.39
28.05,9.20,-0.18,9.20,-0.19,0.21,-0.11,0.47,9.41,9.41,9.39
28.33,9.21,-0.19,9.21,-0.19,0.20,-0.12,0.47,9.41,9.41,9.41
28.62,9.23,-0.20,9.23,-0.20,0.19,-0.12,0.48,9.42,9.42,9.43
28.90,9.24,-0.22,9.24,-0.21,0.19,-0.12,0.48,9.43,9.43,9.46
29.19,9.25,-0.22,9.25,-0.22,0.20,-0.12,0.48,9.45,9.45,9.47
29.48,9.27,-0.22,9.27,-0.22,0.21,-0.13,0.49,9.47,9.47,9.49
29.78,9.28,-0.21,9.28,-0.21,0.21,-0.13,0.49,9.50,9.50,9.49
30.08,9.30,-0.20,9.30,-0.20,0.23,-0.13,0.49,9.52,9.52,9.50
30.38,9.31,-0.20,9.31,-0.21,0.24,-0.13,0.49,9.55,9.55,9.52
30.68,9.33,-0.22,9.33,-0.22,0.24,-0.14,0.49,9.57,9.57,9.55
30.99,9.34,-0.25,9.34,-0.25,0.24,-0.14,0.48,9.58,9.58,9.59
31.30,9.35,-0.26,9.35,-0.26,0.23,-0.14,0.48,9.58,9.58,9.62
31.61,9.36,-0.26,9.36,-0.26,0.22,-0.14,0.47,9.58,9.58,9.63
31.93,9.37,-0.24,9.37,-0.23,0.19,-0.15,0.47,9.56,9.56,9.61
32.24,9.38,-0.19,9.38,-0.19,0.17,-0.15,0.46,9.55,9.55,9.57
32.57,9.39,-0.13,9.39,-0.13,0.14,-0.15,0.45,9.53,9.53,9.52
32.89,9.40,-0.08,9.40,-0.08,0.12,-0.16,0.44,9.52,9.52,9.48
33.22,9.41,-0.06,9.41,-0.06,0.10,-0.16,0.43,9.51,9.51,9.46
33.55,9.42,-0.05,9.42,-0.06,0.10,-0.16,0.42,9.52,9.52,9.47
33.89,9.43,-0.09,9.43,-0.09,0.10,-0.17,0.40,9.53,9.53,9.52
34.23,9.44,-0.12,9.44,-0.12,0.12,-0.17,0.39,9.56,9.56,9.56
34.57,9.45,-0.16,9.45,-0.15,0.13,-0.17,0.38,9.58,9.58,9.61
34.92,9.46,-0.18,9.46,-0.17,0.15,-0.18,0.36,9.61,9.61,9.63
35.27,9.46,-0.18,9.46,-0.18,0.16,-0.18,0.34,9.62,9.62,9.64
35.62,9.47,-0.17,9.47,-0.17,0.15,-0.18,0.33,9.62,9.62,9.64
