frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.42,1.27,7.42,1.27,-1.29,-0.72,-0.49,6.14,6.14,6.16
20.20,7.44,1.16,7.44,1.16,-1.16,-0.73,-0.50,6.28,6.28,6.28
20.40,7.46,1.06,7.46,1.05,-1.05,-0.74,-0.51,6.41,6.41,6.41
20.61,7.48,0.96,7.48,0.96,-0.95,-0.75,-0.53,6.53,6.53,6.52
20.81,7.49,0.87,7.49,0.87,-0.86,-0.76,-0.54,6.63,6.63,6.62
21.02,7.51,0.79,7.51,0.79,-0.78,-0.77,-0.56,6.73,6.73,6.71
21.23,7.52,0.72,7.52,0.72,-0.71,-0.79,-0.58,6.81,6.81,6.80
21.44,7.53,0.66,7.53,0.66,-0.64,-0.80,-0.59,6.89,6.89,6.87
21.66,7.55,0.60,7.55,0.60,-0.58,-0.81,-0.61,6.96,6.96,6.95
21.87,7.56,0.54,7.56,0.54,-0.53,-0.82,-0.63,7.03,7.03,7.02
22.09,7.57,0.50,7.57,0.50,-0.50,-0.83,-0.64,7.08,7.08,7.07
22.31,7.59,0.47,7.59,0.47,-0.48,-0.84,-0.66,7.10,7.10,7.11
22.54,7.60,0.47,7.60,0.47,-0.49,-0.86,-0.68,7.11,7.11,7.13
22.76,7.62,0.49,7.62,0.49,-0.53,-0.87,-0.70,7.09,7.09,7.13
22.99,7.63,0.55,7.63,0.55,-0.60,-0.88,-0.72,7.03,7.03,7.08
23.22,7.64,0.64,7.64,0.64,-0.68,-0.89,-0.74,6.95,6.95,7.00
23.45,7.65,0.75,7.65,0.76,-0.79,-0.91,-0.76,6.86,6.86,6.90
23.69,7.66,0.89,7.66,0.89,-0.89,-0.92,-0.78,6.76,6.76,6.77
23.92,7.66,1.02,7.66,1.02,-0.99,-0.93,-0.80,6.67,6.67,6.65
24.16,7.67,1.13,7.67,1.12,-1.06,-0.95,-0.83,6.61,6.61,6.54
24.40,7.68,1.18,7.68,1.17,-1.10,-0.96,-0.85,6.58,6.58,6.50
24.65,7.68,1.18,7.68,1.18,-1.10,-0.97,-0.87,6.59,6.59,6.51
24.89,7.69,1.13,7.69,1.12,-1.06,-0.98,-0.89,6.63,6.63,6.56
25.14,7.70,1.03,7.70,1.03,-1.00,-1.00,-0.92,6.70,6.70,6.68
25.39,7.71,0.91,7.71,0.91,-0.93,-1.01,-0.94,6.78,6.78,6.80
25.65,7.72,0.81,7.72,0.81,-0.86,-1.02,-0.96,6.86,6.86,6.91
25.91,7.73,0.73,7.73,0.74,-0.81,-1.04,-0.99,6.92,6.92,7.00
26.16,7.74,0.71,7.74,0.71,-0.78,-1.05,-1.01,6.96,6.96,7.03
26.43,7.75,0.73,7.75,0.74,-0.78,-1.06,-1.04,6.97,6.97,7.02
26.69,7.76,0.79,7.76,0.80,-0.81,-1.08,-1.06,6.94,6.94,6.97
26.96,7.77,0.88,7.77,0.88,-0.87,-1.09,-1.08,6.90,6.90,6.88
27.23,7.78,0.97,7.78,0.97,-0.94,-1.11,-1.10,6.83,6.84,6.80
27.50,7.78,1.06,7.78,1.06,-1.02,-1.12,-1.13,6.76,6.76,6.72
