frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.73,3.71,10.73,3.71,-3.72,-3.62,-1.44,7.01,7.01,7.02
20.20,10.73,3.58,10.73,3.57,-3.58,-3.61,-1.49,7.15,7.14,7.15
20.40,10.72,3.45,10.72,3.45,-3.45,-3.59,-1.53,7.27,7.27,7.27
20.61,10.72,3.33,10.72,3.34,-3.33,-3.53,-1.57,7.39,7.39,7.39
20.81,10.72,3.23,10.72,3.23,-3.22,-3.46,-1.62,7.49,7.49,7.49
21.02,10.71,3.14,10.71,3.13,-3.12,-3.37,-1.67,7.59,7.59,7.58
21.23,10.71,3.05,10.71,3.05,-3.03,-3.29,-1.71,7.68,7.68,7.66
21.44,10.71,2.97,10.71,2.97,-2.95,-3.22,-1.76,7.75,7.75,7.74
21.66,10.71,2.89,10.71,2.89,-2.88,-3.14,-1.81,7.83,7.83,7.81
21.87,10.70,2.82,10.70,2.82,-2.81,-3.09,-1.87,7.89,7.89,7.88
22.09,10.70,2.76,10.70,2.76,-2.76,-3.03,-1.92,7.94,7.94,7.94
22.31,10.70,2.72,10.70,2.72,-2.73,-3.00,-1.98,7.97,7.97,7.98
22.54,10.69,2.70,10.69,2.70,-2.72,-2.96,-2.03,7.97,7.97,8.00
22.76,10.69,2.70,10.69,2.70,-2.74,-2.94,-2.09,7.95,7.95,7.99
22.99,10.69,2.75,10.69,2.75,-2.79,-2.92,-2.15,7.89,7.89,7.94
23.22,10.69,2.82,10.69,2.82,-2.87,-2.91,-2.21,7.81,7.81,7.86
23.45,10.69,2.93,10.69,2.93,-2.97,-2.90,-2.28,7.72,7.72,7.76
23.69,10.69,3.06,10.69,3.06,-3.07,-2.90,-2.34,7.62,7.62,7.63
23.92,10.69,3.18,10.69,3.18,-3.16,-2.89,-2.41,7.54,7.54,7.51
24.16,10.70,3.29,10.70,3.28,-3.22,-2.90,-2.47,7.48,7.48,7.41
24.40,10.70,3.34,10.70,3.34,-3.25,-2.90,-2.54,7.45,7.45,7.36
24.65,10.70,3.33,10.70,3.33,-3.25,-2.91,-2.61,7.46,7.46,7.37
24.89,10.70,3.27,10.70,3.27,-3.20,-2.92,-2.68,7.50,7.50,7.43
25.14,10.70,3.16,10.70,3.16,-3.13,-2.93,-2.75,7.57,7.57,7.54
25.39,10.70,3.03,10.70,3.03,-3.05,-2.94,-2.82,7.64,7.64,7.66
25.65,10.69,2.91,10.69,2.92,-2.97,-2.95,-2.89,7.72,7.72,7.78
25.91,10.69,2.82,10.69,2.83,-2.90,-2.96,-2.96,7.78,7.78,7.86
26.16,10.68,2.79,10.68,2.79,-2.87,-2.97,-3.03,7.82,7.82,7.89
26.43,10.68,2.80,10.68,2.80,-2.86,-2.99,-3.10,7.82,7.82,7.88
