frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.21,0.26,12.21,0.26,-0.25,-0.59,-0.55,11.96,11.96,11.95
20.20,12.22,0.27,12.22,0.27,-0.27,-0.61,-0.57,11.95,11.95,11.94
20.40,12.22,0.28,12.22,0.28,-0.29,-0.62,-0.58,11.93,11.93,11.94
20.61,12.22,0.29,12.23,0.30,-0.31,-0.63,-0.60,11.92,11.92,11.93
20.81,12.23,0.32,12.23,0.32,-0.33,-0.64,-0.61,11.90,11.90,11.91
21.02,12.24,0.35,12.24,0.35,-0.36,-0.65,-0.63,11.89,11.89,11.89
21.23,12.25,0.38,12.25,0.38,-0.38,-0.67,-0.65,11.87,11.87,11.87
21.44,12.26,0.41,12.26,0.41,-0.41,-0.68,-0.66,11.85,11.85,11.85
21.66,12.27,0.45,12.27,0.45,-0.45,-0.69,-0.68,11.83,11.83,11.82
21.87,12.28,0.48,12.28,0.48,-0.48,-0.71,-0.70,11.80,11.80,11.80
22.09,12.29,0.52,12.29,0.52,-0.52,-0.72,-0.72,11.77,11.77,11.78
22.31,12.31,0.56,12.31,0.56,-0.56,-0.73,-0.74,11.75,11.75,11.75
22.54,12.32,0.60,12.32,0.60,-0.60,-0.75,-0.76,11.72,11.72,11.72
22.76,12.33,0.63,12.33,0.63,-0.63,-0.76,-0.78,11.70,11.70,11.69
22.99,12.34,0.67,12.34,0.67,-0.67,-0.78,-0.80,11.67,11.67,11.67
23.22,12.35,0.70,12.35,0.70,-0.70,-0.79,-0.82,11.65,11.65,11.65
23.45,12.36,0.73,12.36,0.73,-0.73,-0.81,-0.84,11.63,11.63,11.63
23.69,12.37,0.76,12.37,0.76,-0.76,-0.82,-0.86,11.61,11.61,11.61
23.92,12.38,0.78,12.38,0.78,-0.77,-0.84,-0.88,11.60,11.60,11.60
24.16,12.39,0.79,12.39,0.79,-0.79,-0.86,-0.91,11.60,11.60,11.59
24.40,12.39,0.80,12.39,0.80,-0.79,-0.87,-0.93,11.60,11.60,11.59
24.65,12.40,0.80,12.40,0.80,-0.79,-0.89,-0.96,11.61,11.61,11.60
24.89,12.41,0.79,12.41,0.79,-0.78,-0.91,-0.98,11.62,11.62,11.62
25.14,12.41,0.78,12.41,0.78,-0.77,-0.92,-1.00,11.64,11.64,11.63
25.39,12.42,0.77,12.42,0.77,-0.77,-0.94,-1.03,11.66,11.66,11.65
25.65,12.43,0.76,12.43,0.76,-0.76,-0.96,-1.05,11.67,11.67,11.67
25.91,12.44,0.75,12.44,0.75,-0.76,-0.98,-1.08,11.67,11.67,11.68
26.16,12.44,0.76,12.44,0.76,-0.77,-1.00,-1.11,11.67,11.67,11.69
26.43,12.45,0.78,12.45,0.78,-0.79,-1.02,-1.13,11.66,11.66,11.67
26.69,12.45,0.81,12.45,0.81,-0.82,-1.04,-1.16,11.63,11.63,11.64
26.96,12.46,0.86,12.46,0.86,-0.87,-1.06,-1.18,11.59,11.59,11.60
27.23,12.46,0.91,12.46,0.92,-0.92,-1.08,-1.21,11.55,11.55,11.55
27.50,12.47,0.98,12.47,0.98,-0.97,-1.10,-1.24,11.49,11.49,11.49
27.77,12.47,1.04,12.47,1.04,-1.03,-1.12,-1.26,11.44,11.44,11.43
28.05,12.47,1.10,12.47,1.10,-1.09,-1.14,-1.29,11.38,11.38,11.37
28.33,12.48,1.16,12.48,1.16,-1.15,-1.16,-1.31,11.32,11.32,11.32
28.62,12.48,1.21,12.48,1.21,-1.21,-1.18,-1.34,11.27,11.27,11.26
28.90,12.48,1.26,12.48,1.26,-1.26,-1.20,-1.36,11.22,11.22,11.22
29.19,12.48,1.31,12.48,1.31,-1.31,-1.23,-1.39,11.17,11.17,11.17
29.48,12.48,1.35,12.48,1.35,-1.35,-1.25,-1.41,11.13,11.13,11.13
29.78,12.49,1.39,12.49,1.39,-1.39,-1.27,-1.44,11.10,11.10,11.10
30.08,12.49,1.43,12.49,1.43,-1.42,-1.30,-1.46,11.07,11.07,11.06
30.38,12.49,1.46,12.49,1.46,-1.45,-1.32,-1.48,11.05,11.05,11.03
30.68,12.49,1.48,12.49,1.48,-1.47,-1.35,-1.50,11.03,11.03,11.01
30.99,12.49,1.49,12.49,1.49,-1.48,-1.37,-1.52,11.01,11.01,11.00
31.30,12.49,1.50,12.49,1.50,-1.50,-1.40,-1.54,11.00,11.00,11.00
31.61,12.49,1.51,12.49,1.51,-1.51,-1.42,-1.57,10.98,10.98,10.99
31.93,12.49,1.52,12.49,1.52,-1.54,-1.45,-1.58,10.96,10.96,10.98
32.24,12.49,1.54,12.49,1.54,-1.56,-1.48,-1.60,10.93,10.93,10.96
32.57,12.50,1.57,12.50,1.57,-1.59,-1.50,-1.62,10.91,10.91,10.92
32.89,12.50,1.62,12.50,1.62,-1.62,-1.53,-1.64,10.88,10.88,10.88
33.22,12.50,1.66,12.50,1.66,-1.65,-1.56,-1.66,10.85,10.85,10.84
33.55,12.50,1.70,12.50,1.70,-1.68,-1.59,-1.68,10.82,10.82,10.79
33.89,12.49,1.73,12.50,1.73,-1.70,-1.62,-1.69,10.79,10.79,10.76
34.23,12.50,1.75,12.50,1.74,-1.72,-1.65,-1.71,10.77,10.77,10.75
34.57,12.50,1.75,12.50,1.75,-1.74,-1.67,-1.73,10.75,10.75,10.74
34.92,12.50,1.75,12.50,1.76,-1.77,-1.70,-1.75,10.73,10.73,10.74
35.27,12.50,1.77,12.50,1.77,-1.79,-1.74,-1.77,10.71,10.71,10.73
35.62,12.50,1.79,12.50,1.79,-1.82,-1.77,-1.78,10.67,10.67,10.71
35.97,12.49,1.83,12.49,1.84,-1.86,-1.80,-1.80,10.63,10.63,10.66
36.33,12.49,1.89,12.49,1.89,-1.90,-1.83,-1.82,10.59,10.59,10.60
36.70,12.48,1.96,12.48,1.96,-1.95,-1.86,-1.84,10.53,10.53,10.53
37.06,12.48,2.02,12.48,2.02,-2.00,-1.89,-1.86,10.48,10.48,10.46
37.43,12.47,2.07,12.47,2.07,-2.04,-1.93,-1.89,10.44,10.44,10.40
37.81,12.47,2.10,12.47,2.10,-2.07,-1.96,-1.91,10.40,10.40,10.37
38.19,12.46,2.12,12.46,2.12,-2.10,-1.99,-1.93,10.37,10.37,10.34
38.57,12.46,2.12,12.46,2.12,-2.11,-2.03,-1.96,10.34,10.34,10.33
38.95,12.45,2.13,12.45,2.13,-2.13,-2.06,-1.98,10.32,10.32,10.33
39.34,12.45,2.13,12.45,2.13,-2.15,-2.10,-2.01,10.30,10.30,10.32
39.74,12.44,2.15,12.44,2.15,-2.17,-2.13,-2.04,10.26,10.26,10.29
40.14,12.43,2.18,12.43,2.18,-2.21,-2.17,-2.07,10.22,10.22,10.25
40.54,12.43,2.23,12.43,2.23,-2.26,-2.21,-2.10,10.17,10.17,10.19
40.94,12.42,2.30,12.42,2.30,-2.32,-2.24,-2.13,10.10,10.10,10.12
41.35,12.41,2.38,12.41,2.38,-2.38,-2.28,-2.17,10.03,10.04,10.04
41.76,12.41,2.46,12.41,2.45,-2.44,-2.32,-2.20,9.97,9.97,9.95
42.18,12.40,2.52,12.40,2.52,-2.50,-2.35,-2.24,9.90,9.90,9.88
42.60,12.40,2.58,12.40,2.57,-2.55,-2.39,-2.28,9.85,9.85,9.82
43.03,12.39,2.61,12.39,2.61,-2.58,-2.43,-2.32,9.81,9.81,9.78
43.46,12.38,2.62,12.38,2.62,-2.60,-2.47,-2.37,9.78,9.78,9.76
43.90,12.37,2.62,12.37,2.62,-2.61,-2.51,-2.41,9.76,9.76,9.75
44.33,12.36,2.61,12.36,2.61,-2.61,-2.55,-2.46,9.75,9.75,9.75
44.78,12.35,2.59,12.35,2.60,-2.60,-2.59,-2.51,9.75,9.75,9.76
45.23,12.34,2.59,12.34,2.59,-2.60,-2.63,-2.56,9.75,9.75,9.76
45.68,12.34,2.59,12.34,2.59,-2.60,-2.67,-2.61,9.74,9.74,9.75
46.13,12.33,2.60,12.33,2.60,-2.61,-2.71,-2.66,9.72,9.72,9.73
46.60,12.32,2.62,12.32,2.62,-2.63,-2.75,-2.72,9.68,9.68,9.70
47.06,12.31,2.66,12.31,2.66,-2.67,-2.79,-2.78,9.64,9.64,9.65
47.53,12.30,2.71,12.30,2.71,-2.72,-2.83,-2.84,9.58,9.58,9.59
48.01,12.29,2.77,12.29,2.77,-2.78,-2.87,-2.90,9.51,9.51,9.52
48.49,12.28,2.84,12.28,2.84,-2.84,-2.91,-2.96,9.44,9.44,9.44
48.97,12.27,2.91,12.27,2.92,-2.91,-2.95,-3.02,9.36,9.36,9.35
49.46,12.25,2.99,12.25,2.99,-2.97,-2.99,-3.09,9.28,9.28,9.27
49.96,12.24,3.05,12.24,3.05,-3.03,-3.03,-3.16,9.21,9.21,9.19
50.46,12.23,3.11,12.23,3.11,-3.09,-3.07,-3.22,9.13,9.13,9.12
50.96,12.22,3.15,12.22,3.15,-3.15,-3.11,-3.29,9.07,9.07,9.06
51.47,12.20,3.20,12.20,3.20,-3.20,-3.15,-3.36,9.00,9.00,9.01
51.99,12.19,3.24,12.19,3.24,-3.26,-3.20,-3.43,8.94,8.94,8.95
52.51,12.18,3.29,12.18,3.29,-3.30,-3.24,-3.50,8.87,8.87,8.89
53.03,12.17,3.34,12.17,3.34,-3.35,-3.28,-3.57,8.82,8.81,8.83
53.56,12.15,3.39,12.15,3.40,-3.40,-3.32,-3.64,8.76,8.76,8.76
54.10,12.14,3.45,12.14,3.45,-3.43,-3.36,-3.71,8.71,8.71,8.69
