frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.24,-9.57,-0.24,-9.57,6.00,5.71,2.81,5.76,5.76,9.33
20.20,-0.18,-9.50,-0.18,-9.50,6.00,5.86,2.89,5.82,5.82,9.32
20.40,-0.13,-9.44,-0.13,-9.43,6.00,6.01,2.97,5.87,5.87,9.31
20.61,-0.08,-9.37,-0.08,-9.37,6.00,6.07,3.06,5.92,5.92,9.29
20.81,-0.03,-9.31,-0.03,-9.31,6.00,6.13,3.14,5.97,5.97,9.28
21.02,0.01,-9.25,0.01,-9.25,6.00,6.12,3.23,6.01,6.01,9.26
21.23,0.05,-9.19,0.05,-9.19,6.00,6.10,3.32,6.05,6.05,9.24
21.44,0.08,-9.14,0.08,-9.14,6.00,6.05,3.42,6.08,6.08,9.23
21.66,0.12,-9.09,0.12,-9.09,6.00,6.01,3.52,6.12,6.12,9.21
21.87,0.15,-9.04,0.15,-9.04,6.00,5.96,3.62,6.15,6.15,9.19
22.09,0.19,-8.99,0.19,-8.99,6.00,5.92,3.72,6.19,6.19,9.18
22.31,0.23,-8.94,0.23,-8.94,6.00,5.88,3.83,6.23,6.23,9.16
22.54,0.27,-8.88,0.27,-8.88,6.00,5.85,3.93,6.27,6.27,9.15
22.76,0.31,-8.82,0.31,-8.82,6.00,5.84,4.05,6.31,6.31,9.13
22.99,0.35,-8.75,0.35,-8.75,6.00,5.82,4.16,6.35,6.35,9.11
23.22,0.39,-8.69,0.39,-8.69,6.00,5.82,4.28,6.39,6.39,9.08
23.45,0.43,-8.63,0.43,-8.63,6.00,5.81,4.39,6.43,6.43,9.06
23.69,0.46,-8.58,0.46,-8.58,6.00,5.82,4.52,6.46,6.46,9.04
23.92,0.49,-8.53,0.49,-8.53,6.00,5.83,4.64,6.49,6.49,9.02
24.16,0.53,-8.48,0.53,-8.48,6.00,5.84,4.77,6.53,6.53,9.00
24.40,0.56,-8.43,0.56,-8.43,6.00,5.85,4.90,6.56,6.56,8.98
24.65,0.59,-8.38,0.59,-8.38,6.00,5.87,5.03,6.59,6.59,8.97
24.89,0.62,-8.34,0.62,-8.34,6.00,5.88,5.16,6.62,6.62,8.96
25.14,0.65,-8.29,0.65,-8.29,6.00,5.90,5.30,6.65,6.65,8.94
25.39,0.68,-8.25,0.68,-8.25,6.00,5.92,5.43,6.68,6.68,8.92
25.65,0.70,-8.20,0.70,-8.20,6.00,5.94,5.57,6.70,6.70,8.90
25.91,0.73,-8.15,0.73,-8.15,6.00,5.96,5.70,6.73,6.73,8.88
26.16,0.75,-8.11,0.75,-8.11,6.00,5.98,5.84,6.75,6.75,8.86
26.43,0.77,-8.06,0.77,-8.06,6.00,6.00,5.98,6.77,6.77,8.84
26.69,0.80,-8.02,0.80,-8.02,6.00,6.02,6.11,6.80,6.80,8.81
26.96,0.82,-7.97,0.82,-7.97,6.00,6.04,6.25,6.82,6.82,8.79
27.23,0.85,-7.92,0.85,-7.92,6.00,6.06,6.38,6.85,6.85,8.77
27.50,0.88,-7.87,0.88,-7.87,6.00,6.08,6.51,6.88,6.88,8.74
27.77,0.91,-7.81,0.91,-7.81,6.00,6.10,6.63,6.91,6.91,8.72
28.05,0.94,-7.75,0.94,-7.75,6.00,6.11,6.75,6.94,6.94,8.69
28.33,0.97,-7.69,0.97,-7.69,6.00,6.13,6.86,6.97,6.97,8.66
28.62,0.99,-7.64,0.99,-7.64,6.00,6.14,6.97,6.99,6.99,8.63
28.90,1.02,-7.58,1.02,-7.58,6.00,6.16,7.07,7.02,7.02,8.60
29.19,1.04,-7.53,1.04,-7.53,6.00,6.17,7.16,7.04,7.04,8.57
29.48,1.06,-7.49,1.06,-7.49,6.00,6.18,7.24,7.06,7.06,8.55
29.78,1.09,-7.44,1.09,-7.44,6.00,6.19,7.31,7.09,7.09,8.52
30.08,1.12,-7.39,1.12,-7.39,6.00,6.20,7.37,7.12,7.12,8.50
30.38,1.15,-7.33,1.15,-7.33,6.00,6.20,7.43,7.15,7.15,8.48
30.68,1.18,-7.28,1.18,-7.28,6.00,6.21,7.46,7.18,7.18,8.46
30.99,1.21,-7.22,1.21,-7.22,6.00,6.21,7.49,7.21,7.21,8.43
31.30,1.24,-7.16,1.24,-7.16,6.00,6.21,7.50,7.24,7.24,8.40
31.61,1.27,-7.11,1.27,-7.11,6.00,6.21,7.51,7.27,7.27,8.37
31.93,1.29,-7.05,1.29,-7.05,6.00,6.21,7.50,7.29,7.29,8.34
32.24,1.31,-7.00,1.31,-7.00,6.00,6.21,7.48,7.31,7.31,8.31
32.57,1.33,-6.95,1.33,-6.95,6.00,6.20,7.44,7.33,7.33,8.28
32.89,1.36,-6.90,1.36,-6.90,6.00,6.20,7.40,7.36,7.36,8.25
33.22,1.38,-6.85,1.38,-6.85,6.00,6.19,7.35,7.38,7.38,8.22
33.55,1.40,-6.79,1.40,-6.79,6.00,6.18,7.29,7.40,7.40,8.19
33.89,1.43,-6.74,1.43,-6.74,6.00,6.17,7.21,7.43,7.43,8.16
34.23,1.45,-6.68,1.45,-6.68,6.00,6.15,7.13,7.45,7.45,8.13
34.57,1.47,-6.63,1.47,-6.63,6.00,6.14,7.05,7.47,7.47,8.10
34.92,1.49,-6.58,1.49,-6.58,6.00,6.12,6.96,7.49,7.49,8.07
35.27,1.51,-6.53,1.51,-6.53,6.00,6.10,6.86,7.51,7.51,8.04
35.62,1.53,-6.47,1.53,-6.47,6.00,6.08,6.76,7.53,7.53,8.00
35.97,1.55,-6.42,1.55,-6.42,6.00,6.06,6.65,7.55,7.55,7.97
36.33,1.57,-6.37,1.57,-6.37,6.00,6.03,6.54,7.57,7.57,7.94
36.70,1.58,-6.32,1.58,-6.32,6.00,6.01,6.43,7.59,7.59,7.90
37.06,1.60,-6.27,1.60,-6.27,6.01,5.98,6.32,7.61,7.61,7.87
37.43,1.62,-6.22,1.62,-6.22,6.01,5.95,6.21,7.63,7.63,7.84
37.81,1.63,-6.17,1.63,-6.17,6.01,5.92,6.10,7.64,7.64,7.80
38.19,1.65,-6.12,1.65,-6.12,6.00,5.88,5.99,7.65,7.65,7.77
38.57,1.67,-6.06,1.67,-6.06,5.99,5.85,5.88,7.66,7.66,7.73
38.95,1.68,-6.01,1.68,-6.01,5.97,5.81,5.77,7.65,7.65,7.69
39.34,1.70,-5.96,1.70,-5.96,5.95,5.78,5.66,7.64,7.64,7.66
39.74,1.71,-5.91,1.71,-5.91,5.91,5.74,5.56,7.62,7.62,7.63
40.14,1.73,-5.87,1.73,-5.86,5.87,5.70,5.46,7.60,7.60,7.59
40.54,1.74,-5.81,1.74,-5.81,5.82,5.66,5.36,7.56,7.56,7.56
40.94,1.76,-5.76,1.76,-5.76,5.77,5.62,5.26,7.53,7.53,7.52
41.35,1.77,-5.71,1.77,-5.71,5.71,5.57,5.17,7.49,7.49,7.48
41.76,1.79,-5.65,1.79,-5.65,5.66,5.53,5.08,7.45,7.45,7.44
42.18,1.80,-5.60,1.80,-5.60,5.60,5.48,4.99,7.41,7.41,7.40
42.60,1.82,-5.55,1.82,-5.55,5.55,5.44,4.91,7.37,7.37,7.37
43.03,1.83,-5.50,1.83,-5.50,5.50,5.39,4.83,7.33,7.33,7.33
43.46,1.85,-5.45,1.85,-5.45,5.44,5.34,4.75,7.29,7.29,7.29
43.90,1.86,-5.39,1.86,-5.39,5.39,5.29,4.68,7.25,7.25,7.25
44.33,1.88,-5.33,1.88,-5.33,5.33,5.24,4.61,7.21,7.21,7.21
44.78,1.90,-5.27,1.90,-5.27,5.27,5.19,4.55,7.17,7.17,7.17
45.23,1.91,-5.22,1.91,-5.22,5.22,5.14,4.48,7.13,7.13,7.13
45.68,1.93,-5.16,1.93,-5.16,5.16,5.08,4.43,7.09,7.09,7.09
46.13,1.94,-5.10,1.94,-5.10,5.11,5.03,4.37,7.05,7.05,7.05
46.60,1.96,-5.05,1.96,-5.05,5.05,4.98,4.32,7.01,7.01,7.01
47.06,1.97,-5.00,1.97,-5.00,5.00,4.92,4.27,6.97,6.97,6.97
47.53,1.98,-4.95,1.98,-4.95,4.95,4.87,4.22,6.93,6.93,6.93
48.01,1.99,-4.90,1.99,-4.90,4.90,4.81,4.18,6.89,6.89,6.89
48.49,2.00,-4.85,2.00,-4.84,4.85,4.76,4.14,6.84,6.84,6.84
48.97,2.00,-4.79,2.00,-4.79,4.80,4.70,4.11,6.80,6.80,6.80
49.46,2.01,-4.74,2.01,-4.74,4.75,4.65,4.07,6.76,6.76,6.75
49.96,2.02,-4.69,2.02,-4.69,4.69,4.59,4.04,6.71,6.71,6.71
50.46,2.03,-4.64,2.03,-4.64,4.63,4.53,4.01,6.67,6.67,6.68
50.96,2.05,-4.58,2.05,-4.58,4.57,4.48,3.98,6.62,6.62,6.64
51.47,2.08,-4.52,2.08,-4.51,4.50,4.42,3.96,6.58,6.58,6.59
51.99,2.11,-4.44,2.11,-4.44,4.43,4.36,3.93,6.54,6.54,6.55
52.51,2.14,-4.36,2.14,-4.36,4.36,4.31,3.91,6.50,6.50,6.50
53.03,2.18,-4.28,2.18,-4.28,4.29,4.25,3.89,6.47,6.47,6.46
53.56,2.21,-4.21,2.21,-4.21,4.23,4.19,3.87,6.44,6.44,6.41
54.10,2.22,-4.15,2.22,-4.15,4.17,4.13,3.85,6.40,6.39,6.37
54.64,2.22,-4.10,2.22,-4.10,4.12,4.08,3.84,6.34,6.34,6.32
55.18,2.20,-4.07,2.20,-4.07,4.07,4.02,3.82,6.28,6.28,6.27
55.74,2.18,-4.05,2.19,-4.04,4.03,3.96,3.80,6.21,6.22,6.23
56.29,2.18,-4.01,2.18,-4.00,3.98,3.91,3.78,6.16,6.16,6.19
56.86,2.18,-3.96,2.19,-3.95,3.94,3.85,3.77,6.12,6.12,6.14
57.42,2.20,-3.89,2.20,-3.89,3.89,3.80,3.75,6.09,6.09,6.09
58.00,2.22,-3.83,2.22,-3.83,3.84,3.74,3.73,6.05,6.05,6.05
58.58,2.23,-3.77,2.23,-3.77,3.78,3.69,3.71,6.01,6.01,6.00
59.16,2.24,-3.72,2.24,-3.71,3.72,3.63,3.68,5.97,5.97,5.96
59.76,2.25,-3.66,2.25,-3.66,3.66,3.58,3.66,5.92,5.92,5.91
60.35,2.26,-3.60,2.26,-3.60,3.61,3.52,3.63,5.87,5.87,5.86
60.96,2.26,-3.55,2.27,-3.55,3.56,3.47,3.60,5.82,5.82,5.82
61.57,2.27,-3.51,2.27,-3.51,3.51,3.41,3.57,5.78,5.78,5.78
62.18,2.28,-3.46,2.28,-3.46,3.45,3.36,3.54,5.73,5.73,5.73
62.80,2.28,-3.41,2.28,-3.41,3.40,3.31,3.51,5.68,5.68,5.69
63.43,2.29,-3.35,2.29,-3.35,3.35,3.25,3.47,5.64,5.64,5.64
64.07,2.29,-3.30,2.29,-3.30,3.30,3.20,3.43,5.59,5.59,5.59
64.71,2.30,-3.24,2.30,-3.25,3.24,3.15,3.38,5.54,5.54,5.55
65.35,2.31,-3.19,2.31,-3.19,3.19,3.10,3.34,5.50,5.50,5.50
66.01,2.32,-3.13,2.32,-3.13,3.13,3.05,3.29,5.45,5.45,5.45
66.67,2.33,-3.07,2.33,-3.07,3.07,3.00,3.24,5.41,5.41,5.41
67.33,2.34,-3.01,2.34,-3.02,3.02,2.95,3.19,5.36,5.36,5.36
68.01,2.35,-2.96,2.35,-2.96,2.96,2.90,3.14,5.31,5.31,5.31
68.69,2.36,-2.90,2.36,-2.90,2.90,2.85,3.09,5.27,5.27,5.26
69.37,2.37,-2.85,2.37,-2.85,2.85,2.80,3.03,5.22,5.22,5.22
70.07,2.38,-2.79,2.37,-2.80,2.79,2.75,2.97,5.17,5.17,5.17
70.77,2.38,-2.74,2.38,-2.74,2.74,2.70,2.92,5.12,5.12,5.12
71.48,2.39,-2.68,2.39,-2.68,2.68,2.65,2.86,5.07,5.07,5.07
72.19,2.39,-2.62,2.39,-2.63,2.63,2.61,2.80,5.02,5.02,5.01
72.91,2.40,-2.57,2.40,-2.57,2.57,2.56,2.74,4.97,4.97,4.97
73.64,2.40,-2.52,2.40,-2.52,2.52,2.51,2.68,4.92,4.92,4.92
74.38,2.41,-2.46,2.41,-2.46,2.46,2.47,2.62,4.87,4.87,4.88
75.12,2.42,-2.40,2.42,-2.41,2.40,2.42,2.56,4.82,4.82,4.82
75.87,2.43,-2.35,2.43,-2.35,2.35,2.38,2.50,4.77,4.77,4.78
76.63,2.43,-2.29,2.43,-2.29,2.29,2.34,2.44,4.72,4.72,4.73
77.40,2.44,-2.23,2.44,-2.23,2.23,2.29,2.38,4.67,4.67,4.68
78.17,2.45,-2.17,2.45,-2.17,2.17,2.25,2.32,4.62,4.62,4.62
78.95,2.45,-2.11,2.45,-2.11,2.12,2.21,2.26,4.57,4.57,4.56
79.74,2.46,-2.06,2.46,-2.05,2.06,2.16,2.21,4.51,4.51,4.51
80.54,2.46,-2.00,2.46,-2.00,2.00,2.12,2.15,4.46,4.46,4.46
81.35,2.46,-1.94,2.46,-1.94,1.94,2.08,2.09,4.40,4.40,4.41
82.16,2.47,-1.89,2.47,-1.88,1.88,2.04,2.04,4.35,4.35,4.36
82.98,2.47,-1.82,2.47,-1.82,1.82,2.00,1.99,4.29,4.29,4.30
83.81,2.48,-1.75,2.48,-1.76,1.76,1.96,1.94,4.24,4.24,4.23
84.65,2.49,-1.70,2.49,-1.70,1.70,1.92,1.89,4.18,4.18,4.19
85.50,2.49,-1.64,2.49,-1.64,1.64,1.88,1.84,4.13,4.13,4.13
86.35,2.50,-1.57,2.50,-1.58,1.58,1.84,1.79,4.07,4.07,4.07
87.22,2.50,-1.52,2.50,-1.52,1.52,1.80,1.74,4.02,4.02,4.02
88.09,2.51,-1.47,2.51,-1.46,1.46,1.76,1.70,3.97,3.97,3.97
88.97,2.51,-1.41,2.51,-1.41,1.41,1.73,1.65,3.92,3.92,3.92
89.86,2.51,-1.36,2.52,-1.36,1.36,1.69,1.61,3.87,3.87,3.87
90.76,2.52,-1.31,2.52,-1.31,1.31,1.65,1.57,3.83,3.83,3.83
91.66,2.52,-1.27,2.52,-1.27,1.27,1.61,1.53,3.79,3.79,3.80
92.58,2.53,-1.24,2.53,-1.23,1.23,1.58,1.49,3.76,3.76,3.76
93.51,2.53,-1.20,2.53,-1.20,1.20,1.54,1.45,3.73,3.73,3.73
94.44,2.53,-1.17,2.53,-1.17,1.18,1.51,1.41,3.71,3.71,3.70
95.39,2.53,-1.15,2.53,-1.15,1.17,1.47,1.38,3.70,3.70,3.68
96.34,2.53,-1.14,2.53,-1.15,1.16,1.44,1.34,3.69,3.69,3.67
97.30,2.53,-1.16,2.53,-1.15,1.16,1.40,1.31,3.69,3.69,3.69
98.28,2.53,-1.16,2.53,-1.16,1.16,1.37,1.27,3.69,3.69,3.69
99.26,2.53,-1.16,2.53,-1.17,1.16,1.33,1.24,3.69,3.69,3.70
100.25,2.54,-1.18,2.54,-1.17,1.16,1.30,1.21,3.70,3.70,3.71
101.25,2.54,-1.18,2.54,-1.18,1.16,1.26,1.18,3.71,3.71,3.72
102.27,2.55,-1.17,2.55,-1.17,1.16,1.23,1.15,3.71,3.71,3.72
103.29,2.56,-1.15,2.56,-1.15,1.15,1.20,1.12,3.71,3.71,3.71
104.32,2.56,-1.14,2.56,-1.14,1.14,1.16,1.09,3.71,3.71,3.70
105.37,2.57,-1.12,2.57,-1.12,1.13,1.13,1.07,3.69,3.69,3.69
106.42,2.57,-1.11,2.57,-1.10,1.11,1.10,1.04,3.67,3.67,3.67
107.48,2.57,-1.09,2.57,-1.08,1.08,1.06,1.01,3.65,3.65,3.65
108.56,2.57,-1.06,2.57,-1.06,1.05,1.03,0.99,3.62,3.62,3.63
109.64,2.57,-1.03,2.57,-1.03,1.02,1.00,0.96,3.60,3.60,3.60
110.74,2.57,-1.00,2.57,-1.00,0.99,0.97,0.94,3.57,3.57,3.57
111.85,2.58,-0.96,2.58,-0.96,0.96,0.93,0.91,3.54,3.54,3.54
112.97,2.58,-0.92,2.58,-0.92,0.93,0.90,0.89,3.51,3.51,3.50
114.10,2.58,-0.89,2.58,-0.89,0.89,0.87,0.87,3.48,3.48,3.47
115.24,2.59,-0.85,2.59,-0.85,0.86,0.84,0.84,3.45,3.45,3.44
116.39,2.59,-0.83,2.59,-0.82,0.83,0.80,0.82,3.41,3.41,3.42
117.55,2.59,-0.79,2.59,-0.79,0.79,0.77,0.80,3.38,3.38,3.38
118.73,2.59,-0.75,2.59,-0.76,0.76,0.74,0.77,3.35,3.35,3.34
119.92,2.59,-0.74,2.59,-0.73,0.72,0.70,0.75,3.31,3.31,3.33
121.12,2.59,-0.70,2.59,-0.69,0.68,0.67,0.73,3.28,3.28,3.29
122.33,2.59,-0.64,2.59,-0.65,0.64,0.64,0.71,3.24,3.24,3.23
123.55,2.59,-0.60,2.59,-0.60,0.60,0.60,0.68,3.20,3.20,3.19
