frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.24,-3.19,4.24,-3.19,3.17,3.03,0.75,7.40,7.40,7.42
20.20,4.25,-3.16,4.25,-3.16,3.15,3.02,0.77,7.40,7.40,7.41
20.40,4.26,-3.13,4.26,-3.13,3.13,3.01,0.80,7.40,7.40,7.39
20.61,4.28,-3.10,4.28,-3.10,3.11,3.00,0.82,7.39,7.39,7.38
20.81,4.29,-3.07,4.29,-3.07,3.09,2.99,0.85,7.38,7.38,7.36
21.02,4.30,-3.04,4.30,-3.04,3.06,2.97,0.87,7.36,7.36,7.35
21.23,4.31,-3.02,4.31,-3.02,3.03,2.96,0.90,7.34,7.34,7.33
21.44,4.32,-2.99,4.32,-2.99,2.99,2.93,0.93,7.31,7.31,7.31
21.66,4.34,-2.96,4.34,-2.96,2.96,2.91,0.96,7.29,7.29,7.30
21.87,4.36,-2.93,4.36,-2.92,2.92,2.88,0.99,7.27,7.27,7.28
22.09,4.38,-2.88,4.38,-2.88,2.87,2.85,1.02,7.25,7.25,7.27
22.31,4.42,-2.83,4.42,-2.83,2.82,2.82,1.05,7.24,7.24,7.25
22.54,4.46,-2.77,4.46,-2.77,2.76,2.79,1.08,7.22,7.22,7.23
22.76,4.51,-2.70,4.51,-2.70,2.70,2.75,1.12,7.21,7.21,7.21
22.99,4.56,-2.63,4.56,-2.63,2.64,2.71,1.15,7.20,7.20,7.19
23.22,4.60,-2.57,4.60,-2.57,2.58,2.67,1.19,7.18,7.18,7.17
23.45,4.64,-2.51,4.64,-2.51,2.52,2.63,1.22,7.16,7.16,7.15
23.69,4.67,-2.45,4.67,-2.45,2.47,2.59,1.26,7.14,7.14,7.13
23.92,4.69,-2.41,4.69,-2.41,2.42,2.55,1.29,7.12,7.12,7.11
24.16,4.71,-2.38,4.71,-2.38,2.38,2.50,1.33,7.09,7.09,7.09
24.40,4.72,-2.35,4.72,-2.35,2.35,2.46,1.37,7.07,7.07,7.07
24.65,4.73,-2.32,4.73,-2.32,2.31,2.41,1.41,7.04,7.05,7.06
24.89,4.75,-2.29,4.75,-2.29,2.28,2.36,1.45,7.03,7.03,7.04
25.14,4.77,-2.25,4.77,-2.25,2.24,2.31,1.48,7.02,7.02,7.03
25.39,4.80,-2.21,4.80,-2.21,2.21,2.26,1.52,7.01,7.01,7.01
25.65,4.82,-2.17,4.82,-2.17,2.18,2.21,1.56,7.00,7.00,6.99
25.91,4.83,-2.13,4.83,-2.14,2.16,2.16,1.60,6.99,6.99,6.97
26.16,4.84,-2.10,4.84,-2.11,2.13,2.11,1.64,6.97,6.97,6.95
26.43,4.84,-2.08,4.84,-2.08,2.10,2.06,1.67,6.94,6.94,6.92
26.69,4.84,-2.06,4.84,-2.06,2.06,2.01,1.71,6.90,6.90,6.90
26.96,4.84,-2.04,4.84,-2.04,2.01,1.97,1.75,6.85,6.85,6.88
27.23,4.87,-1.99,4.87,-1.98,1.94,1.92,1.78,6.80,6.81,6.86
27.50,4.92,-1.91,4.93,-1.90,1.85,1.87,1.81,6.78,6.78,6.83
27.77,5.01,-1.80,5.01,-1.80,1.76,1.82,1.84,6.76,6.76,6.80
28.05,5.11,-1.67,5.11,-1.67,1.65,1.77,1.87,6.76,6.76,6.78
28.33,5.21,-1.53,5.21,-1.54,1.55,1.72,1.90,6.77,6.77,6.75
28.62,5.30,-1.42,5.29,-1.42,1.47,1.67,1.92,6.77,6.76,6.72
28.90,5.35,-1.34,5.34,-1.34,1.41,1.62,1.94,6.76,6.75,6.69
29.19,5.35,-1.31,5.35,-1.31,1.37,1.58,1.96,6.72,6.72,6.66
29.48,5.33,-1.31,5.32,-1.32,1.36,1.53,1.98,6.69,6.68,6.63
29.78,5.25,-1.36,5.25,-1.36,1.37,1.48,1.99,6.62,6.62,6.61
30.08,5.18,-1.41,5.18,-1.41,1.39,1.44,1.99,6.56,6.56,6.59
30.38,5.10,-1.47,5.11,-1.46,1.41,1.39,2.00,6.51,6.51,6.57
30.68,5.05,-1.49,5.06,-1.48,1.42,1.35,2.00,6.48,6.49,6.54
30.99,5.05,-1.47,5.05,-1.47,1.43,1.31,2.00,6.47,6.47,6.52
31.30,5.06,-1.43,5.05,-1.44,1.42,1.26,1.99,6.48,6.48,6.49
31.61,5.07,-1.39,5.07,-1.39,1.40,1.22,1.98,6.48,6.48,6.46
31.93,5.09,-1.34,5.09,-1.34,1.37,1.18,1.96,6.47,6.46,6.43
32.24,5.10,-1.30,5.10,-1.31,1.34,1.14,1.94,6.44,6.44,6.40
32.57,5.09,-1.28,5.09,-1.28,1.31,1.10,1.92,6.40,6.40,6.37
32.89,5.08,-1.27,5.08,-1.27,1.27,1.06,1.90,6.35,6.35,6.34
33.22,5.06,-1.25,5.06,-1.25,1.23,1.02,1.86,6.30,6.29,6.31
33.55,5.06,-1.22,5.07,-1.22,1.18,0.98,1.83,6.24,6.25,6.28
33.89,5.09,-1.16,5.09,-1.16,1.12,0.94,1.79,6.21,6.21,6.25
34.23,5.13,-1.08,5.14,-1.08,1.05,0.90,1.75,6.19,6.19,6.22
34.57,5.20,-0.99,5.20,-0.99,0.97,0.87,1.71,6.17,6.17,6.19
34.92,5.28,-0.88,5.28,-0.88,0.89,0.83,1.67,6.17,6.17,6.16
35.27,5.35,-0.78,5.35,-0.78,0.81,0.79,1.62,6.15,6.15,6.12
35.62,5.40,-0.69,5.40,-0.69,0.73,0.76,1.57,6.13,6.13,6.09
35.97,5.43,-0.63,5.42,-0.63,0.66,0.72,1.52,6.09,6.09,6.06
36.33,5.43,-0.60,5.43,-0.59,0.61,0.69,1.46,6.04,6.04,6.02
36.70,5.42,-0.57,5.42,-0.57,0.57,0.65,1.41,5.99,5.99,5.99
37.06,5.40,-0.55,5.41,-0.55,0.53,0.62,1.35,5.94,5.94,5.96
