frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.89,5.33,11.89,5.33,-5.36,-4.90,-1.72,6.53,6.53,6.57
20.20,11.89,5.33,11.89,5.31,-5.32,-5.12,-1.77,6.58,6.58,6.57
20.40,11.89,5.29,11.89,5.28,-5.27,-5.33,-1.82,6.62,6.62,6.60
20.61,11.88,5.22,11.88,5.24,-5.22,-5.48,-1.88,6.66,6.66,6.67
20.81,11.87,5.20,11.87,5.18,-5.17,-5.62,-1.93,6.69,6.69,6.67
21.02,11.85,5.14,11.85,5.13,-5.12,-5.65,-1.99,6.72,6.72,6.71
21.23,11.82,5.06,11.82,5.08,-5.07,-5.68,-2.05,6.75,6.75,6.77
21.44,11.80,5.03,11.80,5.02,-5.02,-5.60,-2.11,6.77,6.77,6.77
21.66,11.77,4.98,11.77,4.96,-4.96,-5.51,-2.17,6.81,6.81,6.78
21.87,11.74,4.89,11.75,4.91,-4.90,-5.36,-2.23,6.85,6.85,6.86
22.09,11.72,4.86,11.72,4.85,-4.84,-5.21,-2.30,6.88,6.88,6.87
22.31,11.70,4.80,11.70,4.78,-4.80,-5.04,-2.37,6.91,6.91,6.90
22.54,11.68,4.72,11.68,4.74,-4.76,-4.87,-2.44,6.93,6.93,6.97
22.76,11.67,4.70,11.67,4.70,-4.72,-4.71,-2.51,6.94,6.94,6.97
22.99,11.65,4.68,11.65,4.67,-4.70,-4.56,-2.58,6.95,6.95,6.97
23.22,11.63,4.67,11.63,4.67,-4.68,-4.43,-2.66,6.95,6.95,6.97
23.45,11.61,4.65,11.61,4.67,-4.66,-4.31,-2.73,6.95,6.95,6.97
23.69,11.59,4.69,11.59,4.67,-4.65,-4.21,-2.81,6.94,6.94,6.90
23.92,11.57,4.67,11.57,4.65,-4.63,-4.12,-2.89,6.94,6.94,6.90
24.16,11.54,4.59,11.54,4.61,-4.60,-4.04,-2.97,6.94,6.94,6.96
24.40,11.51,4.55,11.51,4.56,-4.56,-3.97,-3.05,6.95,6.95,6.97
24.65,11.49,4.52,11.49,4.52,-4.51,-3.92,-3.14,6.98,6.98,6.97
24.89,11.46,4.49,11.46,4.47,-4.45,-3.87,-3.22,7.01,7.01,6.97
