frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.73,1.43,10.73,1.44,-1.45,-0.47,-0.36,9.29,9.29,9.30
20.20,10.74,1.44,10.74,1.42,-1.42,-0.48,-0.37,9.32,9.32,9.30
20.40,10.75,1.41,10.75,1.40,-1.39,-0.49,-0.38,9.35,9.35,9.34
20.61,10.75,1.35,10.75,1.38,-1.37,-0.49,-0.39,9.39,9.39,9.40
20.81,10.76,1.35,10.76,1.34,-1.34,-0.50,-0.40,9.42,9.42,9.40
21.02,10.76,1.32,10.76,1.31,-1.31,-0.51,-0.42,9.45,9.45,9.44
21.23,10.77,1.26,10.77,1.29,-1.29,-0.52,-0.43,9.48,9.48,9.50
21.44,10.78,1.27,10.78,1.26,-1.26,-0.53,-0.44,9.52,9.52,9.50
21.66,10.78,1.26,10.78,1.24,-1.23,-0.54,-0.45,9.55,9.55,9.52
21.87,10.79,1.19,10.79,1.22,-1.19,-0.54,-0.47,9.59,9.59,9.60
22.09,10.79,1.19,10.79,1.17,-1.17,-0.55,-0.48,9.62,9.62,9.60
22.31,10.79,1.15,10.79,1.14,-1.14,-0.56,-0.49,9.65,9.65,9.64
22.54,10.80,1.09,10.80,1.11,-1.13,-0.57,-0.51,9.67,9.67,9.70
22.76,10.80,1.09,10.80,1.09,-1.12,-0.58,-0.52,9.68,9.68,9.70
22.99,10.80,1.10,10.80,1.08,-1.11,-0.59,-0.53,9.69,9.69,9.70
23.22,10.81,1.10,10.81,1.10,-1.12,-0.60,-0.55,9.69,9.69,9.70
23.45,10.81,1.10,10.81,1.13,-1.12,-0.61,-0.57,9.69,9.69,9.70
23.69,10.82,1.17,10.82,1.15,-1.14,-0.61,-0.58,9.68,9.68,9.64
23.92,10.82,1.19,10.82,1.16,-1.15,-0.62,-0.60,9.68,9.68,9.64
24.16,10.83,1.13,10.83,1.16,-1.15,-0.63,-0.61,9.68,9.68,9.70
24.40,10.84,1.13,10.84,1.15,-1.15,-0.64,-0.63,9.69,9.69,9.70
24.65,10.85,1.14,10.85,1.14,-1.13,-0.65,-0.65,9.71,9.71,9.70
24.89,10.86,1.15,10.86,1.13,-1.11,-0.66,-0.66,9.74,9.74,9.70
25.14,10.87,1.10,10.87,1.09,-1.09,-0.67,-0.68,9.78,9.78,9.77
25.39,10.88,1.04,10.88,1.05,-1.06,-0.68,-0.70,9.82,9.82,9.84
25.65,10.89,0.98,10.89,1.01,-1.02,-0.69,-0.71,9.86,9.86,9.90
25.91,10.89,0.99,10.90,0.97,-0.99,-0.70,-0.73,9.91,9.91,9.90
26.16,10.90,0.96,10.90,0.95,-0.94,-0.71,-0.75,9.96,9.96,9.95
26.43,10.90,0.90,10.90,0.92,-0.90,-0.72,-0.77,10.01,10.01,10.00
26.69,10.89,0.89,10.90,0.87,-0.85,-0.73,-0.78,10.04,10.04,10.00
26.96,10.88,0.84,10.88,0.82,-0.81,-0.74,-0.80,10.07,10.07,10.04
27.23,10.86,0.75,10.86,0.77,-0.78,-0.75,-0.82,10.08,10.08,10.10
27.50,10.83,0.72,10.83,0.72,-0.75,-0.76,-0.83,10.07,10.07,10.10
27.77,10.80,0.69,10.80,0.70,-0.73,-0.77,-0.85,10.07,10.07,10.10
28.05,10.77,0.68,10.78,0.71,-0.72,-0.78,-0.87,10.05,10.05,10.09
28.33,10.77,0.75,10.77,0.71,-0.72,-0.80,-0.88,10.05,10.05,10.02
28.62,10.78,0.72,10.78,0.72,-0.72,-0.81,-0.90,10.06,10.06,10.06
28.90,10.80,0.70,10.80,0.73,-0.72,-0.82,-0.91,10.09,10.09,10.10
29.19,10.84,0.74,10.84,0.72,-0.70,-0.83,-0.92,10.14,10.14,10.10
29.48,10.89,0.72,10.89,0.72,-0.68,-0.84,-0.94,10.21,10.21,10.18
29.78,10.93,0.69,10.93,0.69,-0.63,-0.85,-0.95,10.30,10.30,10.25
30.08,10.97,0.63,10.97,0.62,-0.58,-0.86,-0.96,10.39,10.39,10.33
30.38,10.99,0.53,10.98,0.53,-0.52,-0.87,-0.97,10.46,10.46,10.46
30.68,10.98,0.43,10.98,0.44,-0.47,-0.88,-0.98,10.52,10.52,10.55
30.99,10.97,0.36,10.97,0.37,-0.42,-0.90,-0.99,10.55,10.55,10.60
31.30,10.95,0.34,10.95,0.33,-0.38,-0.91,-0.99,10.56,10.56,10.60
31.61,10.93,0.32,10.93,0.33,-0.37,-0.92,-1.00,10.56,10.56,10.60
31.93,10.92,0.34,10.92,0.35,-0.37,-0.93,-1.01,10.55,10.55,10.58
32.24,10.92,0.40,10.92,0.38,-0.39,-0.94,-1.01,10.53,10.53,10.52
32.57,10.92,0.42,10.92,0.43,-0.41,-0.95,-1.01,10.51,10.51,10.50
32.89,10.93,0.45,10.93,0.47,-0.44,-0.97,-1.02,10.49,10.49,10.48
33.22,10.93,0.52,10.93,0.50,-0.46,-0.98,-1.02,10.47,10.47,10.40
33.55,10.92,0.52,10.92,0.52,-0.47,-0.99,-1.02,10.46,10.45,10.40
33.89,10.91,0.50,10.91,0.51,-0.47,-1.00,-1.02,10.44,10.44,10.40
34.23,10.89,0.49,10.89,0.49,-0.48,-1.01,-1.02,10.41,10.41,10.40
34.57,10.88,0.47,10.88,0.47,-0.50,-1.03,-1.02,10.38,10.39,10.40
34.92,10.87,0.47,10.87,0.46,-0.52,-1.04,-1.02,10.35,10.35,10.40
35.27,10.87,0.48,10.87,0.49,-0.56,-1.05,-1.02,10.31,10.31,10.39
35.62,10.88,0.55,10.88,0.57,-0.61,-1.06,-1.02,10.26,10.26,10.32
35.97,10.88,0.69,10.88,0.68,-0.68,-1.08,-1.02,10.21,10.21,10.19
36.33,10.89,0.81,10.89,0.79,-0.76,-1.09,-1.01,10.14,10.14,10.08
36.70,10.90,0.88,10.90,0.88,-0.84,-1.10,-1.01,10.06,10.06,10.02
37.06,10.90,0.95,10.90,0.95,-0.93,-1.11,-1.01,9.98,9.97,9.95
37.43,10.90,1.02,10.90,1.02,-1.01,-1.13,-1.01,9.89,9.89,9.88
37.81,10.90,1.08,10.90,1.08,-1.09,-1.14,-1.01,9.81,9.81,9.82
38.19,10.90,1.15,10.90,1.15,-1.15,-1.15,-1.01,9.74,9.74,9.75
38.57,10.89,1.21,10.89,1.21,-1.22,-1.16,-1.01,9.67,9.67,9.68
38.95,10.88,1.27,10.88,1.27,-1.29,-1.18,-1.01,9.60,9.60,9.61
39.34,10.87,1.34,10.88,1.34,-1.36,-1.19,-1.01,9.52,9.52,9.54
39.74,10.87,1.41,10.87,1.41,-1.43,-1.20,-1.01,9.44,9.44,9.46
40.14,10.87,1.47,10.87,1.47,-1.50,-1.21,-1.01,9.37,9.37,9.40
40.54,10.87,1.54,10.87,1.55,-1.56,-1.23,-1.01,9.32,9.32,9.33
40.94,10.87,1.61,10.87,1.61,-1.59,-1.24,-1.02,9.28,9.28,9.26
41.35,10.87,1.66,10.87,1.65,-1.59,-1.25,-1.02,9.27,9.27,9.20
41.76,10.86,1.66,10.86,1.65,-1.57,-1.27,-1.02,9.29,9.29,9.20
42.18,10.85,1.60,10.85,1.60,-1.53,-1.28,-1.03,9.33,9.33,9.25
42.60,10.85,1.51,10.85,1.49,-1.47,-1.29,-1.04,9.38,9.38,9.34
43.03,10.84,1.36,10.84,1.37,-1.40,-1.30,-1.04,9.44,9.44,9.48
43.46,10.83,1.26,10.83,1.28,-1.34,-1.32,-1.05,9.49,9.49,9.57
43.90,10.82,1.22,10.82,1.21,-1.29,-1.33,-1.06,9.53,9.53,9.60
44.33,10.81,1.21,10.81,1.19,-1.26,-1.34,-1.07,9.55,9.55,9.60
44.78,10.80,1.20,10.80,1.21,-1.26,-1.35,-1.08,9.54,9.54,9.60
45.23,10.79,1.25,10.79,1.28,-1.28,-1.37,-1.09,9.51,9.51,9.54
45.68,10.79,1.37,10.79,1.36,-1.33,-1.38,-1.10,9.46,9.46,9.41
46.13,10.78,1.45,10.78,1.42,-1.38,-1.39,-1.11,9.40,9.40,9.33
46.60,10.77,1.47,10.77,1.47,-1.43,-1.40,-1.12,9.34,9.34,9.30
47.06,10.77,1.47,10.77,1.50,-1.48,-1.42,-1.14,9.28,9.28,9.30
47.53,10.76,1.53,10.76,1.52,-1.53,-1.43,-1.15,9.23,9.23,9.23
48.01,10.76,1.56,10.76,1.54,-1.56,-1.44,-1.17,9.20,9.20,9.20
48.49,10.76,1.56,10.76,1.56,-1.58,-1.45,-1.18,9.19,9.19,9.20
48.97,10.77,1.56,10.77,1.59,-1.58,-1.46,-1.20,9.18,9.18,9.20
49.46,10.77,1.62,10.77,1.60,-1.58,-1.47,-1.22,9.19,9.19,9.15
49.96,10.77,1.64,10.76,1.60,-1.57,-1.49,-1.23,9.19,9.19,9.13
50.46,10.75,1.56,10.76,1.58,-1.56,-1.50,-1.25,9.19,9.19,9.20
50.96,10.74,1.54,10.74,1.54,-1.55,-1.51,-1.27,9.19,9.19,9.20
51.47,10.72,1.52,10.72,1.51,-1.53,-1.52,-1.29,9.19,9.19,9.20
51.99,10.70,1.49,10.70,1.49,-1.52,-1.53,-1.31,9.18,9.18,9.20
52.51,10.68,1.47,10.68,1.49,-1.51,-1.54,-1.33,9.17,9.17,9.20
53.03,10.66,1.48,10.66,1.49,-1.50,-1.55,-1.35,9.15,9.15,9.17
