frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.55,0.41,8.55,0.41,-0.41,-0.28,-0.16,8.14,8.14,8.14
20.20,8.56,0.41,8.56,0.41,-0.41,-0.28,-0.16,8.15,8.15,8.15
20.40,8.57,0.41,8.57,0.41,-0.41,-0.29,-0.17,8.16,8.16,8.16
20.61,8.57,0.41,8.57,0.41,-0.40,-0.29,-0.17,8.17,8.17,8.17
20.81,8.58,0.41,8.58,0.41,-0.40,-0.30,-0.18,8.18,8.18,8.17
21.02,8.59,0.40,8.59,0.40,-0.40,-0.30,-0.18,8.19,8.19,8.18
21.23,8.59,0.40,8.59,0.40,-0.40,-0.31,-0.19,8.20,8.20,8.19
21.44,8.60,0.39,8.60,0.39,-0.39,-0.31,-0.19,8.20,8.20,8.20
21.66,8.60,0.39,8.60,0.39,-0.39,-0.32,-0.20,8.21,8.21,8.21
21.87,8.60,0.38,8.60,0.38,-0.39,-0.32,-0.20,8.22,8.22,8.22
22.09,8.61,0.38,8.61,0.38,-0.38,-0.33,-0.21,8.22,8.22,8.23
22.31,8.61,0.38,8.61,0.38,-0.38,-0.33,-0.21,8.23,8.23,8.23
22.54,8.61,0.38,8.61,0.38,-0.38,-0.34,-0.22,8.23,8.23,8.23
22.76,8.61,0.38,8.61,0.38,-0.38,-0.34,-0.23,8.23,8.23,8.23
22.99,8.62,0.38,8.62,0.38,-0.38,-0.35,-0.23,8.24,8.23,8.23
23.22,8.62,0.38,8.62,0.38,-0.38,-0.35,-0.24,8.24,8.24,8.23
23.45,8.62,0.38,8.62,0.38,-0.38,-0.36,-0.25,8.24,8.24,8.23
23.69,8.62,0.38,8.62,0.38,-0.38,-0.36,-0.25,8.23,8.23,8.23
23.92,8.62,0.38,8.62,0.38,-0.38,-0.37,-0.26,8.23,8.23,8.23
24.16,8.62,0.38,8.62,0.38,-0.39,-0.37,-0.27,8.23,8.23,8.23
24.40,8.62,0.39,8.62,0.39,-0.39,-0.38,-0.27,8.23,8.23,8.23
24.65,8.61,0.39,8.61,0.39,-0.39,-0.38,-0.28,8.22,8.22,8.23
24.89,8.61,0.39,8.61,0.39,-0.39,-0.39,-0.29,8.22,8.22,8.22
25.14,8.61,0.40,8.61,0.40,-0.40,-0.39,-0.30,8.21,8.21,8.21
25.39,8.61,0.40,8.61,0.40,-0.40,-0.40,-0.30,8.21,8.21,8.21
25.65,8.60,0.41,8.60,0.41,-0.40,-0.40,-0.31,8.20,8.20,8.20
25.91,8.60,0.41,8.60,0.41,-0.41,-0.41,-0.32,8.19,8.19,8.19
26.16,8.59,0.41,8.59,0.41,-0.41,-0.42,-0.33,8.18,8.18,8.18
26.43,8.59,0.42,8.59,0.42,-0.42,-0.42,-0.33,8.17,8.17,8.17
26.69,8.58,0.42,8.58,0.42,-0.42,-0.43,-0.34,8.16,8.16,8.16
26.96,8.58,0.42,8.58,0.42,-0.42,-0.43,-0.35,8.15,8.15,8.16
27.23,8.57,0.43,8.57,0.43,-0.43,-0.44,-0.36,8.14,8.14,8.15
27.50,8.57,0.43,8.57,0.43,-0.43,-0.44,-0.37,8.13,8.13,8.13
27.77,8.56,0.44,8.56,0.44,-0.44,-0.45,-0.37,8.12,8.12,8.12
28.05,8.55,0.45,8.55,0.45,-0.45,-0.46,-0.38,8.10,8.10,8.10
28.33,8.54,0.45,8.54,0.45,-0.45,-0.46,-0.39,8.09,8.09,8.09
28.62,8.53,0.46,8.53,0.46,-0.46,-0.47,-0.40,8.08,8.08,8.07
28.90,8.53,0.47,8.53,0.47,-0.46,-0.47,-0.40,8.06,8.06,8.06
29.19,8.52,0.47,8.52,0.47,-0.47,-0.48,-0.41,8.05,8.05,8.04
29.48,8.51,0.48,8.51,0.47,-0.48,-0.49,-0.42,8.03,8.03,8.03
29.78,8.50,0.48,8.50,0.48,-0.48,-0.49,-0.42,8.02,8.02,8.02
30.08,8.49,0.48,8.49,0.48,-0.49,-0.50,-0.43,8.00,8.00,8.00
30.38,8.47,0.49,8.47,0.49,-0.49,-0.50,-0.44,7.98,7.98,7.99
30.68,8.46,0.50,8.46,0.50,-0.50,-0.51,-0.44,7.96,7.96,7.96
30.99,8.45,0.51,8.45,0.51,-0.51,-0.52,-0.45,7.94,7.94,7.94
31.30,8.44,0.52,8.44,0.52,-0.51,-0.52,-0.45,7.93,7.93,7.92
31.61,8.42,0.52,8.42,0.52,-0.52,-0.53,-0.46,7.91,7.91,7.90
31.93,8.41,0.53,8.41,0.53,-0.53,-0.53,-0.46,7.89,7.89,7.88
32.24,8.40,0.53,8.40,0.53,-0.53,-0.54,-0.47,7.86,7.86,7.87
32.57,8.38,0.53,8.38,0.53,-0.54,-0.55,-0.47,7.84,7.84,7.85
32.89,8.37,0.54,8.37,0.54,-0.54,-0.55,-0.47,7.82,7.82,7.83
33.22,8.35,0.55,8.35,0.55,-0.55,-0.56,-0.48,7.80,7.80,7.80
33.55,8.33,0.56,8.33,0.56,-0.55,-0.57,-0.48,7.78,7.78,7.78
33.89,8.32,0.57,8.32,0.57,-0.56,-0.57,-0.49,7.76,7.76,7.75
34.23,8.30,0.57,8.30,0.57,-0.57,-0.58,-0.49,7.73,7.73,7.73
34.57,8.28,0.57,8.28,0.57,-0.57,-0.58,-0.49,7.71,7.71,7.71
34.92,8.26,0.57,8.26,0.58,-0.58,-0.59,-0.50,7.68,7.68,7.68
35.27,8.24,0.58,8.24,0.58,-0.58,-0.60,-0.50,7.65,7.65,7.66
35.62,8.22,0.59,8.22,0.59,-0.59,-0.60,-0.50,7.63,7.63,7.63
35.97,8.20,0.60,8.20,0.60,-0.60,-0.61,-0.51,7.60,7.60,7.60
36.33,8.18,0.61,8.18,0.61,-0.60,-0.61,-0.51,7.57,7.57,7.57
36.70,8.15,0.61,8.15,0.61,-0.61,-0.62,-0.52,7.54,7.54,7.54
37.06,8.13,0.62,8.13,0.62,-0.62,-0.63,-0.52,7.51,7.51,7.51
37.43,8.10,0.62,8.10,0.62,-0.62,-0.63,-0.52,7.48,7.48,7.48
37.81,8.08,0.63,8.08,0.63,-0.63,-0.64,-0.53,7.45,7.45,7.45
38.19,8.05,0.63,8.05,0.64,-0.63,-0.64,-0.53,7.42,7.42,7.42
38.57,8.03,0.64,8.03,0.64,-0.64,-0.65,-0.54,7.39,7.39,7.38
38.95,8.00,0.65,8.00,0.65,-0.64,-0.66,-0.55,7.36,7.36,7.35
39.34,7.97,0.65,7.97,0.65,-0.65,-0.66,-0.55,7.32,7.32,7.32
39.74,7.94,0.65,7.94,0.65,-0.65,-0.67,-0.56,7.29,7.29,7.30
40.14,7.91,0.65,7.91,0.65,-0.66,-0.67,-0.56,7.26,7.26,7.27
40.54,7.89,0.66,7.89,0.66,-0.66,-0.68,-0.57,7.23,7.23,7.23
40.94,7.86,0.67,7.86,0.67,-0.66,-0.68,-0.58,7.19,7.19,7.19
41.35,7.82,0.67,7.82,0.67,-0.67,-0.69,-0.59,7.16,7.16,7.15
41.76,7.79,0.68,7.79,0.68,-0.67,-0.69,-0.60,7.12,7.12,7.12
42.18,7.76,0.67,7.76,0.67,-0.67,-0.70,-0.61,7.09,7.09,7.09
42.60,7.73,0.67,7.73,0.67,-0.68,-0.71,-0.62,7.05,7.05,7.06
43.03,7.70,0.67,7.70,0.67,-0.68,-0.71,-0.63,7.01,7.01,7.02
43.46,7.66,0.68,7.66,0.68,-0.69,-0.72,-0.64,6.98,6.98,6.98
