frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.49,3.43,12.49,3.43,-3.45,-3.21,-1.29,9.03,9.03,9.05
20.20,12.51,3.45,12.51,3.45,-3.46,-3.29,-1.33,9.05,9.06,9.06
20.40,12.53,3.46,12.53,3.46,-3.46,-3.38,-1.37,9.07,9.07,9.07
20.61,12.54,3.47,12.54,3.47,-3.45,-3.44,-1.41,9.09,9.09,9.08
20.81,12.55,3.46,12.55,3.46,-3.45,-3.50,-1.45,9.10,9.10,9.09
21.02,12.55,3.46,12.55,3.46,-3.44,-3.54,-1.49,9.11,9.11,9.09
21.23,12.55,3.44,12.55,3.44,-3.43,-3.57,-1.54,9.11,9.11,9.10
21.44,12.54,3.42,12.54,3.42,-3.42,-3.57,-1.58,9.12,9.12,9.11
21.66,12.52,3.40,12.52,3.40,-3.40,-3.57,-1.63,9.12,9.12,9.12
21.87,12.50,3.37,12.50,3.37,-3.38,-3.54,-1.68,9.13,9.13,9.13
22.09,12.49,3.35,12.49,3.35,-3.36,-3.51,-1.73,9.13,9.13,9.14
22.31,12.47,3.33,12.47,3.33,-3.34,-3.46,-1.78,9.13,9.13,9.14
22.54,12.46,3.31,12.46,3.31,-3.32,-3.41,-1.83,9.14,9.14,9.14
22.76,12.44,3.30,12.44,3.30,-3.30,-3.35,-1.88,9.14,9.14,9.15
22.99,12.43,3.28,12.43,3.28,-3.28,-3.29,-1.94,9.15,9.15,9.15
23.22,12.41,3.27,12.41,3.27,-3.26,-3.24,-1.99,9.15,9.15,9.15
23.45,12.40,3.25,12.39,3.25,-3.24,-3.18,-2.05,9.15,9.15,9.15
23.69,12.37,3.23,12.37,3.23,-3.22,-3.13,-2.11,9.15,9.15,9.15
23.92,12.35,3.20,12.35,3.20,-3.20,-3.07,-2.17,9.15,9.15,9.15
24.16,12.32,3.17,12.32,3.17,-3.17,-3.03,-2.23,9.15,9.15,9.14
24.40,12.28,3.14,12.28,3.14,-3.14,-2.98,-2.29,9.14,9.14,9.14
24.65,12.24,3.11,12.24,3.11,-3.11,-2.94,-2.35,9.13,9.13,9.14
24.89,12.21,3.08,12.21,3.08,-3.09,-2.91,-2.41,9.12,9.12,9.13
25.14,12.18,3.05,12.18,3.05,-3.06,-2.88,-2.48,9.12,9.12,9.12
25.39,12.15,3.03,12.15,3.03,-3.04,-2.85,-2.54,9.11,9.11,9.12
