frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.35,-7.86,3.35,-7.86,6.00,6.11,2.77,9.35,9.35,11.21
20.20,3.40,-7.82,3.40,-7.82,6.00,6.10,2.85,9.40,9.40,11.22
20.40,3.43,-7.79,3.44,-7.79,6.00,6.10,2.93,9.43,9.44,11.23
20.61,3.47,-7.77,3.46,-7.77,6.00,6.09,3.01,9.47,9.46,11.24
20.81,3.49,-7.76,3.49,-7.76,6.00,6.08,3.10,9.49,9.49,11.24
21.02,3.50,-7.76,3.50,-7.76,6.00,6.06,3.18,9.50,9.50,11.25
21.23,3.50,-7.76,3.50,-7.76,6.00,6.04,3.27,9.50,9.50,11.26
21.44,3.50,-7.77,3.50,-7.77,6.00,6.02,3.37,9.50,9.50,11.27
21.66,3.50,-7.78,3.50,-7.78,6.00,6.00,3.46,9.50,9.50,11.28
21.87,3.50,-7.78,3.51,-7.78,6.00,5.98,3.56,9.50,9.51,11.29
22.09,3.51,-7.79,3.51,-7.79,6.00,5.97,3.66,9.51,9.51,11.30
22.31,3.52,-7.78,3.52,-7.78,6.00,5.95,3.77,9.52,9.52,11.30
22.54,3.53,-7.77,3.54,-7.77,6.00,5.94,3.88,9.53,9.54,11.30
22.76,3.56,-7.75,3.56,-7.75,6.00,5.93,3.99,9.56,9.56,11.30
22.99,3.58,-7.72,3.58,-7.72,6.00,5.92,4.10,9.58,9.58,11.30
23.22,3.61,-7.70,3.61,-7.70,6.00,5.92,4.21,9.61,9.61,11.30
23.45,3.63,-7.67,3.63,-7.67,6.00,5.91,4.33,9.63,9.63,11.30
23.69,3.66,-7.64,3.66,-7.64,6.00,5.91,4.45,9.66,9.66,11.30
23.92,3.68,-7.62,3.68,-7.62,6.00,5.91,4.57,9.68,9.68,11.30
24.16,3.70,-7.60,3.70,-7.60,6.00,5.91,4.70,9.70,9.70,11.30
24.40,3.71,-7.59,3.71,-7.59,6.00,5.91,4.83,9.71,9.71,11.30
24.65,3.72,-7.57,3.72,-7.57,6.00,5.91,4.96,9.72,9.72,11.30
24.89,3.73,-7.56,3.73,-7.56,6.00,5.91,5.09,9.73,9.73,11.29
25.14,3.74,-7.54,3.74,-7.55,6.00,5.92,5.22,9.74,9.74,11.28
25.39,3.75,-7.53,3.75,-7.53,6.00,5.92,5.35,9.75,9.75,11.28
25.65,3.75,-7.51,3.75,-7.51,6.00,5.92,5.49,9.75,9.75,11.27
25.91,3.76,-7.50,3.76,-7.50,6.00,5.93,5.62,9.76,9.76,11.26
26.16,3.77,-7.48,3.77,-7.48,6.00,5.93,5.76,9.77,9.77,11.25
26.43,3.78,-7.46,3.78,-7.46,6.00,5.93,5.89,9.78,9.78,11.24
26.69,3.80,-7.44,3.80,-7.44,6.00,5.93,6.02,9.80,9.80,11.23
26.96,3.81,-7.42,3.81,-7.42,6.00,5.94,6.16,9.81,9.81,11.23
27.23,3.82,-7.40,3.82,-7.40,6.00,5.94,6.28,9.82,9.82,11.22
27.50,3.83,-7.38,3.83,-7.38,6.00,5.94,6.41,9.83,9.83,11.20
27.77,3.84,-7.35,3.84,-7.35,6.00,5.95,6.53,9.84,9.84,11.19
28.05,3.85,-7.33,3.85,-7.33,6.00,5.95,6.65,9.85,9.85,11.17
28.33,3.86,-7.30,3.86,-7.30,6.00,5.95,6.76,9.86,9.86,11.16
28.62,3.87,-7.28,3.87,-7.28,6.00,5.95,6.87,9.87,9.87,11.14
28.90,3.87,-7.25,3.87,-7.25,6.00,5.95,6.97,9.87,9.87,11.13
29.19,3.88,-7.23,3.88,-7.23,6.00,5.95,7.07,9.88,9.88,11.11
29.48,3.89,-7.21,3.89,-7.21,6.00,5.96,7.15,9.89,9.89,11.10
29.78,3.90,-7.19,3.90,-7.19,6.00,5.96,7.22,9.90,9.90,11.09
30.08,3.91,-7.17,3.91,-7.17,6.00,5.96,7.28,9.91,9.91,11.07
30.38,3.91,-7.14,3.91,-7.14,6.00,5.96,7.34,9.91,9.91,11.06
30.68,3.92,-7.11,3.92,-7.11,6.00,5.96,7.38,9.92,9.92,11.03
30.99,3.93,-7.08,3.93,-7.09,6.00,5.95,7.42,9.93,9.93,11.01
31.30,3.93,-7.06,3.93,-7.06,6.00,5.95,7.43,9.93,9.93,10.99
31.61,3.94,-7.03,3.94,-7.03,6.00,5.95,7.45,9.94,9.94,10.97
