frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.73,1.93,10.73,1.93,-1.92,-1.84,-0.68,8.80,8.80,8.80
20.20,10.73,1.90,10.73,1.90,-1.90,-1.86,-0.70,8.83,8.83,8.83
20.40,10.72,1.87,10.72,1.87,-1.87,-1.87,-0.72,8.85,8.85,8.85
20.61,10.72,1.85,10.72,1.85,-1.85,-1.87,-0.75,8.87,8.87,8.87
20.81,10.72,1.83,10.72,1.83,-1.83,-1.87,-0.77,8.89,8.89,8.89
21.02,10.71,1.81,10.71,1.81,-1.81,-1.86,-0.79,8.90,8.90,8.90
21.23,10.71,1.80,10.71,1.80,-1.80,-1.85,-0.81,8.91,8.91,8.91
21.44,10.71,1.78,10.71,1.78,-1.78,-1.83,-0.84,8.93,8.93,8.92
21.66,10.71,1.77,10.71,1.77,-1.77,-1.82,-0.86,8.93,8.93,8.93
21.87,10.70,1.76,10.70,1.76,-1.76,-1.80,-0.89,8.94,8.94,8.94
22.09,10.70,1.76,10.70,1.76,-1.76,-1.78,-0.92,8.94,8.94,8.94
22.31,10.70,1.75,10.70,1.75,-1.75,-1.76,-0.94,8.95,8.95,8.95
22.54,10.69,1.75,10.69,1.75,-1.75,-1.75,-0.97,8.94,8.94,8.94
22.76,10.69,1.75,10.69,1.75,-1.75,-1.74,-1.00,8.94,8.94,8.94
22.99,10.69,1.76,10.69,1.76,-1.76,-1.72,-1.03,8.93,8.93,8.93
23.22,10.69,1.76,10.69,1.76,-1.77,-1.71,-1.06,8.92,8.92,8.92
23.45,10.69,1.77,10.69,1.77,-1.78,-1.70,-1.09,8.91,8.91,8.91
23.69,10.69,1.78,10.69,1.78,-1.79,-1.70,-1.12,8.90,8.90,8.91
23.92,10.69,1.80,10.69,1.80,-1.80,-1.69,-1.15,8.90,8.90,8.90
24.16,10.70,1.81,10.70,1.81,-1.81,-1.68,-1.18,8.89,8.89,8.89
24.40,10.70,1.82,10.70,1.82,-1.82,-1.68,-1.22,8.89,8.89,8.88
24.65,10.70,1.83,10.70,1.82,-1.82,-1.67,-1.25,8.88,8.88,8.88
24.89,10.70,1.83,10.70,1.83,-1.82,-1.67,-1.28,8.88,8.88,8.88
25.14,10.70,1.83,10.70,1.83,-1.82,-1.67,-1.32,8.88,8.88,8.87
25.39,10.70,1.82,10.70,1.82,-1.82,-1.66,-1.35,8.88,8.88,8.87
25.65,10.69,1.81,10.69,1.81,-1.81,-1.66,-1.39,8.88,8.88,8.88
25.91,10.69,1.80,10.69,1.80,-1.80,-1.66,-1.42,8.89,8.89,8.89
26.16,10.68,1.78,10.68,1.78,-1.78,-1.66,-1.45,8.90,8.90,8.90
26.43,10.68,1.76,10.68,1.77,-1.77,-1.65,-1.49,8.91,8.91,8.92
26.69,10.69,1.75,10.69,1.75,-1.76,-1.65,-1.52,8.93,8.93,8.94
26.96,10.69,1.74,10.69,1.74,-1.74,-1.65,-1.55,8.95,8.95,8.96
27.23,10.70,1.72,10.70,1.73,-1.73,-1.65,-1.58,8.97,8.97,8.97
27.50,10.70,1.72,10.70,1.72,-1.71,-1.64,-1.61,8.99,8.99,8.99
27.77,10.70,1.70,10.70,1.70,-1.70,-1.64,-1.64,9.00,9.00,9.00
28.05,10.70,1.69,10.70,1.69,-1.69,-1.64,-1.67,9.01,9.01,9.01
28.33,10.69,1.68,10.69,1.68,-1.67,-1.64,-1.70,9.02,9.02,9.01
28.62,10.68,1.66,10.68,1.66,-1.66,-1.63,-1.72,9.02,9.02,9.02
28.90,10.66,1.64,10.66,1.64,-1.64,-1.63,-1.75,9.02,9.02,9.02
29.19,10.65,1.62,10.65,1.62,-1.63,-1.63,-1.77,9.03,9.03,9.03
29.48,10.64,1.61,10.64,1.61,-1.61,-1.63,-1.79,9.03,9.03,9.03
29.78,10.63,1.60,10.63,1.60,-1.60,-1.63,-1.81,9.03,9.03,9.04
30.08,10.63,1.59,10.63,1.59,-1.60,-1.62,-1.82,9.03,9.03,9.04
30.38,10.63,1.59,10.63,1.59,-1.59,-1.62,-1.84,9.03,9.04,9.04
30.68,10.63,1.59,10.63,1.59,-1.59,-1.62,-1.85,9.04,9.04,9.04
30.99,10.63,1.59,10.63,1.59,-1.59,-1.62,-1.85,9.04,9.04,9.03
31.30,10.62,1.59,10.62,1.59,-1.59,-1.61,-1.86,9.03,9.03,9.03
31.61,10.61,1.60,10.61,1.59,-1.59,-1.61,-1.86,9.02,9.02,9.02
31.93,10.60,1.59,10.60,1.59,-1.59,-1.61,-1.86,9.01,9.01,9.00
32.24,10.58,1.59,10.58,1.59,-1.59,-1.60,-1.86,8.99,8.99,8.99
32.57,10.56,1.58,10.56,1.58,-1.58,-1.60,-1.85,8.98,8.98,8.98
32.89,10.54,1.57,10.54,1.57,-1.58,-1.60,-1.85,8.96,8.96,8.97
33.22,10.53,1.57,10.53,1.57,-1.57,-1.60,-1.84,8.95,8.95,8.96
