frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.92,-0.33,6.92,-0.33,0.34,0.01,0.02,7.26,7.26,7.25
20.20,6.92,-0.33,6.92,-0.33,0.33,0.01,0.02,7.25,7.25,7.25
20.40,6.91,-0.33,6.91,-0.33,0.32,0.01,0.02,7.23,7.23,7.24
20.61,6.90,-0.32,6.90,-0.32,0.32,0.01,0.02,7.21,7.21,7.22
20.81,6.88,-0.31,6.88,-0.31,0.31,0.01,0.02,7.19,7.19,7.20
21.02,6.86,-0.31,6.86,-0.31,0.30,0.01,0.02,7.17,7.17,7.17
21.23,6.84,-0.30,6.84,-0.30,0.30,0.01,0.02,7.14,7.14,7.14
21.44,6.82,-0.30,6.82,-0.30,0.30,0.01,0.02,7.12,7.12,7.12
21.66,6.80,-0.30,6.80,-0.30,0.30,0.01,0.02,7.10,7.10,7.09
21.87,6.77,-0.30,6.77,-0.30,0.30,0.01,0.02,7.07,7.07,7.07
22.09,6.75,-0.30,6.75,-0.30,0.30,0.01,0.02,7.05,7.05,7.05
22.31,6.72,-0.31,6.72,-0.31,0.31,0.01,0.02,7.03,7.03,7.03
22.54,6.69,-0.32,6.69,-0.32,0.32,0.01,0.02,7.01,7.01,7.01
22.76,6.67,-0.32,6.67,-0.32,0.33,0.01,0.02,6.99,6.99,6.99
22.99,6.64,-0.33,6.64,-0.33,0.33,0.01,0.03,6.97,6.97,6.97
23.22,6.62,-0.34,6.62,-0.34,0.34,0.01,0.03,6.96,6.96,6.96
23.45,6.60,-0.34,6.60,-0.34,0.34,0.01,0.03,6.94,6.94,6.94
23.69,6.58,-0.34,6.58,-0.34,0.34,0.01,0.03,6.92,6.92,6.92
23.92,6.57,-0.33,6.57,-0.33,0.33,0.01,0.03,6.90,6.90,6.90
24.16,6.56,-0.32,6.56,-0.32,0.31,0.01,0.03,6.87,6.87,6.88
24.40,6.57,-0.29,6.57,-0.29,0.28,0.01,0.03,6.85,6.85,6.86
24.65,6.57,-0.26,6.57,-0.26,0.25,0.01,0.03,6.82,6.82,6.83
24.89,6.59,-0.22,6.59,-0.22,0.21,0.02,0.03,6.80,6.80,6.81
25.14,6.60,-0.17,6.60,-0.17,0.17,0.02,0.03,6.77,6.77,6.78
25.39,6.62,-0.12,6.62,-0.12,0.12,0.02,0.03,6.75,6.75,6.75
25.65,6.64,-0.07,6.64,-0.07,0.08,0.02,0.03,6.72,6.72,6.72
25.91,6.65,-0.03,6.65,-0.03,0.04,0.02,0.03,6.70,6.70,6.69
26.16,6.66,0.00,6.65,-0.00,0.02,0.02,0.03,6.67,6.67,6.66
26.43,6.64,0.02,6.64,0.01,0.00,0.02,0.04,6.64,6.64,6.63
26.69,6.61,0.01,6.61,0.01,-0.00,0.02,0.04,6.61,6.61,6.60
26.96,6.57,0.00,6.57,0.00,0.00,0.02,0.04,6.58,6.58,6.57
27.23,6.52,-0.02,6.52,-0.02,0.02,0.02,0.04,6.54,6.54,6.54
27.50,6.46,-0.05,6.46,-0.05,0.04,0.02,0.04,6.50,6.50,6.51
27.77,6.40,-0.08,6.40,-0.07,0.07,0.02,0.04,6.47,6.47,6.48
28.05,6.34,-0.10,6.34,-0.10,0.09,0.02,0.04,6.44,6.44,6.44
28.33,6.29,-0.13,6.29,-0.13,0.12,0.02,0.04,6.41,6.41,6.41
28.62,6.24,-0.15,6.24,-0.14,0.14,0.02,0.04,6.38,6.38,6.38
28.90,6.19,-0.16,6.19,-0.16,0.16,0.02,0.04,6.35,6.35,6.35
29.19,6.15,-0.17,6.14,-0.17,0.18,0.02,0.04,6.32,6.32,6.32
29.48,6.10,-0.19,6.10,-0.19,0.19,0.02,0.04,6.29,6.29,6.29
29.78,6.07,-0.19,6.07,-0.19,0.19,0.02,0.04,6.26,6.26,6.26
30.08,6.03,-0.20,6.03,-0.20,0.20,0.02,0.05,6.23,6.23,6.23
30.38,6.01,-0.20,6.01,-0.20,0.19,0.02,0.05,6.20,6.20,6.21
30.68,5.99,-0.19,5.99,-0.19,0.18,0.02,0.05,6.16,6.17,6.18
