frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.82,-7.20,1.82,-7.21,6.00,1.54,2.10,7.82,7.82,9.03
20.20,1.88,-7.14,1.88,-7.14,6.00,1.72,2.17,7.88,7.88,9.02
20.40,1.94,-7.07,1.94,-7.07,6.00,1.89,2.23,7.94,7.94,9.01
20.61,2.00,-7.00,2.00,-7.00,6.00,2.12,2.30,8.00,8.00,8.99
20.81,2.06,-6.91,2.06,-6.91,6.00,2.35,2.36,8.06,8.06,8.97
21.02,2.12,-6.83,2.12,-6.83,6.00,2.64,2.44,8.12,8.12,8.94
21.23,2.17,-6.74,2.17,-6.74,6.00,2.94,2.51,8.17,8.17,8.91
21.44,2.23,-6.65,2.23,-6.66,6.00,3.31,2.58,8.23,8.23,8.89
21.66,2.29,-6.57,2.29,-6.57,6.00,3.68,2.66,8.29,8.29,8.86
21.87,2.35,-6.49,2.35,-6.49,6.00,4.12,2.74,8.35,8.35,8.84
22.09,2.40,-6.42,2.40,-6.42,6.01,4.55,2.82,8.41,8.41,8.82
22.31,2.46,-6.34,2.46,-6.34,6.01,4.98,2.90,8.47,8.47,8.80
22.54,2.51,-6.27,2.51,-6.27,6.01,5.39,2.98,8.52,8.52,8.78
22.76,2.56,-6.20,2.56,-6.20,6.01,5.66,3.07,8.57,8.57,8.76
22.99,2.61,-6.13,2.61,-6.13,6.00,5.90,3.16,8.61,8.61,8.75
23.22,2.66,-6.07,2.66,-6.07,5.98,5.85,3.25,8.65,8.65,8.73
23.45,2.71,-6.00,2.71,-6.00,5.95,5.78,3.35,8.67,8.67,8.71
23.69,2.77,-5.93,2.77,-5.93,5.91,5.45,3.44,8.68,8.68,8.69
23.92,2.82,-5.86,2.82,-5.86,5.86,5.11,3.54,8.68,8.68,8.68
24.16,2.87,-5.79,2.87,-5.79,5.80,4.67,3.64,8.66,8.66,8.66
24.40,2.92,-5.71,2.92,-5.71,5.72,4.23,3.74,8.64,8.64,8.63
24.65,2.97,-5.64,2.97,-5.64,5.65,3.81,3.84,8.62,8.62,8.61
24.89,3.02,-5.56,3.02,-5.56,5.56,3.39,3.94,8.58,8.58,8.58
25.14,3.07,-5.48,3.07,-5.48,5.48,3.05,4.04,8.55,8.55,8.55
25.39,3.12,-5.40,3.12,-5.40,5.40,2.71,4.15,8.52,8.52,8.52
25.65,3.17,-5.32,3.17,-5.32,5.32,2.43,4.25,8.49,8.49,8.49
25.91,3.21,-5.24,3.21,-5.25,5.25,2.17,4.36,8.46,8.46,8.46
26.16,3.26,-5.17,3.26,-5.17,5.17,1.96,4.46,8.43,8.43,8.43
26.43,3.31,-5.09,3.31,-5.09,5.09,1.75,4.56,8.40,8.40,8.40
26.69,3.36,-5.01,3.36,-5.01,5.01,1.59,4.66,8.37,8.37,8.37
26.96,3.41,-4.94,3.41,-4.94,4.93,1.43,4.76,8.34,8.34,8.34
27.23,3.45,-4.86,3.45,-4.86,4.86,1.31,4.86,8.31,8.31,8.31
27.50,3.50,-4.78,3.50,-4.78,4.78,1.18,4.95,8.28,8.28,8.28
27.77,3.55,-4.70,3.55,-4.70,4.70,1.09,5.04,8.25,8.25,8.25
28.05,3.59,-4.62,3.59,-4.62,4.62,0.99,5.13,8.22,8.22,8.22
28.33,3.64,-4.55,3.64,-4.55,4.55,0.91,5.20,8.19,8.19,8.18
28.62,3.68,-4.47,3.68,-4.47,4.47,0.84,5.28,8.15,8.15,8.15
28.90,3.72,-4.40,3.72,-4.40,4.40,0.77,5.34,8.12,8.12,8.12
29.19,3.76,-4.33,3.76,-4.33,4.33,0.71,5.40,8.09,8.09,8.09
29.48,3.80,-4.26,3.80,-4.26,4.26,0.66,5.45,8.06,8.06,8.06
29.78,3.84,-4.19,3.84,-4.19,4.19,0.61,5.50,8.03,8.03,8.03
30.08,3.88,-4.13,3.88,-4.13,4.13,0.57,5.53,8.01,8.01,8.01
30.38,3.92,-4.06,3.92,-4.06,4.06,0.53,5.55,7.98,7.98,7.98
30.68,3.96,-3.99,3.96,-3.99,3.99,0.50,5.56,7.95,7.95,7.95
30.99,3.99,-3.93,3.99,-3.93,3.93,0.46,5.57,7.92,7.92,7.92
31.30,4.03,-3.86,4.03,-3.86,3.86,0.43,5.56,7.89,7.89,7.89
31.61,4.07,-3.79,4.07,-3.79,3.79,0.41,5.54,7.86,7.86,7.86
31.93,4.11,-3.72,4.11,-3.72,3.72,0.38,5.51,7.82,7.82,7.82
32.24,4.15,-3.64,4.15,-3.64,3.65,0.36,5.47,7.79,7.79,7.79
32.57,4.18,-3.57,4.18,-3.57,3.57,0.34,5.42,7.76,7.76,7.75
32.89,4.22,-3.50,4.22,-3.50,3.50,0.32,5.36,7.72,7.72,7.72
33.22,4.25,-3.43,4.25,-3.43,3.43,0.30,5.29,7.68,7.68,7.68
33.55,4.29,-3.36,4.29,-3.36,3.35,0.28,5.22,7.64,7.64,7.64
33.89,4.32,-3.28,4.32,-3.28,3.28,0.27,5.13,7.60,7.60,7.61
34.23,4.36,-3.21,4.36,-3.21,3.21,0.25,5.04,7.56,7.56,7.57
34.57,4.39,-3.14,4.39,-3.14,3.14,0.24,4.94,7.52,7.52,7.52
34.92,4.42,-3.06,4.42,-3.06,3.06,0.22,4.84,7.48,7.48,7.48
35.27,4.45,-2.99,4.45,-2.99,2.99,0.21,4.73,7.44,7.44,7.44
35.62,4.48,-2.91,4.48,-2.91,2.91,0.20,4.61,7.40,7.40,7.40
35.97,4.51,-2.84,4.51,-2.84,2.84,0.19,4.49,7.35,7.35,7.35
36.33,4.54,-2.77,4.54,-2.77,2.77,0.18,4.37,7.31,7.31,7.31
36.70,4.57,-2.69,4.57,-2.69,2.69,0.17,4.24,7.26,7.26,7.26
37.06,4.60,-2.62,4.60,-2.62,2.62,0.16,4.11,7.22,7.22,7.22
37.43,4.63,-2.55,4.63,-2.55,2.55,0.15,3.98,7.18,7.18,7.18
37.81,4.66,-2.48,4.66,-2.48,2.48,0.14,3.85,7.14,7.14,7.13
38.19,4.68,-2.41,4.68,-2.41,2.41,0.13,3.72,7.09,7.09,7.09
38.57,4.71,-2.34,4.71,-2.34,2.34,0.13,3.59,7.05,7.05,7.05
38.95,4.74,-2.28,4.74,-2.28,2.28,0.12,3.45,7.01,7.01,7.01
39.34,4.76,-2.21,4.76,-2.21,2.21,0.11,3.32,6.97,6.97,6.97
39.74,4.79,-2.15,4.79,-2.15,2.15,0.10,3.19,6.93,6.93,6.93
40.14,4.81,-2.08,4.81,-2.08,2.08,0.10,3.06,6.89,6.89,6.89
40.54,4.83,-2.02,4.83,-2.02,2.02,0.09,2.92,6.85,6.85,6.85
40.94,4.85,-1.96,4.85,-1.96,1.96,0.09,2.79,6.81,6.81,6.81
41.35,4.88,-1.90,4.88,-1.90,1.90,0.08,2.66,6.77,6.77,6.77
41.76,4.90,-1.84,4.90,-1.84,1.84,0.07,2.53,6.73,6.73,6.74
42.18,4.92,-1.78,4.92,-1.78,1.78,0.07,2.41,6.69,6.69,6.70
42.60,4.94,-1.72,4.94,-1.72,1.72,0.06,2.28,6.65,6.65,6.66
43.03,4.96,-1.66,4.96,-1.66,1.65,0.06,2.16,6.61,6.61,6.61
43.46,4.98,-1.59,4.98,-1.59,1.59,0.05,2.03,6.57,6.57,6.57
