frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.36,6.57,6.35,6.56,-6.55,-6.44,-2.52,-0.19,-0.20,-0.21
20.20,6.41,6.59,6.42,6.59,-6.60,-6.60,-2.59,-0.19,-0.18,-0.17
20.40,6.47,6.62,6.49,6.62,-6.64,-6.75,-2.66,-0.17,-0.15,-0.14
20.61,6.55,6.62,6.55,6.65,-6.67,-6.83,-2.74,-0.12,-0.12,-0.07
20.81,6.63,6.70,6.63,6.68,-6.69,-6.90,-2.82,-0.06,-0.06,-0.07
21.02,6.69,6.72,6.69,6.71,-6.70,-6.88,-2.90,-0.01,-0.01,-0.03
21.23,6.74,6.71,6.73,6.73,-6.69,-6.87,-2.98,0.04,0.04,0.03
21.44,6.75,6.73,6.75,6.71,-6.68,-6.81,-3.07,0.07,0.07,0.03
21.66,6.74,6.69,6.74,6.67,-6.65,-6.74,-3.16,0.08,0.09,0.04
21.87,6.71,6.60,6.71,6.62,-6.61,-6.67,-3.25,0.10,0.10,0.12
22.09,6.67,6.55,6.67,6.56,-6.56,-6.59,-3.34,0.11,0.11,0.13
22.31,6.63,6.51,6.63,6.50,-6.51,-6.52,-3.44,0.12,0.12,0.13
22.54,6.60,6.46,6.60,6.44,-6.46,-6.45,-3.54,0.14,0.14,0.14
22.76,6.58,6.36,6.58,6.39,-6.41,-6.38,-3.64,0.16,0.16,0.21
22.99,6.57,6.34,6.57,6.36,-6.38,-6.32,-3.74,0.19,0.19,0.23
23.22,6.58,6.35,6.58,6.35,-6.35,-6.28,-3.85,0.22,0.22,0.23
23.45,6.59,6.36,6.59,6.34,-6.34,-6.23,-3.96,0.25,0.25,0.23
23.69,6.60,6.32,6.60,6.32,-6.32,-6.19,-4.07,0.28,0.28,0.29
23.92,6.61,6.29,6.61,6.31,-6.30,-6.15,-4.18,0.31,0.31,0.33
24.16,6.62,6.29,6.62,6.29,-6.28,-6.12,-4.30,0.34,0.34,0.33
24.40,6.62,6.29,6.62,6.28,-6.26,-6.09,-4.42,0.36,0.36,0.33
24.65,6.61,6.25,6.61,6.24,-6.23,-6.06,-4.53,0.38,0.39,0.36
24.89,6.61,6.18,6.61,6.18,-6.19,-6.03,-4.65,0.42,0.42,0.42
25.14,6.60,6.12,6.60,6.13,-6.14,-6.01,-4.78,0.46,0.46,0.49
25.39,6.60,6.08,6.60,6.09,-6.09,-5.98,-4.90,0.51,0.51,0.53
25.65,6.60,6.06,6.60,6.05,-6.04,-5.96,-5.02,0.56,0.56,0.54
25.91,6.60,6.00,6.60,6.00,-5.99,-5.94,-5.14,0.62,0.61,0.60
26.16,6.60,5.94,6.60,5.94,-5.93,-5.91,-5.27,0.67,0.67,0.67
26.43,6.60,5.87,6.60,5.87,-5.88,-5.88,-5.39,0.72,0.72,0.73
26.69,6.60,5.80,6.60,5.82,-5.82,-5.86,-5.51,0.78,0.78,0.80
26.96,6.60,5.77,6.60,5.77,-5.77,-5.83,-5.63,0.82,0.82,0.83
27.23,6.59,5.76,6.59,5.73,-5.72,-5.80,-5.75,0.87,0.87,0.83
27.50,6.59,5.67,6.59,5.67,-5.67,-5.77,-5.86,0.92,0.92,0.92
27.77,6.59,5.61,6.59,5.61,-5.63,-5.73,-5.97,0.96,0.96,0.98
28.05,6.58,5.56,6.58,5.57,-5.59,-5.70,-6.08,1.00,1.00,1.03
