frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.57,7.08,7.58,7.08,-6.97,-8.67,-2.82,0.60,0.61,0.50
20.20,7.60,7.06,7.59,7.05,-7.03,-8.57,-2.90,0.57,0.56,0.53
20.40,7.62,7.05,7.61,7.04,-7.07,-8.46,-2.98,0.54,0.54,0.57
20.61,7.64,7.01,7.65,7.04,-7.12,-8.24,-3.07,0.52,0.53,0.63
20.81,7.71,7.07,7.71,7.06,-7.15,-8.02,-3.15,0.55,0.55,0.63
21.02,7.78,7.11,7.78,7.10,-7.18,-7.80,-3.24,0.60,0.60,0.67
21.23,7.88,7.14,7.88,7.17,-7.21,-7.59,-3.34,0.67,0.67,0.73
21.44,7.97,7.24,7.97,7.23,-7.22,-7.42,-3.43,0.75,0.75,0.73
21.66,8.05,7.30,8.06,7.28,-7.26,-7.25,-3.53,0.80,0.80,0.75
21.87,8.12,7.30,8.12,7.32,-7.28,-7.13,-3.63,0.85,0.84,0.82
22.09,8.15,7.32,8.15,7.33,-7.28,-7.00,-3.73,0.87,0.87,0.83
22.31,8.15,7.32,8.15,7.30,-7.26,-6.92,-3.84,0.89,0.89,0.83
22.54,8.12,7.27,8.11,7.25,-7.22,-6.84,-3.95,0.90,0.90,0.84
22.76,8.06,7.15,8.06,7.16,-7.16,-6.78,-4.06,0.90,0.90,0.92
22.99,8.00,7.07,8.01,7.09,-7.11,-6.72,-4.17,0.90,0.90,0.93
23.22,7.96,7.02,7.96,7.02,-7.06,-6.68,-4.29,0.89,0.90,0.93
23.45,7.94,7.00,7.94,6.98,-7.03,-6.65,-4.41,0.91,0.91,0.93
23.69,7.95,6.95,7.95,6.96,-7.01,-6.62,-4.53,0.93,0.93,0.99
23.92,7.99,6.96,7.99,6.98,-7.02,-6.60,-4.66,0.97,0.97,1.03
24.16,8.06,7.02,8.06,7.02,-7.03,-6.59,-4.79,1.02,1.02,1.03
24.40,8.13,7.10,8.13,7.09,-7.06,-6.58,-4.91,1.07,1.07,1.03
24.65,8.21,7.14,8.21,7.13,-7.09,-6.57,-5.05,1.12,1.12,1.07
24.89,8.27,7.14,8.27,7.14,-7.11,-6.56,-5.18,1.16,1.16,1.13
25.14,8.31,7.12,8.31,7.13,-7.12,-6.56,-5.31,1.19,1.19,1.19
25.39,8.34,7.11,8.34,7.12,-7.11,-6.56,-5.45,1.23,1.23,1.23
25.65,8.35,7.11,8.35,7.09,-7.08,-6.55,-5.59,1.27,1.27,1.24
25.91,8.36,7.05,8.36,7.05,-7.04,-6.55,-5.72,1.32,1.32,1.31
26.16,8.36,6.99,8.36,6.99,-6.99,-6.55,-5.86,1.37,1.37,1.37
26.43,8.35,6.92,8.35,6.91,-6.92,-6.55,-6.00,1.44,1.44,1.44
