frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.86,-2.09,5.86,-2.09,2.08,2.17,1.08,7.94,7.94,7.95
20.20,5.86,-2.09,5.86,-2.09,2.09,2.18,1.12,7.95,7.95,7.96
20.40,5.86,-2.10,5.87,-2.10,2.10,2.19,1.15,7.96,7.96,7.96
20.61,5.87,-2.10,5.87,-2.10,2.11,2.20,1.18,7.97,7.97,7.96
20.81,5.87,-2.10,5.87,-2.10,2.11,2.20,1.22,7.98,7.98,7.97
21.02,5.87,-2.11,5.87,-2.11,2.12,2.21,1.25,7.99,7.99,7.98
21.23,5.86,-2.12,5.86,-2.12,2.13,2.21,1.29,7.99,7.99,7.98
21.44,5.86,-2.13,5.86,-2.13,2.13,2.22,1.33,7.99,7.99,7.99
21.66,5.85,-2.14,5.85,-2.14,2.14,2.24,1.37,8.00,8.00,7.99
21.87,5.84,-2.16,5.84,-2.16,2.15,2.25,1.41,8.00,8.00,8.00
22.09,5.84,-2.16,5.84,-2.17,2.16,2.26,1.45,8.00,8.00,8.00
22.31,5.84,-2.17,5.84,-2.17,2.16,2.27,1.49,8.00,8.00,8.01
22.54,5.84,-2.17,5.84,-2.17,2.16,2.28,1.54,8.00,8.00,8.01
22.76,5.85,-2.17,5.85,-2.17,2.16,2.28,1.58,8.01,8.01,8.02
22.99,5.86,-2.16,5.86,-2.16,2.16,2.29,1.63,8.02,8.02,8.02
23.22,5.88,-2.15,5.88,-2.15,2.15,2.29,1.67,8.03,8.03,8.03
23.45,5.89,-2.15,5.89,-2.15,2.15,2.29,1.72,8.04,8.04,8.03
23.69,5.89,-2.15,5.89,-2.15,2.15,2.29,1.77,8.04,8.04,8.04
23.92,5.88,-2.16,5.88,-2.16,2.16,2.29,1.82,8.05,8.05,8.04
24.16,5.87,-2.17,5.87,-2.17,2.18,2.29,1.87,8.05,8.05,8.04
24.40,5.84,-2.20,5.84,-2.20,2.21,2.30,1.92,8.05,8.05,8.04
24.65,5.81,-2.24,5.81,-2.24,2.25,2.30,1.97,8.05,8.05,8.04
24.89,5.76,-2.28,5.76,-2.28,2.29,2.30,2.03,8.05,8.05,8.04
25.14,5.70,-2.34,5.70,-2.34,2.35,2.31,2.08,8.05,8.05,8.04
25.39,5.64,-2.40,5.64,-2.40,2.41,2.31,2.13,8.06,8.05,8.04
25.65,5.57,-2.47,5.57,-2.47,2.48,2.32,2.19,8.05,8.05,8.04
25.91,5.51,-2.54,5.50,-2.54,2.54,2.32,2.24,8.04,8.04,8.04
26.16,5.44,-2.60,5.44,-2.60,2.59,2.33,2.29,8.03,8.03,8.05
26.43,5.40,-2.65,5.40,-2.65,2.62,2.33,2.35,8.02,8.02,8.05
26.69,5.38,-2.67,5.37,-2.67,2.64,2.34,2.40,8.01,8.01,8.05
26.96,5.37,-2.68,5.37,-2.67,2.64,2.35,2.45,8.01,8.02,8.05
27.23,5.39,-2.65,5.40,-2.65,2.63,2.35,2.50,8.02,8.03,8.05
27.50,5.44,-2.61,5.43,-2.61,2.61,2.36,2.55,8.04,8.04,8.05
27.77,5.47,-2.57,5.47,-2.57,2.59,2.37,2.60,8.06,8.06,8.04
28.05,5.51,-2.53,5.50,-2.53,2.57,2.37,2.64,8.08,8.08,8.04
28.33,5.51,-2.52,5.51,-2.52,2.57,2.38,2.69,8.08,8.08,8.03
28.62,5.50,-2.52,5.50,-2.53,2.57,2.39,2.73,8.07,8.07,8.02
28.90,5.46,-2.56,5.46,-2.56,2.59,2.40,2.77,8.05,8.05,8.02
29.19,5.42,-2.60,5.42,-2.60,2.60,2.40,2.80,8.02,8.01,8.02
