frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.63,6.41,15.64,6.42,-6.79,-6.36,-2.22,8.84,8.85,9.23
20.20,15.73,6.50,15.73,6.50,-6.55,-6.35,-2.28,9.18,9.18,9.23
20.40,15.75,6.52,15.74,6.51,-6.34,-6.35,-2.35,9.42,9.41,9.23
20.61,15.69,6.45,15.67,6.43,-6.14,-6.26,-2.42,9.55,9.53,9.24
20.81,15.49,6.25,15.49,6.25,-5.97,-6.18,-2.49,9.52,9.52,9.24
21.02,15.25,6.00,15.24,5.99,-5.82,-6.07,-2.56,9.43,9.43,9.25
21.23,14.97,5.71,14.98,5.72,-5.69,-5.96,-2.63,9.28,9.29,9.26
21.44,14.73,5.47,14.74,5.48,-5.58,-5.86,-2.71,9.15,9.16,9.26
21.66,14.57,5.30,14.56,5.29,-5.44,-5.76,-2.79,9.13,9.12,9.27
21.87,14.45,5.18,14.48,5.21,-5.34,-5.67,-2.87,9.11,9.13,9.27
22.09,14.48,5.20,14.48,5.21,-5.31,-5.59,-2.95,9.17,9.17,9.28
22.31,14.57,5.29,14.56,5.28,-5.33,-5.53,-3.04,9.24,9.24,9.28
22.54,14.69,5.40,14.69,5.40,-5.38,-5.47,-3.12,9.31,9.31,9.29
22.76,14.82,5.53,14.81,5.52,-5.45,-5.43,-3.21,9.37,9.36,9.29
22.99,14.91,5.62,14.90,5.61,-5.51,-5.38,-3.30,9.40,9.39,9.29
23.22,14.95,5.65,14.94,5.64,-5.56,-5.35,-3.40,9.39,9.39,9.30
23.45,14.94,5.63,14.94,5.63,-5.58,-5.32,-3.49,9.36,9.36,9.31
23.69,14.89,5.58,14.89,5.58,-5.56,-5.29,-3.59,9.33,9.33,9.31
23.92,14.82,5.51,14.82,5.51,-5.52,-5.27,-3.69,9.30,9.30,9.31
24.16,14.75,5.43,14.75,5.44,-5.47,-5.25,-3.79,9.28,9.28,9.32
24.40,14.68,5.37,14.69,5.37,-5.41,-5.23,-3.89,9.28,9.28,9.32
24.65,14.63,5.31,14.63,5.32,-5.35,-5.21,-4.00,9.28,9.28,9.32
24.89,14.59,5.28,14.60,5.28,-5.30,-5.20,-4.10,9.30,9.30,9.32
25.14,14.57,5.25,14.57,5.25,-5.25,-5.18,-4.21,9.31,9.31,9.32
25.39,14.54,5.23,14.54,5.23,-5.21,-5.16,-4.32,9.33,9.33,9.32
25.65,14.51,5.20,14.51,5.20,-5.18,-5.15,-4.43,9.33,9.33,9.32
25.91,14.48,5.16,14.48,5.16,-5.15,-5.14,-4.54,9.33,9.33,9.32
26.16,14.44,5.12,14.44,5.12,-5.12,-5.12,-4.64,9.32,9.32,9.32
26.43,14.40,5.09,14.41,5.09,-5.09,-5.10,-4.75,9.31,9.31,9.32
26.69,14.37,5.05,14.37,5.05,-5.07,-5.09,-4.86,9.31,9.31,9.32
26.96,14.35,5.03,14.35,5.03,-5.04,-5.07,-4.96,9.30,9.31,9.32
27.23,14.33,5.01,14.33,5.01,-5.02,-5.06,-5.07,9.31,9.31,9.32
27.50,14.32,5.00,14.32,5.00,-5.00,-5.04,-5.17,9.32,9.32,9.32
27.77,14.31,4.99,14.31,4.99,-4.98,-5.02,-5.26,9.33,9.33,9.31
28.05,14.29,4.98,14.28,4.97,-4.96,-5.00,-5.36,9.33,9.33,9.31
28.33,14.25,4.95,14.25,4.95,-4.93,-4.98,-5.45,9.32,9.32,9.30
28.62,14.21,4.92,14.21,4.91,-4.90,-4.97,-5.53,9.31,9.31,9.30
28.90,14.17,4.87,14.17,4.87,-4.87,-4.95,-5.61,9.30,9.30,9.29
29.19,14.12,4.83,14.12,4.83,-4.84,-4.93,-5.68,9.28,9.28,9.29
29.48,14.08,4.80,14.09,4.80,-4.82,-4.90,-5.75,9.26,9.26,9.29
29.78,14.06,4.78,14.06,4.78,-4.81,-4.88,-5.81,9.25,9.25,9.28
30.08,14.05,4.78,14.06,4.78,-4.80,-4.86,-5.86,9.25,9.25,9.28
30.38,14.06,4.79,14.06,4.79,-4.80,-4.84,-5.90,9.26,9.26,9.27
30.68,14.07,4.81,14.07,4.81,-4.80,-4.82,-5.93,9.27,9.27,9.26
30.99,14.07,4.82,14.07,4.82,-4.80,-4.80,-5.96,9.27,9.27,9.25
31.30,14.06,4.82,14.06,4.82,-4.79,-4.77,-5.98,9.27,9.27,9.24
31.61,14.03,4.80,14.03,4.80,-4.77,-4.75,-5.99,9.26,9.26,9.23
31.93,13.98,4.76,13.97,4.76,-4.73,-4.73,-5.98,9.24,9.24,9.22
32.24,13.90,4.70,13.90,4.70,-4.68,-4.71,-5.98,9.22,9.22,9.21
32.57,13.82,4.63,13.82,4.63,-4.62,-4.68,-5.96,9.20,9.20,9.19
32.89,13.74,4.56,13.74,4.56,-4.56,-4.66,-5.93,9.18,9.18,9.18
33.22,13.66,4.49,13.65,4.49,-4.50,-4.64,-5.90,9.16,9.16,9.17
33.55,13.58,4.43,13.58,4.43,-4.45,-4.61,-5.86,9.13,9.14,9.15
33.89,13.52,4.38,13.52,4.38,-4.41,-4.59,-5.82,9.11,9.12,9.14
34.23,13.49,4.36,13.49,4.36,-4.39,-4.57,-5.77,9.10,9.10,9.13
34.57,13.47,4.35,13.47,4.36,-4.38,-4.55,-5.71,9.09,9.09,9.12
34.92,13.48,4.37,13.48,4.37,-4.39,-4.52,-5.65,9.09,9.09,9.11
35.27,13.50,4.41,13.50,4.41,-4.40,-4.50,-5.58,9.10,9.10,9.10
35.62,13.52,4.44,13.52,4.44,-4.42,-4.48,-5.51,9.10,9.10,9.08
35.97,13.53,4.47,13.53,4.47,-4.43,-4.46,-5.44,9.10,9.10,9.06
36.33,13.52,4.48,13.52,4.47,-4.45,-4.44,-5.37,9.08,9.08,9.05
36.70,13.49,4.47,13.49,4.47,-4.45,-4.42,-5.30,9.04,9.04,9.03
37.06,13.46,4.45,13.46,4.45,-4.45,-4.40,-5.22,9.00,9.00,9.01
37.43,13.41,4.43,13.42,4.43,-4.45,-4.38,-5.15,8.97,8.97,8.99
37.81,13.39,4.42,13.39,4.42,-4.44,-4.36,-5.07,8.95,8.95,8.97
38.19,13.36,4.41,13.36,4.41,-4.43,-4.34,-5.00,8.93,8.94,8.95
38.57,13.34,4.42,13.34,4.41,-4.41,-4.32,-4.92,8.93,8.93,8.93
38.95,13.32,4.41,13.32,4.41,-4.40,-4.30,-4.85,8.92,8.92,8.91
39.34,13.29,4.40,13.29,4.40,-4.39,-4.28,-4.78,8.90,8.90,8.89
39.74,13.25,4.38,13.25,4.38,-4.37,-4.26,-4.71,8.88,8.88,8.87
40.14,13.21,4.36,13.21,4.36,-4.35,-4.24,-4.64,8.86,8.86,8.85
40.54,13.16,4.33,13.16,4.33,-4.33,-4.22,-4.57,8.84,8.84,8.83
40.94,13.12,4.31,13.11,4.30,-4.30,-4.21,-4.51,8.81,8.81,8.81
41.35,13.07,4.28,13.06,4.28,-4.28,-4.19,-4.45,8.79,8.78,8.79
41.76,13.01,4.25,13.01,4.25,-4.26,-4.17,-4.39,8.75,8.75,8.76
42.18,12.97,4.23,12.97,4.23,-4.25,-4.16,-4.34,8.72,8.72,8.74
42.60,12.93,4.21,12.94,4.22,-4.24,-4.14,-4.29,8.70,8.70,8.72
43.03,12.92,4.22,12.92,4.22,-4.23,-4.13,-4.24,8.69,8.69,8.70
43.46,12.91,4.23,12.91,4.23,-4.22,-4.11,-4.19,8.69,8.69,8.68
43.90,12.90,4.23,12.89,4.23,-4.21,-4.10,-4.15,8.68,8.68,8.66
44.33,12.87,4.23,12.86,4.22,-4.19,-4.08,-4.11,8.67,8.67,8.64
44.78,12.81,4.20,12.81,4.20,-4.17,-4.07,-4.08,8.64,8.64,8.61
45.23,12.74,4.16,12.74,4.16,-4.15,-4.05,-4.05,8.60,8.60,8.59
45.68,12.67,4.11,12.67,4.11,-4.12,-4.04,-4.02,8.55,8.55,8.56
46.13,12.59,4.06,12.60,4.06,-4.09,-4.03,-3.99,8.51,8.51,8.53
46.60,12.54,4.03,12.54,4.03,-4.06,-4.02,-3.97,8.48,8.48,8.51
47.06,12.50,4.01,12.50,4.01,-4.03,-4.00,-3.94,8.47,8.47,8.49
47.53,12.46,4.00,12.46,4.00,-4.01,-3.99,-3.93,8.46,8.46,8.46
48.01,12.43,4.00,12.43,4.00,-3.99,-3.98,-3.91,8.44,8.44,8.43
48.49,12.39,3.99,12.39,3.99,-3.97,-3.97,-3.90,8.42,8.42,8.40
48.97,12.35,3.98,12.35,3.97,-3.96,-3.96,-3.89,8.39,8.39,8.37
49.46,12.29,3.95,12.29,3.95,-3.94,-3.95,-3.88,8.35,8.35,8.34
49.96,12.23,3.93,12.24,3.93,-3.93,-3.94,-3.88,8.30,8.31,8.31
50.46,12.18,3.91,12.18,3.91,-3.92,-3.93,-3.88,8.27,8.27,8.28
50.96,12.14,3.89,12.14,3.89,-3.90,-3.92,-3.88,8.24,8.24,8.25
51.47,12.10,3.88,12.10,3.88,-3.89,-3.91,-3.88,8.21,8.21,8.21
51.99,12.06,3.88,12.06,3.88,-3.88,-3.90,-3.88,8.18,8.18,8.18
52.51,12.02,3.88,12.02,3.88,-3.88,-3.89,-3.88,8.14,8.14,8.14
53.03,11.98,3.88,11.99,3.88,-3.88,-3.88,-3.89,8.11,8.11,8.11
53.56,11.95,3.88,11.95,3.88,-3.88,-3.87,-3.89,8.07,8.07,8.07
54.10,11.92,3.89,11.92,3.89,-3.89,-3.86,-3.90,8.03,8.03,8.04
