frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.67,-2.88,7.67,-2.88,2.90,-0.05,0.78,10.57,10.57,10.55
20.20,7.69,-2.87,7.68,-2.87,2.87,-0.05,0.81,10.56,10.56,10.56
20.40,7.70,-2.86,7.70,-2.86,2.85,-0.05,0.83,10.55,10.55,10.56
20.61,7.72,-2.84,7.72,-2.84,2.82,-0.06,0.86,10.54,10.55,10.56
20.81,7.76,-2.81,7.76,-2.81,2.80,-0.06,0.89,10.56,10.56,10.57
21.02,7.80,-2.78,7.80,-2.78,2.77,-0.06,0.92,10.57,10.57,10.58
21.23,7.84,-2.74,7.84,-2.74,2.74,-0.06,0.94,10.58,10.58,10.58
21.44,7.88,-2.70,7.88,-2.70,2.71,-0.06,0.97,10.59,10.59,10.59
21.66,7.93,-2.67,7.93,-2.67,2.67,-0.06,1.00,10.60,10.60,10.59
21.87,7.97,-2.63,7.97,-2.63,2.63,-0.06,1.03,10.60,10.60,10.60
22.09,8.01,-2.60,8.01,-2.60,2.60,-0.06,1.07,10.60,10.60,10.60
22.31,8.05,-2.56,8.05,-2.56,2.56,-0.07,1.10,10.61,10.61,10.61
22.54,8.08,-2.53,8.08,-2.53,2.53,-0.07,1.13,10.61,10.61,10.61
22.76,8.12,-2.49,8.12,-2.49,2.49,-0.07,1.17,10.61,10.61,10.62
22.99,8.16,-2.46,8.16,-2.46,2.46,-0.07,1.20,10.62,10.62,10.62
23.22,8.20,-2.42,8.20,-2.42,2.42,-0.07,1.24,10.62,10.62,10.63
23.45,8.24,-2.39,8.24,-2.39,2.39,-0.07,1.28,10.63,10.63,10.63
23.69,8.28,-2.35,8.28,-2.35,2.35,-0.07,1.31,10.63,10.63,10.64
23.92,8.32,-2.31,8.32,-2.31,2.31,-0.08,1.35,10.64,10.64,10.64
24.16,8.36,-2.28,8.36,-2.28,2.28,-0.08,1.39,10.64,10.64,10.64
24.40,8.40,-2.24,8.40,-2.24,2.24,-0.08,1.43,10.64,10.64,10.64
24.65,8.44,-2.21,8.44,-2.21,2.21,-0.08,1.47,10.64,10.64,10.64
24.89,8.47,-2.17,8.47,-2.17,2.17,-0.08,1.51,10.64,10.64,10.64
25.14,8.50,-2.14,8.50,-2.14,2.14,-0.08,1.55,10.64,10.64,10.64
25.39,8.53,-2.11,8.54,-2.11,2.11,-0.08,1.59,10.64,10.64,10.64
25.65,8.57,-2.07,8.57,-2.07,2.07,-0.09,1.63,10.64,10.64,10.64
25.91,8.60,-2.04,8.60,-2.04,2.04,-0.09,1.67,10.64,10.64,10.64
26.16,8.63,-2.01,8.64,-2.01,2.01,-0.09,1.71,10.64,10.64,10.64
26.43,8.67,-1.98,8.67,-1.98,1.98,-0.09,1.75,10.65,10.65,10.65
26.69,8.70,-1.94,8.70,-1.94,1.95,-0.09,1.79,10.65,10.65,10.65
26.96,8.73,-1.91,8.73,-1.91,1.91,-0.10,1.83,10.65,10.65,10.65
27.23,8.77,-1.88,8.77,-1.88,1.88,-0.10,1.86,10.65,10.65,10.65
27.50,8.80,-1.85,8.80,-1.85,1.85,-0.10,1.90,10.64,10.64,10.64
27.77,8.83,-1.81,8.83,-1.81,1.81,-0.10,1.93,10.64,10.64,10.64
28.05,8.86,-1.78,8.86,-1.78,1.78,-0.10,1.96,10.63,10.63,10.63
28.33,8.89,-1.74,8.89,-1.74,1.74,-0.11,1.99,10.63,10.63,10.63
28.62,8.92,-1.71,8.92,-1.71,1.71,-0.11,2.01,10.62,10.62,10.62
28.90,8.95,-1.67,8.95,-1.67,1.67,-0.11,2.04,10.62,10.62,10.62
29.19,8.98,-1.64,8.98,-1.64,1.64,-0.11,2.06,10.62,10.62,10.61
29.48,9.00,-1.61,9.00,-1.61,1.61,-0.12,2.08,10.62,10.61,10.61
29.78,9.03,-1.58,9.03,-1.58,1.58,-0.12,2.09,10.61,10.61,10.61
30.08,9.05,-1.55,9.05,-1.55,1.55,-0.12,2.10,10.60,10.60,10.60
30.38,9.07,-1.53,9.07,-1.53,1.53,-0.12,2.11,10.60,10.60,10.60
30.68,9.09,-1.50,9.09,-1.50,1.50,-0.13,2.11,10.59,10.59,10.59
30.99,9.11,-1.47,9.11,-1.47,1.47,-0.13,2.11,10.58,10.58,10.58
31.30,9.13,-1.44,9.13,-1.44,1.44,-0.13,2.11,10.57,10.57,10.57
31.61,9.15,-1.41,9.15,-1.41,1.41,-0.13,2.10,10.55,10.55,10.56
31.93,9.17,-1.37,9.17,-1.37,1.37,-0.14,2.09,10.54,10.54,10.54
32.24,9.19,-1.34,9.19,-1.34,1.34,-0.14,2.07,10.53,10.53,10.53
32.57,9.22,-1.30,9.22,-1.30,1.30,-0.14,2.05,10.52,10.52,10.52
32.89,9.24,-1.27,9.24,-1.27,1.27,-0.15,2.03,10.51,10.51,10.51
33.22,9.26,-1.23,9.26,-1.23,1.24,-0.15,2.00,10.49,10.50,10.49
33.55,9.28,-1.20,9.28,-1.20,1.21,-0.15,1.97,10.48,10.48,10.48
33.89,9.29,-1.17,9.29,-1.17,1.18,-0.15,1.94,10.47,10.47,10.47
34.23,9.31,-1.15,9.31,-1.15,1.15,-0.16,1.90,10.46,10.46,10.46
34.57,9.32,-1.12,9.32,-1.12,1.12,-0.16,1.86,10.44,10.44,10.45
34.92,9.34,-1.10,9.34,-1.10,1.10,-0.16,1.82,10.43,10.43,10.43
35.27,9.35,-1.07,9.35,-1.07,1.07,-0.17,1.78,10.42,10.42,10.42
35.62,9.36,-1.04,9.36,-1.04,1.04,-0.17,1.73,10.40,10.40,10.41
35.97,9.37,-1.01,9.37,-1.01,1.01,-0.18,1.68,10.39,10.39,10.39
36.33,9.39,-0.98,9.39,-0.98,0.98,-0.18,1.64,10.37,10.37,10.37
36.70,9.40,-0.95,9.40,-0.95,0.95,-0.18,1.59,10.35,10.35,10.35
37.06,9.41,-0.92,9.41,-0.92,0.92,-0.19,1.53,10.33,10.33,10.33
37.43,9.42,-0.89,9.42,-0.89,0.89,-0.19,1.48,10.32,10.32,10.31
37.81,9.43,-0.86,9.43,-0.86,0.86,-0.20,1.43,10.30,10.30,10.29
38.19,9.44,-0.83,9.44,-0.83,0.84,-0.20,1.37,10.28,10.28,10.27
38.57,9.45,-0.80,9.45,-0.81,0.81,-0.20,1.32,10.26,10.26,10.25
38.95,9.46,-0.78,9.46,-0.78,0.78,-0.21,1.27,10.24,10.24,10.23
39.34,9.47,-0.75,9.47,-0.75,0.75,-0.21,1.21,10.21,10.21,10.21
39.74,9.48,-0.72,9.48,-0.72,0.72,-0.22,1.16,10.19,10.19,10.20
40.14,9.49,-0.69,9.49,-0.69,0.69,-0.22,1.10,10.17,10.17,10.18
40.54,9.50,-0.66,9.50,-0.66,0.65,-0.23,1.05,10.15,10.15,10.16
40.94,9.52,-0.62,9.52,-0.62,0.62,-0.23,1.00,10.13,10.13,10.14
41.35,9.53,-0.58,9.53,-0.58,0.58,-0.24,0.94,10.11,10.11,10.11
41.76,9.55,-0.54,9.55,-0.54,0.54,-0.24,0.89,10.09,10.09,10.09
42.18,9.57,-0.50,9.57,-0.50,0.50,-0.25,0.84,10.07,10.07,10.07
42.60,9.59,-0.46,9.59,-0.46,0.47,-0.25,0.78,10.05,10.05,10.05
43.03,9.60,-0.43,9.60,-0.43,0.43,-0.26,0.73,10.03,10.03,10.03
43.46,9.61,-0.40,9.61,-0.40,0.40,-0.26,0.68,10.01,10.01,10.01
43.90,9.62,-0.36,9.62,-0.36,0.36,-0.27,0.63,9.99,9.99,9.99
44.33,9.63,-0.33,9.63,-0.33,0.34,-0.28,0.58,9.97,9.97,9.96
44.78,9.63,-0.30,9.63,-0.30,0.31,-0.28,0.53,9.94,9.94,9.94
45.23,9.63,-0.28,9.63,-0.28,0.28,-0.29,0.48,9.92,9.92,9.91
45.68,9.63,-0.25,9.63,-0.25,0.26,-0.29,0.43,9.89,9.89,9.88
46.13,9.63,-0.23,9.63,-0.23,0.23,-0.30,0.38,9.86,9.86,9.86
46.60,9.63,-0.21,9.63,-0.21,0.20,-0.31,0.34,9.83,9.83,9.84
47.06,9.63,-0.18,9.63,-0.18,0.17,-0.31,0.29,9.80,9.80,9.81
47.53,9.64,-0.15,9.64,-0.15,0.14,-0.32,0.24,9.78,9.78,9.79
48.01,9.65,-0.11,9.65,-0.11,0.11,-0.33,0.19,9.76,9.76,9.76
48.49,9.66,-0.07,9.66,-0.07,0.07,-0.34,0.15,9.73,9.73,9.73
48.97,9.67,-0.03,9.67,-0.03,0.03,-0.34,0.10,9.70,9.70,9.70
49.46,9.67,0.01,9.67,0.01,-0.00,-0.35,0.06,9.67,9.67,9.66
49.96,9.68,0.05,9.68,0.05,-0.04,-0.36,0.01,9.64,9.64,9.63
50.46,9.68,0.08,9.68,0.08,-0.08,-0.37,-0.03,9.60,9.60,9.60
50.96,9.68,0.11,9.68,0.11,-0.11,-0.37,-0.07,9.57,9.57,9.57
51.47,9.68,0.14,9.68,0.14,-0.14,-0.38,-0.12,9.54,9.54,9.54
51.99,9.68,0.17,9.68,0.17,-0.18,-0.39,-0.16,9.50,9.50,9.51
52.51,9.68,0.21,9.68,0.21,-0.21,-0.40,-0.20,9.47,9.47,9.47
53.03,9.67,0.24,9.67,0.24,-0.24,-0.41,-0.24,9.44,9.44,9.43
53.56,9.67,0.27,9.67,0.27,-0.27,-0.42,-0.28,9.40,9.40,9.40
54.10,9.66,0.30,9.66,0.30,-0.30,-0.43,-0.32,9.36,9.36,9.36
54.64,9.65,0.33,9.65,0.33,-0.33,-0.44,-0.36,9.33,9.33,9.33
55.18,9.65,0.35,9.65,0.36,-0.36,-0.45,-0.40,9.29,9.29,9.29
55.74,9.64,0.39,9.64,0.39,-0.39,-0.46,-0.44,9.25,9.25,9.26
56.29,9.64,0.42,9.64,0.42,-0.42,-0.47,-0.48,9.22,9.22,9.22
56.86,9.63,0.45,9.63,0.45,-0.45,-0.48,-0.51,9.18,9.18,9.18
57.42,9.62,0.48,9.62,0.48,-0.48,-0.49,-0.55,9.14,9.14,9.14
58.00,9.61,0.51,9.61,0.51,-0.51,-0.50,-0.58,9.10,9.10,9.10
58.58,9.61,0.54,9.61,0.54,-0.55,-0.51,-0.62,9.06,9.06,9.06
59.16,9.60,0.58,9.60,0.58,-0.58,-0.52,-0.65,9.02,9.02,9.02
59.76,9.59,0.61,9.59,0.61,-0.61,-0.54,-0.68,8.98,8.98,8.98
60.35,9.58,0.64,9.58,0.64,-0.64,-0.55,-0.72,8.95,8.95,8.94
60.96,9.57,0.67,9.57,0.67,-0.67,-0.56,-0.75,8.91,8.91,8.91
61.57,9.57,0.70,9.57,0.70,-0.70,-0.57,-0.78,8.87,8.87,8.87
62.18,9.56,0.72,9.56,0.72,-0.72,-0.59,-0.80,8.83,8.83,8.83
62.80,9.55,0.75,9.55,0.75,-0.75,-0.60,-0.83,8.79,8.79,8.80
63.43,9.53,0.78,9.54,0.78,-0.78,-0.62,-0.86,8.75,8.75,8.76
64.07,9.52,0.81,9.52,0.81,-0.81,-0.63,-0.88,8.71,8.71,8.71
64.71,9.51,0.84,9.51,0.84,-0.84,-0.64,-0.91,8.67,8.67,8.67
65.35,9.49,0.87,9.49,0.87,-0.87,-0.66,-0.93,8.62,8.62,8.62
66.01,9.47,0.90,9.47,0.90,-0.90,-0.68,-0.96,8.57,8.57,8.57
66.67,9.46,0.93,9.46,0.93,-0.93,-0.69,-0.98,8.52,8.52,8.53
67.33,9.44,0.96,9.44,0.96,-0.97,-0.71,-1.00,8.47,8.47,8.47
68.01,9.42,1.00,9.42,1.00,-1.00,-0.72,-1.03,8.42,8.42,8.42
68.69,9.40,1.03,9.40,1.03,-1.03,-0.74,-1.05,8.37,8.37,8.37
69.37,9.38,1.06,9.38,1.06,-1.06,-0.76,-1.07,8.32,8.32,8.32
70.07,9.36,1.10,9.36,1.09,-1.09,-0.78,-1.09,8.27,8.27,8.27
70.77,9.34,1.12,9.34,1.12,-1.12,-0.80,-1.11,8.22,8.22,8.22
71.48,9.31,1.14,9.31,1.14,-1.14,-0.82,-1.13,8.17,8.17,8.17
72.19,9.29,1.16,9.29,1.16,-1.16,-0.84,-1.16,8.13,8.13,8.12
72.91,9.26,1.18,9.26,1.18,-1.18,-0.86,-1.18,8.08,8.08,8.08
73.64,9.24,1.20,9.24,1.20,-1.20,-0.88,-1.20,8.04,8.04,8.04
74.38,9.21,1.21,9.21,1.21,-1.21,-0.90,-1.22,8.00,8.00,8.00
75.12,9.19,1.23,9.19,1.23,-1.23,-0.92,-1.25,7.96,7.96,7.96
75.87,9.16,1.24,9.16,1.24,-1.25,-0.94,-1.27,7.91,7.91,7.92
76.63,9.13,1.26,9.13,1.26,-1.26,-0.96,-1.29,7.87,7.87,7.87
77.40,9.10,1.28,9.10,1.28,-1.28,-0.99,-1.32,7.82,7.82,7.82
78.17,9.07,1.30,9.07,1.30,-1.30,-1.01,-1.35,7.77,7.77,7.77
78.95,9.04,1.32,9.04,1.32,-1.32,-1.04,-1.37,7.72,7.72,7.72
79.74,9.01,1.34,9.01,1.34,-1.34,-1.06,-1.40,7.67,7.67,7.67
80.54,8.97,1.36,8.97,1.36,-1.36,-1.09,-1.43,7.61,7.61,7.61
81.35,8.93,1.38,8.94,1.38,-1.38,-1.11,-1.46,7.56,7.56,7.55
82.16,8.90,1.40,8.90,1.40,-1.40,-1.14,-1.49,7.50,7.50,7.50
82.98,8.86,1.43,8.86,1.43,-1.43,-1.17,-1.53,7.44,7.44,7.44
83.81,8.83,1.45,8.83,1.45,-1.46,-1.20,-1.56,7.37,7.37,7.37
84.65,8.80,1.49,8.80,1.49,-1.49,-1.23,-1.60,7.31,7.31,7.31
85.50,8.77,1.53,8.77,1.53,-1.53,-1.26,-1.63,7.24,7.24,7.25
86.35,8.76,1.57,8.76,1.57,-1.58,-1.29,-1.67,7.18,7.18,7.19
87.22,8.75,1.62,8.75,1.62,-1.63,-1.32,-1.71,7.12,7.12,7.13
88.09,8.75,1.68,8.75,1.68,-1.69,-1.35,-1.75,7.06,7.06,7.07
88.97,8.76,1.75,8.76,1.75,-1.75,-1.38,-1.79,7.01,7.01,7.01
89.86,8.78,1.82,8.78,1.82,-1.82,-1.42,-1.84,6.96,6.96,6.96
90.76,8.79,1.89,8.79,1.89,-1.88,-1.45,-1.88,6.92,6.92,6.91
91.66,8.81,1.95,8.81,1.95,-1.94,-1.49,-1.93,6.87,6.87,6.86
92.58,8.82,2.01,8.82,2.01,-2.00,-1.52,-1.97,6.82,6.82,6.82
93.51,8.83,2.06,8.83,2.06,-2.06,-1.56,-2.02,6.77,6.77,6.77
94.44,8.83,2.11,8.83,2.11,-2.11,-1.60,-2.07,6.72,6.72,6.72
