frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.99,2.56,10.99,2.56,-2.56,-2.41,-0.93,8.43,8.43,8.44
20.20,10.99,2.55,10.99,2.55,-2.55,-2.42,-0.95,8.44,8.44,8.44
20.40,10.99,2.55,10.99,2.55,-2.54,-2.42,-0.98,8.44,8.44,8.44
20.61,10.99,2.54,10.99,2.54,-2.54,-2.42,-1.01,8.45,8.45,8.45
20.81,10.98,2.53,10.98,2.53,-2.53,-2.42,-1.04,8.46,8.46,8.45
21.02,10.98,2.52,10.98,2.52,-2.52,-2.43,-1.07,8.46,8.46,8.46
21.23,10.97,2.51,10.97,2.51,-2.51,-2.43,-1.10,8.47,8.47,8.47
21.44,10.97,2.50,10.97,2.50,-2.50,-2.43,-1.14,8.47,8.47,8.47
21.66,10.96,2.49,10.96,2.49,-2.49,-2.43,-1.17,8.48,8.48,8.48
21.87,10.96,2.48,10.96,2.48,-2.48,-2.43,-1.20,8.48,8.48,8.48
22.09,10.95,2.47,10.95,2.47,-2.47,-2.43,-1.24,8.49,8.49,8.49
22.31,10.95,2.46,10.95,2.46,-2.46,-2.43,-1.28,8.49,8.49,8.49
22.54,10.94,2.45,10.94,2.45,-2.45,-2.43,-1.31,8.50,8.50,8.50
22.76,10.94,2.44,10.94,2.44,-2.44,-2.42,-1.35,8.50,8.50,8.50
22.99,10.93,2.43,10.93,2.43,-2.43,-2.42,-1.39,8.51,8.51,8.50
23.22,10.93,2.42,10.93,2.42,-2.42,-2.42,-1.43,8.51,8.51,8.51
23.45,10.92,2.41,10.92,2.41,-2.41,-2.42,-1.47,8.51,8.51,8.51
23.69,10.92,2.40,10.91,2.40,-2.40,-2.41,-1.51,8.52,8.52,8.52
23.92,10.91,2.39,10.91,2.39,-2.39,-2.41,-1.56,8.52,8.52,8.52
24.16,10.90,2.38,10.90,2.38,-2.38,-2.41,-1.60,8.52,8.52,8.52
24.40,10.90,2.37,10.90,2.37,-2.37,-2.40,-1.64,8.52,8.52,8.53
24.65,10.89,2.36,10.89,2.36,-2.36,-2.40,-1.69,8.53,8.53,8.53
