frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.73,0.78,6.73,0.78,-0.81,-0.39,-0.41,5.92,5.92,5.95
20.20,6.73,0.77,6.73,0.77,-0.78,-0.40,-0.42,5.95,5.95,5.95
20.40,6.72,0.76,6.72,0.76,-0.75,-0.42,-0.43,5.97,5.97,5.96
20.61,6.72,0.75,6.72,0.75,-0.73,-0.43,-0.44,5.99,5.99,5.97
20.81,6.71,0.73,6.71,0.73,-0.71,-0.45,-0.45,6.00,6.00,5.98
21.02,6.70,0.70,6.70,0.70,-0.69,-0.46,-0.47,6.00,6.00,5.99
21.23,6.69,0.68,6.69,0.68,-0.68,-0.48,-0.48,6.01,6.01,6.01
21.44,6.68,0.67,6.68,0.67,-0.67,-0.50,-0.49,6.01,6.01,6.02
21.66,6.68,0.65,6.68,0.65,-0.66,-0.52,-0.51,6.02,6.02,6.03
21.87,6.68,0.64,6.68,0.64,-0.65,-0.54,-0.52,6.03,6.03,6.04
22.09,6.68,0.64,6.68,0.64,-0.65,-0.57,-0.54,6.04,6.04,6.04
22.31,6.70,0.64,6.70,0.64,-0.65,-0.60,-0.55,6.05,6.05,6.05
22.54,6.71,0.66,6.71,0.66,-0.66,-0.63,-0.57,6.05,6.05,6.06
22.76,6.74,0.67,6.74,0.67,-0.67,-0.66,-0.59,6.06,6.06,6.07
22.99,6.76,0.69,6.76,0.69,-0.69,-0.69,-0.60,6.07,6.07,6.07
23.22,6.80,0.72,6.80,0.72,-0.72,-0.73,-0.62,6.08,6.08,6.08
23.45,6.83,0.74,6.83,0.74,-0.74,-0.77,-0.64,6.09,6.09,6.09
23.69,6.86,0.77,6.86,0.77,-0.77,-0.81,-0.66,6.10,6.10,6.09
23.92,6.89,0.79,6.89,0.79,-0.79,-0.85,-0.67,6.10,6.10,6.10
24.16,6.92,0.82,6.92,0.82,-0.81,-0.89,-0.69,6.11,6.11,6.11
24.40,6.95,0.83,6.95,0.84,-0.83,-0.93,-0.71,6.11,6.11,6.11
24.65,6.96,0.85,6.96,0.85,-0.85,-0.96,-0.73,6.12,6.12,6.11
24.89,6.98,0.86,6.98,0.86,-0.86,-0.99,-0.75,6.12,6.12,6.11
25.14,6.99,0.88,6.99,0.88,-0.87,-1.00,-0.77,6.12,6.12,6.12
25.39,7.00,0.88,7.00,0.88,-0.88,-1.01,-0.79,6.12,6.12,6.12
25.65,7.01,0.89,7.01,0.89,-0.89,-1.01,-0.81,6.12,6.12,6.12
25.91,7.02,0.90,7.02,0.90,-0.90,-1.00,-0.83,6.12,6.12,6.12
26.16,7.02,0.90,7.02,0.90,-0.90,-0.98,-0.85,6.12,6.12,6.12
26.43,7.03,0.90,7.03,0.90,-0.91,-0.96,-0.87,6.13,6.13,6.13
26.69,7.04,0.91,7.04,0.91,-0.91,-0.93,-0.89,6.13,6.13,6.13
26.96,7.05,0.91,7.05,0.91,-0.91,-0.91,-0.90,6.14,6.14,6.14
27.23,7.05,0.92,7.05,0.92,-0.91,-0.88,-0.92,6.14,6.14,6.14
27.50,7.05,0.92,7.05,0.92,-0.91,-0.86,-0.94,6.14,6.14,6.14
27.77,7.05,0.91,7.05,0.91,-0.91,-0.84,-0.96,6.14,6.14,6.14
28.05,7.04,0.90,7.04,0.90,-0.90,-0.82,-0.98,6.14,6.14,6.14
28.33,7.03,0.89,7.03,0.89,-0.89,-0.80,-0.99,6.14,6.14,6.14
28.62,7.02,0.88,7.02,0.88,-0.88,-0.79,-1.01,6.14,6.14,6.14
28.90,7.00,0.87,7.00,0.87,-0.87,-0.78,-1.03,6.13,6.13,6.13
29.19,6.99,0.85,6.99,0.85,-0.85,-0.77,-1.04,6.13,6.13,6.13
29.48,6.97,0.84,6.97,0.84,-0.84,-0.76,-1.05,6.13,6.13,6.13
29.78,6.96,0.82,6.96,0.82,-0.82,-0.76,-1.07,6.13,6.13,6.13
30.08,6.94,0.81,6.94,0.81,-0.81,-0.75,-1.08,6.13,6.13,6.13
30.38,6.93,0.80,6.93,0.80,-0.80,-0.75,-1.09,6.13,6.13,6.13
30.68,6.92,0.79,6.92,0.79,-0.79,-0.75,-1.10,6.13,6.13,6.13
30.99,6.91,0.78,6.91,0.78,-0.78,-0.75,-1.11,6.13,6.13,6.13
31.30,6.89,0.77,6.89,0.77,-0.77,-0.75,-1.11,6.12,6.12,6.12
31.61,6.88,0.77,6.88,0.77,-0.77,-0.76,-1.12,6.11,6.11,6.11
31.93,6.88,0.77,6.88,0.77,-0.77,-0.76,-1.12,6.10,6.10,6.11
32.24,6.88,0.78,6.88,0.78,-0.78,-0.76,-1.13,6.10,6.10,6.10
32.57,6.88,0.79,6.88,0.79,-0.79,-0.77,-1.13,6.09,6.09,6.09
32.89,6.88,0.80,6.88,0.80,-0.80,-0.78,-1.13,6.08,6.08,6.08
33.22,6.89,0.82,6.89,0.82,-0.82,-0.78,-1.13,6.07,6.07,6.07
33.55,6.90,0.84,6.90,0.84,-0.83,-0.79,-1.13,6.06,6.06,6.06
33.89,6.90,0.86,6.90,0.86,-0.85,-0.80,-1.13,6.05,6.05,6.05
34.23,6.91,0.88,6.91,0.88,-0.87,-0.80,-1.13,6.04,6.04,6.04
34.57,6.92,0.89,6.92,0.89,-0.89,-0.81,-1.12,6.03,6.03,6.03
34.92,6.93,0.91,6.93,0.91,-0.91,-0.82,-1.12,6.01,6.01,6.02
35.27,6.94,0.93,6.94,0.93,-0.93,-0.83,-1.12,6.00,6.00,6.01
35.62,6.94,0.95,6.94,0.95,-0.95,-0.84,-1.11,5.99,5.99,5.99
35.97,6.95,0.97,6.95,0.97,-0.97,-0.85,-1.11,5.98,5.98,5.98
36.33,6.96,1.00,6.96,1.00,-0.99,-0.86,-1.11,5.97,5.97,5.97
36.70,6.97,1.02,6.97,1.02,-1.01,-0.87,-1.10,5.96,5.96,5.95
37.06,6.97,1.04,6.97,1.04,-1.03,-0.88,-1.10,5.94,5.94,5.94
37.43,6.97,1.05,6.97,1.05,-1.05,-0.89,-1.09,5.92,5.92,5.92
37.81,6.97,1.06,6.97,1.06,-1.06,-0.90,-1.09,5.90,5.90,5.90
38.19,6.96,1.07,6.96,1.07,-1.07,-0.91,-1.08,5.88,5.89,5.89
38.57,6.95,1.08,6.95,1.08,-1.08,-0.92,-1.08,5.87,5.87,5.87
38.95,6.94,1.09,6.94,1.09,-1.09,-0.93,-1.08,5.85,5.86,5.86
39.34,6.93,1.09,6.93,1.09,-1.09,-0.95,-1.07,5.84,5.84,5.84
39.74,6.92,1.09,6.92,1.09,-1.09,-0.96,-1.07,5.83,5.83,5.82
40.14,6.90,1.09,6.90,1.09,-1.08,-0.97,-1.07,5.81,5.81,5.81
40.54,6.87,1.08,6.87,1.08,-1.08,-0.98,-1.07,5.79,5.79,5.79
40.94,6.84,1.07,6.84,1.07,-1.07,-0.99,-1.07,5.77,5.77,5.77
41.35,6.81,1.06,6.82,1.06,-1.06,-1.01,-1.07,5.75,5.75,5.76
41.76,6.79,1.05,6.79,1.05,-1.05,-1.02,-1.07,5.74,5.74,5.74
42.18,6.76,1.04,6.76,1.04,-1.04,-1.03,-1.07,5.72,5.72,5.72
42.60,6.74,1.03,6.74,1.03,-1.03,-1.05,-1.08,5.71,5.71,5.70
43.03,6.72,1.03,6.72,1.03,-1.03,-1.06,-1.08,5.69,5.69,5.69
43.46,6.69,1.02,6.69,1.02,-1.02,-1.07,-1.08,5.67,5.67,5.67
43.90,6.67,1.02,6.67,1.02,-1.03,-1.08,-1.09,5.65,5.65,5.65
44.33,6.65,1.03,6.66,1.03,-1.03,-1.10,-1.09,5.62,5.62,5.63
44.78,6.64,1.04,6.64,1.04,-1.04,-1.11,-1.10,5.60,5.60,5.61
45.23,6.63,1.05,6.63,1.05,-1.06,-1.13,-1.11,5.58,5.58,5.58
45.68,6.63,1.07,6.63,1.07,-1.07,-1.14,-1.12,5.55,5.55,5.56
46.13,6.63,1.09,6.63,1.09,-1.09,-1.15,-1.13,5.53,5.53,5.53
46.60,6.63,1.12,6.63,1.12,-1.11,-1.17,-1.14,5.51,5.51,5.51
47.06,6.63,1.14,6.63,1.14,-1.13,-1.18,-1.15,5.49,5.49,5.49
47.53,6.62,1.16,6.62,1.16,-1.16,-1.20,-1.16,5.47,5.47,5.47
48.01,6.62,1.18,6.62,1.18,-1.18,-1.21,-1.17,5.44,5.44,5.44
