frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.43,1.75,7.43,1.75,-1.75,-1.67,-0.63,5.68,5.68,5.68
20.20,7.43,1.74,7.43,1.74,-1.74,-1.67,-0.65,5.69,5.69,5.69
20.40,7.44,1.74,7.44,1.74,-1.74,-1.67,-0.67,5.70,5.70,5.69
20.61,7.44,1.74,7.44,1.74,-1.73,-1.67,-0.69,5.71,5.71,5.70
20.81,7.44,1.73,7.44,1.73,-1.72,-1.67,-0.71,5.72,5.72,5.72
21.02,7.45,1.72,7.45,1.72,-1.72,-1.67,-0.73,5.73,5.73,5.73
21.23,7.45,1.71,7.45,1.71,-1.71,-1.67,-0.75,5.74,5.74,5.74
21.44,7.45,1.70,7.45,1.70,-1.70,-1.67,-0.78,5.75,5.75,5.75
21.66,7.46,1.69,7.46,1.69,-1.70,-1.67,-0.80,5.76,5.76,5.76
21.87,7.46,1.69,7.46,1.69,-1.69,-1.66,-0.82,5.77,5.77,5.77
22.09,7.46,1.68,7.46,1.68,-1.68,-1.66,-0.85,5.78,5.78,5.78
22.31,7.46,1.68,7.46,1.68,-1.68,-1.66,-0.87,5.79,5.79,5.79
22.54,7.46,1.67,7.46,1.67,-1.67,-1.65,-0.90,5.79,5.79,5.79
22.76,7.46,1.66,7.46,1.66,-1.66,-1.65,-0.92,5.80,5.80,5.80
22.99,7.46,1.66,7.46,1.66,-1.66,-1.64,-0.95,5.81,5.81,5.81
23.22,7.46,1.65,7.46,1.65,-1.65,-1.64,-0.98,5.82,5.82,5.81
23.45,7.46,1.64,7.46,1.64,-1.64,-1.63,-1.01,5.82,5.82,5.82
23.69,7.46,1.63,7.46,1.63,-1.63,-1.63,-1.04,5.83,5.83,5.83
23.92,7.46,1.62,7.46,1.62,-1.62,-1.62,-1.07,5.83,5.83,5.84
24.16,7.45,1.61,7.45,1.61,-1.62,-1.61,-1.10,5.84,5.84,5.84
24.40,7.45,1.61,7.45,1.61,-1.61,-1.61,-1.13,5.84,5.84,5.85
24.65,7.45,1.60,7.45,1.60,-1.60,-1.60,-1.16,5.85,5.85,5.85
24.89,7.44,1.59,7.44,1.59,-1.59,-1.59,-1.19,5.85,5.85,5.85
25.14,7.43,1.58,7.43,1.58,-1.58,-1.59,-1.22,5.85,5.85,5.85
25.39,7.43,1.57,7.43,1.57,-1.57,-1.58,-1.25,5.85,5.85,5.85
25.65,7.42,1.57,7.42,1.57,-1.56,-1.57,-1.28,5.86,5.86,5.85
25.91,7.41,1.55,7.41,1.55,-1.55,-1.56,-1.31,5.86,5.86,5.86
26.16,7.40,1.54,7.40,1.54,-1.54,-1.55,-1.34,5.86,5.86,5.86
26.43,7.39,1.53,7.39,1.53,-1.53,-1.54,-1.37,5.86,5.86,5.86
26.69,7.38,1.51,7.38,1.51,-1.52,-1.53,-1.40,5.87,5.87,5.87
26.96,7.37,1.50,7.37,1.50,-1.50,-1.52,-1.43,5.87,5.87,5.87
27.23,7.36,1.49,7.36,1.49,-1.49,-1.51,-1.46,5.87,5.87,5.87
27.50,7.35,1.47,7.35,1.47,-1.48,-1.50,-1.49,5.87,5.87,5.87
27.77,7.34,1.46,7.34,1.46,-1.46,-1.49,-1.52,5.87,5.87,5.87
28.05,7.32,1.45,7.32,1.45,-1.45,-1.48,-1.54,5.87,5.87,5.87
28.33,7.31,1.44,7.31,1.44,-1.44,-1.47,-1.57,5.87,5.87,5.87
28.62,7.30,1.43,7.30,1.43,-1.42,-1.46,-1.59,5.87,5.87,5.87
28.90,7.28,1.41,7.28,1.41,-1.41,-1.45,-1.61,5.87,5.87,5.87
29.19,7.27,1.40,7.27,1.40,-1.40,-1.44,-1.63,5.87,5.87,5.87
29.48,7.25,1.38,7.25,1.38,-1.38,-1.43,-1.65,5.87,5.87,5.87
29.78,7.24,1.37,7.24,1.37,-1.37,-1.42,-1.67,5.87,5.87,5.87
30.08,7.22,1.35,7.22,1.35,-1.35,-1.41,-1.68,5.87,5.87,5.87
30.38,7.21,1.34,7.21,1.34,-1.34,-1.40,-1.69,5.87,5.87,5.87
30.68,7.19,1.33,7.19,1.33,-1.33,-1.39,-1.70,5.86,5.86,5.87
30.99,7.18,1.31,7.18,1.31,-1.31,-1.37,-1.70,5.86,5.86,5.86
